,time,open,high,low,close,volume
0,2017-08-21,6.28,0.0,0.0,0.0,0
1,2017-08-22,6.28,6.28,6.28,6.28,0
2,2017-08-23,6.28,6.28,6.28,6.28,0
3,2017-08-24,6.28,6.28,6.28,6.28,0
4,2017-08-25,6.59,6.59,6.59,6.59,1000
5,2017-08-28,6.59,6.59,6.59,6.59,0
6,2017-08-29,6.59,6.59,6.59,6.59,0
7,2017-08-30,6.9,6.9,6.9,6.9,2000
8,2017-08-31,6.9,6.9,6.9,6.9,0
9,2017-09-01,6.9,6.9,6.9,6.9,0
10,2017-09-05,7.12,7.12,7.12,7.12,200
11,2017-09-06,7.34,7.34,7.34,7.34,2000
12,2017-09-07,7.12,7.12,7.12,7.12,0
13,2017-09-08,7.12,7.12,7.12,7.12,0
14,2017-09-11,7.12,7.12,7.12,7.12,0
15,2017-09-12,7.12,7.12,7.12,7.12,0
16,2017-09-13,7.12,7.12,7.12,7.12,0
17,2017-09-14,7.12,7.12,7.12,7.12,0
18,2017-09-15,7.12,7.12,7.12,7.12,0
19,2017-09-18,7.12,7.12,7.12,7.12,2000
20,2017-09-19,7.12,7.12,7.12,7.12,0
21,2017-09-20,7.12,7.12,7.12,7.12,0
22,2017-09-21,7.12,7.12,7.12,7.12,0
23,2017-09-22,7.12,7.12,7.12,7.12,0
24,2017-09-25,7.12,7.12,7.12,7.12,0
25,2017-09-26,7.12,7.12,7.12,7.12,0
26,2017-09-27,7.47,7.47,7.47,7.47,2400
27,2017-09-28,7.47,7.47,7.47,7.47,1000
28,2017-09-29,7.47,7.47,7.47,7.47,0
29,2017-10-02,7.47,7.47,7.47,7.47,0
30,2017-10-03,7.47,7.47,7.47,7.47,0
31,2017-10-04,7.47,7.47,7.47,7.47,600
32,2017-10-05,7.47,7.47,7.47,7.47,0
33,2017-10-06,7.47,7.47,7.47,7.47,0
34,2017-10-09,7.47,7.47,7.47,7.47,0
35,2017-10-10,7.47,7.47,7.47,7.47,0
36,2017-10-11,7.47,7.47,7.47,7.47,0
37,2017-10-12,7.47,7.47,7.47,7.47,0
38,2017-10-13,7.47,7.47,7.47,7.47,0
39,2017-10-16,7.47,7.47,7.47,7.47,0
40,2017-10-17,7.47,7.47,7.47,7.47,0
41,2017-10-18,7.47,7.47,7.47,7.47,100
42,2017-10-19,7.47,7.47,7.47,7.47,18900
43,2017-10-20,7.47,7.47,7.47,7.47,0
44,2017-10-23,7.47,7.47,7.47,7.47,0
45,2017-10-24,7.47,7.47,7.47,7.47,0
46,2017-10-25,7.47,7.47,7.47,7.47,0
47,2017-10-26,7.47,7.47,7.47,7.47,0
48,2017-10-27,7.47,7.47,7.47,7.47,0
49,2017-10-30,7.47,7.47,7.47,7.47,0
50,2017-10-31,7.47,7.47,7.47,7.47,2100
51,2017-11-01,7.47,7.47,7.47,7.47,0
52,2017-11-02,7.47,7.47,7.47,7.47,0
53,2017-11-03,7.47,7.47,7.47,7.47,0
54,2017-11-06,7.47,7.47,7.47,7.47,0
55,2017-11-07,7.47,7.47,7.47,7.47,0
56,2017-11-08,7.47,7.47,7.47,7.47,0
57,2017-11-09,7.47,7.47,7.47,7.47,0
58,2017-11-10,7.47,7.47,7.47,7.47,0
59,2017-11-13,7.47,7.47,7.47,7.47,0
60,2017-11-14,7.47,7.47,7.47,7.47,0
61,2017-11-15,7.47,7.47,7.47,7.47,0
62,2017-11-16,7.47,7.47,7.47,7.47,0
63,2017-11-17,7.91,7.91,7.91,7.91,500
64,2017-11-20,7.91,7.91,7.91,7.91,0
65,2017-11-21,7.91,7.91,7.91,7.91,0
66,2017-11-22,7.91,7.91,7.91,7.91,0
67,2017-11-23,7.91,7.91,7.91,7.91,0
68,2017-11-24,7.91,7.91,7.91,7.91,0
69,2017-11-27,7.91,7.91,7.91,7.91,0
