,time,open,high,low,close,volume
0,2010-10-29,11.52,11.52,10.37,10.75,16800
1,2010-11-01,11.13,11.13,10.75,10.75,1100
2,2010-11-02,10.75,10.75,10.75,10.75,0
3,2010-11-03,10.75,10.75,10.25,10.56,300
4,2010-11-04,9.79,9.98,9.79,9.79,3700
5,2010-11-05,9.6,10.17,9.6,10.17,2000
6,2010-11-08,10.29,10.29,10.29,10.29,2500
7,2010-11-09,10.21,10.29,10.21,10.29,2600
8,2010-11-10,9.6,9.6,9.6,9.6,200
9,2010-11-11,9.6,9.6,9.6,9.6,4700
10,2010-11-12,9.75,9.75,9.75,9.75,1100
11,2010-11-15,10.29,10.29,10.29,10.29,100
12,2010-11-16,10.29,10.29,10.29,10.29,0
13,2010-11-17,9.6,9.6,9.6,9.6,800
14,2010-11-18,9.6,9.6,9.6,9.6,0
15,2010-11-19,8.94,8.94,8.94,8.94,100
16,2010-11-22,9.21,9.21,9.21,9.21,100
17,2010-11-23,9.75,9.75,9.75,9.75,1600
18,2010-11-24,9.75,9.75,9.75,9.75,0
19,2010-11-25,9.1,9.6,9.1,9.1,2600
20,2010-11-26,9.18,9.18,8.83,9.18,1300
21,2010-11-29,9.02,9.64,9.02,9.64,2500
22,2010-11-30,9.21,9.21,9.21,9.21,700
23,2010-12-01,9.21,9.21,8.64,8.68,6500
24,2010-12-02,8.33,8.56,8.33,8.56,200
25,2010-12-03,8.45,8.45,8.18,8.33,6600
26,2010-12-06,8.83,8.83,8.83,8.83,2600
27,2010-12-07,9.44,9.44,9.44,9.44,1800
28,2010-12-08,10.1,10.1,10.1,10.1,15000
29,2010-12-09,10.37,10.71,10.17,10.37,7600
30,2010-12-10,10.37,10.37,10.17,10.37,3500
31,2010-12-13,10.37,10.98,10.02,10.02,2800
32,2010-12-14,10.37,10.37,9.83,9.83,3300
33,2010-12-15,9.87,9.87,9.29,9.6,4100
34,2010-12-16,9.1,9.98,9.1,9.98,4000
35,2010-12-17,9.98,9.98,9.98,9.98,200
36,2010-12-20,9.48,9.48,9.44,9.44,1900
37,2010-12-21,9.52,9.52,9.41,9.41,400
38,2010-12-22,9.33,9.52,9.33,9.48,300
39,2010-12-23,9.98,10.06,9.98,10.06,1600
40,2010-12-24,9.37,9.37,9.33,9.37,6000
41,2010-12-27,9.87,9.87,9.21,9.21,900
42,2010-12-28,9.37,9.79,8.87,9.79,4700
43,2010-12-29,9.56,9.56,9.56,9.56,300
44,2010-12-30,9.56,9.56,9.56,9.56,0
45,2010-12-31,9.56,9.56,9.56,9.56,0
46,2011-01-04,9.56,9.56,9.56,9.56,0
