,time,open,high,low,close,volume
0,2006-12-27,5.8,5.8,5.8,5.8,23900
1,2006-12-28,5.8,5.8,5.8,5.8,21220
2,2006-12-29,5.8,5.8,5.52,5.52,7480
3,2007-01-02,5.52,5.52,5.27,5.27,2950
4,2007-01-03,5.01,5.01,5.01,5.01,6050
5,2007-01-04,4.79,4.79,4.79,4.79,28060
6,2007-01-05,4.56,5.01,4.56,5.01,36670
7,2007-01-08,5.24,5.24,5.24,5.24,11090
8,2007-01-09,5.49,5.49,5.46,5.49,41230
9,2007-01-10,5.29,5.29,5.24,5.24,29380
10,2007-01-11,5.01,5.01,4.98,4.98,15180
11,2007-01-12,4.76,5.21,4.76,5.21,14590
12,2007-01-15,5.21,5.24,5.21,5.24,18840
13,2007-01-16,5.24,5.24,5.07,5.07,14870
14,2007-01-17,5.07,5.07,4.84,4.96,8490
15,2007-01-18,4.73,5.07,4.73,5.07,9350
16,2007-01-19,5.01,5.07,5.01,5.07,18140
17,2007-01-22,4.84,4.84,4.81,4.84,10800
18,2007-01-23,5.07,5.07,5.01,5.01,4070
19,2007-01-24,5.01,5.01,5.01,5.01,8980
20,2007-01-25,4.81,4.9,4.81,4.9,8740
21,2007-01-26,4.9,4.9,4.67,4.67,4050
22,2007-01-29,4.67,4.79,4.67,4.79,10200
23,2007-01-30,4.84,5.01,4.84,5.01,13380
24,2007-01-31,5.01,5.01,5.01,5.01,17060
25,2007-02-01,5.07,5.07,5.01,5.07,27260
26,2007-02-02,5.32,5.32,5.32,5.32,21590
27,2007-02-05,5.58,5.58,5.58,5.58,60780
28,2007-02-06,5.8,5.8,5.8,5.8,54760
29,2007-02-07,5.63,5.63,5.52,5.63,25090
30,2007-02-08,5.63,5.63,5.35,5.35,3230
31,2007-02-09,5.1,5.1,5.1,5.1,7370
32,2007-02-12,5.35,5.35,5.18,5.18,15450
33,2007-02-13,5.43,5.43,5.43,5.43,43500
34,2007-02-14,5.43,5.43,5.43,5.43,6040
35,2007-02-15,5.43,5.69,5.43,5.69,16560
36,2007-02-26,5.97,5.97,5.91,5.91,23820
37,2007-02-27,5.69,5.69,5.69,5.69,21570
38,2007-02-28,5.69,5.69,5.52,5.52,10810
39,2007-03-01,5.52,5.52,5.52,5.52,3390
40,2007-03-02,5.52,5.52,5.52,5.52,8600
41,2007-03-05,5.35,5.52,5.35,5.52,12320
42,2007-03-06,5.52,5.52,5.41,5.41,8000
43,2007-03-07,5.52,5.52,5.41,5.41,13810
44,2007-03-08,5.41,5.41,5.15,5.15,8010
45,2007-03-09,5.15,5.35,5.15,5.35,11980
46,2007-03-12,5.35,5.58,5.35,5.58,13380
47,2007-03-13,5.58,5.58,5.32,5.32,5820
48,2007-03-14,5.32,5.32,5.32,5.32,13070
49,2007-03-15,5.07,5.24,5.07,5.24,7080
50,2007-03-16,5.24,5.35,5.07,5.35,9600
51,2007-03-19,5.58,5.58,5.29,5.35,7750
52,2007-03-20,5.35,5.35,5.1,5.1,10160
53,2007-03-21,5.07,5.24,5.07,5.24,12450
54,2007-03-22,5.29,5.29,5.24,5.24,6870
55,2007-03-23,4.98,5.24,4.98,5.24,7750
56,2007-03-26,4.98,5.18,4.98,5.18,9500
57,2007-03-27,4.96,4.96,4.93,4.93,2820
58,2007-03-28,4.7,4.7,4.7,4.7,6400
59,2007-03-29,4.84,4.93,4.79,4.93,4350
60,2007-03-30,5.07,5.07,5.07,5.07,16410
61,2007-04-02,5.07,5.07,5.07,5.07,2480
62,2007-04-03,5.07,5.07,4.9,4.9,1190
63,2007-04-04,4.73,4.9,4.73,4.9,4110
64,2007-04-05,4.9,4.9,4.79,4.79,3500
65,2007-04-06,4.67,4.9,4.67,4.9,4400
66,2007-04-09,4.9,4.9,4.87,4.9,4470
67,2007-04-10,4.9,4.9,4.79,4.79,4170
68,2007-04-11,4.56,4.87,4.56,4.87,6800
69,2007-04-12,4.73,4.73,4.65,4.65,5560
70,2007-04-13,4.42,4.42,4.42,4.42,6230
71,2007-04-16,4.42,4.42,4.22,4.22,2230
72,2007-04-17,4.03,4.03,4.03,4.03,5200
73,2007-04-18,4.03,4.22,4.03,4.22,3940
74,2007-04-19,4.28,4.28,4.25,4.25,27480
75,2007-04-20,4.05,4.25,4.05,4.25,3850
76,2007-04-23,4.25,4.25,4.22,4.22,8250
77,2007-04-24,4.03,4.11,4.03,4.11,5100
78,2007-04-25,3.97,4.22,3.97,4.22,7340
79,2007-05-02,4.22,4.42,4.22,4.42,5370
80,2007-05-03,4.51,4.62,4.51,4.62,8850
81,2007-05-04,4.62,4.62,4.51,4.51,11100
82,2007-05-07,4.51,4.73,4.51,4.73,7100
83,2007-05-08,4.9,4.96,4.79,4.96,27050
84,2007-05-09,5.18,5.18,5.12,5.12,24000
85,2007-05-10,5.01,5.01,5.01,5.01,4520
86,2007-05-11,4.96,5.01,4.96,5.01,18510
87,2007-05-14,4.96,4.96,4.96,4.96,6480
88,2007-05-15,4.96,5.01,4.96,5.01,11800
89,2007-05-16,5.07,5.07,4.96,4.96,9030
90,2007-05-17,5.07,5.07,4.96,5.07,16070
91,2007-05-18,5.07,5.07,5.01,5.01,19610
92,2007-05-21,5.24,5.24,5.18,5.18,35130
93,2007-05-22,5.43,5.43,5.43,5.43,95830
94,2007-05-23,5.69,5.69,5.69,5.69,96970
95,2007-05-24,5.91,5.91,5.8,5.8,82530
96,2007-05-25,5.63,5.69,5.63,5.63,77000
97,2007-05-28,5.86,5.91,5.8,5.91,57620
98,2007-05-29,6.14,6.19,6.14,6.19,84480
99,2007-05-30,6.48,6.48,6.48,6.48,70680
100,2007-05-31,6.76,6.76,6.76,6.76,86360
101,2007-06-01,7.1,7.1,7.1,7.1,98040
102,2007-06-04,7.43,7.43,7.43,7.43,44940
103,2007-06-05,7.77,7.77,7.77,7.77,53900
104,2007-06-06,8.11,8.11,8.11,8.11,91960
105,2007-06-07,8.5,8.5,7.72,7.72,244660
106,2007-06-08,7.38,7.38,7.38,7.38,26700
107,2007-06-11,7.04,7.04,7.04,7.04,48070
108,2007-06-12,7.32,7.38,7.32,7.38,124600
109,2007-06-13,7.49,7.49,7.04,7.04,143990
110,2007-06-14,7.15,7.26,7.15,7.26,56940
111,2007-06-15,7.43,7.43,7.1,7.1,25580
112,2007-06-18,7.1,7.1,7.1,7.1,46620
113,2007-06-19,7.38,7.38,7.26,7.32,54150
114,2007-06-20,7.04,7.32,7.04,7.32,33730
115,2007-06-21,7.1,7.21,7.1,7.1,32400
116,2007-06-22,6.93,7.04,6.93,7.04,33620
117,2007-06-25,7.04,7.1,7.04,7.1,21900
118,2007-06-26,7.1,7.1,7.1,7.1,16130
119,2007-06-27,7.04,7.04,6.93,6.93,16210
120,2007-06-28,6.81,6.93,6.81,6.81,23970
121,2007-06-29,6.81,6.81,6.76,6.81,22800
122,2007-07-02,6.87,6.87,6.48,6.48,30260
123,2007-07-03,6.36,6.36,6.36,6.36,33240
124,2007-07-04,6.65,6.65,6.65,6.65,29240
125,2007-07-05,6.93,6.93,6.93,6.93,17800
126,2007-07-06,7.26,7.26,7.26,7.26,97550
127,2007-07-09,7.55,7.6,7.26,7.6,210010
128,2007-07-10,7.72,7.94,7.72,7.94,150950
129,2007-07-11,8.33,8.33,8.33,8.33,144260
130,2007-07-12,8.11,8.11,7.94,7.94,22460
131,2007-07-13,7.94,7.94,7.94,7.94,37570
132,2007-07-16,7.94,7.94,7.83,7.83,120410
133,2007-07-17,7.88,8.11,7.88,7.94,62860
134,2007-07-18,7.88,7.88,7.66,7.66,25420
135,2007-07-19,7.43,7.43,7.32,7.32,49390
136,2007-07-20,7.32,7.38,7.32,7.38,28180
137,2007-07-23,7.49,7.49,7.21,7.21,24700
138,2007-07-24,7.15,7.26,7.15,7.26,32760
139,2007-07-25,7.38,7.38,7.26,7.26,77280
140,2007-07-26,7.43,7.43,7.04,7.04,96910
141,2007-07-27,5.35,5.35,5.24,5.35,94050
142,2007-07-30,5.55,5.6,5.55,5.6,23790
143,2007-07-31,5.86,5.86,5.63,5.86,78170
144,2007-08-01,6.14,6.14,6.14,6.14,46040
145,2007-08-02,6.42,6.42,6.25,6.42,143090
146,2007-08-03,6.42,6.36,6.14,6.14,36680
147,2007-08-06,6.03,6.42,5.97,6.42,84620
148,2007-08-07,6.7,6.7,6.7,6.7,53400
149,2007-08-08,6.93,6.93,6.7,6.7,44100
150,2007-08-09,6.87,6.98,6.87,6.98,81200
151,2007-08-10,7.26,7.32,6.76,7.32,84160
152,2007-08-13,7.21,7.21,6.98,6.98,22520
153,2007-08-14,7.04,7.21,6.98,7.04,51060
154,2007-08-15,6.76,7.04,5.8,6.93,32500
155,2007-08-16,6.81,6.81,6.7,6.7,57230
156,2007-08-17,7.1,7.1,6.76,6.48,91270
157,2007-08-20,6.65,6.65,6.48,6.48,94940
158,2007-08-21,6.48,6.53,6.48,6.48,49890
159,2007-08-22,6.31,6.48,6.31,6.31,52550
160,2007-08-23,6.59,6.59,6.42,6.59,55760
161,2007-08-24,6.87,6.87,6.87,6.87,50680
162,2007-08-27,6.98,7.21,6.98,6.98,77750
163,2007-08-28,7.1,7.1,6.76,7.1,122560
164,2007-08-29,6.93,6.98,6.93,6.93,19310
165,2007-08-30,6.93,6.93,6.87,6.93,28610
