,time,open,high,low,close,volume
0,2010-07-16,15.19,15.73,13.73,15.11,933900
1,2010-07-19,14.8,14.88,13.88,14.34,714900
2,2010-07-20,14.5,14.8,13.88,14.19,615300
3,2010-07-21,14.19,14.42,13.96,14.19,740800
4,2010-07-22,14.34,14.57,13.96,14.42,751100
5,2010-07-23,14.57,14.57,14.27,14.57,752500
6,2010-07-26,14.27,14.42,14.11,14.42,559400
7,2010-07-27,14.5,15.27,14.42,15.27,631000
8,2010-07-28,15.96,15.96,15.65,15.73,1357800
9,2010-07-29,15.5,16.65,15.5,16.11,1215400
10,2010-07-30,16.19,17.26,15.73,16.49,1249900
11,2010-08-02,15.73,16.72,15.42,15.73,813800
12,2010-08-03,15.57,16.19,15.5,16.11,1036000
13,2010-08-04,16.11,16.57,15.65,16.42,1537400
14,2010-08-05,16.42,17.18,16.42,17.03,1170900
15,2010-08-06,17.03,17.34,16.65,16.72,953400
16,2010-08-09,16.88,17.26,15.73,16.03,785000
17,2010-08-10,15.96,16.11,15.19,16.11,1353800
18,2010-08-11,16.11,16.57,15.73,16.57,1390400
19,2010-08-12,16.65,16.65,15.34,15.57,757700
20,2010-08-13,15.34,16.03,15.34,15.96,1161100
21,2010-08-16,15.96,16.8,15.96,16.8,1081400
22,2010-08-17,16.88,17.03,15.73,16.26,906600
23,2010-08-18,16.49,16.88,15.65,15.96,530300
24,2010-08-19,16.19,16.19,15.5,15.8,764400
25,2010-08-20,15.8,16.11,15.11,15.8,872800
26,2010-08-23,15.57,15.96,15.27,15.5,532300
27,2010-08-24,15.5,15.65,14.65,14.65,334500
28,2010-08-25,14.88,15.27,14.19,14.19,364800
29,2010-08-26,13.81,14.8,13.58,14.42,748300
30,2010-08-27,14.19,14.5,13.81,13.81,631900
31,2010-08-30,14.19,15.27,14.19,15.27,706000
32,2010-08-31,15.65,15.88,15.04,15.57,719900
33,2010-09-01,15.42,16.19,15.34,15.57,521700
34,2010-09-06,16.03,16.11,15.5,15.88,482900
35,2010-09-07,16.11,16.34,15.57,16.19,1100200
36,2010-09-08,16.19,16.8,16.03,16.8,885700
37,2010-09-09,16.57,17.49,16.57,17.49,1320300
38,2010-09-10,18.49,18.49,16.19,17.49,1120700
39,2010-09-13,17.57,17.72,16.57,16.57,512500
40,2010-09-14,17.11,17.18,15.88,16.03,1030100
41,2010-09-15,16.03,16.26,15.11,15.19,789000
42,2010-09-16,15.27,15.88,15.04,15.65,1035400
43,2010-09-17,15.65,16.72,15.65,16.57,1458600
44,2010-09-20,17.18,17.49,16.11,16.49,910700
45,2010-09-21,16.26,17.11,15.8,15.8,957300
46,2010-09-22,15.57,16.03,15.11,15.34,1283100
47,2010-09-23,15.34,15.8,14.27,14.57,1347100
48,2010-09-24,14.57,14.73,14.11,14.27,522500
49,2010-09-27,14.42,14.57,13.96,14.19,443300
50,2010-09-28,14.27,14.65,14.11,14.27,503400
51,2010-09-29,14.42,14.57,13.65,13.73,475600
52,2010-09-30,13.42,13.88,13.35,13.65,531600
53,2010-10-01,13.73,13.88,13.04,13.5,619900
54,2010-10-04,14.11,14.11,12.58,12.58,501200
55,2010-10-05,11.97,12.96,11.89,12.81,1420100
56,2010-10-06,12.81,13.04,12.58,13.04,500500
57,2010-10-07,12.66,13.12,12.2,12.27,377900
