,time,open,high,low,close,volume
0,2016-12-21,14.77,14.77,14.77,14.77,200
1,2016-12-22,16.96,16.96,16.96,16.96,300
2,2016-12-23,16.96,16.96,16.96,16.96,100
3,2016-12-26,14.72,14.72,14.72,14.72,3000
4,2016-12-27,14.72,14.72,14.72,14.72,1000
5,2016-12-28,14.77,14.77,14.77,14.77,100
6,2016-12-29,14.77,14.77,14.77,14.77,0
7,2016-12-30,14.72,14.72,14.72,14.72,2000
8,2017-01-03,16.91,16.91,15.23,15.23,200
9,2017-01-04,18.43,18.43,18.43,18.43,100
10,2017-01-05,20.31,20.31,20.31,20.31,100
11,2017-01-06,20.31,20.31,20.31,20.31,0
12,2017-01-09,17.26,17.26,17.26,17.26,100
13,2017-01-10,17.26,17.26,17.26,17.26,0
14,2017-01-11,17.26,17.26,17.26,17.26,0
15,2017-01-12,17.26,17.26,17.26,17.26,0
16,2017-01-13,14.67,14.67,14.67,14.67,2100
17,2017-01-16,14.67,14.67,14.67,14.67,0
18,2017-01-17,14.67,14.67,14.67,14.67,0
19,2017-01-18,14.67,14.67,14.67,14.67,0
20,2017-01-19,14.67,14.67,14.67,14.67,0
21,2017-01-20,14.67,14.67,14.67,14.67,0
22,2017-01-23,14.67,14.67,14.67,14.67,0
23,2017-01-24,14.67,14.67,14.67,14.67,0
24,2017-01-25,14.67,14.67,14.67,14.67,0
25,2017-02-02,14.67,14.67,14.67,14.67,0
26,2017-02-03,14.52,14.52,14.52,14.52,2200
27,2017-02-06,14.37,14.37,14.37,14.37,2200
28,2017-02-07,14.37,14.37,14.37,14.37,0
29,2017-02-08,14.22,14.22,14.22,14.22,2200
30,2017-02-09,14.22,14.22,14.22,14.22,0
31,2017-02-10,14.22,14.22,14.22,14.22,0
32,2017-02-13,14.22,14.22,14.22,14.22,0
33,2017-02-14,14.22,14.22,14.22,14.22,0
34,2017-02-15,14.22,14.22,14.22,14.22,0
35,2017-02-16,14.22,14.22,14.22,14.22,0
36,2017-02-17,14.22,14.22,14.22,14.22,0
37,2017-02-20,14.22,14.22,14.22,14.22,0
38,2017-02-21,14.22,14.22,14.22,14.22,0
39,2017-02-22,14.22,14.22,14.22,14.22,0
40,2017-02-23,14.22,14.22,14.22,14.22,0
41,2017-02-24,14.22,14.22,14.22,14.22,0
42,2017-02-27,14.22,14.22,14.22,14.22,0
43,2017-02-28,14.06,14.06,14.06,14.06,200
44,2017-03-01,14.06,14.06,14.06,14.06,0
45,2017-03-02,14.06,14.06,14.06,14.06,0
46,2017-03-03,14.06,14.06,14.06,14.06,0
