,time,open,high,low,close,volume
0,2017-01-03,7.97,7.97,7.97,7.97,26500
1,2017-01-04,9.14,9.14,9.14,9.14,11410
2,2017-01-05,10.43,10.43,7.89,7.89,17470
3,2017-01-06,9.1,9.14,8.64,8.64,10100
4,2017-01-09,7.59,7.59,7.59,7.59,3000
5,2017-01-10,6.47,7.09,6.47,7.09,9200
6,2017-01-11,6.47,6.51,6.09,6.09,7700
7,2017-01-12,6.3,6.47,6.3,6.47,9700
8,2017-01-13,6.47,6.47,6.47,6.47,100
9,2017-01-16,5.97,5.97,5.88,5.88,6400
10,2017-01-17,5.97,5.97,5.97,5.97,10000
11,2017-01-18,5.97,5.97,5.97,5.97,0
12,2017-01-19,5.97,5.97,5.97,5.97,0
13,2017-01-20,5.97,5.97,5.97,5.97,0
14,2017-01-23,5.84,5.84,5.68,5.68,5100
15,2017-01-24,5.68,5.68,5.68,5.68,10
16,2017-01-25,5.84,5.84,5.84,5.84,900
17,2017-02-02,5.68,5.84,5.68,5.84,600
18,2017-02-03,5.76,5.84,5.76,5.84,1977
19,2017-02-06,5.84,5.84,5.84,5.84,2000
20,2017-02-07,5.84,5.84,5.84,5.84,4
21,2017-02-08,5.84,5.84,5.84,5.84,0
22,2017-02-09,5.93,6.05,5.93,6.05,2100
23,2017-02-10,5.93,5.93,5.88,5.88,2400
24,2017-02-13,6.26,6.26,6.26,6.26,300
25,2017-02-14,6.26,6.26,6.26,6.26,0
26,2017-02-15,6.26,6.26,6.26,6.26,1500
27,2017-02-16,6.01,6.01,5.97,6.01,4510
28,2017-02-17,6.05,6.05,6.01,6.01,2500
29,2017-02-20,6.09,6.09,6.09,6.09,5200
30,2017-02-21,6.05,6.26,6.05,6.09,5240
31,2017-02-22,6.09,6.09,6.09,6.09,200
32,2017-02-23,6.68,6.84,6.09,6.68,2360
33,2017-02-24,6.09,6.09,6.09,6.09,100
34,2017-02-27,6.13,6.13,6.13,6.13,3400
35,2017-02-28,6.13,6.26,6.13,6.26,3833
36,2017-03-01,6.26,6.26,6.26,6.26,200
37,2017-03-02,6.26,6.26,6.26,6.26,0
38,2017-03-03,6.26,6.26,6.26,6.26,0
39,2017-03-06,6.18,6.18,6.18,6.18,100
40,2017-03-07,5.88,6.68,5.88,6.55,5454
41,2017-03-08,5.88,6.43,5.88,6.43,260
42,2017-03-09,6.43,6.43,6.43,6.43,0
43,2017-03-10,6.43,6.43,6.43,6.43,0
44,2017-03-13,6.43,6.43,6.43,6.43,0
45,2017-03-14,6.43,6.43,6.43,6.43,240
46,2017-03-15,6.22,6.22,6.22,6.22,100
47,2017-03-16,5.34,5.34,5.34,5.34,114
48,2017-03-17,6.13,6.13,6.13,6.13,120
49,2017-03-20,7.05,7.05,5.3,5.3,205
50,2017-03-21,5.68,5.68,5.68,5.68,100
51,2017-03-22,5.51,6.51,5.51,5.88,1200
52,2017-03-23,5.42,5.93,5.42,5.93,200
53,2017-03-24,5.47,6.47,5.47,6.47,600
54,2017-03-27,5.42,5.42,5.42,5.42,110
55,2017-03-28,6.22,6.22,6.22,6.22,100
56,2017-03-29,6.68,6.68,6.68,6.68,1000
57,2017-03-30,6.3,6.47,6.3,6.47,4000
58,2017-03-31,7.39,7.39,7.39,7.39,186
59,2017-04-03,7.47,7.47,7.34,7.34,200
60,2017-04-04,7.43,7.43,7.43,7.43,0
61,2017-04-05,7.34,7.34,7.34,7.34,34
62,2017-04-07,6.68,6.68,6.68,6.68,1800
63,2017-04-10,6.68,6.68,6.68,6.68,0
64,2017-04-11,6.68,7.09,6.68,7.09,12256
65,2017-04-12,7.01,7.01,7.01,7.01,0
66,2017-04-13,6.76,6.76,6.76,6.76,100
67,2017-04-14,6.3,6.3,6.3,6.3,100
68,2017-04-17,5.42,5.42,5.42,5.42,100
69,2017-04-18,5.42,5.42,5.42,5.42,0
70,2017-04-19,5.42,5.42,5.42,5.42,0
71,2017-04-20,5.42,5.42,5.42,5.42,0
72,2017-04-21,6.41,6.41,6.41,6.41,20
73,2017-04-24,6.21,6.21,6.21,6.21,100
74,2017-04-25,7.1,7.1,7.1,7.1,100
75,2017-04-26,6.21,6.21,6.21,6.21,100
76,2017-04-27,7.1,7.1,7.1,7.1,100
77,2017-04-28,6.21,6.21,6.21,6.21,100
78,2017-05-03,7.1,7.1,5.38,7.1,1200
79,2017-05-04,5.97,7.74,5.97,6.07,1600
80,2017-05-05,7.5,7.5,7.5,7.5,0
81,2017-05-08,6.46,6.95,6.46,6.95,300
82,2017-05-09,5.92,5.92,5.92,5.92,100
83,2017-05-10,6.81,6.81,6.81,6.81,400
84,2017-05-11,6.81,6.81,6.81,6.81,0
85,2017-05-12,6.02,6.02,6.02,6.02,100
86,2017-05-15,6.9,6.9,6.9,6.9,100
87,2017-05-16,5.97,7.4,5.97,7.4,2010
88,2017-05-17,6.46,7.35,6.46,6.61,3300
89,2017-05-18,6.46,6.46,6.46,6.46,100
90,2017-05-19,5.57,7.35,5.57,7.15,700
91,2017-05-22,6.21,6.71,6.21,6.71,200
92,2017-05-23,6.46,6.46,6.46,6.46,0
93,2017-05-24,6.26,7.35,6.26,7.35,3900
94,2017-05-25,6.02,7.2,6.02,7.15,3900
95,2017-05-26,7.15,7.15,7.15,7.15,0
96,2017-05-29,7.15,7.15,7.15,7.15,0
97,2017-05-30,6.76,6.76,6.76,6.76,100
98,2017-05-31,6.76,6.76,6.76,6.76,0
99,2017-06-01,5.82,7.69,5.82,7.69,220
100,2017-06-02,6.76,6.76,6.76,6.76,0
101,2017-06-05,6.16,7.55,6.16,7.55,200
102,2017-06-06,6.85,6.85,6.85,6.85,0
103,2017-06-07,6.85,6.85,6.85,6.85,0
104,2017-06-08,7.35,7.35,7.35,7.35,100
105,2017-06-09,7.35,7.35,7.35,7.35,0
106,2017-06-12,7.15,7.15,7.15,7.15,2000
107,2017-06-13,7.15,7.15,7.15,7.15,0
108,2017-06-14,7.15,7.15,7.15,7.15,3500
