,time,open,high,low,close,volume
0,2020-10-15,10.0,10.0,10.0,10.0,0
1,2020-10-16,10.0,10.0,10.0,10.0,0
2,2020-10-19,10.0,10.0,10.0,10.0,0
3,2020-10-20,10.0,10.0,10.0,10.0,0
4,2020-10-21,10.0,10.0,10.0,10.0,0
5,2020-10-22,10.0,10.0,10.0,10.0,0
6,2020-10-23,10.0,10.0,10.0,10.0,0
7,2020-10-26,10.0,10.0,10.0,10.0,0
8,2020-10-27,10.0,10.0,10.0,10.0,0
9,2020-10-28,10.0,10.0,10.0,10.0,0
10,2020-10-29,10.0,10.0,10.0,10.0,0
11,2020-10-30,10.0,10.0,10.0,10.0,0
12,2020-11-02,10.0,10.0,10.0,10.0,0
13,2020-11-03,10.0,10.0,10.0,10.0,0
14,2020-11-04,10.0,10.0,10.0,10.0,0
15,2020-11-05,10.0,10.0,10.0,10.0,0
16,2020-11-06,10.0,10.0,10.0,10.0,0
17,2020-11-09,10.0,10.0,10.0,10.0,0
18,2020-11-10,10.0,10.0,10.0,10.0,0
19,2020-11-11,10.0,10.0,10.0,10.0,0
20,2020-11-12,10.0,10.0,10.0,10.0,0
21,2020-11-13,10.0,10.0,10.0,10.0,0
22,2020-11-16,10.0,10.0,10.0,10.0,0
23,2020-11-17,10.0,10.0,10.0,10.0,0
24,2020-11-18,10.0,10.0,10.0,10.0,0
25,2020-11-19,10.0,10.0,10.0,10.0,0
26,2020-11-20,10.0,10.0,10.0,10.0,0
27,2020-11-23,10.0,10.0,10.0,10.0,0
28,2020-11-24,10.0,10.0,10.0,10.0,0
29,2020-11-25,10.0,10.0,10.0,10.0,0
30,2020-11-26,10.0,10.0,10.0,10.0,0
31,2020-11-27,10.0,10.0,10.0,10.0,0
32,2020-11-30,10.0,10.0,10.0,10.0,0
33,2020-12-01,10.0,10.0,10.0,10.0,0
34,2020-12-02,10.0,10.0,10.0,10.0,0
35,2020-12-03,10.0,10.0,10.0,10.0,0
36,2020-12-04,10.0,10.0,10.0,10.0,0
37,2020-12-07,10.0,10.0,10.0,10.0,0
38,2020-12-08,10.0,10.0,10.0,10.0,0
39,2020-12-09,10.0,10.0,10.0,10.0,0
40,2020-12-10,10.0,10.0,10.0,10.0,0
41,2020-12-11,10.0,10.0,10.0,10.0,0
42,2020-12-14,10.0,10.0,10.0,10.0,0
43,2020-12-15,10.0,10.0,10.0,10.0,0
44,2020-12-16,10.0,10.0,10.0,10.0,0
45,2020-12-17,10.0,10.0,10.0,10.0,0
