,time,open,high,low,close,volume
0,2015-04-08,7.67,7.67,7.32,7.32,70100
1,2015-04-09,6.62,6.62,6.62,6.62,44300
2,2015-04-10,6.62,7.11,6.62,6.97,271100
3,2015-04-13,6.97,6.97,6.41,6.83,69000
4,2015-04-14,6.76,6.76,6.34,6.34,289900
5,2015-04-15,6.27,6.27,5.85,5.85,119300
6,2015-04-16,5.85,6.13,5.78,6.13,147200
7,2015-04-17,6.34,6.34,6.13,6.34,111100
8,2015-04-20,6.13,6.34,6.06,6.27,379000
9,2015-04-21,6.06,6.2,5.99,6.06,67000
10,2015-04-22,6.2,6.2,5.85,5.85,70400
11,2015-04-23,5.85,5.85,5.3,5.58,93800
12,2015-04-24,5.58,5.71,5.44,5.44,31100
13,2015-04-27,5.71,5.71,5.71,5.71,400
14,2015-05-04,5.37,5.64,5.16,5.16,101500
15,2015-05-05,4.88,5.16,4.67,5.09,42600
16,2015-05-06,5.09,5.09,4.6,4.6,46300
17,2015-05-07,4.6,4.95,4.25,4.39,175200
18,2015-05-08,4.25,4.81,4.18,4.81,148500
19,2015-05-11,5.09,5.23,4.88,5.02,80100
20,2015-05-12,5.37,5.44,4.74,5.02,53600
21,2015-05-13,5.02,5.23,4.67,4.67,42100
22,2015-05-14,4.95,4.95,4.67,4.88,29000
23,2015-05-15,4.81,4.88,4.74,4.88,45600
24,2015-05-18,4.74,4.88,4.53,4.53,39800
25,2015-05-19,4.18,4.88,4.18,4.88,36200
26,2015-05-20,4.88,5.16,4.88,5.16,216400
27,2015-05-21,4.95,5.09,4.95,5.09,12100
28,2015-05-22,4.88,5.16,4.88,5.16,22000
29,2015-05-25,5.02,5.09,4.88,5.09,22600
30,2015-05-26,5.02,5.09,5.02,5.02,1700
31,2015-05-27,4.88,5.09,4.53,4.95,39200
32,2015-05-28,4.81,5.02,4.81,4.95,18300
33,2015-05-29,5.09,5.37,5.02,5.37,81700
34,2015-06-01,5.37,5.85,5.37,5.85,194300
35,2015-06-02,6.13,6.2,5.78,5.85,42400
36,2015-06-03,5.85,6.06,5.78,5.78,58000
37,2015-06-04,5.99,6.06,5.78,6.06,54300
38,2015-06-05,5.78,6.06,5.78,5.78,19700
39,2015-06-08,5.85,6.34,5.78,6.34,455500
40,2015-06-09,6.97,6.97,6.41,6.62,62700
41,2015-06-10,6.69,6.69,6.41,6.62,18400
42,2015-06-11,6.62,6.62,6.27,6.41,14500
43,2015-06-12,6.41,6.97,6.27,6.62,93400
44,2015-06-15,6.62,7.18,6.55,6.76,28500
45,2015-06-16,6.76,6.76,6.62,6.62,9200
46,2015-06-17,6.9,6.9,6.41,6.55,5100
47,2015-06-18,6.83,6.83,6.27,6.41,6600
48,2015-06-19,6.34,6.34,5.85,6.13,47700
49,2015-06-22,5.71,5.92,5.71,5.92,39100
50,2015-06-23,6.13,6.13,5.58,5.85,13900
51,2015-06-24,5.92,5.92,5.58,5.71,15500
52,2015-06-25,5.71,5.78,5.37,5.44,13400
53,2015-06-26,5.51,5.51,5.51,5.51,9100
54,2015-06-29,5.51,5.51,5.23,5.3,24300
55,2015-06-30,5.23,5.78,5.23,5.71,101300
56,2015-07-01,5.99,6.06,5.58,5.78,5200
57,2015-07-02,5.51,5.64,5.44,5.64,4200
58,2015-07-03,5.71,5.92,5.51,5.92,35400
59,2015-07-06,5.85,5.99,5.58,5.71,104700
60,2015-07-07,5.71,5.85,5.23,5.23,109800
61,2015-07-08,5.44,5.44,5.23,5.23,191300
62,2015-07-09,5.23,5.58,5.16,5.23,26800
63,2015-07-10,5.44,5.44,5.16,5.23,3600
64,2015-07-13,5.23,5.23,5.16,5.23,5800
65,2015-07-14,5.09,5.3,5.09,5.3,29500
66,2015-07-15,5.23,5.23,5.02,5.23,9500
67,2015-07-16,5.23,5.58,5.16,5.58,35600
68,2015-07-17,5.37,5.58,5.37,5.58,64900
69,2015-07-20,5.37,5.58,5.37,5.37,35500
70,2015-07-21,5.3,5.37,5.16,5.37,5100
71,2015-07-22,5.37,5.51,5.16,5.37,11100
72,2015-07-23,5.3,5.37,4.88,5.37,63700
73,2015-07-24,4.95,5.37,4.95,5.37,25800
74,2015-07-27,4.95,5.51,4.88,5.3,141900
75,2015-07-28,5.3,5.3,5.3,5.3,0
76,2015-07-29,5.09,5.16,4.95,4.95,7800
77,2015-07-30,4.95,5.16,4.95,5.16,38100
78,2015-07-31,5.16,5.3,5.16,5.16,19000
79,2015-08-03,4.88,5.09,4.67,5.09,44800
80,2015-08-04,5.09,5.23,4.88,5.09,44700
81,2015-08-05,4.88,5.09,4.88,5.02,59000
82,2015-08-06,4.74,5.09,4.74,5.02,42200
83,2015-08-07,5.09,5.23,5.09,5.23,2100
84,2015-08-10,5.09,5.23,4.95,5.23,11400
85,2015-08-11,5.23,5.23,5.23,5.23,0
86,2015-08-12,4.74,4.95,4.74,4.95,15600
87,2015-08-13,4.95,4.95,4.95,4.95,0
88,2015-08-14,4.67,5.02,4.67,5.02,800
89,2015-08-17,4.67,4.67,4.67,4.67,3400
90,2015-08-18,4.81,4.81,4.81,4.81,14100
91,2015-08-19,4.39,4.81,4.39,4.6,15100
92,2015-08-20,4.74,4.74,4.74,4.74,900
93,2015-08-21,4.74,4.74,4.74,4.74,0
94,2015-08-24,4.53,5.16,4.53,5.16,496500
95,2015-08-25,5.64,5.64,5.37,5.37,900
96,2015-08-26,5.16,5.16,5.16,5.16,100
97,2015-08-27,5.23,5.64,5.23,5.64,133400
98,2015-08-28,5.58,5.58,5.09,5.44,1100
99,2015-08-31,4.95,4.95,4.95,4.95,300
100,2015-09-01,4.95,5.44,4.95,5.09,165100
101,2015-09-03,4.95,5.23,4.88,5.23,12800
102,2015-09-04,5.23,5.23,5.23,5.23,0
103,2015-09-07,5.23,5.23,5.23,5.23,12400
104,2015-09-08,5.09,5.3,4.95,5.3,4500
105,2015-09-09,5.58,5.58,5.58,5.58,100
106,2015-09-10,5.16,5.37,5.16,5.37,1000
107,2015-09-11,5.37,5.37,4.95,5.37,1700
108,2015-09-14,5.37,5.37,5.37,5.37,0
109,2015-09-15,5.37,5.37,5.37,5.37,0
110,2015-09-16,5.23,5.37,5.23,5.37,600
111,2015-09-17,5.37,5.85,5.37,5.78,624000
112,2015-09-18,6.27,6.27,5.37,5.44,9100
113,2015-09-21,5.44,5.78,5.44,5.78,1100
114,2015-09-22,5.78,5.99,5.78,5.92,15000
115,2015-09-23,6.2,6.48,6.2,6.48,109300
116,2015-09-24,6.97,7.11,6.97,7.11,358200
117,2015-09-25,7.67,7.81,7.67,7.81,1109900
118,2015-09-28,8.36,8.5,7.04,8.29,324800
119,2015-09-29,7.6,8.36,7.6,8.36,200200
120,2015-09-30,8.29,8.57,8.22,8.57,70000
121,2015-10-01,8.57,8.71,7.74,8.43,119000
122,2015-10-02,8.29,8.29,7.6,7.6,260100
123,2015-10-05,7.6,8.22,7.6,7.67,177300
124,2015-10-06,7.74,8.08,7.74,8.08,184100
125,2015-10-07,8.29,8.29,8.08,8.15,313600
126,2015-10-08,8.64,8.64,8.08,8.22,237400
127,2015-10-09,8.29,8.36,8.29,8.36,224600
128,2015-10-12,8.36,8.71,8.36,8.64,231200
129,2015-10-13,8.64,8.71,8.64,8.71,220100
130,2015-10-14,8.71,8.78,8.71,8.78,255200
131,2015-10-15,8.78,8.78,8.78,8.78,118900
132,2015-10-16,8.85,9.06,8.78,8.92,193100
133,2015-10-19,8.92,8.99,8.5,8.5,205800
134,2015-10-20,8.5,9.34,8.5,9.27,233700
135,2015-10-21,8.71,8.78,8.71,8.78,296500
136,2015-10-22,8.78,9.48,8.29,9.48,170300
137,2015-10-23,9.48,10.04,8.85,10.04,245200
138,2015-10-26,10.17,11.01,9.06,9.06,1818900
139,2015-10-27,8.15,9.97,8.15,9.97,898500
140,2015-10-28,10.87,10.94,10.04,10.94,173400
141,2015-10-29,10.59,11.99,10.59,11.99,195600
142,2015-10-30,12.89,13.17,10.8,10.8,978800
143,2015-11-02,11.15,11.71,9.9,9.9,363500
144,2015-11-03,9.9,10.45,9.06,9.06,307700
145,2015-11-04,8.57,9.76,8.15,9.76,1094000
146,2015-11-05,10.11,10.66,9.41,10.59,284400
147,2015-11-06,10.59,11.43,10.11,10.45,243500
148,2015-11-09,10.45,11.29,10.24,11.29,282500
149,2015-11-10,11.29,12.2,10.87,12.2,252000
150,2015-11-11,12.2,13.24,11.92,13.17,757800
151,2015-11-12,13.17,14.29,12.82,14.29,629700
152,2015-11-13,14.36,15.68,12.89,13.1,1326600
153,2015-11-16,13.1,13.59,11.85,11.85,629600
154,2015-11-17,11.15,11.85,11.01,11.29,721200
155,2015-11-18,11.15,11.64,10.45,10.52,670600
156,2015-11-19,10.38,11.08,10.17,10.59,717200
157,2015-11-20,10.59,10.94,9.69,9.83,677300
158,2015-11-23,9.83,10.17,9.48,9.9,671000
159,2015-11-24,9.9,10.24,9.13,9.41,763600
160,2015-11-25,10.11,10.11,9.27,9.27,490600
161,2015-11-26,9.27,9.76,8.92,9.06,519700
162,2015-11-27,9.06,9.13,8.71,9.13,537300
163,2015-11-30,9.13,9.48,8.92,9.2,566300
164,2015-12-01,9.2,9.34,8.71,9.27,530400
165,2015-12-02,9.27,9.48,8.99,9.2,430300
166,2015-12-03,9.2,9.48,8.99,9.41,240100
167,2015-12-04,9.41,9.55,9.2,9.27,487200
168,2015-12-07,9.27,9.83,9.06,9.83,410000
169,2015-12-08,9.83,10.17,9.62,9.9,218600
170,2015-12-09,9.9,10.17,9.76,9.83,236100
171,2015-12-10,9.83,9.97,9.69,9.83,209400
172,2015-12-11,9.97,10.11,9.55,9.83,251300
173,2015-12-14,9.83,9.9,9.69,9.9,201900
174,2015-12-15,9.9,10.11,9.76,9.9,204100
175,2015-12-16,9.9,10.24,9.76,9.97,520300
176,2015-12-17,9.97,10.17,8.99,9.9,613000
177,2015-12-18,9.9,10.17,9.76,9.83,293100
178,2015-12-21,9.97,9.97,9.76,9.83,219600
179,2015-12-22,9.83,10.04,9.83,9.83,274500
180,2015-12-23,9.83,10.04,9.76,9.9,211000
181,2015-12-24,9.9,9.97,9.62,9.9,220400
182,2015-12-25,9.9,9.97,9.83,9.83,236000
183,2015-12-28,9.83,9.97,9.76,9.83,239000
184,2015-12-29,9.83,9.9,9.69,9.9,205100
185,2015-12-30,9.9,10.17,9.83,9.97,200000
186,2015-12-31,9.97,10.17,9.97,10.04,217500
187,2016-01-04,10.04,10.04,9.69,9.97,214200
188,2016-01-05,9.97,10.04,9.62,9.97,609200
189,2016-01-06,9.97,10.11,9.62,9.9,209200
190,2016-01-07,9.9,10.66,9.76,10.59,1520800
191,2016-01-08,10.59,11.64,10.38,11.64,2545300
192,2016-01-11,11.64,11.99,10.73,10.8,1503200
193,2016-01-12,10.59,10.59,10.11,10.38,528200
194,2016-01-13,10.11,10.45,9.9,10.45,459700
195,2016-01-14,10.45,10.45,10.11,10.38,269900
196,2016-01-15,10.38,10.66,10.17,10.17,158600
197,2016-01-18,10.17,10.31,10.04,10.11,166200
198,2016-01-19,10.11,10.45,9.83,10.45,502200
199,2016-01-20,10.73,10.73,10.17,10.38,219800
200,2016-01-21,10.24,10.52,10.11,10.31,227900
201,2016-01-22,10.38,10.59,10.11,10.24,260900
202,2016-01-25,10.31,10.66,10.11,10.52,248900
203,2016-01-26,10.38,10.52,10.17,10.38,223400
204,2016-01-27,10.38,10.52,10.24,10.38,237800
205,2016-01-28,10.38,10.52,10.24,10.24,360600
206,2016-01-29,10.24,10.31,9.97,10.31,246600
207,2016-02-01,10.31,10.52,10.11,10.45,409700
208,2016-02-02,10.45,10.66,10.38,10.45,155800
209,2016-02-03,10.45,10.59,10.31,10.45,171300
210,2016-02-04,10.45,10.52,10.24,10.52,173300
211,2016-02-05,10.52,10.59,10.24,10.52,171200
212,2016-02-15,10.52,10.8,10.24,10.45,338700
213,2016-02-16,10.45,10.59,10.17,10.45,163200
214,2016-02-17,10.45,10.66,10.31,10.38,172700
215,2016-02-18,10.38,10.8,10.24,10.73,436100
216,2016-02-19,10.73,11.01,10.52,10.8,486600
217,2016-02-22,10.8,11.01,10.59,10.66,417500
218,2016-02-23,10.66,10.8,10.45,10.59,194500
219,2016-02-24,10.59,10.66,10.38,10.66,247800
220,2016-02-25,10.11,10.73,10.04,10.66,339900
221,2016-02-26,10.8,11.5,10.45,11.5,1267300
222,2016-02-29,11.5,12.4,11.22,12.13,1483900
223,2016-03-01,12.13,12.4,11.92,12.27,753600
224,2016-03-02,12.2,12.4,11.43,11.85,1264600
225,2016-03-03,11.99,11.99,11.71,11.85,539600
226,2016-03-04,11.85,12.54,11.64,12.27,1208000
227,2016-03-07,12.27,13.17,12.06,12.89,1401700
228,2016-03-08,12.89,12.89,12.47,12.54,569800
229,2016-03-09,12.54,12.54,12.27,12.47,359900
230,2016-03-10,12.47,13.17,12.34,13.17,1103500
231,2016-03-11,13.17,13.31,13.03,13.31,590900
232,2016-03-14,13.24,13.31,12.96,13.1,302900
233,2016-03-15,13.17,13.17,12.89,13.1,188200
234,2016-03-16,14.4,14.4,14.4,14.4,100500
235,2016-03-17,15.8,15.8,15.4,15.8,664300
236,2016-03-18,17.3,17.3,17.2,17.3,1094200
237,2016-03-21,18.0,18.5,17.9,18.5,509600
238,2016-03-22,18.6,19.1,18.4,19.1,1290200
239,2016-03-23,19.1,19.3,18.9,19.1,240500
240,2016-03-24,19.1,19.2,18.9,19.0,202800
241,2016-03-25,18.8,19.1,18.8,19.0,307500
242,2016-03-28,18.9,19.0,18.8,18.8,123300
243,2016-03-29,18.8,18.8,18.5,18.6,216900
244,2016-03-30,18.6,18.7,18.5,18.6,301100
245,2016-03-31,18.6,18.7,18.4,18.7,409200
246,2016-04-01,18.7,18.8,18.6,18.7,235400
247,2016-04-04,18.7,18.9,18.7,18.8,354800
248,2016-04-05,18.8,20.0,18.7,20.0,1289124
249,2016-04-06,20.0,21.6,19.7,21.6,1613100
250,2016-04-07,21.6,21.9,21.3,21.6,625000
251,2016-04-08,21.6,21.6,19.5,19.8,1104900
252,2016-04-11,19.6,20.3,19.6,20.1,501500
253,2016-04-12,20.1,20.6,19.8,20.5,711524
254,2016-04-13,20.5,21.0,20.1,21.0,629300
255,2016-04-14,21.0,21.3,20.7,21.0,373400
256,2016-04-15,21.0,22.0,20.5,22.0,1564130
257,2016-04-19,21.8,22.0,21.7,21.7,357500
258,2016-04-20,21.6,22.0,21.5,21.8,419700
