,time,open,high,low,close,volume
0,2013-03-26,1.6,1.6,1.56,1.6,80000
1,2013-03-27,1.76,1.76,1.76,1.76,7500
2,2013-03-28,1.93,1.93,1.93,1.93,18000
3,2013-03-29,2.07,2.11,1.78,1.94,100200
4,2013-04-01,1.82,1.99,1.81,1.99,23500
5,2013-04-02,1.85,1.88,1.84,1.84,11900
6,2013-04-03,1.82,1.82,1.67,1.69,37800
7,2013-04-04,1.74,1.74,1.66,1.67,15800
8,2013-04-05,1.65,1.67,1.56,1.58,32700
9,2013-04-08,1.56,1.56,1.45,1.5,40600
10,2013-04-09,1.51,1.66,1.51,1.66,21000
11,2013-04-10,1.67,1.67,1.6,1.65,26900
12,2013-04-11,1.56,1.62,1.52,1.61,6300
13,2013-04-12,1.56,1.6,1.52,1.6,23000
14,2013-04-15,1.47,1.48,1.45,1.47,7700
15,2013-04-16,1.48,1.52,1.48,1.52,13000
16,2013-04-17,1.52,1.58,1.5,1.55,13600
17,2013-04-18,1.57,1.57,1.5,1.5,7400
18,2013-04-22,1.52,1.56,1.52,1.55,8400
19,2013-04-23,1.56,1.58,1.55,1.57,16900
20,2013-04-24,1.56,1.58,1.55,1.57,6300
21,2013-04-25,1.57,1.62,1.56,1.59,26600
22,2013-04-26,1.59,1.67,1.58,1.67,45300
23,2013-05-02,1.67,1.76,1.67,1.76,54800
24,2013-05-03,1.78,1.9,1.78,1.83,23200
25,2013-05-06,1.84,1.84,1.71,1.72,129700
26,2013-05-07,1.71,1.73,1.62,1.66,137300
27,2013-05-08,1.69,1.79,1.65,1.77,28300
28,2013-05-09,1.78,1.78,1.68,1.69,44800
29,2013-05-10,1.74,1.82,1.69,1.8,121600
30,2013-05-13,1.78,1.88,1.78,1.83,96000
31,2013-05-14,1.87,2.02,1.87,2.02,145600
32,2013-05-15,1.94,2.17,1.94,2.15,83900
33,2013-05-16,2.17,2.27,2.07,2.19,93200
34,2013-05-17,2.11,2.17,2.06,2.07,117800
35,2013-05-20,2.07,2.14,2.07,2.13,33700
36,2013-05-21,2.18,2.18,2.03,2.04,95400
37,2013-05-22,2.05,2.16,2.05,2.07,51700
38,2013-05-23,2.09,2.09,2.04,2.07,41400
39,2013-05-24,2.07,2.07,1.98,2.06,70500
40,2013-05-27,2.04,2.17,2.04,2.13,67800
41,2013-05-28,2.17,2.18,2.13,2.18,81900
42,2013-05-29,2.19,2.2,2.14,2.17,53300
43,2013-05-30,2.15,2.19,2.13,2.17,71700
44,2013-05-31,2.19,2.37,2.19,2.33,110100
45,2013-06-03,2.3,2.33,2.27,2.3,22500
46,2013-06-04,2.3,2.3,2.15,2.2,57000
47,2013-06-05,2.22,2.26,2.18,2.2,72000
48,2013-06-06,2.22,2.25,2.18,2.22,26900
49,2013-06-07,2.37,2.4,2.25,2.32,70800
50,2013-06-10,2.37,2.39,2.31,2.33,111500
51,2013-06-11,2.33,2.35,2.29,2.3,72100
52,2013-06-12,2.3,2.3,2.27,2.29,39400
53,2013-06-13,2.31,2.31,2.27,2.3,49900
54,2013-06-14,2.29,2.33,2.28,2.29,48700
55,2013-06-17,2.29,2.31,2.21,2.21,53900
56,2013-06-18,2.24,2.24,2.2,2.22,30600
57,2013-06-19,2.31,2.31,2.23,2.24,12300
58,2013-06-20,2.22,2.22,2.13,2.2,26500
59,2013-06-21,2.13,2.13,2.09,2.17,4600
60,2013-06-24,2.11,2.11,2.06,2.06,19000
61,2013-06-25,2.1,2.1,1.92,1.98,36600
62,2013-06-26,1.96,1.96,1.92,1.96,7100
63,2013-06-27,1.99,2.06,1.98,2.04,11200
64,2013-06-28,2.08,2.08,2.01,2.02,8500
65,2013-07-01,2.0,2.06,1.89,2.02,53400
66,2013-07-02,1.97,2.01,1.97,1.99,8300
67,2013-07-03,2.06,2.06,1.99,1.99,3800
68,2013-07-04,1.99,2.01,1.99,2.01,2200
69,2013-07-05,2.01,2.01,1.96,1.96,8700
70,2013-07-08,2.01,2.01,1.92,1.96,24500
71,2013-07-09,1.98,1.99,1.94,1.96,23500
72,2013-07-10,1.94,1.97,1.94,1.96,11400
73,2013-07-11,1.95,1.98,1.95,1.96,5800
74,2013-07-12,1.97,2.06,1.97,2.03,22400
75,2013-07-15,2.06,2.06,2.03,2.06,17800
76,2013-07-16,2.08,2.17,2.03,2.17,34800
77,2013-07-17,2.15,2.15,2.13,2.15,3900
78,2013-07-18,2.08,2.1,2.06,2.09,16600
79,2013-07-19,2.06,2.08,2.06,2.08,3500
80,2013-07-22,2.11,2.11,2.07,2.07,9500
81,2013-07-23,2.06,2.06,1.99,2.04,17200
82,2013-07-24,2.01,2.03,1.99,1.99,20400
