,time,open,high,low,close,volume
0,2006-12-21,6.92,6.92,6.92,6.92,3000
1,2006-12-22,6.92,6.92,6.57,6.57,28000
2,2006-12-25,6.57,6.57,6.24,6.24,250
3,2006-12-26,5.93,5.93,5.93,5.93,57520
4,2006-12-27,5.64,5.64,5.64,5.64,45350
5,2006-12-28,5.64,5.91,5.64,5.91,25050
6,2006-12-29,6.05,6.05,5.64,5.88,6200
7,2007-01-02,5.88,5.88,5.58,5.88,6500
8,2007-01-03,5.88,5.88,5.58,5.79,11710
9,2007-01-04,5.79,5.79,5.79,5.79,5120
10,2007-01-05,5.71,5.86,5.71,5.86,1900
11,2007-01-08,5.86,5.86,5.79,5.84,5700
12,2007-01-09,5.84,5.84,5.84,5.84,2000
13,2007-01-10,5.84,5.84,5.6,5.6,13800
14,2007-01-11,5.6,5.6,5.6,5.6,39900
15,2007-01-12,5.32,5.53,5.32,5.53,15800
16,2007-01-15,5.53,5.53,5.27,5.27,14570
17,2007-01-16,5.27,5.27,5.1,5.19,15110
18,2007-01-17,5.19,5.19,5.19,5.19,7400
19,2007-01-18,5.36,5.36,5.19,5.19,17020
20,2007-01-19,5.19,5.36,5.19,5.36,13600
21,2007-01-22,5.62,5.62,5.36,5.45,9960
22,2007-01-23,5.45,5.62,5.45,5.45,11900
23,2007-01-24,5.45,5.45,5.19,5.27,10510
24,2007-01-25,5.53,5.53,5.36,5.36,8110
25,2007-01-26,5.27,5.27,5.19,5.19,700
26,2007-01-29,5.19,5.19,5.19,5.19,6070
27,2007-01-30,5.19,5.27,5.19,5.27,12330
28,2007-01-31,5.27,5.27,5.19,5.19,19980
29,2007-02-01,5.45,5.45,5.27,5.45,24060
30,2007-02-02,5.6,5.6,5.6,5.6,20750
31,2007-02-05,5.88,5.88,5.88,5.88,10860
32,2007-02-06,6.17,6.17,6.17,6.17,18740
33,2007-02-07,6.47,6.47,6.47,6.47,29570
34,2007-02-08,6.4,6.4,6.15,6.15,13130
35,2007-02-09,5.86,5.86,5.86,5.86,4190
36,2007-02-12,5.58,5.58,5.58,5.58,32610
37,2007-02-13,5.58,5.86,5.58,5.86,5100
38,2007-02-14,6.14,6.14,6.14,6.14,22160
