,time,open,high,low,close,volume
0,2016-10-05,6.7,9.0,6.43,6.43,78800
1,2016-10-06,6.43,6.59,5.68,5.68,19700
2,2016-10-07,6.43,6.75,5.2,5.25,500
3,2016-10-10,5.25,5.25,5.15,5.15,16200
4,2016-10-11,4.45,4.45,4.45,4.45,5100
5,2016-10-12,5.09,5.09,5.09,5.09,2900
6,2016-10-13,5.84,5.84,5.79,5.79,9940
7,2016-10-14,5.9,5.9,5.9,5.9,108
8,2016-10-17,5.63,5.63,5.04,5.04,22400
9,2016-10-18,5.47,5.79,5.47,5.79,7640
10,2016-10-19,5.36,6.43,5.09,6.43,30200
11,2016-10-20,5.36,6.59,5.36,6.59,13000
12,2016-10-21,5.63,6.75,5.63,6.75,10100
13,2016-10-24,6.97,6.97,6.38,6.38,3000
14,2016-10-25,6.43,6.86,6.43,6.43,3000
15,2016-10-26,6.65,6.81,5.73,6.16,4700
16,2016-10-27,6.43,6.97,5.95,6.49,42900
17,2016-10-28,6.49,6.49,6.49,6.49,0
18,2016-10-31,6.38,7.24,6.27,7.24,42608
19,2016-11-01,6.16,6.32,6.16,6.32,6800
20,2016-11-02,6.43,6.43,5.9,5.9,1800
21,2016-11-03,5.9,5.9,5.9,5.9,2000
22,2016-11-04,5.9,5.9,5.36,5.63,5400
23,2016-11-07,5.52,5.63,5.52,5.63,3900
24,2016-11-08,5.57,5.57,5.36,5.36,2200
25,2016-11-09,4.66,4.66,4.66,4.66,100
26,2016-11-10,5.36,5.36,5.15,5.15,1200
27,2016-11-11,4.56,5.63,4.56,5.63,200
28,2016-11-14,5.63,5.63,5.63,5.63,0
29,2016-11-15,5.2,5.2,5.2,5.2,100
30,2016-11-16,5.68,5.68,5.68,5.68,100
31,2016-11-17,5.73,5.73,5.73,5.73,2100
32,2016-11-18,5.73,5.73,5.73,5.73,0
33,2016-11-21,5.63,5.63,5.63,5.63,500
34,2016-11-22,5.36,5.36,5.36,5.36,1200
35,2016-11-23,5.36,5.36,5.36,5.36,6400
36,2016-11-24,5.36,5.36,5.36,5.36,0
37,2016-11-25,5.36,5.36,5.09,5.09,2200
38,2016-11-28,5.95,5.95,5.36,5.36,4700
39,2016-11-29,6.43,6.43,4.88,5.15,8000
40,2016-11-30,5.63,6.7,5.63,6.7,43700
41,2016-12-01,5.47,6.22,5.47,5.79,6100
42,2016-12-02,5.79,5.9,5.79,5.9,3500
43,2016-12-05,5.73,5.73,5.73,5.73,300
44,2016-12-06,5.73,5.73,5.73,5.73,1000
45,2016-12-07,5.79,5.79,5.79,5.79,900
46,2016-12-08,5.31,5.36,5.09,5.36,30300
47,2016-12-09,5.36,5.36,5.36,5.36,300
48,2016-12-12,5.36,5.36,5.36,5.36,0
49,2016-12-13,5.36,5.36,4.93,4.93,2800
50,2016-12-14,5.68,5.68,5.36,5.36,5700
51,2016-12-15,5.36,5.36,5.36,5.36,0
52,2016-12-16,5.36,5.36,5.15,5.36,3200
53,2016-12-19,5.36,5.36,5.36,5.36,0
54,2016-12-20,5.36,5.36,5.36,5.36,0
55,2016-12-21,5.63,5.63,5.63,5.63,100
56,2016-12-22,5.63,5.63,5.63,5.63,0
57,2016-12-23,5.63,5.63,5.63,5.63,0
58,2016-12-26,6.06,6.16,6.06,6.16,5000
59,2016-12-27,6.16,6.16,6.16,6.16,0
60,2016-12-28,6.16,6.16,6.16,6.16,0
61,2016-12-29,5.78,6.71,5.73,5.73,26600
62,2016-12-30,5.35,6.27,5.35,6.27,26700
63,2017-01-03,5.45,5.45,5.45,5.45,5000
64,2017-01-04,5.73,5.73,5.73,5.73,100
65,2017-01-05,5.73,5.73,5.73,5.73,0
66,2017-01-06,5.73,5.73,5.73,5.73,0
67,2017-01-09,5.73,5.73,5.73,5.73,0
68,2017-01-10,5.18,5.18,5.18,5.18,1100
69,2017-01-11,5.18,5.18,5.18,5.18,0
70,2017-01-12,5.18,5.18,5.18,5.18,0
71,2017-01-13,5.18,5.18,5.18,5.18,0
72,2017-01-16,5.18,5.18,5.18,5.18,100
73,2017-01-17,5.18,5.18,5.18,5.18,0
74,2017-01-18,5.18,5.18,5.18,5.18,0
75,2017-01-19,5.18,5.18,5.18,5.18,0
76,2017-01-20,5.18,5.18,5.18,5.18,0
77,2017-01-23,5.45,5.45,4.91,5.18,16015
78,2017-01-24,5.18,5.18,5.18,5.18,4500
79,2017-01-25,5.89,5.89,5.89,5.89,100
80,2017-02-02,5.89,5.89,5.89,5.89,0
81,2017-02-03,5.89,5.89,5.89,5.89,0
