,time,open,high,low,close,volume
0,2015-07-20,33.6,33.6,33.5,33.5,440870
1,2015-07-21,34.5,34.5,32.0,33.0,398480
2,2015-07-22,33.0,33.1,31.9,33.1,527560
3,2015-07-23,32.8,33.5,32.7,33.2,526500
4,2015-07-24,33.1,33.3,32.4,33.2,432500
5,2015-07-27,32.0,33.2,32.0,32.8,493270
6,2015-07-28,32.0,32.5,31.9,32.1,468920
7,2015-07-29,31.3,32.1,31.3,31.5,409000
8,2015-07-30,31.5,31.5,31.1,31.2,468360
9,2015-07-31,31.2,31.7,30.7,31.2,502040
10,2015-08-03,30.4,30.5,29.9,30.1,376060
11,2015-08-04,29.4,29.8,28.8,29.4,625130
12,2015-08-05,29.0,29.2,28.9,29.2,184520
13,2015-08-06,29.3,29.6,29.0,29.6,238060
14,2015-08-07,29.3,29.5,29.0,29.1,230200
15,2015-08-10,29.0,29.1,28.6,28.7,179920
16,2015-08-11,28.5,28.8,27.8,27.8,175940
17,2015-08-12,28.0,28.1,27.8,28.1,187300
18,2015-08-13,28.3,28.3,27.9,28.3,188100
19,2015-08-14,28.5,28.5,28.0,28.0,177850
20,2015-08-17,27.7,28.2,27.7,27.9,142780
21,2015-08-18,27.9,28.0,27.5,27.6,156920
22,2015-08-19,27.5,27.5,25.7,25.7,103280
23,2015-08-20,26.2,26.3,25.5,26.1,162710
24,2015-08-21,26.3,26.3,25.0,25.8,255500
25,2015-08-24,25.5,25.6,24.0,25.0,328390
26,2015-08-25,25.0,25.5,24.0,25.5,220390
27,2015-08-26,25.2,27.0,25.2,27.0,269500
28,2015-08-27,26.8,27.9,26.8,27.9,248970
29,2015-08-28,27.9,28.0,27.5,27.8,259420
30,2015-08-31,27.5,28.3,27.3,27.7,172980
31,2015-09-01,27.5,27.7,27.4,27.6,190670
32,2015-09-03,27.5,28.0,27.5,27.6,187190
33,2015-09-04,27.5,27.8,27.5,27.6,202660
34,2015-09-07,27.4,28.0,27.4,28.0,197040
35,2015-09-08,27.9,28.1,27.8,28.1,202550
36,2015-09-09,28.0,28.4,28.0,28.4,197100
37,2015-09-10,28.2,29.0,28.2,28.5,186700
38,2015-09-11,28.3,28.8,28.1,28.1,198610
39,2015-09-14,27.3,28.1,27.3,28.0,206040
40,2015-09-15,27.7,29.9,27.7,29.9,272490
41,2015-09-16,30.8,30.8,29.3,29.3,216990
42,2015-09-17,29.0,29.5,28.8,28.8,215450
43,2015-09-18,28.6,29.0,28.6,28.6,205800
44,2015-09-21,28.3,29.0,28.3,28.7,217210
45,2015-09-22,28.4,28.9,28.3,28.3,225620
46,2015-09-23,28.0,28.3,28.0,28.0,211520
47,2015-09-24,27.7,28.3,27.7,27.9,223420
48,2015-09-25,27.7,28.3,27.7,28.3,221240
49,2015-09-28,28.1,28.5,28.1,28.4,214210
50,2015-09-29,28.2,28.5,28.1,28.4,217460
51,2015-09-30,27.6,28.5,27.6,28.4,213850
52,2015-10-01,28.2,28.6,28.2,28.6,203260
53,2015-10-02,28.3,28.8,28.3,28.8,153320
54,2015-10-05,28.5,28.8,28.5,28.7,190660
55,2015-10-06,28.7,29.1,28.5,29.0,307350
56,2015-10-07,29.0,29.1,28.7,28.7,245620
57,2015-10-08,28.6,28.8,28.5,28.5,183690
58,2015-10-09,28.5,28.8,28.5,28.8,261820
59,2015-10-12,28.6,28.9,28.5,28.6,220190
60,2015-10-13,28.6,28.7,28.3,28.3,211900
61,2015-10-14,28.3,28.5,28.2,28.2,215710
62,2015-10-15,28.2,28.4,28.1,28.2,223790
63,2015-10-16,28.2,28.5,26.7,28.3,205350
64,2015-10-19,28.2,28.5,28.2,28.3,206780
65,2015-10-20,28.3,28.5,28.1,28.1,209690
66,2015-10-21,28.1,28.2,28.0,28.0,212100
67,2015-10-22,27.8,28.4,27.8,28.1,205090
68,2015-10-23,28.0,28.2,28.0,28.1,199580
69,2015-10-26,28.1,28.3,28.0,28.1,202030
70,2015-10-27,28.2,28.4,28.1,28.4,174500
71,2015-10-28,28.4,28.5,28.1,28.1,192910
72,2015-10-29,28.1,28.3,28.1,28.2,198760
73,2015-10-30,28.2,30.1,28.1,30.1,218730
74,2015-11-02,29.9,31.1,29.7,31.1,255790
75,2015-11-03,31.0,31.7,30.6,31.3,218110
76,2015-11-04,31.2,31.5,31.0,31.3,200820
77,2015-11-05,31.1,31.5,31.1,31.3,207850
78,2015-11-06,31.3,31.7,30.9,31.0,313400
79,2015-11-09,31.0,31.5,30.9,30.9,266500
80,2015-11-10,30.9,31.2,30.5,30.5,271820
81,2015-11-11,30.3,30.8,30.3,30.6,302500
82,2015-11-12,30.6,30.8,30.3,30.4,252600
83,2015-11-13,30.3,30.8,30.3,30.6,300590
84,2015-11-16,30.6,30.9,30.4,30.5,334360
85,2015-11-17,30.5,31.0,30.5,30.7,401620
86,2015-11-18,30.7,31.0,30.5,30.5,404680
87,2015-11-19,30.5,30.8,30.2,30.5,395830
88,2015-11-20,30.5,30.8,30.3,30.6,344240
89,2015-11-23,30.6,30.8,30.6,30.7,251250
90,2015-11-24,30.7,30.8,30.6,30.6,332000
91,2015-11-25,30.5,31.8,30.5,31.8,747500
92,2015-11-26,31.8,31.9,31.4,31.8,739340
93,2015-11-27,31.4,32.1,31.3,31.3,692030
94,2015-11-30,31.1,31.3,30.9,31.1,1387670
95,2015-12-01,30.8,31.4,30.8,31.0,475530
96,2015-12-02,31.0,31.1,30.4,30.7,316340
97,2015-12-03,30.7,30.9,30.3,30.5,454100
98,2015-12-04,30.5,30.6,29.9,29.9,267890
99,2015-12-07,29.9,30.2,29.0,29.1,274400
100,2015-12-08,29.0,29.0,28.0,28.3,245500
101,2015-12-09,28.3,28.6,28.2,28.4,247990
102,2015-12-10,28.4,28.9,28.4,28.5,253690
103,2015-12-11,28.4,28.7,28.2,28.4,249050
104,2015-12-14,28.5,28.9,28.3,28.5,255830
105,2015-12-15,28.4,28.9,28.4,28.6,253140
106,2015-12-16,28.6,28.9,28.3,28.5,284870
107,2015-12-17,28.5,28.9,28.3,28.6,253090
108,2015-12-18,28.6,28.7,28.3,28.5,304200
109,2015-12-21,28.5,29.0,28.5,28.5,254800
110,2015-12-22,28.5,29.0,28.5,28.6,257090
111,2015-12-23,28.6,29.1,28.5,28.6,261910
112,2015-12-24,28.6,29.0,28.5,28.7,259680
113,2015-12-25,28.7,29.0,28.5,28.8,302740
114,2015-12-28,28.8,29.4,28.7,28.8,289070
115,2015-12-29,28.8,29.3,28.7,28.8,321830
116,2015-12-30,28.8,29.2,28.7,28.8,298500
117,2015-12-31,28.8,29.2,28.8,28.8,404840
118,2016-01-04,28.9,29.4,28.9,29.0,253920
119,2016-01-05,28.9,29.2,28.9,29.0,283940
120,2016-01-06,28.9,29.0,28.5,28.7,292470
121,2016-01-07,28.7,29.2,28.5,28.7,404110
122,2016-01-08,28.7,28.9,28.3,28.6,403580
123,2016-01-11,28.6,29.2,28.6,28.8,300750
124,2016-01-12,28.7,28.7,27.5,27.9,253240
125,2016-01-13,27.7,27.7,27.0,27.0,194350
126,2016-01-14,26.9,26.9,25.2,25.2,179280
127,2016-01-15,25.2,25.4,23.5,24.0,178350
128,2016-01-18,23.5,24.0,22.4,24.0,147110
129,2016-01-19,23.7,23.7,22.5,23.1,86480
130,2016-01-20,22.8,23.2,22.4,23.0,109810
131,2016-01-21,22.5,22.5,21.4,22.5,129000
132,2016-01-22,21.5,21.9,21.0,21.9,32650
133,2016-01-25,20.4,20.4,20.4,20.4,4100
134,2016-01-26,19.0,19.0,19.0,19.0,2350
135,2016-01-27,17.7,17.7,17.7,17.7,6380
136,2016-01-28,16.5,16.5,16.5,16.5,5630
137,2016-01-29,15.4,15.4,15.4,15.4,64500
138,2016-02-01,14.4,14.4,14.4,14.4,11750
139,2016-02-02,13.4,13.4,13.4,13.4,47890
140,2016-02-03,12.5,12.5,12.5,12.5,8430
141,2016-02-04,11.7,11.7,11.7,11.7,250950
142,2016-02-05,10.9,10.9,10.9,10.9,143530
143,2016-02-15,10.2,10.2,10.2,10.2,49090
144,2016-02-16,9.5,9.5,9.5,9.5,110110
145,2016-02-17,8.9,8.9,8.9,8.9,55470
146,2016-02-18,8.3,8.3,8.3,8.3,70020
147,2016-02-19,7.8,8.8,7.8,8.8,41740780
148,2016-02-22,9.4,9.4,9.3,9.4,3243810
149,2016-02-23,10.0,10.0,9.9,10.0,3860400
150,2016-02-24,9.3,9.7,9.3,9.3,18805640
151,2016-02-25,9.4,9.5,8.7,8.8,9997540
152,2016-02-26,8.8,9.0,8.4,8.6,3723360
153,2016-02-29,8.4,8.5,8.0,8.0,7066940
154,2016-03-01,7.9,8.4,7.9,8.1,7692220
155,2016-03-02,8.3,8.3,8.0,8.0,3043880
156,2016-03-03,8.0,8.0,7.5,7.5,9700900
157,2016-03-04,7.4,8.0,7.3,7.7,8871920
158,2016-03-07,8.0,8.2,8.0,8.2,5885620
159,2016-03-08,8.2,8.4,7.9,8.0,5231970
160,2016-03-09,8.0,8.1,7.9,8.0,3826340
161,2016-03-10,8.1,8.5,8.1,8.5,7918420
162,2016-03-11,8.5,9.0,8.4,8.8,12317230
163,2016-03-14,8.7,8.9,8.5,8.9,4362150
164,2016-03-15,8.5,9.4,8.4,9.4,13449700
165,2016-03-16,9.2,10.0,9.2,9.8,8172290
166,2016-03-17,9.9,10.2,9.6,9.8,5615880
167,2016-03-18,9.8,10.0,9.7,10.0,10240850
168,2016-03-21,9.9,10.1,9.3,9.3,4516960
169,2016-03-22,9.1,9.2,8.7,8.8,4705500
170,2016-03-23,8.8,9.4,8.6,9.4,3039680
171,2016-03-24,9.3,9.5,8.9,9.0,2313180
172,2016-03-25,8.9,9.0,8.7,8.9,1776620
173,2016-03-28,8.9,8.9,8.5,8.6,1942610
174,2016-03-29,8.6,8.8,8.4,8.4,3444910
175,2016-03-30,8.4,8.5,8.2,8.4,2131960
176,2016-03-31,8.4,8.4,7.9,8.0,4126150
177,2016-04-01,8.0,8.0,7.7,7.8,3061510
178,2016-04-04,7.9,7.9,7.5,7.7,2193030
179,2016-04-05,7.7,7.9,7.6,7.9,1335910
180,2016-04-06,7.9,8.0,7.8,7.8,1035700
181,2016-04-07,7.9,7.9,7.5,7.7,2535140
182,2016-04-08,7.6,7.8,7.6,7.7,723240
183,2016-04-11,7.7,7.8,7.4,7.4,1958910
184,2016-04-12,7.1,7.1,6.9,6.9,4440480
185,2016-04-13,6.5,6.8,6.5,6.6,3886730
186,2016-04-14,6.7,7.0,6.7,7.0,915560
187,2016-04-15,7.2,7.3,6.9,7.0,1422060
188,2016-04-19,6.8,6.9,6.7,6.8,1419830
189,2016-04-20,6.8,6.9,6.7,6.8,735350
190,2016-04-21,6.8,6.9,6.7,6.8,620220
191,2016-04-22,6.9,7.0,6.8,6.9,1190950
192,2016-04-25,7.2,7.3,7.2,7.3,810750
193,2016-04-26,7.8,7.8,7.7,7.8,2168750
194,2016-04-27,8.2,8.3,7.9,8.2,4127030
195,2016-04-28,8.1,8.3,8.0,8.2,3061040
196,2016-04-29,8.1,8.6,8.1,8.5,3071920
197,2016-05-04,8.3,8.4,8.0,8.0,3168270
198,2016-05-05,7.7,7.9,7.6,7.7,3346800
199,2016-05-06,7.7,7.9,7.6,7.8,1729550
200,2016-05-09,7.8,7.8,7.4,7.5,1907640
201,2016-05-10,7.2,7.5,7.1,7.5,1202200
202,2016-05-11,7.5,7.7,7.4,7.7,654140
203,2016-05-12,7.7,7.8,7.5,7.5,742550
204,2016-05-13,7.5,7.5,7.3,7.3,1210850
205,2016-05-16,7.4,7.5,7.3,7.3,591720
206,2016-05-17,7.8,7.8,7.8,7.8,220600
207,2016-05-18,8.3,8.3,8.3,8.3,225800
208,2016-05-19,8.8,8.8,8.3,8.4,6423120
209,2016-05-20,8.5,8.5,8.1,8.1,1858480
210,2016-05-23,8.2,8.4,8.1,8.2,750250
211,2016-05-24,8.2,8.4,8.0,8.1,1464390
212,2016-05-25,8.2,8.3,8.0,8.2,442940
213,2016-05-26,8.2,8.2,7.8,7.8,1949040
214,2016-05-27,7.9,8.3,7.9,8.2,2481150
215,2016-05-30,8.2,8.4,8.2,8.4,1603890
216,2016-05-31,8.4,8.4,8.1,8.1,2298300
217,2016-06-01,8.1,8.3,8.0,8.3,1627700
218,2016-06-02,8.3,8.8,8.2,8.6,3378670
219,2016-06-03,8.6,8.7,8.5,8.6,1560750
220,2016-06-06,8.5,9.0,8.5,8.7,4242800
221,2016-06-07,8.8,8.8,8.5,8.5,1808070
222,2016-06-08,8.6,8.9,8.6,8.9,2191040
223,2016-06-09,8.9,9.0,8.7,8.9,1181670
224,2016-06-10,8.8,9.0,8.8,8.9,1744570
225,2016-06-13,8.7,8.8,8.4,8.5,2816890
226,2016-06-14,8.4,8.6,8.3,8.6,1003930
227,2016-06-15,8.6,8.6,8.4,8.6,809150
228,2016-06-16,8.6,8.8,8.6,8.6,1480020
229,2016-06-17,8.6,8.6,8.4,8.5,1097560
230,2016-06-20,8.6,8.6,8.3,8.5,742240
231,2016-06-21,8.5,8.5,8.1,8.2,1766280
232,2016-06-22,8.2,8.3,8.1,8.1,721250
233,2016-06-23,8.1,8.6,8.1,8.4,1656910
234,2016-06-24,8.4,8.5,7.9,8.2,4565510
235,2016-06-27,8.1,8.1,7.9,8.1,700090
236,2016-06-28,8.0,8.1,7.8,8.0,1096020
237,2016-06-29,8.1,8.3,8.0,8.0,1670760
238,2016-06-30,8.2,8.3,8.0,8.1,1945660
239,2016-07-01,8.1,8.2,8.0,8.1,554230
