,time,open,high,low,close,volume
0,2010-04-29,8.93,16.75,8.37,16.75,23700
1,2010-05-04,11.39,11.39,9.94,10.19,83900
2,2010-05-05,9.77,10.05,9.77,10.05,115500
3,2010-05-06,10.69,10.69,10.69,10.69,93400
4,2010-05-07,11.42,11.42,11.31,11.42,114200
5,2010-05-10,12.2,12.2,12.2,12.2,181500
6,2010-05-11,13.04,13.04,13.04,13.04,415900
7,2010-05-12,13.93,13.93,12.98,13.26,102900
8,2010-05-13,12.59,12.84,12.53,12.53,99600
9,2010-05-14,11.67,13.4,11.67,11.67,89800
10,2010-05-17,10.86,12.45,10.86,10.86,194700
11,2010-05-18,10.36,10.36,10.33,10.33,40600
12,2010-05-19,9.63,10.33,9.63,9.69,309200
13,2010-05-20,9.27,10.58,9.24,10.02,82300
14,2010-05-21,8.9,8.9,8.9,8.9,9100
15,2010-05-24,8.4,9.52,8.29,9.52,89900
16,2010-05-25,9.94,9.94,9.8,9.94,46200
17,2010-05-26,10.61,10.61,10.33,10.61,137800
18,2010-05-27,11.11,11.11,9.91,10.66,70300
19,2010-05-28,10.61,11.25,10.47,11.25,312600
20,2010-05-31,11.17,11.17,10.38,10.66,21500
21,2010-06-01,10.64,10.64,9.91,9.91,188400
22,2010-06-02,9.63,10.61,9.63,10.13,205500
23,2010-06-03,11.0,11.0,10.05,10.33,99200
24,2010-06-04,10.58,10.75,10.19,10.3,115000
25,2010-06-07,10.19,10.19,9.74,9.74,55700
26,2010-06-08,9.16,10.5,9.16,10.5,289800
27,2010-06-09,10.83,10.83,10.75,10.83,629600
28,2010-06-10,11.31,11.31,10.58,10.83,201500
29,2010-06-11,11.03,11.17,10.47,10.61,151800
30,2010-06-14,10.61,10.89,10.47,10.66,127800
31,2010-06-15,10.61,11.47,10.47,11.03,625500
32,2010-06-16,11.42,11.67,10.97,11.25,361300
33,2010-06-17,11.33,11.45,10.61,10.69,118700
34,2010-06-18,10.94,11.03,10.8,10.8,104800
35,2010-06-21,10.94,11.03,10.75,10.89,194600
36,2010-06-22,10.94,11.28,10.75,10.89,267900
37,2010-06-23,10.89,10.97,10.69,10.89,131900
