,time,open,high,low,close,volume
0,2015-06-11,3.81,0.0,0.0,0.0,0
1,2015-06-12,3.81,0.0,0.0,0.0,0
2,2015-06-15,3.81,0.0,0.0,0.0,0
3,2015-06-16,3.81,0.0,0.0,0.0,0
4,2015-06-17,3.81,0.0,0.0,0.0,0
5,2015-06-18,3.81,0.0,0.0,0.0,0
6,2015-06-19,3.81,0.0,0.0,0.0,0
7,2015-06-22,3.81,0.0,0.0,0.0,0
8,2015-06-23,4.71,5.26,4.71,5.26,2000
9,2015-06-24,5.26,5.26,5.26,5.26,0
10,2015-06-25,5.26,5.26,5.26,5.26,0
11,2015-06-26,5.08,5.08,5.08,5.08,19000
12,2015-06-29,4.61,4.61,4.61,4.61,4900
13,2015-06-30,4.61,4.61,4.61,4.61,0
14,2015-07-01,4.06,4.06,4.06,4.06,3500
15,2015-07-02,4.06,4.06,4.06,4.06,0
16,2015-07-03,4.64,4.64,4.64,4.64,100
17,2015-07-06,4.17,4.17,4.17,4.17,3000
18,2015-07-07,4.39,4.39,4.39,4.39,100
19,2015-07-08,4.32,4.39,4.32,4.39,11500
20,2015-07-09,4.53,4.53,4.53,4.53,100
21,2015-07-10,4.24,4.24,4.24,4.24,100
22,2015-07-13,4.53,4.53,4.39,4.39,3500
23,2015-07-14,4.42,4.42,4.42,4.42,2500
24,2015-07-15,4.35,4.35,3.77,3.81,22800
25,2015-07-16,4.17,4.39,4.17,4.39,2300
26,2015-07-17,3.77,3.77,3.77,3.77,1500
27,2015-07-20,4.17,4.32,3.92,4.32,2404200
28,2015-07-21,4.5,4.5,4.5,4.5,6300
29,2015-07-22,4.17,4.79,4.17,4.71,45100
30,2015-07-23,4.28,4.71,4.17,4.71,65400
31,2015-07-24,4.71,4.71,4.71,4.71,0
32,2015-07-27,4.71,4.71,4.71,4.71,0
33,2015-07-28,4.71,4.93,4.71,4.71,5300
34,2015-07-29,4.57,4.71,4.57,4.71,7000
35,2015-07-30,4.93,4.93,4.93,4.93,1500
36,2015-07-31,4.71,4.71,4.21,4.35,45100
37,2015-08-03,4.39,4.68,4.39,4.68,15100
38,2015-08-04,4.71,4.71,4.71,4.71,1000
39,2015-08-05,4.9,4.9,4.9,4.9,3000
40,2015-08-06,4.57,4.57,4.57,4.57,5000
41,2015-08-07,4.35,4.35,4.35,4.35,10000
42,2015-08-10,4.46,4.9,4.46,4.9,11000
43,2015-08-11,4.42,4.9,4.42,4.9,9200
44,2015-08-12,4.79,4.9,4.79,4.9,4700
45,2015-08-13,4.39,4.39,4.39,4.39,13600
46,2015-08-14,4.35,4.35,4.35,4.35,5000
47,2015-08-17,4.57,4.57,4.57,4.57,5000
48,2015-08-18,4.71,4.9,4.71,4.71,4500
49,2015-08-19,4.9,4.9,4.9,4.9,34100
50,2015-08-20,4.9,4.9,4.9,4.9,0
51,2015-08-21,4.9,4.9,4.9,4.9,0
52,2015-08-24,4.82,5.08,4.39,4.39,34300
53,2015-08-25,4.39,4.39,4.39,4.39,0
54,2015-08-26,4.39,4.39,4.39,4.39,0
55,2015-08-27,4.79,4.79,4.79,4.79,9600
56,2015-08-28,4.79,4.79,4.79,4.79,0
57,2015-08-31,4.13,4.17,4.13,4.17,11000
58,2015-09-01,4.17,4.17,4.17,4.17,0
59,2015-09-03,4.75,4.75,4.75,4.75,1000
60,2015-09-04,4.21,4.9,4.21,4.9,7700
61,2015-09-07,4.28,4.35,4.28,4.35,5700
62,2015-09-08,4.9,4.93,4.9,4.93,7200
63,2015-09-09,5.26,5.26,4.35,5.08,15300
64,2015-09-10,5.08,5.08,5.08,5.08,0
65,2015-09-11,5.08,5.08,5.08,5.08,0
66,2015-09-14,4.53,5.0,4.53,5.0,15400
67,2015-09-15,5.08,5.08,5.08,5.08,4600
68,2015-09-16,5.08,5.11,5.08,5.11,1200
69,2015-09-17,5.11,5.11,5.11,5.11,0
70,2015-09-18,4.57,4.57,4.57,4.57,3000
71,2015-09-21,4.79,4.79,4.71,4.71,2900
72,2015-09-22,4.71,4.71,4.71,4.71,0
73,2015-09-23,4.71,4.71,4.71,4.71,0
74,2015-09-24,4.71,4.71,4.71,4.71,0
75,2015-09-25,4.9,4.9,4.86,4.86,4600
76,2015-09-28,4.86,4.86,4.86,4.86,0
77,2015-09-29,4.86,4.86,4.86,4.86,0
78,2015-09-30,4.86,4.86,4.86,4.86,0
79,2015-10-01,5.44,5.44,5.44,5.44,35000
80,2015-10-02,4.71,4.71,4.71,4.71,2900
81,2015-10-05,5.26,5.26,5.26,5.26,1200
82,2015-10-06,5.15,5.26,5.15,5.26,11800
83,2015-10-07,5.26,5.26,5.26,5.26,0
84,2015-10-08,5.26,5.26,5.26,5.26,900
85,2015-10-09,5.26,5.26,5.26,5.26,0
86,2015-10-12,5.26,5.26,5.26,5.26,0
87,2015-10-13,5.26,5.26,5.26,5.26,0
88,2015-10-14,5.26,5.26,5.26,5.26,0
89,2015-10-15,5.26,5.26,5.26,5.26,0
90,2015-10-16,5.08,5.08,5.08,5.08,1000
91,2015-10-19,5.08,5.08,5.08,5.08,0
92,2015-10-20,5.44,5.44,5.08,5.08,41000
93,2015-10-21,5.08,5.08,5.08,5.08,0
94,2015-10-22,5.08,5.08,5.08,5.08,0
95,2015-10-23,4.9,4.9,4.9,4.9,200
96,2015-10-26,4.9,4.9,4.9,4.9,1000
97,2015-10-27,4.9,4.9,4.9,4.9,0
98,2015-10-28,4.9,4.9,4.9,4.9,0
99,2015-10-29,4.9,4.9,4.9,4.9,2200
100,2015-10-30,4.9,4.9,4.9,4.9,0
101,2015-11-02,4.9,4.9,4.9,4.9,0
102,2015-11-03,4.9,4.9,4.9,4.9,0
103,2015-11-04,4.9,4.9,4.9,4.9,0
104,2015-11-05,4.9,4.9,4.9,4.9,800
105,2015-11-06,4.9,4.9,4.9,4.9,0
106,2015-11-09,4.9,4.9,4.9,4.9,0
107,2015-11-10,4.9,4.9,4.9,4.9,0
108,2015-11-11,4.9,4.9,4.9,4.9,0
109,2015-11-12,4.9,4.9,4.9,4.9,0
110,2015-11-13,4.9,4.9,4.9,4.9,1000
111,2015-11-16,4.9,4.9,4.9,4.9,0
112,2015-11-17,4.71,4.71,4.71,4.71,200
113,2015-11-18,4.71,4.71,4.71,4.71,0
114,2015-11-19,4.71,4.71,4.71,4.71,0
115,2015-11-20,4.71,4.71,4.71,4.71,0
116,2015-11-23,4.71,4.71,4.71,4.71,800
117,2015-11-24,4.71,4.71,4.71,4.71,0
118,2015-11-25,4.71,4.71,4.71,4.71,0
119,2015-11-26,4.71,4.71,4.71,4.71,0
120,2015-11-27,4.71,4.71,4.71,4.71,0
121,2015-11-30,4.71,4.71,4.71,4.71,0
122,2015-12-01,4.71,4.71,4.71,4.71,0
123,2015-12-02,4.71,4.71,4.71,4.71,0
124,2015-12-03,4.71,4.71,4.71,4.71,0
125,2015-12-04,4.71,4.71,4.71,4.71,0
126,2015-12-07,4.71,4.71,4.71,4.71,0
127,2015-12-08,4.71,4.71,4.03,4.03,300
128,2015-12-09,4.03,4.03,4.03,4.03,0
129,2015-12-10,4.03,4.03,4.03,4.03,0
130,2015-12-11,4.53,4.61,4.53,4.61,500
131,2015-12-14,4.61,4.61,4.61,4.61,0
132,2015-12-15,4.61,4.61,4.61,4.61,0
133,2015-12-16,4.61,4.61,4.61,4.61,0
134,2015-12-17,4.61,4.61,4.61,4.61,0
135,2015-12-18,4.61,4.61,4.61,4.61,0
136,2015-12-21,4.61,4.61,4.61,4.61,0
137,2015-12-22,4.9,4.9,4.9,4.9,15000
138,2015-12-23,4.9,4.9,4.9,4.9,0
139,2015-12-24,4.9,4.9,4.9,4.9,0
140,2015-12-25,4.9,4.9,4.9,4.9,0
141,2015-12-28,4.9,4.9,4.9,4.9,0
142,2015-12-29,4.9,4.9,4.9,4.9,0
143,2015-12-30,4.9,4.9,4.9,4.9,0
144,2015-12-31,4.9,4.9,4.9,4.9,0
145,2016-01-04,4.9,4.9,4.9,4.9,0
146,2016-01-05,4.9,4.9,4.9,4.9,0
147,2016-01-06,4.9,4.9,4.9,4.9,0
148,2016-01-07,4.9,4.9,4.9,4.9,0
149,2016-01-08,4.9,4.9,4.9,4.9,0
150,2016-01-11,4.9,4.9,4.9,4.9,0
151,2016-01-12,4.9,4.9,4.9,4.9,0
152,2016-01-13,4.9,4.9,4.9,4.9,0
153,2016-01-14,4.71,4.71,4.71,4.71,4300
154,2016-01-15,4.71,4.71,4.71,4.71,0
155,2016-01-18,4.71,4.71,4.71,4.71,0
156,2016-01-19,4.61,4.61,4.61,4.61,200
157,2016-01-20,4.61,4.61,4.61,4.61,200
158,2016-01-21,4.61,4.61,4.61,4.61,0
159,2016-01-22,4.61,4.61,4.61,4.61,0
