,time,open,high,low,close,volume
0,2016-09-15,8.0,13.9,7.0,7.4,81200
1,2016-09-16,7.9,8.8,7.0,8.8,3100
2,2016-09-19,7.0,7.2,7.0,7.1,20300
3,2016-09-20,7.0,7.1,6.7,6.7,12400
4,2016-09-21,6.6,6.6,6.5,6.5,7300
5,2016-09-22,6.1,6.1,6.1,6.1,600
6,2016-09-23,6.0,6.0,6.0,6.0,4700
7,2016-09-26,6.0,6.0,6.0,6.0,2200
8,2016-09-27,6.0,6.0,6.0,6.0,8200
9,2016-09-28,6.2,6.5,6.2,6.5,2000
10,2016-09-29,7.2,7.2,6.4,6.4,10800
11,2016-09-30,6.1,6.1,6.1,6.1,1200
12,2016-10-03,6.5,6.5,6.0,6.1,3200
13,2016-10-04,6.1,6.1,6.1,6.1,2800
14,2016-10-05,6.1,6.1,6.0,6.1,1900
15,2016-10-06,6.1,6.1,6.1,6.1,0
16,2016-10-07,6.1,6.1,6.1,6.1,200
17,2016-10-10,6.1,6.1,6.1,6.1,0
18,2016-10-11,6.1,6.1,6.1,6.1,0
19,2016-10-12,6.1,6.1,6.1,6.1,0
20,2016-10-13,6.1,6.1,6.1,6.1,4200
21,2016-10-14,6.1,6.1,6.1,6.1,2600
22,2016-10-17,6.1,6.1,6.1,6.1,0
23,2016-10-18,6.1,6.1,6.1,6.1,0
24,2016-10-19,7.0,7.0,7.0,7.0,100
25,2016-10-20,8.0,8.0,8.0,8.0,100
26,2016-10-21,7.0,7.0,6.8,6.8,200
27,2016-10-24,7.9,7.9,7.5,7.5,200
28,2016-10-25,6.6,6.6,6.6,6.6,3000
29,2016-10-26,6.1,6.2,6.1,6.2,4600
30,2016-10-27,6.1,6.1,6.1,6.1,600
31,2016-10-28,6.1,6.3,6.1,6.3,14500
32,2016-10-31,6.3,6.3,6.3,6.3,0
33,2016-11-01,6.3,6.3,6.3,6.3,0
34,2016-11-02,6.0,6.0,6.0,6.0,600
35,2016-11-03,6.8,6.8,6.8,6.8,100
36,2016-11-04,7.5,7.5,7.5,7.5,100
37,2016-11-07,6.4,6.4,6.4,6.4,100
38,2016-11-08,5.6,5.6,5.5,5.5,1000
39,2016-11-09,5.5,5.5,5.5,5.5,0
