,time,open,high,low,close,volume
0,2010-12-20,4.27,4.27,4.27,4.27,31730
1,2010-12-21,4.05,4.05,4.05,4.05,910
2,2010-12-22,4.05,4.05,3.86,3.86,5830
3,2010-12-23,3.67,3.67,3.67,3.67,500
4,2010-12-24,3.5,3.63,3.5,3.5,62350
5,2010-12-27,3.33,3.41,3.33,3.41,158210
6,2010-12-28,3.41,3.41,3.26,3.33,45270
7,2010-12-29,3.24,3.28,3.17,3.17,32850
8,2010-12-30,3.04,3.17,3.01,3.01,59120
9,2010-12-31,2.95,3.15,2.95,3.15,70340
10,2011-01-04,3.31,3.31,3.26,3.31,50620
11,2011-01-05,3.44,3.46,3.37,3.46,140940
12,2011-01-06,3.31,3.44,3.31,3.31,48160
13,2011-01-07,3.24,3.24,3.17,3.24,22420
14,2011-01-10,3.35,3.35,3.08,3.08,14820
15,2011-01-11,3.01,3.15,2.95,2.95,51810
16,2011-01-12,2.95,3.06,2.95,2.95,35460
17,2011-01-13,2.95,3.06,2.95,2.97,16920
18,2011-01-14,3.04,3.04,2.97,3.01,14030
19,2011-01-17,3.1,3.1,2.95,2.95,20690
20,2011-01-18,2.95,2.99,2.95,2.95,7370
21,2011-01-19,2.95,2.95,2.88,2.88,14620
22,2011-01-20,2.81,2.92,2.81,2.9,15120
23,2011-01-21,2.97,2.97,2.83,2.92,16610
24,2011-01-24,2.81,2.9,2.79,2.79,12210
25,2011-01-25,2.9,2.9,2.79,2.88,2710
26,2011-01-26,2.95,2.95,2.81,2.9,4540
27,2011-01-27,2.92,2.92,2.77,2.9,22160
28,2011-01-28,2.79,2.95,2.79,2.86,5070
29,2011-02-08,2.99,2.99,2.86,2.86,5820
30,2011-02-09,2.72,2.92,2.72,2.92,54830
31,2011-02-10,2.81,2.92,2.81,2.92,10610
32,2011-02-11,2.83,2.86,2.81,2.86,6430
33,2011-02-14,2.9,2.92,2.83,2.88,12040
34,2011-02-15,2.88,2.97,2.83,2.88,12540
35,2011-02-16,2.86,2.86,2.77,2.86,8950
36,2011-02-17,2.88,2.88,2.77,2.86,60
37,2011-02-18,2.77,2.86,2.77,2.77,5400
38,2011-02-21,2.65,2.77,2.63,2.63,10330
39,2011-02-22,2.52,2.68,2.52,2.52,15130
40,2011-02-23,2.59,2.59,2.59,2.59,350
41,2011-02-24,2.7,2.7,2.56,2.56,1370
42,2011-02-25,2.61,2.68,2.56,2.56,2650
43,2011-02-28,2.65,2.65,2.45,2.45,12870
