,time,open,high,low,close,volume
0,2011-03-18,7.18,7.18,5.33,5.73,134800
1,2011-03-21,5.76,6.0,5.73,6.0,93180
2,2011-03-22,6.23,6.3,6.23,6.3,60400
3,2011-03-23,6.6,6.6,6.6,6.6,55760
4,2011-03-24,6.85,6.85,6.3,6.4,99550
5,2011-03-25,6.4,6.58,6.1,6.1,82090
6,2011-03-28,6.1,6.23,5.98,5.98,21210
7,2011-03-29,6.0,6.0,5.68,5.68,53450
8,2011-03-30,5.41,5.73,5.41,5.48,34990
9,2011-03-31,5.38,5.68,5.38,5.46,26090
10,2011-04-01,5.48,5.61,5.23,5.26,27180
11,2011-04-04,5.01,5.11,5.01,5.01,58520
12,2011-04-05,4.98,4.98,4.76,4.76,39870
13,2011-04-06,4.96,4.96,4.56,4.78,62700
14,2011-04-07,4.93,4.93,4.58,4.61,15820
15,2011-04-08,4.43,4.61,4.43,4.61,3510
16,2011-04-13,4.48,4.63,4.48,4.48,2980
17,2011-04-14,4.38,4.48,4.26,4.26,20290
18,2011-04-15,4.31,4.31,4.06,4.06,20570
19,2011-04-18,3.86,3.91,3.86,3.86,20380
20,2011-04-19,3.74,3.81,3.69,3.69,52260
21,2011-04-20,3.69,3.86,3.56,3.84,17470
22,2011-04-21,3.84,3.84,3.71,3.71,13610
23,2011-04-22,3.64,3.74,3.56,3.56,7980
24,2011-04-25,3.71,3.71,3.61,3.71,13990
25,2011-04-26,3.64,3.71,3.56,3.71,3030
26,2011-04-27,3.71,3.71,3.54,3.66,3300
27,2011-04-28,3.54,3.56,3.49,3.54,9650
28,2011-04-29,3.49,3.59,3.49,3.51,9900
29,2011-05-04,3.66,3.69,3.66,3.69,18200
30,2011-05-05,3.74,3.74,3.64,3.66,7850
31,2011-05-06,3.59,3.76,3.59,3.76,20
32,2011-05-09,3.74,3.74,3.61,3.74,2810
33,2011-05-10,3.74,3.76,3.61,3.61,16370
34,2011-05-11,3.74,3.74,3.51,3.51,8390
35,2011-05-12,3.66,3.66,3.66,3.66,10
36,2011-05-13,3.61,3.61,3.61,3.61,2810
37,2011-05-16,3.59,3.59,3.44,3.49,10140
38,2011-05-17,3.49,3.49,3.31,3.31,10170
39,2011-05-18,3.24,3.39,3.16,3.16,38630
40,2011-05-19,3.29,3.31,3.01,3.31,9290
41,2011-05-20,3.21,3.44,3.21,3.31,9560
42,2011-05-23,3.16,3.16,3.16,3.16,11890
43,2011-05-24,3.04,3.04,3.01,3.01,8330
44,2011-05-25,2.87,2.87,2.87,2.87,4510
45,2011-05-26,2.74,2.96,2.74,2.94,23870
46,2011-05-27,2.94,2.94,2.82,2.94,15980
47,2011-05-30,2.94,2.94,2.82,2.82,12390
48,2011-05-31,2.69,2.82,2.69,2.74,7480
49,2011-06-01,2.74,2.87,2.72,2.87,6970
50,2011-06-02,2.96,2.99,2.96,2.99,19850
51,2011-06-03,3.14,3.14,2.99,3.09,22640
52,2011-06-06,3.06,3.06,3.06,3.06,0
53,2011-06-07,3.24,3.24,3.11,3.11,12620
54,2011-06-08,3.06,3.24,3.01,3.06,6120
55,2011-06-09,3.16,3.21,3.14,3.21,29210
56,2011-06-10,3.34,3.36,3.26,3.31,11740
57,2011-06-13,3.44,3.46,3.36,3.46,9280
58,2011-06-14,3.51,3.61,3.49,3.59,12420
59,2011-06-15,3.49,3.49,3.41,3.41,1560
60,2011-06-16,3.31,3.39,3.26,3.26,22690
61,2011-06-17,3.14,3.26,3.14,3.16,10180
62,2011-06-20,3.06,3.06,3.01,3.01,15160
63,2011-06-21,2.91,3.16,2.91,3.16,2510
64,2011-06-22,3.19,3.19,3.01,3.16,8100
65,2011-06-23,3.21,3.21,3.04,3.04,2630
66,2011-06-24,3.16,3.16,3.16,3.16,5300
67,2011-06-27,3.16,3.16,3.01,3.01,9770
68,2011-06-28,3.11,3.11,2.94,2.94,9330
69,2011-06-29,2.99,2.99,2.99,2.99,500
70,2011-06-30,2.94,2.94,2.94,2.94,2300
71,2011-07-01,2.89,2.89,2.82,2.82,8650
72,2011-07-04,2.94,2.94,2.87,2.89,820
73,2011-07-05,2.99,2.99,2.94,2.94,510
74,2011-07-06,2.99,2.99,2.87,2.87,1580
75,2011-07-07,2.99,2.99,2.99,2.99,170
76,2011-07-08,2.99,2.99,2.87,2.87,3300
77,2011-07-11,2.87,2.87,2.82,2.82,3160
78,2011-07-12,2.74,2.82,2.69,2.82,7070
79,2011-07-13,2.82,2.94,2.82,2.94,1910
80,2011-07-14,2.96,2.96,2.91,2.96,500
81,2011-07-15,2.87,2.87,2.84,2.84,4360
82,2011-07-18,2.89,2.91,2.89,2.91,3000
83,2011-07-19,2.91,2.91,2.79,2.91,1800
84,2011-07-20,2.89,2.91,2.87,2.91,1400
85,2011-07-21,2.89,2.89,2.79,2.89,2100
86,2011-07-22,2.79,2.82,2.77,2.82,2530
87,2011-07-25,2.69,2.69,2.69,2.69,20440
88,2011-07-26,2.69,2.79,2.59,2.79,1070
89,2011-07-27,2.74,2.74,2.74,2.74,2170
90,2011-07-28,2.62,2.79,2.62,2.79,10110
91,2011-07-29,2.67,2.67,2.67,2.67,6130
92,2011-08-01,2.59,2.72,2.54,2.72,23120
93,2011-08-02,2.59,2.59,2.59,2.59,6370
94,2011-08-03,2.69,2.69,2.69,2.69,100
95,2011-08-04,2.59,2.74,2.57,2.74,10320
96,2011-08-05,2.74,2.74,2.74,2.74,0
97,2011-08-08,2.62,2.64,2.62,2.62,3260
98,2011-08-09,2.49,2.67,2.49,2.67,12280
99,2011-08-10,2.57,2.74,2.54,2.74,720
100,2011-08-11,2.72,2.72,2.72,2.72,10
101,2011-08-12,2.67,2.67,2.59,2.59,8190
102,2011-08-15,2.64,2.64,2.62,2.62,160
103,2011-08-16,2.52,2.62,2.52,2.62,5300
104,2011-08-17,2.52,2.64,2.52,2.64,4300
105,2011-08-18,2.74,2.74,2.62,2.62,8970
106,2011-08-19,2.67,2.67,2.52,2.52,2300
107,2011-08-22,2.64,2.64,2.64,2.64,10
108,2011-08-23,2.67,2.67,2.67,2.67,2200
109,2011-08-24,2.67,2.74,2.67,2.74,4730
110,2011-08-25,2.74,2.74,2.74,2.74,0
111,2011-08-26,2.74,2.82,2.72,2.82,890
112,2011-08-29,2.87,2.91,2.84,2.91,1050
113,2011-08-30,2.91,2.99,2.84,2.91,11560
114,2011-08-31,2.82,2.96,2.79,2.82,11560
115,2011-09-01,2.82,2.94,2.82,2.94,17810
116,2011-09-05,2.91,2.99,2.91,2.94,5200
117,2011-09-06,2.99,2.99,2.84,2.96,15200
118,2011-09-07,2.96,3.04,2.96,2.96,8340
119,2011-09-08,3.06,3.06,2.99,3.01,11550
120,2011-09-09,3.04,3.04,3.04,3.04,14360
121,2011-09-12,3.19,3.19,3.06,3.09,8150
122,2011-09-13,3.11,3.24,3.11,3.24,10510
123,2011-09-14,3.24,3.31,3.09,3.09,12640
124,2011-09-15,3.24,3.24,2.94,3.19,7280
125,2011-09-16,3.21,3.21,3.04,3.11,11150
126,2011-09-19,3.11,3.19,3.11,3.19,520
127,2011-09-20,3.14,3.21,3.14,3.21,500
128,2011-09-21,3.19,3.19,3.06,3.16,12410
129,2011-09-22,3.16,3.16,3.01,3.14,2810
130,2011-09-23,3.09,3.09,2.99,3.06,1800
131,2011-09-26,3.06,3.06,2.91,3.06,3990
132,2011-09-27,2.94,2.99,2.94,2.99,880
133,2011-09-28,3.06,3.06,3.01,3.06,3800
