,time,open,high,low,close,volume
0,2009-05-08,1.92,1.99,1.77,1.96,35200
1,2009-05-11,2.02,2.02,1.96,1.96,18600
2,2009-05-12,2.0,2.0,1.88,2.0,7100
3,2009-05-13,1.86,1.92,1.85,1.85,3100
4,2009-05-14,1.74,1.74,1.74,1.74,2500
5,2009-05-15,1.63,1.63,1.63,1.63,6700
6,2009-05-18,1.51,1.51,1.51,1.51,500
7,2009-05-19,1.41,1.41,1.41,1.41,7900
8,2009-05-20,1.32,1.51,1.32,1.51,30400
9,2009-05-21,1.49,1.49,1.49,1.49,1500
10,2009-05-22,1.6,1.6,1.59,1.6,7100
11,2009-05-25,1.71,1.71,1.65,1.71,41700
12,2009-05-26,1.81,1.83,1.77,1.79,40900
13,2009-05-27,1.81,1.88,1.81,1.84,20900
14,2009-05-28,1.75,1.75,1.74,1.74,4500
15,2009-05-29,1.63,1.77,1.63,1.74,2900
16,2009-06-01,1.63,1.75,1.63,1.75,12100
17,2009-06-02,1.85,1.85,1.75,1.77,6200
18,2009-06-03,1.81,1.85,1.68,1.69,6900
19,2009-06-04,1.85,1.85,1.84,1.85,35100
20,2009-06-05,1.97,1.97,1.97,1.97,25600
21,2009-06-08,2.11,2.11,2.08,2.11,48800
22,2009-06-09,2.11,2.25,2.11,2.11,27500
23,2009-06-10,2.07,2.07,2.0,2.0,19400
24,2009-06-11,2.0,2.03,1.98,2.02,30000
25,2009-06-12,2.03,2.03,1.96,1.99,8200
26,2009-06-15,1.85,1.85,1.85,1.85,2300
27,2009-06-16,1.72,1.72,1.72,1.72,5400
28,2009-06-17,1.61,1.72,1.61,1.72,28500
29,2009-06-18,1.72,1.72,1.72,1.72,14800
30,2009-06-19,1.84,1.84,1.72,1.76,4400
31,2009-06-22,1.76,1.76,1.76,1.76,2000
32,2009-06-23,1.64,1.64,1.64,1.64,500
33,2009-06-24,1.76,1.76,1.76,1.76,2700
34,2009-06-25,1.87,1.88,1.63,1.63,1500
35,2009-06-26,1.61,1.63,1.61,1.63,8000
36,2009-06-29,1.57,1.57,1.51,1.51,2000
37,2009-06-30,1.63,1.63,1.49,1.49,1200
38,2009-07-01,1.5,1.5,1.5,1.5,12400
39,2009-07-02,1.4,1.43,1.4,1.4,12000
40,2009-07-03,1.42,1.46,1.42,1.46,3100
41,2009-07-06,1.46,1.54,1.46,1.54,1800
42,2009-07-07,1.54,1.54,1.53,1.53,3100
43,2009-07-08,1.45,1.54,1.45,1.54,900
44,2009-07-09,1.41,1.41,1.41,1.41,100
45,2009-07-10,1.38,1.4,1.38,1.4,2000
46,2009-07-13,1.31,1.4,1.31,1.32,1900
47,2009-07-14,1.45,1.45,1.45,1.45,100
48,2009-07-15,1.45,1.45,1.45,1.45,100
49,2009-07-16,1.5,1.5,1.38,1.38,1100
50,2009-07-17,1.45,1.45,1.45,1.45,100
51,2009-07-20,1.46,1.46,1.46,1.46,1100
