,time,open,high,low,close,volume
0,2006-12-18,22.15,24.44,22.15,23.06,79800
1,2006-12-19,25.35,25.35,24.82,25.35,84500
2,2006-12-20,27.11,27.87,26.73,27.87,35100
3,2006-12-21,30.39,30.39,30.39,30.39,107600
4,2006-12-22,30.39,30.55,29.02,29.78,41500
5,2006-12-25,28.48,29.02,26.8,28.48,67600
6,2006-12-26,29.09,29.09,26.42,28.64,25400
7,2006-12-27,30.16,30.16,29.02,29.32,30100
8,2006-12-28,26.73,29.17,26.35,29.32,74400
9,2006-12-29,29.17,29.4,26.12,27.49,37100
10,2007-01-02,28.33,28.33,25.89,27.49,15300
11,2007-01-03,26.19,26.65,25.73,25.96,26800
12,2007-01-04,26.73,26.73,25.96,26.65,9100
13,2007-01-05,26.96,27.49,25.2,27.41,42800
14,2007-01-08,27.64,27.8,26.04,27.34,37400
15,2007-01-09,25.73,27.26,25.35,26.8,22700
16,2007-01-10,26.73,28.18,23.6,25.89,68700
17,2007-01-11,25.43,25.96,22.15,24.36,78000
18,2007-01-12,23.29,23.29,22.22,22.22,88300
19,2007-01-15,22.76,22.91,21.76,22.76,78500
20,2007-01-16,23.6,24.05,22.15,22.6,101400
21,2007-01-17,21.38,22.22,21.0,21.38,75600
22,2007-01-18,21.38,21.61,19.85,20.85,47900
23,2007-01-19,22.91,23.21,20.62,23.21,57800
24,2007-01-22,23.9,23.9,22.53,23.21,394000
25,2007-01-23,25.89,25.89,24.82,25.89,208400
26,2007-01-24,28.33,28.33,28.33,28.33,276100
27,2007-01-25,31.16,31.16,28.25,29.48,249200
28,2007-01-26,28.64,28.64,27.19,27.19,41100
29,2007-01-29,24.67,24.67,24.67,24.67,53800
30,2007-01-30,25.58,26.73,24.05,26.35,182000
31,2007-01-31,27.11,27.11,26.19,26.35,106400
32,2007-02-01,27.87,28.03,25.43,25.66,87700
33,2007-02-02,27.49,27.49,25.58,25.96,64800
34,2007-02-05,25.2,26.73,24.44,25.12,60600
35,2007-02-06,25.35,25.35,23.75,24.36,69100
36,2007-02-07,25.2,25.2,23.52,23.67,87900
37,2007-02-08,24.51,25.96,23.67,24.36,157300
38,2007-02-09,25.58,25.96,24.13,24.44,130600
39,2007-02-12,25.2,25.58,24.44,24.67,106500
40,2007-02-13,25.2,25.96,24.74,25.2,55500
41,2007-02-14,25.35,26.12,24.82,25.2,141000
42,2007-02-15,25.28,25.96,24.82,25.96,83700
43,2007-02-26,26.73,27.87,25.96,27.87,166900
44,2007-02-27,29.78,29.78,29.4,29.55,357200
45,2007-02-28,32.07,32.07,29.86,30.85,439900
46,2007-03-01,27.87,32.07,27.87,30.77,223000
47,2007-03-02,30.55,32.07,29.02,30.77,290700
