,time,open,high,low,close,volume
0,2020-01-15,17.1,17.1,17.1,17.1,0
1,2020-01-16,12.77,12.77,12.77,12.77,4800
2,2020-01-17,11.88,11.88,11.88,11.88,10440
3,2020-01-20,11.07,11.88,11.07,11.88,23100
4,2020-01-21,11.88,12.69,11.1,12.69,12030
5,2020-01-22,12.58,12.58,11.81,11.81,5560
6,2020-01-30,11.1,11.1,10.99,10.99,17300
7,2020-01-31,10.51,10.73,10.25,10.25,12900
8,2020-02-03,10.29,10.29,9.55,9.55,11140
9,2020-02-04,9.36,9.99,9.03,9.55,28040
10,2020-02-05,9.55,9.55,9.47,9.55,10350
11,2020-02-06,9.55,10.22,9.55,10.22,17690
12,2020-02-07,9.99,10.29,9.99,9.99,16480
13,2020-02-10,10.22,10.22,9.77,9.99,7790
14,2020-02-11,9.99,9.99,9.99,9.99,0
15,2020-02-12,10.07,10.66,9.99,10.1,22750
16,2020-02-13,10.1,10.1,10.07,10.07,13430
17,2020-02-14,10.36,10.36,10.36,10.36,500
18,2020-02-17,10.36,10.36,9.99,10.07,13020
19,2020-02-18,10.03,10.07,9.92,10.07,42070
20,2020-02-19,10.07,10.07,9.96,10.07,7320
21,2020-02-20,9.99,10.29,9.99,10.29,21790
22,2020-02-21,10.36,10.36,10.36,10.36,10
23,2020-02-24,10.36,10.36,9.99,10.29,34170
24,2020-02-25,9.99,10.36,9.99,10.07,36100
25,2020-02-26,10.07,10.36,10.07,10.29,10760
26,2020-02-27,10.29,10.73,10.29,10.73,4160
27,2020-02-28,10.36,10.36,10.36,10.36,3020
28,2020-03-02,10.07,10.29,10.07,10.29,5000
29,2020-03-03,10.36,10.36,10.29,10.29,4600
30,2020-03-04,10.29,10.29,10.07,10.07,29400
31,2020-03-05,10.07,10.07,10.07,10.07,53010
32,2020-03-06,10.14,10.14,9.99,10.07,82280
33,2020-03-09,10.07,10.07,9.55,9.62,4040
34,2020-03-10,10.29,10.29,9.62,9.92,27140
35,2020-03-11,9.92,9.92,9.62,9.85,14130
36,2020-03-12,9.62,9.7,9.18,9.55,27080
37,2020-03-13,9.4,9.55,8.96,9.44,17480
38,2020-03-16,9.92,9.92,9.4,9.4,6630
39,2020-03-17,9.18,9.62,9.18,9.25,5480
40,2020-03-18,8.7,9.33,8.7,9.33,19650
41,2020-03-19,9.03,9.62,9.03,9.25,16730
42,2020-03-20,9.33,9.4,9.25,9.29,6460
43,2020-03-23,9.25,9.25,9.03,9.1,15730
44,2020-03-24,8.88,9.55,8.88,9.55,4010
45,2020-03-25,9.55,9.55,9.4,9.4,1090
46,2020-03-26,9.4,9.4,8.81,8.81,21800
47,2020-03-27,8.81,9.1,8.81,8.96,2140
48,2020-03-30,8.88,9.03,8.81,9.03,6850
49,2020-03-31,9.18,9.25,8.88,8.88,8100
50,2020-04-01,9.18,9.25,9.18,9.25,1700
51,2020-04-03,9.25,9.62,9.25,9.33,6750
52,2020-04-06,9.33,9.77,9.25,9.77,32820
53,2020-04-07,9.47,9.62,9.47,9.55,3210
54,2020-04-08,9.59,9.62,9.47,9.47,2180
55,2020-04-09,9.47,9.62,9.4,9.4,18490
56,2020-04-10,9.62,9.62,9.33,9.33,8960
57,2020-04-13,9.33,9.62,9.33,9.36,12720
58,2020-04-14,9.62,9.62,9.36,9.36,2060
59,2020-04-15,9.55,9.55,9.29,9.55,16720
60,2020-04-16,9.25,9.33,9.25,9.29,15190
61,2020-04-17,9.33,9.55,9.25,9.29,8580
62,2020-04-20,9.29,9.47,9.25,9.47,9230
63,2020-04-21,9.4,9.4,9.1,9.18,3010
64,2020-04-22,9.03,9.4,9.03,9.18,6180
65,2020-04-23,9.18,9.55,8.88,9.44,20110
66,2020-04-24,9.4,9.59,9.25,9.59,5010
67,2020-04-27,9.47,9.85,9.47,9.7,14350
68,2020-04-28,10.07,10.36,9.99,10.36,80140
69,2020-04-29,11.07,11.07,11.07,11.07,33060
70,2020-05-04,11.81,11.81,11.81,11.81,45780
71,2020-05-05,12.62,12.62,11.33,11.33,201620
72,2020-05-06,11.33,11.7,11.33,11.7,22960
73,2020-05-07,11.1,11.99,11.1,11.44,15450
74,2020-05-08,11.1,12.21,11.1,12.21,126050
75,2020-05-11,12.84,12.84,12.29,12.4,89790
76,2020-05-12,11.92,12.51,11.92,12.14,35670
77,2020-05-13,11.99,11.99,11.55,11.62,79060
78,2020-05-14,11.62,12.21,11.4,11.84,44730
79,2020-05-15,11.84,11.84,11.55,11.7,15710
80,2020-05-18,12.44,12.44,11.77,11.99,21480
81,2020-05-19,11.99,11.99,11.7,11.95,15480
82,2020-05-20,11.77,11.84,11.44,11.47,36690
83,2020-05-21,11.4,11.84,11.4,11.84,46000
84,2020-05-22,11.62,11.84,11.47,11.77,29560
85,2020-05-25,11.66,11.77,11.51,11.7,38310
86,2020-05-26,11.77,12.07,11.73,11.99,85610
