,time,open,high,low,close,volume
0,2010-03-04,0.0,0.0,0.0,0.0,0
1,2010-03-05,9.24,9.24,9.24,9.24,100
2,2010-03-08,9.24,9.24,9.24,9.24,0
3,2010-03-09,9.24,9.24,9.24,9.24,0
4,2010-03-10,8.53,8.53,8.53,8.53,100
5,2010-03-11,8.53,8.53,8.53,8.53,0
6,2010-03-12,7.81,7.81,7.81,7.81,100
7,2010-03-15,7.81,7.81,7.81,7.81,0
8,2010-03-16,7.81,7.81,7.81,7.81,0
9,2010-03-17,7.81,7.81,7.81,7.81,0
10,2010-03-18,7.81,7.81,7.81,7.81,0
11,2010-03-19,7.81,7.81,7.81,7.81,0
12,2010-03-22,7.81,7.81,7.81,7.81,0
13,2010-03-23,7.81,7.81,7.81,7.81,0
14,2010-03-24,7.81,7.81,7.81,7.81,0
15,2010-03-26,7.81,7.81,7.81,7.81,0
16,2010-03-29,7.81,7.81,7.81,7.81,0
17,2010-03-30,7.81,0.0,0.0,0.0,0
18,2010-03-31,7.81,7.81,7.81,7.81,0
19,2010-04-01,7.81,7.81,7.81,7.81,0
20,2010-04-02,7.81,7.81,7.81,7.81,0
21,2010-04-05,7.81,7.81,7.81,7.81,0
22,2010-04-06,7.81,7.81,7.81,7.81,0
23,2010-04-07,7.81,7.81,7.81,7.81,0
24,2010-04-08,7.81,7.81,7.81,7.81,0
25,2010-04-09,7.81,7.81,7.81,7.81,0
26,2010-04-12,7.81,7.81,7.81,7.81,0
27,2010-04-13,7.81,7.81,7.81,7.81,0
28,2010-04-14,7.81,0.0,0.0,0.0,0
29,2010-04-15,7.81,7.81,7.81,7.81,0
30,2010-04-16,7.81,7.81,7.81,7.81,0
31,2010-04-19,7.81,7.81,7.81,7.81,0
32,2010-04-20,7.81,7.81,7.81,7.81,0
33,2010-04-21,7.81,7.81,7.81,7.81,0
34,2010-04-22,7.81,7.81,7.81,7.81,0
35,2010-04-26,7.81,7.81,7.81,7.81,0
36,2010-04-27,7.81,7.81,7.81,7.81,0
37,2010-04-28,7.81,7.81,7.81,7.81,0
38,2010-04-29,7.81,7.81,7.81,7.81,0
39,2010-05-04,7.81,7.81,7.81,7.81,0
40,2010-05-05,7.81,7.81,7.81,7.81,0
41,2010-05-06,7.81,7.81,7.81,7.81,0
42,2010-05-07,7.81,7.81,7.81,7.81,0
43,2010-05-10,7.81,7.81,7.81,7.81,0
44,2010-05-11,7.81,7.81,7.81,7.81,0
45,2010-05-12,7.81,7.81,7.81,7.81,0
46,2010-05-13,7.81,7.81,7.81,7.81,0
47,2010-05-14,7.81,7.81,7.81,7.81,0
48,2010-05-17,7.81,7.81,7.81,7.81,0
49,2010-05-18,7.81,0.0,0.0,0.0,0
50,2010-05-19,7.81,7.81,7.81,7.81,0
51,2010-05-20,7.81,7.81,7.81,7.81,0
52,2010-05-21,7.81,7.81,7.81,7.81,0
53,2010-05-25,7.81,7.81,7.81,7.81,0
54,2010-05-26,7.81,7.81,7.81,7.81,0
55,2010-05-27,7.81,7.81,7.81,7.81,0
56,2010-05-28,7.81,7.81,7.81,7.81,0
57,2010-05-31,7.81,7.81,7.81,7.81,0
58,2010-06-01,7.81,7.81,7.81,7.81,0
59,2010-06-02,7.81,7.81,7.81,7.81,0
60,2010-06-03,7.81,7.81,7.81,7.81,0
61,2010-06-07,7.81,7.81,7.81,7.81,0
62,2010-06-08,7.81,7.81,7.81,7.81,0
63,2010-06-10,7.81,7.81,7.81,7.81,0
64,2010-06-14,7.81,7.81,7.81,7.81,0
65,2010-06-15,7.81,7.81,7.81,7.81,0
66,2010-06-16,7.81,0.0,0.0,0.0,0
67,2010-06-17,7.81,7.81,7.81,7.81,0
68,2010-06-18,7.81,7.81,7.81,7.81,0
69,2010-06-21,7.81,7.81,7.81,7.81,0
70,2010-06-22,7.81,7.81,7.81,7.81,0
71,2010-06-24,7.81,7.81,7.81,7.81,0
72,2010-06-25,7.81,7.81,7.81,7.81,0
73,2010-06-28,7.81,7.81,7.81,7.81,0
74,2010-06-29,7.81,7.81,7.81,7.81,0
75,2010-06-30,7.81,7.81,7.81,7.81,0
76,2010-07-01,7.81,7.81,7.81,7.81,0
77,2010-07-02,7.81,7.81,7.81,7.81,0
78,2010-07-05,7.06,7.34,7.06,7.25,17000
79,2010-07-06,6.58,7.1,6.58,7.1,22700
80,2010-07-07,6.87,6.87,6.87,6.87,1800
81,2010-07-08,6.91,6.91,6.2,6.2,3100
82,2010-07-09,6.87,6.2,6.2,6.2,0
83,2010-07-12,7.53,7.53,7.53,7.53,1810
84,2010-07-13,7.58,8.19,7.58,8.05,2290
85,2010-07-14,8.53,8.53,8.53,8.53,100
86,2010-07-15,8.53,9.38,7.81,7.81,940
87,2010-07-19,8.38,8.38,8.38,8.38,9600
88,2010-07-20,8.29,8.29,8.05,8.05,2500
89,2010-07-21,8.24,8.24,8.05,8.05,700
90,2010-07-22,8.0,8.0,8.0,8.0,4100
91,2010-07-23,7.63,7.63,7.58,7.58,500
92,2010-07-26,7.58,7.58,7.58,7.58,1300
93,2010-07-27,7.58,7.58,7.58,7.58,500
94,2010-07-28,7.58,7.58,7.58,7.58,900
95,2010-07-29,7.58,7.58,7.34,7.34,1100
96,2010-07-30,7.48,7.48,7.29,0.0,600
97,2010-08-02,7.39,7.29,7.29,7.29,0
98,2010-08-04,6.87,7.29,6.87,7.29,2500
99,2010-08-05,7.58,7.58,7.53,0.0,1100
100,2010-08-06,7.58,7.53,7.53,7.53,0
101,2010-08-09,8.05,8.05,8.05,8.05,1000
102,2010-08-10,8.76,8.76,8.76,8.76,1000
103,2010-08-11,9.61,9.61,7.91,7.91,4700
104,2010-08-12,7.48,7.48,7.48,7.48,100
105,2010-08-13,8.19,8.19,7.48,7.48,4000
106,2010-08-16,7.15,7.15,7.1,7.1,1100
107,2010-08-17,7.1,7.1,7.1,7.1,0
108,2010-08-18,7.1,7.1,7.1,7.1,0
109,2010-08-19,7.1,7.1,7.1,7.1,0
110,2010-08-20,7.58,7.58,7.53,7.53,2100
111,2010-08-23,6.54,6.54,6.54,6.54,100
