,time,open,high,low,close,volume
0,2024-05-15,9.0,9.0,9.0,9.0,0
1,2024-05-16,9.0,9.0,9.0,9.0,0
2,2024-05-17,9.0,9.0,9.0,9.0,0
3,2024-05-20,9.0,9.0,9.0,9.0,0
4,2024-05-21,9.0,9.0,9.0,9.0,0
5,2024-05-22,9.0,9.0,9.0,9.0,0
6,2024-05-23,9.0,9.0,9.0,9.0,0
7,2024-05-24,5.4,5.5,5.4,5.5,629900
8,2024-05-27,5.4,5.4,5.4,5.4,0
9,2024-05-28,5.4,5.4,5.4,5.4,0
10,2024-05-29,5.4,5.4,5.4,5.4,0
11,2024-05-30,5.4,5.4,5.4,5.4,0
12,2024-05-31,4.6,6.2,4.6,4.7,110819
13,2024-06-03,4.6,4.6,4.6,4.6,0
14,2024-06-04,4.6,4.6,4.6,4.6,0
15,2024-06-05,4.6,4.6,4.6,4.6,0
16,2024-06-06,4.6,4.6,4.6,4.6,0
17,2024-06-07,5.2,5.2,5.2,5.2,100
18,2024-06-10,5.2,5.2,5.2,5.2,0
19,2024-06-11,5.2,5.2,5.2,5.2,0
20,2024-06-12,5.2,5.2,5.2,5.2,0
21,2024-06-13,5.2,5.2,5.2,5.2,0
22,2024-06-14,5.2,5.9,5.2,5.9,300
23,2024-06-17,5.4,5.4,5.4,5.4,0
24,2024-06-18,5.4,5.4,5.4,5.4,0
25,2024-06-19,5.4,5.4,5.4,5.4,0
26,2024-06-20,5.4,5.4,5.4,5.4,0
27,2024-06-21,6.2,6.2,6.2,6.2,500
28,2024-06-24,6.2,6.2,6.2,6.2,0
29,2024-06-25,6.2,6.2,6.2,6.2,0
30,2024-06-26,6.2,6.2,6.2,6.2,0
31,2024-06-27,6.2,6.2,6.2,6.2,0
32,2024-06-28,7.1,7.1,7.1,7.1,28844
33,2024-07-01,7.1,7.1,7.1,7.1,0
34,2024-07-02,7.1,7.1,7.1,7.1,0
35,2024-07-03,7.1,7.1,7.1,7.1,0
36,2024-07-04,7.1,7.1,7.1,7.1,0
37,2024-07-05,8.1,8.1,8.1,8.1,200
38,2024-07-08,8.1,8.1,8.1,8.1,0
39,2024-07-09,8.1,8.1,8.1,8.1,0
40,2024-07-10,8.1,8.1,8.1,8.1,0
41,2024-07-11,8.1,8.1,8.1,8.1,0
42,2024-07-12,9.3,9.3,9.3,9.3,100
43,2024-07-15,9.3,9.3,9.3,9.3,0
44,2024-07-16,9.3,9.3,9.3,9.3,0
45,2024-07-17,9.3,9.3,9.3,9.3,0
46,2024-07-18,9.3,9.3,9.3,9.3,0
47,2024-07-19,9.3,9.3,9.3,9.3,0
48,2024-07-22,9.3,9.3,9.3,9.3,0
49,2024-07-23,9.3,9.3,9.3,9.3,0
50,2024-07-24,9.3,9.3,9.3,9.3,0
51,2024-07-25,9.3,9.3,9.3,9.3,0
52,2024-07-26,10.5,10.5,10.5,10.5,100
53,2024-08-09,10.5,10.5,10.5,10.5,10300
54,2024-08-16,10.1,10.1,10.1,10.1,67100
55,2024-08-23,9.6,9.6,9.6,9.6,60100
56,2024-08-30,11.0,11.0,11.0,11.0,216200
57,2024-09-06,9.4,9.4,9.4,9.4,26400
58,2024-09-13,9.6,9.6,9.6,9.6,10000
59,2024-09-20,11.0,11.0,11.0,11.0,100
60,2024-09-27,9.4,9.4,9.4,9.4,54100
61,2024-10-18,8.1,8.1,8.1,8.1,23600
62,2024-11-08,8.1,8.1,8.1,8.1,14700
63,2024-11-15,8.1,8.1,8.1,8.1,11800
64,2024-12-06,8.2,8.2,8.2,8.2,300
65,2024-12-20,8.2,8.2,8.2,8.2,14900
66,2024-12-27,8.2,8.2,8.2,8.2,25400
67,2025-01-10,9.4,9.4,9.4,9.4,15200
68,2025-01-17,10.8,10.8,10.8,10.8,7200
69,2025-01-24,12.4,12.4,12.4,12.4,100
70,2025-02-07,12.4,12.4,12.4,12.4,100
71,2025-02-21,14.2,14.2,14.2,14.2,5900
72,2025-02-28,16.3,16.3,16.3,16.3,2600
73,2025-03-07,18.7,18.7,13.9,13.9,70400
74,2025-03-14,15.9,15.9,15.9,15.9,800
75,2025-03-21,13.7,13.7,13.7,13.7,1000
76,2025-03-28,12.0,12.0,12.0,12.0,1700
