,time,open,high,low,close,volume
0,2016-06-17,2.69,3.28,2.69,3.23,178100
1,2016-06-20,3.26,3.31,3.2,3.26,122100
2,2016-06-21,3.2,3.23,3.15,3.18,98800
3,2016-06-22,3.15,3.2,3.04,3.18,107800
4,2016-06-23,3.12,3.23,3.09,3.18,83100
5,2016-06-24,3.18,3.2,3.04,3.09,106000
6,2016-06-27,3.12,3.15,3.09,3.12,63700
7,2016-06-28,3.09,3.15,3.07,3.12,82300
8,2016-06-29,3.09,3.15,3.09,3.15,83200
9,2016-06-30,3.12,3.23,3.12,3.2,110200
10,2016-07-01,3.15,3.23,3.15,3.18,65300
11,2016-07-04,3.18,3.2,3.15,3.2,37800
12,2016-07-05,3.2,3.23,3.12,3.15,40200
13,2016-07-06,3.18,3.2,3.15,3.18,30400
14,2016-07-07,3.18,3.2,3.12,3.18,34300
15,2016-07-08,3.18,3.18,3.12,3.12,34200
16,2016-07-11,2.96,3.15,2.96,3.09,22200
17,2016-07-12,3.12,3.15,3.09,3.09,18900
18,2016-07-13,3.12,3.15,3.09,3.09,24100
19,2016-07-14,3.09,3.12,3.09,3.12,21500
20,2016-07-15,3.09,3.15,3.09,3.12,19900
21,2016-07-18,3.12,3.12,3.04,3.09,23800
22,2016-07-19,3.09,3.12,3.07,3.09,19600
23,2016-07-20,3.09,3.09,3.04,3.09,15200
24,2016-07-21,3.09,3.12,3.09,3.09,25600
25,2016-07-22,3.12,3.18,3.12,3.18,14000
26,2016-07-25,3.12,3.15,3.12,3.15,15800
27,2016-07-26,3.12,3.12,3.09,3.12,14000
28,2016-07-27,3.15,3.15,3.15,3.15,23500
29,2016-07-28,3.15,3.15,3.12,3.12,16000
30,2016-07-29,3.15,3.15,3.09,3.09,14200
31,2016-08-01,3.09,3.12,3.09,3.09,28500
32,2016-08-02,3.12,3.12,3.09,3.12,11500
33,2016-08-03,3.12,3.12,3.07,3.12,18600
34,2016-08-04,3.09,3.09,3.07,3.07,17300
35,2016-08-05,3.09,3.09,3.07,3.07,11000
36,2016-08-08,3.07,3.07,3.07,3.07,12300
37,2016-08-09,3.07,3.07,3.04,3.04,23000
38,2016-08-10,3.07,3.07,3.01,3.01,12000
39,2016-08-11,3.01,3.01,3.01,3.01,13500
40,2016-08-12,3.01,3.01,2.96,0.0,17200
41,2016-08-15,2.93,2.99,2.93,2.99,4100
42,2016-08-16,2.96,2.99,2.93,2.93,10300
43,2016-08-17,2.96,2.96,2.93,2.93,13800
44,2016-08-18,2.93,3.36,2.93,3.07,41700
45,2016-08-19,2.93,2.99,2.91,2.99,20300
46,2016-08-22,2.93,2.93,2.85,2.85,33500
47,2016-08-23,2.91,2.91,2.88,2.91,23900
48,2016-08-24,2.88,2.91,2.88,2.91,8000
49,2016-08-25,2.91,2.91,2.88,2.88,13600
50,2016-08-26,2.88,2.88,2.88,2.88,10700
51,2016-08-29,2.91,3.07,2.91,3.07,51200
52,2016-08-30,2.88,2.88,2.83,2.83,35000
53,2016-08-31,2.85,2.85,2.83,2.83,17000
54,2016-09-01,2.83,2.83,2.8,2.8,6500
55,2016-09-05,2.85,2.85,2.83,2.83,14300
56,2016-09-06,2.85,2.85,2.8,2.8,26000
57,2016-09-07,2.85,2.93,2.85,2.88,19600
58,2016-09-08,2.88,2.88,2.85,2.88,12700
59,2016-09-09,2.91,2.96,2.91,2.96,10300
60,2016-09-12,2.91,3.01,2.91,3.01,4000
61,2016-09-13,3.04,3.04,3.04,3.04,500
62,2016-09-14,3.04,3.04,3.04,3.04,0
63,2016-09-15,2.96,2.96,2.88,2.88,7500
64,2016-09-16,2.85,2.85,2.83,2.83,8000
65,2016-09-19,2.83,2.85,2.83,2.85,5500
66,2016-09-20,2.85,2.85,2.85,2.85,10000
67,2016-09-21,2.88,2.99,2.88,2.99,17000
68,2016-09-22,3.01,3.07,2.96,2.96,8000
69,2016-09-23,2.91,2.99,2.8,2.8,61000
70,2016-09-26,2.85,2.93,2.85,2.85,12200
71,2016-09-27,2.88,2.93,2.88,2.88,11100
72,2016-09-28,2.88,2.96,2.88,2.96,12400
73,2016-09-29,2.91,2.96,2.85,2.96,30900
74,2016-09-30,2.88,2.93,2.88,2.91,9500
75,2016-10-03,2.96,2.96,2.96,2.96,300
76,2016-10-04,2.96,2.96,2.96,2.96,6
77,2016-10-05,2.96,2.96,2.96,2.96,0
78,2016-10-06,2.96,2.96,2.96,2.96,0
79,2016-10-07,2.96,2.96,2.96,2.96,0
80,2016-10-10,2.96,2.96,2.96,2.96,0
81,2016-10-11,2.96,2.96,2.96,2.96,0
82,2016-10-12,2.85,2.85,2.85,2.85,5000
83,2016-10-13,2.93,2.96,2.93,2.96,2500
84,2016-10-14,2.83,2.83,2.74,2.8,27500
85,2016-10-17,2.85,2.88,2.85,2.88,2000
86,2016-10-18,2.93,2.93,2.93,2.93,1000
87,2016-10-19,2.93,2.93,2.93,2.93,0
88,2016-10-20,2.85,2.85,2.85,2.85,7500
89,2016-10-21,2.85,2.85,2.85,2.85,10000
90,2016-10-24,2.96,3.09,2.96,2.96,20000
91,2016-10-25,2.96,2.96,2.96,2.96,4000
92,2016-10-26,2.96,2.96,2.96,2.96,0
93,2016-10-27,2.85,2.96,2.83,2.96,15010
94,2016-10-28,2.96,2.96,2.96,2.96,0
95,2016-10-31,2.88,2.96,2.85,2.85,11600
96,2016-11-01,2.88,2.91,2.85,2.85,19000
97,2016-11-02,2.85,2.93,2.83,2.85,19600
98,2016-11-03,2.85,2.96,2.85,2.88,17500
99,2016-11-04,2.88,2.91,2.88,2.91,19400
100,2016-11-07,2.88,2.96,2.88,2.91,15400
101,2016-11-08,2.88,2.91,2.88,2.88,15800
102,2016-11-09,2.96,3.01,2.88,2.88,13600
103,2016-11-10,2.91,2.91,2.88,2.88,11000
104,2016-11-11,2.88,2.93,2.88,2.93,14000
105,2016-11-14,2.88,2.93,2.85,2.93,11500
106,2016-11-15,2.88,2.96,2.88,2.96,41400
107,2016-11-16,2.88,2.88,2.83,2.83,32000
108,2016-11-17,2.88,2.96,2.88,2.96,30900
109,2016-11-18,2.88,2.99,2.88,2.99,12000
110,2016-11-21,2.99,2.99,2.88,2.93,14800
111,2016-11-22,2.88,2.96,2.88,2.96,24000
112,2016-11-23,2.88,2.96,2.88,2.93,12600
113,2016-11-24,2.88,2.91,2.88,2.91,15300
114,2016-11-25,2.93,2.96,2.91,2.91,11000
115,2016-11-28,2.88,2.93,2.88,2.91,7400
116,2016-11-29,2.85,2.91,2.85,2.91,12300
117,2016-11-30,2.88,2.91,2.88,2.91,8600
118,2016-12-01,2.85,3.04,2.85,2.99,47000
119,2016-12-02,2.96,2.99,2.96,2.99,6500
120,2016-12-05,2.91,3.04,2.91,2.96,21400
121,2016-12-06,2.91,2.99,2.91,2.99,14600
122,2016-12-07,2.91,3.04,2.91,2.96,68000
123,2016-12-08,2.96,2.96,2.96,2.96,700
124,2016-12-09,2.96,2.96,2.96,2.96,44000
125,2016-12-12,2.93,3.09,2.93,2.96,16000
126,2016-12-13,2.96,3.15,2.96,3.15,22400
127,2016-12-14,3.09,3.15,3.01,3.15,11400
128,2016-12-15,3.15,3.18,3.15,3.18,4000
129,2016-12-16,3.39,3.39,3.09,3.09,24000
130,2016-12-19,3.28,3.28,3.23,3.26,9000
131,2016-12-20,3.28,3.34,3.28,3.28,7300
132,2016-12-21,3.34,3.34,3.34,3.34,1700
133,2016-12-22,3.23,3.36,3.23,3.36,7000
134,2016-12-23,3.23,3.36,3.23,3.36,1800
