,time,open,high,low,close,volume
0,2017-12-08,11.52,11.52,11.52,11.52,36200
1,2017-12-11,13.2,13.2,13.2,13.2,13600
2,2017-12-12,15.17,15.17,15.17,15.17,200
3,2017-12-13,17.43,17.43,15.32,15.39,8600
4,2017-12-14,16.04,16.04,15.53,15.53,14700
5,2017-12-15,13.42,15.97,13.42,15.83,56300
6,2017-12-18,16.19,16.77,16.12,16.34,42900
7,2017-12-19,16.41,16.63,16.41,16.48,35500
8,2017-12-20,16.63,16.63,16.04,16.19,36200
9,2017-12-21,16.26,16.7,16.12,16.26,35300
10,2017-12-22,16.04,16.77,15.32,16.77,21800
11,2017-12-25,16.63,16.92,16.56,16.77,33500
12,2017-12-26,16.04,17.5,16.04,17.14,21800
13,2017-12-27,17.21,19.11,17.21,17.65,41900
14,2017-12-28,17.87,18.31,17.87,18.23,36500
15,2017-12-29,18.31,18.6,18.31,18.38,30300
16,2018-01-02,18.38,18.38,17.65,17.65,35100
17,2018-01-03,17.79,18.16,17.65,17.94,36000
18,2018-01-04,18.01,18.38,17.94,18.23,31900
19,2018-01-05,18.38,18.38,17.58,17.65,34200
20,2018-01-08,17.14,18.23,16.92,16.99,42000
21,2018-01-09,16.92,17.21,16.77,16.77,41900
22,2018-01-10,16.77,17.43,16.77,16.85,40300
23,2018-01-11,16.92,16.92,16.41,16.48,35000
24,2018-01-12,16.56,17.14,16.41,16.7,33100
25,2018-01-15,16.63,16.63,16.04,16.04,47400
26,2018-01-16,17.14,17.14,15.97,15.97,58700
27,2018-01-17,16.12,16.19,15.83,15.83,63600
28,2018-01-18,16.77,16.77,14.66,14.66,63900
29,2018-01-19,14.8,16.56,14.59,14.59,58900
30,2018-01-22,16.41,16.41,14.59,14.66,74100
31,2018-01-23,16.26,16.26,14.73,14.73,69500
32,2018-01-24,14.8,14.88,14.59,14.8,75400
33,2018-01-25,14.8,15.02,14.59,14.88,82300
34,2018-01-26,14.88,14.88,14.59,14.59,62100
35,2018-01-29,14.59,14.59,14.44,14.44,68900
