,time,open,high,low,close,volume
0,2006-12-27,11.07,11.07,11.07,11.07,1000
1,2006-12-28,11.62,11.62,11.62,11.62,25000
2,2006-12-29,12.19,12.19,12.19,12.19,13090
3,2007-01-02,12.79,12.79,12.79,12.79,310
4,2007-01-03,12.79,13.42,12.79,13.42,1000
5,2007-01-04,13.42,14.08,13.42,14.08,3030
6,2007-01-05,14.76,14.76,14.76,14.76,33330
7,2007-01-08,15.44,15.44,15.44,15.44,41230
8,2007-01-09,16.13,16.13,16.13,16.13,11740
9,2007-01-10,16.81,16.81,16.81,16.81,5530
10,2007-01-11,16.81,17.63,16.81,17.63,810
11,2007-01-12,18.45,18.45,18.45,18.45,11500
12,2007-01-15,18.45,18.45,17.77,17.77,19590
13,2007-01-16,17.77,17.77,16.95,16.95,11380
14,2007-01-17,16.13,16.13,16.13,16.13,19600
15,2007-01-18,16.13,16.13,15.85,15.85,15890
16,2007-01-19,15.85,16.54,15.17,16.54,4370
17,2007-01-22,16.54,17.36,16.13,17.36,2810
18,2007-01-23,16.54,17.36,16.54,16.54,11010
19,2007-01-24,16.54,17.36,16.54,17.36,4390
20,2007-01-25,17.36,17.36,16.67,16.67,7550
21,2007-01-26,16.67,16.67,16.67,16.67,1900
22,2007-01-29,16.67,17.22,16.67,17.22,5950
23,2007-01-30,17.22,17.22,17.22,17.22,6890
24,2007-01-31,17.22,17.49,17.22,17.49,6500
25,2007-02-01,17.49,17.63,17.49,17.63,300
26,2007-02-02,17.63,17.63,17.63,17.63,0
27,2007-02-05,17.63,17.63,17.08,17.63,13480
28,2007-02-06,18.18,18.18,18.18,18.18,1310
29,2007-02-07,18.18,18.18,17.77,17.77,400
30,2007-02-08,17.77,17.77,17.77,17.77,9200
31,2007-02-09,18.18,18.59,17.22,17.22,6490
32,2007-02-12,17.22,17.22,17.22,17.22,800
33,2007-02-13,17.22,18.04,17.22,18.04,3610
34,2007-02-14,18.04,18.86,18.04,18.31,1080
35,2007-02-15,18.31,19.13,18.31,19.13,2500
36,2007-02-26,19.13,20.09,19.13,20.09,5000
37,2007-02-27,20.09,21.04,20.09,21.04,4160
38,2007-02-28,21.86,21.86,21.04,21.04,7200
39,2007-03-01,21.04,22.0,21.04,21.04,3100
40,2007-03-02,22.0,22.0,22.0,22.0,2800
41,2007-03-05,22.96,23.09,22.96,23.09,4000
42,2007-03-06,24.05,24.05,24.05,24.05,6900
43,2007-03-07,25.14,25.14,23.23,23.23,1730
44,2007-03-08,23.23,23.23,23.23,23.23,880
45,2007-03-09,23.23,23.23,22.14,22.14,910
46,2007-03-12,22.14,22.68,22.14,22.68,2700
47,2007-03-13,22.68,23.78,22.68,22.68,930
48,2007-03-14,22.68,22.68,22.14,22.14,1500
