,time,open,high,low,close,volume
0,2009-12-10,2.88,3.13,2.88,3.06,44150
1,2009-12-11,3.13,3.13,2.93,2.98,49210
2,2009-12-14,3.13,3.13,2.88,3.08,16910
3,2009-12-15,3.08,3.08,2.93,3.08,13870
4,2009-12-16,2.93,2.98,2.93,2.93,4010
5,2009-12-17,2.81,2.81,2.81,2.81,4000
6,2009-12-18,2.68,2.81,2.68,2.81,67190
7,2009-12-21,2.81,2.91,2.68,2.88,24900
8,2009-12-22,2.83,2.88,2.78,2.86,29960
9,2009-12-23,2.88,2.88,2.78,2.88,10550
10,2009-12-24,2.88,2.88,2.78,2.78,35710
11,2009-12-25,2.83,2.88,2.73,2.88,28710
12,2009-12-28,2.96,2.96,2.88,2.88,30120
13,2009-12-29,2.93,2.93,2.83,2.83,11600
14,2009-12-30,2.96,2.96,2.88,2.96,48250
15,2009-12-31,3.08,3.08,3.06,3.08,109870
16,2010-01-04,3.23,3.23,3.23,3.23,24610
17,2010-01-05,3.38,3.38,3.38,3.38,29130
18,2010-01-06,3.48,3.53,3.48,3.53,130030
19,2010-01-07,3.63,3.63,3.38,3.53,19130
20,2010-01-08,3.48,3.5,3.4,3.4,37030
21,2010-01-11,3.35,3.38,3.28,3.28,41770
22,2010-01-12,3.18,3.35,3.18,3.18,31700
23,2010-01-13,3.28,3.28,3.08,3.13,66030
24,2010-01-14,3.28,3.28,3.23,3.28,31770
25,2010-01-15,3.33,3.33,3.25,3.3,9850
26,2010-01-18,3.16,3.23,3.16,3.16,19470
27,2010-01-19,3.16,3.2,3.13,3.18,13860
28,2010-01-20,3.13,3.23,3.13,3.13,33840
29,2010-01-21,2.98,3.13,2.98,2.98,30880
30,2010-01-22,3.01,3.01,2.88,3.01,8120
31,2010-01-25,3.06,3.06,2.98,3.01,3820
32,2010-01-26,3.16,3.16,3.16,3.16,18080
33,2010-01-27,3.2,3.2,3.16,3.18,21250
34,2010-01-28,3.23,3.23,3.06,3.11,1400
35,2010-01-29,3.13,3.16,3.01,3.13,11720
36,2010-02-01,3.23,3.23,3.13,3.13,2050
37,2010-02-02,3.11,3.13,3.11,3.11,8960
38,2010-02-03,3.11,3.13,3.08,3.13,5950
39,2010-02-04,3.06,3.16,3.06,3.13,13760
