,time,open,high,low,close,volume
0,2010-11-15,5.33,5.71,5.33,5.33,810
1,2010-11-16,5.27,5.36,5.08,5.27,2240
2,2010-11-17,5.42,5.42,5.27,5.42,320
3,2010-11-18,5.17,5.42,5.17,5.33,2570
4,2010-11-19,5.2,5.2,5.08,5.2,1010
5,2010-11-22,5.45,5.45,4.95,4.95,40
6,2010-11-23,5.02,5.02,4.73,4.73,1650
7,2010-11-24,4.73,4.73,4.51,4.73,60
8,2010-11-25,4.73,4.73,4.51,4.73,4050
9,2010-11-26,4.51,4.67,4.51,4.51,4840
10,2010-11-29,4.29,4.67,4.29,4.29,2680
11,2010-11-30,4.48,4.48,4.39,4.45,5190
12,2010-12-01,4.55,4.55,4.45,4.45,2900
13,2010-12-02,4.48,4.48,4.36,4.48,2190
14,2010-12-03,4.51,4.7,4.29,4.7,7530
15,2010-12-06,4.76,4.76,4.51,4.76,3820
16,2010-12-07,4.83,4.86,4.55,4.55,740
17,2010-12-08,4.7,4.7,4.33,4.55,2580
18,2010-12-09,4.33,4.7,4.33,4.33,7310
19,2010-12-10,4.48,4.51,4.45,4.51,9840
20,2010-12-13,4.73,4.73,4.73,4.73,5950
21,2010-12-14,4.95,4.95,4.92,4.92,4010
22,2010-12-15,5.14,5.14,5.11,5.14,18100
23,2010-12-16,5.14,5.33,5.02,5.27,4110
24,2010-12-17,5.02,5.33,5.02,5.02,8000
25,2010-12-20,4.8,5.24,4.8,5.14,3080
26,2010-12-21,5.14,5.3,4.89,5.11,8820
27,2010-12-22,4.98,4.98,4.98,4.98,1060
28,2010-12-23,4.75,5.22,4.75,5.19,2460
29,2010-12-24,4.95,5.19,4.95,4.95,1030
30,2010-12-27,4.95,5.15,5.02,5.05,3150
31,2010-12-28,5.09,5.09,4.81,4.85,5570
32,2010-12-29,5.05,5.05,4.61,4.61,3130
33,2010-12-30,4.61,4.81,4.41,4.81,2090
34,2010-12-31,4.81,4.81,4.81,4.81,0
35,2011-01-04,4.81,4.81,4.58,4.58,650
