,time,open,high,low,close,volume
0,2017-09-21,14.0,14.0,13.6,14.0,5300
1,2017-09-22,14.0,15.2,14.0,15.2,1300
2,2017-09-25,15.1,15.1,15.1,15.1,500
3,2017-09-26,14.9,14.9,14.3,14.3,2600
4,2017-09-27,13.5,13.5,13.5,13.5,200
5,2017-09-28,13.1,13.1,12.7,12.7,600
6,2017-09-29,14.8,14.8,14.8,14.8,100
7,2017-10-02,14.8,14.8,14.8,14.8,0
8,2017-10-03,14.8,14.8,14.8,14.8,0
9,2017-10-04,13.0,13.0,13.0,13.0,100
10,2017-10-05,13.1,13.1,13.1,13.1,200
11,2017-10-06,13.1,13.1,13.1,13.1,0
12,2017-10-09,13.1,13.1,13.1,13.1,100
13,2017-10-10,13.0,15.0,13.0,13.5,2700
14,2017-10-11,13.5,13.5,13.5,13.5,200
15,2017-10-12,13.6,13.6,13.6,13.6,200
16,2017-10-13,13.7,13.7,13.7,13.7,100
17,2017-10-16,13.7,13.7,13.7,13.7,0
18,2017-10-17,13.7,13.7,13.7,13.7,0
19,2017-10-18,13.7,13.7,13.7,13.7,0
20,2017-10-19,13.7,13.7,13.7,13.7,0
21,2017-10-20,13.7,13.7,13.7,13.7,300
22,2017-10-23,13.7,13.7,13.7,13.7,0
23,2017-10-24,13.8,13.8,13.8,13.8,200
24,2017-10-25,13.7,13.7,13.7,13.7,200
25,2017-10-26,13.7,13.7,13.7,13.7,0
26,2017-10-27,13.7,13.7,13.7,13.7,100
27,2017-10-30,13.7,13.7,13.7,13.7,0
28,2017-10-31,13.7,13.7,13.7,13.7,0
29,2017-11-01,13.7,13.7,13.7,13.7,0
30,2017-11-02,12.0,12.0,12.0,12.0,100
31,2017-11-03,12.0,12.0,12.0,12.0,0
32,2017-11-06,11.8,11.8,11.8,11.8,200
33,2017-11-07,11.8,11.8,11.8,11.8,0
34,2017-11-08,12.5,12.5,12.5,12.5,100
35,2017-11-09,12.5,12.5,12.5,12.5,0
36,2017-11-10,12.5,12.5,12.5,12.5,0
37,2017-11-13,12.0,12.0,12.0,12.0,100
38,2017-11-14,12.0,12.0,12.0,12.0,0
39,2017-11-15,12.0,12.0,12.0,12.0,100
40,2017-11-16,12.0,12.0,12.0,12.0,0
41,2017-11-17,12.0,12.0,12.0,12.0,0
42,2017-11-20,12.0,12.0,12.0,12.0,0
43,2017-11-21,12.2,12.2,12.2,12.2,100
44,2017-11-22,12.2,12.2,12.2,12.2,0
45,2017-11-23,12.2,12.2,12.2,12.2,0
46,2017-11-24,12.5,12.5,12.5,12.5,100
47,2017-11-27,12.0,12.0,12.0,12.0,100
48,2017-11-28,12.0,12.0,12.0,12.0,0
49,2017-11-29,12.0,12.0,12.0,12.0,0
50,2017-11-30,12.0,12.0,12.0,12.0,0
51,2017-12-01,12.0,12.0,12.0,12.0,0
52,2017-12-04,12.0,12.0,12.0,12.0,1000
53,2017-12-05,12.0,12.0,12.0,12.0,0
54,2017-12-06,12.0,12.0,12.0,12.0,0
55,2017-12-07,12.0,12.0,12.0,12.0,0
56,2017-12-08,12.0,12.0,12.0,12.0,0
57,2017-12-11,12.0,12.0,12.0,12.0,0
58,2017-12-12,11.0,11.0,10.5,10.5,300
59,2017-12-13,10.8,10.8,10.8,10.8,0
60,2017-12-14,10.3,10.4,10.3,10.4,300
61,2017-12-15,10.3,10.3,10.3,10.3,100
62,2017-12-18,11.8,11.8,11.8,11.8,200
63,2017-12-19,10.3,10.3,10.3,10.3,100
64,2017-12-20,10.1,10.1,10.1,10.1,100
65,2017-12-21,9.5,9.5,9.5,9.5,100
66,2017-12-22,8.5,8.5,8.5,8.5,200
67,2017-12-25,8.5,8.5,8.5,8.5,0
68,2017-12-26,8.3,8.3,8.3,8.3,200
69,2017-12-27,8.5,8.5,8.5,8.5,200
70,2017-12-28,8.8,9.0,8.8,9.0,500
71,2017-12-29,9.5,9.5,9.5,9.5,200
72,2018-01-02,10.0,10.0,10.0,10.0,200
73,2018-01-03,11.0,11.5,11.0,11.5,600
74,2018-01-04,11.3,11.3,11.3,11.3,0
75,2018-01-05,11.3,11.3,11.3,11.3,0
76,2018-01-08,12.9,12.9,12.9,12.9,300
77,2018-01-09,12.9,12.9,12.9,12.9,0
78,2018-01-10,14.5,14.5,14.5,14.5,900
79,2018-01-11,14.5,14.5,14.5,14.5,100
80,2018-01-12,14.2,14.2,14.0,14.0,300
81,2018-01-15,14.2,14.2,14.0,14.0,700
82,2018-01-16,14.1,14.1,14.1,14.1,0
83,2018-01-17,14.1,14.1,14.1,14.1,0
84,2018-01-18,14.2,14.2,14.2,14.2,800
85,2018-01-19,14.1,14.1,14.1,14.1,600
86,2018-01-22,14.1,14.1,14.1,14.1,0
87,2018-01-23,14.1,14.1,14.1,14.1,0
88,2018-01-24,14.1,14.1,14.1,14.1,0
89,2018-01-25,14.2,14.2,14.2,14.2,200
90,2018-01-26,14.2,14.2,14.2,14.2,1000
91,2018-01-29,14.2,14.2,14.2,14.2,300
92,2018-01-30,14.2,14.2,14.2,14.2,0
93,2018-01-31,14.2,14.2,14.2,14.2,0
94,2018-02-01,14.2,14.2,14.2,14.2,0
95,2018-02-02,14.2,14.2,14.2,14.2,0
96,2018-02-05,14.2,14.2,14.2,14.2,0
97,2018-02-06,14.2,14.2,14.2,14.2,0
98,2018-02-07,14.2,14.2,14.2,14.2,0
99,2018-02-08,14.2,14.2,14.2,14.2,0
100,2018-02-09,14.5,14.5,14.5,14.5,200
101,2018-02-12,14.5,14.5,14.5,14.5,0
102,2018-02-13,14.5,14.5,14.5,14.5,0
103,2018-02-21,14.5,14.5,14.5,14.5,0
104,2018-02-22,14.5,14.5,14.5,14.5,0
105,2018-02-23,14.5,14.5,14.5,14.5,0
106,2018-02-26,14.5,14.5,14.5,14.5,0
107,2018-02-27,14.5,14.5,14.5,14.5,0
108,2018-02-28,14.5,14.5,14.5,14.5,0
109,2018-03-01,14.5,14.5,14.5,14.5,0
110,2018-03-02,14.5,14.5,14.5,14.5,0
111,2018-03-05,14.5,14.5,14.5,14.5,0
112,2018-03-06,14.5,14.5,14.5,14.5,0
113,2018-03-07,14.5,14.5,14.5,14.5,0
114,2018-03-08,14.5,14.5,14.5,14.5,0
115,2018-03-09,14.5,14.5,14.5,14.5,0
116,2018-03-12,14.5,14.5,14.5,14.5,0
117,2018-03-13,14.5,14.5,14.5,14.5,0
118,2018-03-14,14.5,14.5,14.5,14.5,0
119,2018-03-15,14.5,14.5,14.5,14.5,0
120,2018-03-16,14.5,14.5,14.5,14.5,0
121,2018-03-19,14.5,14.5,14.5,14.5,0
122,2018-03-20,14.5,14.5,14.5,14.5,0
123,2018-03-21,14.5,14.5,14.5,14.5,0
124,2018-03-22,14.5,14.5,14.5,14.5,0
125,2018-03-23,14.5,14.5,14.5,14.5,0
126,2018-03-26,14.5,14.5,14.5,14.5,0
127,2018-03-27,14.5,14.5,14.5,14.5,0
128,2018-03-28,14.5,14.5,14.5,14.5,0
129,2018-03-29,14.5,14.5,14.5,14.5,0
130,2018-03-30,14.5,14.5,14.5,14.5,0
131,2018-04-02,14.5,14.5,14.5,14.5,0
132,2018-04-03,14.5,14.5,14.5,14.5,0
133,2018-04-04,20.3,20.3,20.3,20.3,100
134,2018-04-05,20.3,20.3,20.3,20.3,0
135,2018-04-06,18.0,18.0,18.0,18.0,300
136,2018-04-09,18.0,18.0,18.0,18.0,0
137,2018-04-10,18.0,18.0,18.0,18.0,0
138,2018-04-11,18.0,18.0,18.0,18.0,0
139,2018-04-12,18.0,18.0,18.0,18.0,0
140,2018-04-13,18.0,18.0,18.0,18.0,0
141,2018-04-16,18.0,18.0,18.0,18.0,0
142,2018-04-17,18.0,18.0,18.0,18.0,0
143,2018-04-18,18.0,18.0,18.0,18.0,0
144,2018-04-19,18.0,18.0,18.0,18.0,0
145,2018-04-20,18.0,18.0,18.0,18.0,0
146,2018-04-23,18.0,18.0,18.0,18.0,0
147,2018-04-24,18.0,18.0,18.0,18.0,0
148,2018-04-26,18.0,18.0,18.0,18.0,0
149,2018-04-27,18.0,18.0,18.0,18.0,0
150,2018-05-02,18.0,18.0,18.0,18.0,0
151,2018-05-03,18.0,18.0,18.0,18.0,0
152,2018-05-04,18.0,18.0,18.0,18.0,0
153,2018-05-07,18.0,18.0,18.0,18.0,0
154,2018-05-08,18.0,18.0,18.0,18.0,0
155,2018-05-09,18.0,18.0,18.0,18.0,0
156,2018-05-10,18.0,18.0,18.0,18.0,0
157,2018-05-11,18.0,18.0,18.0,18.0,0
158,2018-05-14,18.0,18.0,18.0,18.0,0
159,2018-05-15,18.0,18.0,18.0,18.0,0
160,2018-05-16,18.0,18.0,18.0,18.0,0
161,2018-05-17,18.0,18.0,18.0,18.0,0
162,2018-05-18,18.0,18.0,18.0,18.0,0
163,2018-05-21,18.0,18.0,18.0,18.0,0
164,2018-05-22,18.0,18.0,18.0,18.0,0
165,2018-05-23,18.0,18.0,18.0,18.0,0
166,2018-05-24,18.0,18.0,18.0,18.0,0
167,2018-05-25,18.0,18.0,18.0,18.0,0
168,2018-05-28,18.0,18.0,18.0,18.0,0
169,2018-05-29,18.0,18.0,18.0,18.0,0
170,2018-05-30,18.0,18.0,18.0,18.0,0
171,2018-05-31,18.0,18.0,18.0,18.0,0
172,2018-06-01,18.0,18.0,18.0,18.0,0
173,2018-06-04,18.0,18.0,18.0,18.0,0
174,2018-06-05,18.0,18.0,18.0,18.0,0
175,2018-06-06,18.0,18.0,18.0,18.0,0
176,2018-06-07,18.0,18.0,18.0,18.0,0
177,2018-06-08,18.0,18.0,18.0,18.0,0
178,2018-06-11,18.0,18.0,18.0,18.0,0
179,2018-06-12,18.0,18.0,18.0,18.0,0
180,2018-06-13,18.0,18.0,18.0,18.0,0
181,2018-06-14,18.0,18.0,18.0,18.0,0
182,2018-06-15,18.0,18.0,18.0,18.0,0
183,2018-06-18,18.0,18.0,18.0,18.0,0
184,2018-06-19,18.0,18.0,18.0,18.0,0
185,2018-06-20,18.0,18.0,18.0,18.0,0
186,2018-06-21,18.0,18.0,18.0,18.0,0
187,2018-06-22,18.0,18.0,18.0,18.0,0
188,2018-06-25,18.0,18.0,18.0,18.0,0
189,2018-06-26,18.0,18.0,18.0,18.0,0
190,2018-06-27,18.0,18.0,18.0,18.0,0
191,2018-06-28,18.0,18.0,18.0,18.0,0
192,2018-06-29,18.0,18.0,18.0,18.0,0
193,2018-07-02,18.0,18.0,18.0,18.0,0
194,2018-07-03,18.0,18.0,18.0,18.0,0
195,2018-07-04,18.0,18.0,18.0,18.0,0
196,2018-07-05,18.0,18.0,18.0,18.0,0
197,2018-07-06,18.0,18.0,18.0,18.0,0
198,2018-07-09,18.0,18.0,18.0,18.0,0
199,2018-07-10,18.0,18.0,18.0,18.0,0
200,2018-07-11,18.0,18.0,18.0,18.0,0
201,2018-07-12,18.0,18.0,18.0,18.0,0
202,2018-07-13,18.0,18.0,18.0,18.0,0
203,2018-07-16,18.0,18.0,18.0,18.0,0
204,2018-07-17,18.0,18.0,18.0,18.0,0
205,2018-07-18,18.0,18.0,18.0,18.0,0
206,2018-07-19,18.0,18.0,18.0,18.0,0
207,2018-07-20,18.0,18.0,18.0,18.0,0
208,2018-07-23,18.0,18.0,18.0,18.0,0
209,2018-07-24,18.0,18.0,18.0,18.0,0
210,2018-07-25,18.0,18.0,18.0,18.0,0
211,2018-07-26,18.0,18.0,18.0,18.0,0
212,2018-07-27,18.0,18.0,18.0,18.0,0
213,2018-07-30,18.0,18.0,18.0,18.0,0
214,2018-07-31,18.0,18.0,18.0,18.0,0
215,2018-08-01,18.0,18.0,18.0,18.0,0
216,2018-08-02,18.0,18.0,18.0,18.0,0
217,2018-08-03,18.0,18.0,18.0,18.0,0
218,2018-08-06,18.0,18.0,18.0,18.0,0
219,2018-08-07,18.0,18.0,18.0,18.0,0
220,2018-08-08,18.0,18.0,18.0,18.0,0
221,2018-08-09,18.0,18.0,18.0,18.0,0
222,2018-08-10,18.0,18.0,18.0,18.0,0
223,2018-08-13,18.0,18.0,18.0,18.0,0
224,2018-08-14,18.0,18.0,18.0,18.0,0
225,2018-08-15,18.0,18.0,18.0,18.0,0
226,2018-08-16,18.0,18.0,18.0,18.0,0
227,2018-08-17,18.0,18.0,18.0,18.0,0
228,2018-08-20,11.1,11.1,11.0,11.0,300
229,2018-08-21,10.2,10.2,10.2,10.2,200
230,2018-08-22,11.1,11.1,11.1,11.1,300
231,2018-08-23,11.1,11.1,11.1,11.1,200
232,2018-08-24,11.1,11.1,11.1,11.1,0
233,2018-08-27,11.1,11.1,11.1,11.1,200
234,2018-08-28,11.1,11.1,11.1,11.1,0
235,2018-08-29,11.1,11.1,11.1,11.1,0
236,2018-08-30,11.1,11.1,11.1,11.1,0
237,2018-08-31,11.1,11.1,11.1,11.1,0
238,2018-09-04,11.1,11.1,11.1,11.1,100
239,2018-09-05,11.1,11.1,11.1,11.1,0
240,2018-09-06,11.1,11.1,11.1,11.1,0
241,2018-09-07,11.1,11.1,11.1,11.1,0
242,2018-09-10,11.1,11.1,11.1,11.1,0
243,2018-09-11,11.1,11.1,11.1,11.1,0
244,2018-09-12,11.1,11.1,11.1,11.1,0
245,2018-09-13,10.1,10.1,10.1,10.1,100
246,2018-09-14,10.1,10.1,10.1,10.1,0
247,2018-09-17,10.1,10.1,10.1,10.1,0
248,2018-09-18,10.1,10.1,10.1,10.1,0
249,2018-09-19,10.1,10.1,10.1,10.1,0
250,2018-09-20,10.1,10.1,10.1,10.1,0
251,2018-09-21,10.1,10.1,10.1,10.1,0
252,2018-09-24,10.1,10.1,10.1,10.1,0
253,2018-09-25,10.1,10.1,10.1,10.1,0
254,2018-09-26,10.1,10.1,10.1,10.1,0
255,2018-09-27,10.1,10.1,10.1,10.1,0
256,2018-09-28,10.1,10.1,10.1,10.1,100
257,2018-10-01,10.1,10.1,10.1,10.1,0
258,2018-10-02,10.1,10.1,10.1,10.1,0
259,2018-10-03,10.1,10.1,10.1,10.1,0
260,2018-10-04,10.1,10.1,10.1,10.1,0
261,2018-10-05,10.1,10.1,10.1,10.1,0
262,2018-10-08,8.7,8.7,8.7,8.7,100
263,2018-10-09,8.7,8.7,8.7,8.7,0
264,2018-10-10,7.5,7.5,7.4,7.4,1500
265,2018-10-11,7.4,7.4,7.4,7.4,0
266,2018-10-12,6.3,6.3,6.3,6.3,300
267,2018-10-15,6.3,6.3,6.3,6.3,0
268,2018-10-16,6.3,6.3,6.3,6.3,0
269,2018-10-17,6.3,6.3,6.3,6.3,0
270,2018-10-18,6.3,6.3,6.3,6.3,0
271,2018-10-19,6.3,6.3,6.3,6.3,0
272,2018-10-22,6.3,6.3,6.3,6.3,0
273,2018-10-23,6.3,6.3,6.3,6.3,0
274,2018-10-24,6.3,6.3,6.3,6.3,0
275,2018-10-25,6.3,6.3,6.3,6.3,0
276,2018-10-26,6.3,6.3,6.3,6.3,0
277,2018-10-29,6.3,6.3,6.3,6.3,0
278,2018-10-30,6.0,6.0,6.0,6.0,100
279,2018-10-31,6.0,6.0,6.0,6.0,0
280,2018-11-01,6.0,6.0,6.0,6.0,0
281,2018-11-02,6.0,6.0,6.0,6.0,0
282,2018-11-05,5.5,5.5,5.5,5.5,100
283,2018-11-06,5.5,5.5,5.5,5.5,0
284,2018-11-07,5.5,5.5,5.5,5.5,0
285,2018-11-08,5.5,5.5,5.5,5.5,0
286,2018-11-09,5.5,5.5,5.5,5.5,0
287,2018-11-12,5.5,5.5,5.5,5.5,0
288,2018-11-13,5.5,5.5,5.5,5.5,0
289,2018-11-14,5.5,5.5,5.5,5.5,0
290,2018-11-15,5.5,5.5,5.5,5.5,0
291,2018-11-16,5.5,5.5,5.5,5.5,0
292,2018-11-19,5.5,5.5,5.5,5.5,0
293,2018-11-20,5.5,5.5,5.5,5.5,0
294,2018-11-21,5.5,5.5,5.5,5.5,0
295,2018-11-22,5.5,5.5,5.5,5.5,0
296,2018-11-23,6.0,6.0,6.0,6.0,100
297,2018-11-26,6.0,6.0,6.0,6.0,0
298,2018-11-27,6.0,6.0,6.0,6.0,0
299,2018-11-28,6.0,6.0,6.0,6.0,0
300,2018-11-29,6.0,6.0,6.0,6.0,0
301,2018-11-30,6.0,6.0,6.0,6.0,0
302,2018-12-03,6.0,6.0,6.0,6.0,0
303,2018-12-04,6.0,6.0,6.0,6.0,0
304,2018-12-05,6.0,6.0,6.0,6.0,0
305,2018-12-06,6.0,6.0,6.0,6.0,0
306,2018-12-07,6.0,6.0,6.0,6.0,0
307,2018-12-10,6.0,6.0,6.0,6.0,0
308,2018-12-11,6.0,6.0,6.0,6.0,0
309,2018-12-12,6.0,6.0,6.0,6.0,0
310,2018-12-13,6.0,6.0,6.0,6.0,0
311,2018-12-14,6.0,6.0,6.0,6.0,0
312,2018-12-17,6.0,6.0,6.0,6.0,0
313,2018-12-18,6.0,6.0,6.0,6.0,0
314,2018-12-19,6.0,6.0,6.0,6.0,0
315,2018-12-20,6.0,6.0,6.0,6.0,0
316,2018-12-21,6.0,6.0,6.0,6.0,0
317,2018-12-24,6.0,6.0,6.0,6.0,0
318,2018-12-25,6.0,6.0,6.0,6.0,0
319,2018-12-26,6.0,6.0,6.0,6.0,0
320,2018-12-27,6.0,6.0,6.0,6.0,0
321,2018-12-28,6.0,6.0,6.0,6.0,0
322,2019-01-02,6.0,6.0,6.0,6.0,0
323,2019-01-03,6.0,6.0,6.0,6.0,0
324,2019-01-04,7.1,7.1,7.1,7.1,100
325,2019-01-07,7.1,7.1,7.1,7.1,0
326,2019-01-08,7.1,7.1,7.1,7.1,0
327,2019-01-09,7.1,7.1,7.1,7.1,0
328,2019-01-10,8.1,8.1,8.1,8.1,100
329,2019-01-11,8.1,8.1,8.1,8.1,0
330,2019-01-14,6.9,6.9,6.9,6.9,100
331,2019-01-15,6.9,6.9,6.9,6.9,0
332,2019-01-16,6.0,6.0,6.0,6.0,100
333,2019-01-17,6.0,6.0,6.0,6.0,0
334,2019-01-18,5.1,5.1,5.1,5.1,375000
335,2019-01-21,5.7,5.7,5.7,5.7,100
336,2019-01-22,6.3,6.3,6.3,6.3,100
337,2019-01-23,7.0,7.0,7.0,7.0,74800
338,2019-01-24,7.8,7.8,7.8,7.8,200
339,2019-01-25,8.5,8.5,8.5,8.5,100
340,2019-01-28,9.1,9.1,9.1,9.1,200
341,2019-01-29,9.4,9.4,9.4,9.4,100
342,2019-01-30,9.4,9.4,9.4,9.4,100
343,2019-01-31,9.3,9.3,9.3,9.3,100
344,2019-02-01,9.5,9.5,9.5,9.5,100
345,2019-02-11,9.6,9.9,9.6,9.9,200
346,2019-02-12,9.8,9.9,9.9,9.9,0
347,2019-02-13,9.8,9.9,9.9,9.9,0
348,2019-02-14,9.8,9.9,9.9,9.9,0
349,2019-02-15,9.8,9.9,9.9,9.9,0
350,2019-02-18,9.8,9.9,9.9,9.9,0
351,2019-02-19,9.8,9.9,9.9,9.9,0
352,2019-02-20,9.8,9.9,9.9,9.9,0
353,2019-02-21,9.8,9.9,9.9,9.9,0
354,2019-02-22,9.8,9.9,9.9,9.9,0
355,2019-02-25,9.8,9.9,9.9,9.9,0
356,2019-02-26,9.8,9.9,9.9,9.9,0
357,2019-02-27,9.8,9.9,9.9,9.9,0
358,2019-02-28,9.8,9.9,9.9,9.9,0
359,2019-03-01,9.8,9.9,9.9,9.9,0
360,2019-03-04,9.8,9.9,9.9,9.9,0
361,2019-03-05,9.8,9.9,9.9,9.9,0
362,2019-03-06,9.8,9.9,9.9,9.9,0
363,2019-03-07,9.8,9.9,9.9,9.9,0
364,2019-03-08,9.8,9.9,9.9,9.9,0
365,2019-03-11,9.8,9.9,9.9,9.9,0
366,2019-03-12,9.8,9.9,9.9,9.9,0
367,2019-03-13,9.8,9.9,9.9,9.9,0
368,2019-03-14,9.8,9.9,9.9,9.9,0
369,2019-03-15,9.8,9.9,9.9,9.9,0
370,2019-03-18,9.8,9.9,9.9,9.9,0
371,2019-03-19,9.8,9.9,9.9,9.9,0
372,2019-03-20,9.8,9.9,9.9,9.9,0
373,2019-03-21,9.8,9.9,9.9,9.9,0
374,2019-03-22,5.9,9.8,5.9,9.8,214000
375,2019-03-25,6.0,6.0,6.0,6.0,160000
376,2019-03-26,6.0,6.0,6.0,6.0,0
377,2019-03-27,6.9,6.9,6.9,6.9,1000
378,2019-03-28,6.9,6.9,6.9,6.9,0
379,2019-03-29,6.9,6.9,6.9,6.9,0
380,2019-04-01,7.4,7.4,7.4,7.4,500
381,2019-04-02,8.5,8.5,8.5,8.5,300
382,2019-04-03,9.7,9.7,9.7,9.7,100
383,2019-04-04,9.7,9.7,9.7,9.7,0
384,2019-04-05,9.7,9.7,9.7,9.7,0
385,2019-04-08,9.7,9.7,9.7,9.7,0
386,2019-04-09,9.7,9.7,9.7,9.7,0
387,2019-04-10,9.7,9.7,9.7,9.7,0
388,2019-04-11,9.7,9.7,9.7,9.7,0
389,2019-04-12,9.7,9.7,9.7,9.7,0
390,2019-04-16,9.7,9.7,9.7,9.7,0
391,2019-04-17,9.7,9.7,9.7,9.7,0
392,2019-04-18,9.7,9.7,9.7,9.7,0
393,2019-04-19,9.7,9.7,9.7,9.7,0
394,2019-04-22,9.7,9.7,9.7,9.7,0
395,2019-04-23,9.7,9.7,9.7,9.7,0
396,2019-04-24,9.7,9.7,9.7,9.7,0
397,2019-04-25,9.7,9.7,9.7,9.7,0
398,2019-04-26,9.7,9.7,9.7,9.7,0
399,2019-05-02,9.7,9.7,9.7,9.7,0
400,2019-05-03,9.7,9.7,9.7,9.7,0
401,2019-05-06,9.7,9.7,9.7,9.7,0
402,2019-05-07,9.7,9.7,9.7,9.7,0
403,2019-05-08,9.7,9.7,9.7,9.7,0
404,2019-05-09,9.7,9.7,9.7,9.7,0
405,2019-05-10,9.7,9.7,9.7,9.7,0
406,2019-05-13,9.7,9.7,9.7,9.7,0
407,2019-05-14,9.7,9.7,9.7,9.7,0
408,2019-05-15,9.7,9.7,9.7,9.7,0
409,2019-05-16,9.7,9.7,9.7,9.7,0
410,2019-05-17,9.7,9.7,9.7,9.7,0
411,2019-05-20,9.7,9.7,9.7,9.7,0
412,2019-05-21,9.7,9.7,9.7,9.7,0
413,2019-05-22,9.7,9.7,9.7,9.7,0
414,2019-05-23,9.7,9.7,9.7,9.7,0
415,2019-05-24,9.7,9.7,9.7,9.7,0
416,2019-05-27,9.7,9.7,9.7,9.7,0
417,2019-05-28,9.7,9.7,9.7,9.7,0
418,2019-05-29,9.7,9.7,9.7,9.7,0
419,2019-05-30,9.7,9.7,9.7,9.7,0
420,2019-05-31,9.7,9.7,9.7,9.7,0
421,2019-06-03,9.7,9.7,9.7,9.7,0
422,2019-06-04,9.7,9.7,9.7,9.7,0
423,2019-06-05,9.7,9.7,9.7,9.7,0
424,2019-06-06,9.7,9.7,9.7,9.7,0
425,2019-06-07,9.7,9.7,9.7,9.7,0
426,2019-06-10,9.7,9.7,9.7,9.7,0
427,2019-06-11,9.7,9.7,9.7,9.7,0
428,2019-06-12,9.7,9.7,9.7,9.7,0
429,2019-06-13,9.7,9.7,9.7,9.7,0
430,2019-06-14,9.7,9.7,9.7,9.7,0
431,2019-06-17,9.7,9.7,9.7,9.7,0
432,2019-06-18,9.7,9.7,9.7,9.7,0
433,2019-06-19,9.7,9.7,9.7,9.7,0
434,2019-06-20,9.7,9.7,9.7,9.7,0
435,2019-06-21,9.7,9.7,9.7,9.7,0
436,2019-06-24,9.7,9.7,9.7,9.7,0
437,2019-06-25,9.7,9.7,9.7,9.7,0
438,2019-06-26,9.7,9.7,9.7,9.7,0
439,2019-06-27,9.7,9.7,9.7,9.7,0
440,2019-06-28,9.7,9.7,9.7,9.7,0
441,2019-07-01,9.7,9.7,9.7,9.7,0
442,2019-07-02,9.7,9.7,9.7,9.7,0
