,time,open,high,low,close,volume
0,2019-07-04,9.85,9.85,9.85,9.85,0
1,2019-07-05,9.85,9.85,9.85,9.85,0
2,2019-07-08,9.85,9.85,9.85,9.85,0
3,2019-07-09,9.85,9.85,9.85,9.85,0
4,2019-07-10,9.85,9.85,9.85,9.85,0
5,2019-07-11,9.85,9.85,9.85,9.85,0
6,2019-07-12,9.85,9.85,9.85,9.85,0
7,2019-07-15,9.85,9.85,9.85,9.85,0
8,2019-07-16,9.85,9.85,9.85,9.85,0
9,2019-07-17,9.85,9.85,9.85,9.85,0
10,2019-07-18,9.85,9.85,9.85,9.85,0
11,2019-07-19,9.85,9.85,9.85,9.85,0
12,2019-07-22,9.85,9.85,9.85,9.85,0
13,2019-07-23,9.85,9.85,9.85,9.85,0
14,2019-07-24,9.85,9.85,9.85,9.85,0
15,2019-07-25,9.85,9.85,9.85,9.85,0
16,2019-07-26,9.85,9.85,9.85,9.85,0
17,2019-07-29,9.85,9.85,9.85,9.85,0
18,2019-07-30,9.85,9.85,9.85,9.85,0
19,2019-07-31,9.85,9.85,9.85,9.85,0
20,2019-08-01,9.85,9.85,9.85,9.85,0
21,2019-08-02,9.85,9.85,9.85,9.85,0
22,2019-08-05,9.85,9.85,9.85,9.85,0
23,2019-08-06,9.85,9.85,9.85,9.85,0
24,2019-08-07,9.85,9.85,9.85,9.85,0
25,2019-08-08,9.85,9.85,9.85,9.85,0
26,2019-08-09,9.85,9.85,9.85,9.85,0
27,2019-08-12,9.85,9.85,9.85,9.85,0
28,2019-08-13,9.85,9.85,9.85,9.85,0
29,2019-08-14,9.85,9.85,9.85,9.85,0
30,2019-08-15,9.85,9.85,9.85,9.85,0
31,2019-08-16,9.85,9.85,9.85,9.85,0
32,2019-08-19,9.85,9.85,9.85,9.85,0
33,2019-08-20,9.85,9.85,9.85,9.85,0
34,2019-08-21,9.85,9.85,9.85,9.85,0
35,2019-08-22,9.85,9.85,9.85,9.85,0
36,2019-08-23,9.85,9.85,9.85,9.85,0
37,2019-08-26,9.85,9.85,9.85,9.85,0
38,2019-08-27,9.85,9.85,9.85,9.85,0
39,2019-08-28,9.85,9.85,9.85,9.85,0
40,2019-08-29,9.85,9.85,9.85,9.85,0
41,2019-08-30,9.85,9.85,9.85,9.85,0
42,2019-09-03,9.85,9.85,9.85,9.85,0
43,2019-09-04,9.85,9.85,9.85,9.85,0
44,2019-09-05,9.85,9.85,9.85,9.85,0
45,2019-09-06,9.85,9.85,9.85,9.85,0
46,2019-09-09,9.85,9.85,9.85,9.85,0
47,2019-09-10,9.85,9.85,9.85,9.85,0
48,2019-09-11,9.85,9.85,9.85,9.85,0
49,2019-09-12,9.85,9.85,9.85,9.85,0
50,2019-09-13,9.85,9.85,9.85,9.85,0
51,2019-09-16,9.85,9.85,9.85,9.85,0
52,2019-09-17,9.85,9.85,9.85,9.85,0
53,2019-09-18,9.85,9.85,9.85,9.85,0
54,2019-09-19,9.85,9.85,9.85,9.85,0
55,2019-09-20,9.85,9.85,9.85,9.85,0
56,2019-09-23,9.85,9.85,9.85,9.85,0
57,2019-09-24,9.85,9.85,9.85,9.85,0
58,2019-09-25,9.85,9.85,9.85,9.85,0
59,2019-09-26,9.85,9.85,9.85,9.85,0
60,2019-09-27,9.85,9.85,9.85,9.85,0
61,2019-09-30,9.85,9.85,9.85,9.85,0
62,2019-10-01,9.85,9.85,9.85,9.85,0
63,2019-10-02,9.85,9.85,9.85,9.85,0
64,2019-10-03,9.85,9.85,9.85,9.85,0
65,2019-10-04,9.85,9.85,9.85,9.85,0
66,2019-10-07,9.85,9.85,9.85,9.85,0
67,2019-10-08,9.85,9.85,9.85,9.85,0
68,2019-10-09,9.85,9.85,9.85,9.85,0
69,2019-10-10,9.85,9.85,9.85,9.85,0
70,2019-10-11,9.85,9.85,9.85,9.85,0
71,2019-10-14,9.85,9.85,9.85,9.85,0
72,2019-10-15,9.85,9.85,9.85,9.85,0
73,2019-10-16,9.85,9.85,9.85,9.85,0
74,2019-10-17,9.85,9.85,9.85,9.85,0
75,2019-10-18,9.85,9.85,9.85,9.85,0
76,2019-10-21,9.85,9.85,9.85,9.85,0
77,2019-10-22,9.85,9.85,9.85,9.85,0
78,2019-10-23,9.85,9.85,9.85,9.85,0
79,2019-10-24,9.85,9.85,9.85,9.85,0
80,2019-10-25,9.85,9.85,9.85,9.85,0
81,2019-10-28,9.85,9.85,9.85,9.85,0
82,2019-10-29,9.85,9.85,9.85,9.85,0
83,2019-10-30,9.85,9.85,9.85,9.85,0
84,2019-10-31,9.85,9.85,9.85,9.85,0
85,2019-11-01,9.85,9.85,9.85,9.85,0
86,2019-11-04,9.85,9.85,9.85,9.85,0
87,2019-11-05,9.85,9.85,9.85,9.85,0
88,2019-11-06,9.85,9.85,9.85,9.85,0
89,2019-11-07,9.85,9.85,9.85,9.85,0
90,2019-11-08,9.85,9.85,9.85,9.85,0
91,2019-11-11,9.85,9.85,9.85,9.85,0
92,2019-11-12,9.85,9.85,9.85,9.85,0
93,2019-11-13,9.85,9.85,9.85,9.85,0
94,2019-11-14,9.85,9.85,9.85,9.85,0
95,2019-11-15,9.85,9.85,9.85,9.85,0
96,2019-11-18,9.85,9.85,9.85,9.85,0
97,2019-11-19,9.85,9.85,9.85,9.85,0
98,2019-11-20,9.85,9.85,9.85,9.85,0
99,2019-11-21,9.85,9.85,9.85,9.85,0
100,2019-11-22,9.85,9.85,9.85,9.85,0
101,2019-11-25,9.85,9.85,9.85,9.85,0
102,2019-11-26,9.85,9.85,9.85,9.85,0
103,2019-11-27,9.85,9.85,9.85,9.85,0
104,2019-11-28,9.85,9.85,9.85,9.85,0
105,2019-11-29,9.85,9.85,9.85,9.85,0
106,2019-12-02,9.85,9.85,9.85,9.85,0
107,2019-12-03,9.85,9.85,9.85,9.85,0
108,2019-12-04,9.85,9.85,9.85,9.85,0
109,2019-12-05,9.85,9.85,9.85,9.85,0
110,2019-12-06,9.85,9.85,9.85,9.85,0
111,2019-12-09,9.85,9.85,9.85,9.85,0
112,2019-12-10,9.85,9.85,9.85,9.85,0
113,2019-12-11,9.85,9.85,9.85,9.85,0
114,2019-12-12,9.85,9.85,9.85,9.85,0
115,2019-12-13,9.85,9.85,9.85,9.85,0
116,2019-12-16,9.85,9.85,9.85,9.85,0
117,2019-12-17,9.85,9.85,9.85,9.85,0
118,2019-12-18,9.85,9.85,9.85,9.85,0
119,2019-12-19,9.85,9.85,9.85,9.85,0
120,2019-12-20,9.85,9.85,9.85,9.85,0
121,2019-12-23,9.85,9.85,9.85,9.85,0
122,2019-12-24,9.85,9.85,9.85,9.85,0
123,2019-12-25,9.85,9.85,9.85,9.85,0
124,2019-12-26,9.85,9.85,9.85,9.85,0
125,2019-12-27,9.85,9.85,9.85,9.85,13000
126,2019-12-30,9.85,9.85,9.85,9.85,0
127,2019-12-31,9.85,9.85,9.85,9.85,0
128,2020-01-02,9.85,9.85,9.85,9.85,0
129,2020-01-03,9.85,9.85,9.85,9.85,0
130,2020-01-06,9.85,9.85,9.85,9.85,0
131,2020-01-07,9.85,9.85,9.85,9.85,0
132,2020-01-08,9.85,9.85,9.85,9.85,0
133,2020-01-09,9.85,9.85,9.85,9.85,0
134,2020-01-10,9.85,9.85,9.85,9.85,0
135,2020-01-13,9.85,9.85,9.85,9.85,0
136,2020-01-14,9.85,9.85,9.85,9.85,0
137,2020-01-15,9.85,9.85,9.85,9.85,0
138,2020-01-16,9.85,9.85,9.85,9.85,0
139,2020-01-17,9.85,9.85,9.85,9.85,0
140,2020-01-20,9.85,9.85,9.85,9.85,0
141,2020-01-21,9.85,9.85,9.85,9.85,0
142,2020-01-22,9.85,9.85,9.85,9.85,0
143,2020-01-30,9.85,9.85,9.85,9.85,0
144,2020-01-31,9.85,9.85,9.85,9.85,0
145,2020-02-03,9.85,9.85,9.85,9.85,0
146,2020-02-04,9.85,9.85,9.85,9.85,0
147,2020-02-05,9.85,9.85,9.85,9.85,0
148,2020-02-06,9.85,9.85,9.85,9.85,0
149,2020-02-07,9.85,9.85,9.85,9.85,0
150,2020-02-10,9.85,9.85,9.85,9.85,0
151,2020-02-11,9.85,9.85,9.85,9.85,0
152,2020-02-12,9.85,9.85,9.85,9.85,0
153,2020-02-13,9.85,9.85,9.85,9.85,0
154,2020-02-14,9.85,9.85,9.85,9.85,0
155,2020-02-17,9.85,9.85,9.85,9.85,0
156,2020-02-18,9.85,9.85,9.85,9.85,0
157,2020-02-19,9.85,9.85,9.85,9.85,0
158,2020-02-20,9.85,9.85,9.85,9.85,0
159,2020-02-21,9.85,9.85,9.85,9.85,0
160,2020-02-24,9.85,9.85,9.85,9.85,0
161,2020-02-25,9.85,9.85,9.85,9.85,0
162,2020-02-26,9.85,9.85,9.85,9.85,0
163,2020-02-27,9.85,9.85,9.85,9.85,0
164,2020-02-28,9.85,9.85,9.85,9.85,0
165,2020-03-02,9.85,9.85,9.85,9.85,0
166,2020-03-03,9.85,9.85,9.85,9.85,0
167,2020-03-04,9.85,9.85,9.85,9.85,0
168,2020-03-05,9.85,9.85,9.85,9.85,0
169,2020-03-06,9.85,9.85,9.85,9.85,0
170,2020-03-09,9.85,9.85,9.85,9.85,0
171,2020-03-10,9.85,9.85,9.85,9.85,0
172,2020-03-11,9.85,9.85,9.85,9.85,0
173,2020-03-12,9.85,9.85,9.85,9.85,0
174,2020-03-13,9.85,9.85,9.85,9.85,0
175,2020-03-16,9.85,9.85,9.85,9.85,0
