,time,open,high,low,close,volume
0,2020-06-29,12.99,13.19,12.99,13.19,2000
1,2020-06-30,13.11,13.19,13.19,13.19,0
2,2020-07-01,13.11,13.19,13.19,13.19,0
3,2020-07-02,13.11,13.19,13.19,13.19,0
4,2020-07-03,13.11,13.19,13.19,13.19,0
5,2020-07-06,12.18,12.18,12.18,12.18,500
6,2020-07-07,11.77,12.18,11.77,12.18,500
7,2020-07-08,12.18,12.18,12.18,12.18,200
8,2020-07-09,12.18,12.26,12.18,12.26,600
9,2020-07-10,12.18,12.59,12.18,12.59,400
10,2020-07-13,12.59,12.59,12.59,12.59,200
11,2020-07-14,10.72,12.59,10.72,12.59,5500
12,2020-07-15,10.6,10.6,10.6,10.6,700
13,2020-07-16,9.74,9.74,9.34,9.34,200
14,2020-07-17,9.54,9.34,9.34,9.34,0
15,2020-07-20,9.54,9.34,9.34,9.34,0
16,2020-07-21,9.54,9.34,9.34,9.34,0
17,2020-07-22,9.54,9.54,9.54,9.54,200
18,2020-07-23,9.54,9.54,9.54,9.54,0
19,2020-07-24,9.54,9.54,9.54,9.54,0
20,2020-07-27,9.54,9.54,9.54,9.54,0
21,2020-07-28,9.54,9.54,9.54,9.54,0
22,2020-07-29,9.54,9.54,9.54,9.54,0
23,2020-07-30,9.54,9.54,9.54,9.54,0
24,2020-07-31,9.54,9.54,9.54,9.54,0
25,2020-08-03,9.54,9.54,9.54,9.54,0
26,2020-08-04,10.15,10.15,9.34,9.34,12000
27,2020-08-05,10.15,9.34,9.34,9.34,0
28,2020-08-06,10.15,9.34,9.34,9.34,0
29,2020-08-07,9.54,9.54,9.54,9.54,500
30,2020-08-10,9.54,9.54,9.54,9.54,0
31,2020-08-11,9.54,9.54,9.54,9.54,0
32,2020-08-12,9.54,9.54,9.54,9.54,0
33,2020-08-13,9.54,9.54,9.54,9.54,0
34,2020-08-14,9.54,9.54,9.54,9.54,0
35,2020-08-17,9.54,9.54,9.54,9.54,0
36,2020-08-18,9.54,9.54,9.54,9.54,0
37,2020-08-19,9.54,9.54,9.54,9.54,500
38,2020-08-20,8.16,8.16,8.16,8.16,100
39,2020-08-21,6.98,6.98,6.98,6.98,100
40,2020-08-24,8.0,8.0,8.0,8.0,100
41,2020-08-25,9.13,9.13,8.93,8.93,700
42,2020-08-26,9.74,9.74,9.34,9.34,1600
43,2020-08-27,9.74,9.74,9.74,9.74,500
44,2020-08-28,9.78,9.78,9.78,9.78,1000
45,2020-08-31,9.82,9.82,9.82,9.82,300
46,2020-09-01,9.87,9.87,9.87,9.87,100
47,2020-09-03,9.87,9.87,9.87,9.87,500
48,2020-09-04,10.15,10.15,10.15,10.15,1000
49,2020-09-07,10.15,10.15,10.15,10.15,100
50,2020-09-08,10.15,10.15,10.15,10.15,1
51,2020-09-09,10.15,10.15,10.15,10.15,0
52,2020-09-10,10.15,10.15,10.15,10.15,2100
53,2020-09-11,10.15,10.15,10.15,10.15,400
54,2020-09-14,10.15,10.15,10.15,10.15,0
55,2020-09-15,10.15,10.15,10.15,10.15,0
56,2020-09-16,10.15,10.15,10.15,10.15,0
57,2020-09-17,10.15,10.15,10.15,10.15,100
58,2020-09-18,10.15,10.15,10.15,10.15,0
59,2020-09-21,10.15,10.15,10.15,10.15,0
60,2020-09-22,10.15,10.15,10.15,10.15,500
61,2020-09-23,8.69,11.65,8.69,11.65,200
62,2020-09-24,10.19,11.65,11.65,11.65,0
63,2020-09-25,8.69,8.69,8.69,8.69,100
64,2020-09-28,7.43,9.99,7.43,9.99,200
65,2020-09-29,8.73,9.99,9.99,9.99,0
66,2020-09-30,8.73,9.99,9.99,9.99,0
67,2020-10-01,10.03,10.03,10.03,10.03,100
68,2020-10-02,10.03,10.03,10.03,10.03,0
69,2020-10-05,10.35,10.35,10.35,10.35,100
70,2020-10-06,10.35,10.35,10.35,10.35,100
71,2020-10-07,10.35,10.35,10.35,10.35,0
72,2020-10-08,10.35,10.35,10.35,10.35,0
73,2020-10-09,10.35,10.35,10.35,10.35,0
74,2020-10-12,10.35,10.35,10.35,10.35,0
75,2020-10-13,10.35,10.35,10.35,10.35,0
76,2020-10-14,10.35,10.35,10.35,10.35,0
77,2020-10-15,10.35,10.35,10.35,10.35,0
78,2020-10-16,10.35,10.35,10.35,10.35,0
79,2020-10-19,10.35,10.35,10.35,10.35,0
80,2020-10-20,10.35,10.35,10.35,10.35,0
81,2020-10-21,10.35,10.35,10.35,10.35,0
82,2020-10-22,10.35,10.35,10.35,10.35,500
83,2020-10-23,10.35,10.35,10.35,10.35,500
84,2020-10-26,10.76,10.76,10.76,10.76,100
85,2020-10-27,10.76,10.76,10.76,10.76,0
86,2020-10-28,10.76,10.76,10.76,10.76,0
87,2020-10-29,10.76,10.76,10.76,10.76,0
88,2020-10-30,10.76,10.76,10.76,10.76,700
89,2020-11-02,10.76,10.76,10.76,10.76,0
90,2020-11-03,10.76,10.76,10.76,10.76,0
91,2020-11-04,10.76,10.76,10.76,10.76,5000
92,2020-11-05,10.76,10.76,10.76,10.76,2000
93,2020-11-06,10.56,10.56,10.56,10.56,100
94,2020-11-09,10.56,10.56,10.56,10.56,0
95,2020-11-10,10.56,10.56,10.56,10.56,0
96,2020-11-11,10.56,10.56,10.56,10.56,0
97,2020-11-12,10.56,10.56,10.56,10.56,0
98,2020-11-13,10.56,10.56,10.56,10.56,0
99,2020-11-16,10.56,10.56,10.56,10.56,0
100,2020-11-17,10.56,10.56,10.56,10.56,0
101,2020-11-18,10.56,10.56,10.56,10.56,0
102,2020-11-19,10.56,10.98,10.98,10.98,0
103,2020-11-20,10.56,10.98,10.98,10.98,0
104,2020-11-23,10.56,10.98,10.98,10.98,0
105,2020-11-24,9.71,9.71,9.71,9.71,1300
106,2020-11-25,9.71,9.71,9.71,9.71,0
107,2020-11-26,9.71,9.71,9.71,9.71,0
108,2020-11-27,9.71,9.71,9.71,9.71,0
109,2020-11-30,9.71,9.71,9.71,9.71,0
110,2020-12-01,9.71,9.71,9.71,9.71,0
111,2020-12-02,9.71,9.71,9.71,9.71,0
112,2020-12-03,9.71,9.71,9.71,9.71,0
113,2020-12-04,9.71,9.71,9.71,9.71,0
114,2020-12-07,9.71,9.71,9.71,9.71,0
115,2020-12-08,9.71,9.71,9.71,9.71,0
116,2020-12-09,9.71,9.71,9.71,9.71,0
117,2020-12-10,9.71,9.71,9.71,9.71,0
118,2020-12-11,9.71,9.71,9.71,9.71,0
119,2020-12-14,9.71,9.71,9.71,9.71,0
120,2020-12-15,9.71,9.71,9.71,9.71,0
121,2020-12-16,9.71,9.71,9.71,9.71,0
122,2020-12-17,9.71,9.71,9.71,9.71,0
123,2020-12-18,9.71,9.71,9.71,9.71,0
124,2020-12-21,9.71,9.71,9.71,9.71,0
125,2020-12-22,11.1,11.1,11.1,11.1,100
126,2020-12-23,11.1,11.1,11.1,11.1,0
127,2020-12-24,11.1,11.1,11.1,11.1,0
128,2020-12-25,11.1,11.1,11.1,11.1,0
129,2020-12-28,11.1,11.1,11.1,11.1,0
130,2020-12-29,11.1,11.1,11.1,11.1,0
131,2020-12-30,11.1,11.1,11.1,11.1,0
132,2020-12-31,11.1,11.1,11.1,11.1,0
133,2021-01-04,11.1,11.1,11.1,11.1,0
134,2021-01-05,11.1,11.1,11.1,11.1,0
135,2021-01-06,11.1,11.1,11.1,11.1,0
136,2021-01-07,11.82,11.82,11.82,11.82,100
137,2021-01-08,11.82,11.82,11.82,11.82,0
138,2021-01-11,11.82,11.82,11.82,11.82,0
139,2021-01-12,11.82,11.82,11.82,11.82,0
140,2021-01-13,11.82,11.82,11.82,11.82,0
141,2021-01-14,11.82,11.82,11.82,11.82,0
142,2021-01-15,11.82,11.82,11.82,11.82,0
143,2021-01-18,11.82,11.82,11.82,11.82,0
144,2021-01-19,11.82,11.82,11.82,11.82,0
145,2021-01-20,11.82,11.82,11.82,11.82,0
146,2021-01-21,11.82,11.82,11.82,11.82,0
147,2021-01-22,11.82,11.82,11.82,11.82,0
148,2021-01-25,11.82,11.82,11.82,11.82,0
149,2021-01-26,11.82,11.82,11.82,11.82,0
150,2021-01-27,11.82,11.82,11.82,11.82,0
151,2021-01-28,11.82,11.82,11.82,11.82,0
152,2021-01-29,11.82,11.82,11.82,11.82,0
153,2021-02-01,11.82,11.82,11.82,11.82,0
154,2021-02-02,11.82,11.82,11.82,11.82,0
155,2021-02-03,11.82,11.82,11.82,11.82,0
156,2021-02-04,11.82,11.82,11.82,11.82,0
157,2021-02-05,11.82,11.82,11.82,11.82,0
158,2021-02-08,11.82,11.82,11.82,11.82,200
159,2021-02-09,11.82,11.82,11.82,11.82,0
160,2021-02-17,11.82,11.82,11.82,11.82,0
