,time,open,high,low,close,volume
0,2016-03-28,3.17,3.17,2.38,2.44,339100
1,2016-03-29,2.44,2.47,2.32,2.32,182400
2,2016-03-30,2.38,2.38,2.25,2.32,46470
3,2016-03-31,2.28,2.32,2.16,2.16,317900
4,2016-04-01,2.16,2.19,2.06,2.06,195200
5,2016-04-04,2.03,2.13,2.03,2.06,85100
6,2016-04-05,2.03,2.16,2.0,2.16,118200
7,2016-04-06,2.16,2.16,2.06,2.06,22600
8,2016-04-07,2.13,2.13,2.06,2.06,47330
9,2016-04-08,2.06,2.06,2.03,2.03,36230
10,2016-04-11,2.03,2.13,2.03,2.13,77100
11,2016-04-12,2.06,2.13,2.06,2.13,12300
12,2016-04-13,2.06,2.09,2.03,2.06,31552
13,2016-04-14,2.06,2.06,2.0,2.03,81300
14,2016-04-15,2.03,2.09,2.03,2.03,123385
15,2016-04-19,2.06,2.06,1.97,1.97,37537
16,2016-04-20,2.0,2.03,1.97,2.03,124015
17,2016-04-21,2.0,2.0,1.93,1.97,99925
18,2016-04-22,1.93,1.97,1.9,1.97,167737
19,2016-04-25,2.0,2.03,2.0,2.03,68000
20,2016-04-26,1.97,1.97,1.93,1.97,57620
21,2016-04-27,1.97,2.0,1.93,1.97,24210
22,2016-04-28,1.97,2.0,1.9,1.9,104740
23,2016-04-29,1.93,1.93,1.9,1.93,55940
24,2016-05-04,1.74,1.93,1.74,1.9,36075
25,2016-05-05,1.87,1.9,1.87,1.9,79800
26,2016-05-06,1.9,1.9,1.87,1.9,33018
27,2016-05-09,1.87,1.9,1.84,1.84,33150
28,2016-05-10,1.84,1.9,1.84,1.9,24710
29,2016-05-11,1.87,1.9,1.87,1.9,16144
30,2016-05-12,1.9,1.9,1.87,1.9,8702
31,2016-05-13,1.9,1.9,1.84,1.87,41610
32,2016-05-16,1.87,1.93,1.87,1.9,50700
33,2016-05-17,1.9,1.93,1.9,1.93,59910
34,2016-05-18,1.9,1.93,1.9,1.9,17200
35,2016-05-19,1.9,1.9,1.9,1.9,16100
36,2016-05-20,1.9,1.9,1.87,1.9,43810
37,2016-05-23,1.9,1.9,1.87,1.87,8300
38,2016-05-24,1.87,1.9,1.87,1.9,5700
39,2016-05-25,1.87,1.9,1.84,1.87,60200
40,2016-05-26,1.87,1.87,1.84,1.87,8098
41,2016-05-27,1.87,1.9,1.84,1.87,57525
42,2016-05-30,1.87,1.87,1.84,1.87,13200
43,2016-05-31,1.87,1.87,1.84,1.87,22600
44,2016-06-01,1.87,1.9,1.87,1.9,5200
45,2016-06-02,1.84,1.9,1.84,1.9,9200
46,2016-06-03,1.84,1.87,1.84,1.87,12500
47,2016-06-06,1.87,1.87,1.87,1.87,35500
48,2016-06-07,1.9,1.9,1.87,1.87,8500
49,2016-06-08,1.87,1.87,1.87,1.87,4700
50,2016-06-09,1.84,1.9,1.84,1.87,19900
51,2016-06-10,1.87,1.9,1.87,1.9,23300
52,2016-06-13,1.87,1.87,1.84,1.87,28000
53,2016-06-14,1.84,1.87,1.84,1.84,16100
54,2016-06-15,1.84,1.87,1.84,1.87,18914
55,2016-06-16,1.84,1.87,1.84,1.87,21800
56,2016-06-17,1.84,1.9,1.84,1.87,79400
57,2016-06-20,1.87,1.93,1.87,1.87,57276
58,2016-06-21,1.87,1.87,1.87,1.87,18678
59,2016-06-22,1.87,1.9,1.87,1.87,447112
60,2016-06-23,1.84,1.87,1.84,1.87,1500
61,2016-06-24,1.84,1.84,1.78,1.84,123900
62,2016-06-27,1.81,1.84,1.78,1.81,10030
63,2016-06-28,1.81,1.81,1.78,1.81,7703
64,2016-06-29,1.78,1.87,1.78,1.87,31300
65,2016-06-30,1.87,1.87,1.78,1.87,78218
66,2016-07-01,1.87,1.87,1.81,1.84,12300
67,2016-07-04,1.84,1.87,1.84,1.87,56333
68,2016-07-05,1.9,1.97,1.9,1.9,94000
69,2016-07-06,1.9,1.9,1.87,1.9,29700
70,2016-07-07,1.87,1.87,1.84,1.84,72047
71,2016-07-08,1.84,1.84,1.81,1.84,35199
72,2016-07-11,1.84,1.9,1.81,1.9,53500
73,2016-07-12,1.84,1.87,1.84,1.84,17690
74,2016-07-13,1.84,1.87,1.84,1.84,44420
75,2016-07-14,1.84,1.87,1.81,1.81,48200
76,2016-07-15,1.81,1.84,1.81,1.84,9300
77,2016-07-18,1.81,1.84,1.81,1.84,816
78,2016-07-19,1.81,1.84,1.78,1.84,9624
79,2016-07-20,1.81,1.81,1.78,1.81,6400
80,2016-07-21,1.78,1.81,1.74,1.81,80806
81,2016-07-22,1.78,1.78,1.68,1.78,24700
82,2016-07-25,1.71,1.78,1.71,1.78,18530
83,2016-07-26,1.74,1.78,1.71,1.78,40135
84,2016-07-27,1.71,1.78,1.71,1.78,10600
85,2016-07-28,1.74,1.78,1.71,1.74,26100
86,2016-07-29,1.78,1.78,1.71,1.74,22400
87,2016-08-01,1.71,1.74,1.68,1.74,27100
88,2016-08-02,1.71,1.74,1.68,1.71,5566
89,2016-08-03,1.59,1.71,1.59,1.68,5300
90,2016-08-04,1.68,1.71,1.68,1.71,38400
91,2016-08-05,1.68,1.71,1.68,1.71,19900
92,2016-08-08,1.68,1.68,1.68,1.68,8700
93,2016-08-09,1.65,1.71,1.62,1.71,22600
94,2016-08-10,1.68,1.71,1.65,1.68,71600
95,2016-08-11,1.68,1.71,1.68,1.71,35600
96,2016-08-12,1.71,1.71,1.71,1.71,100
97,2016-08-15,1.68,1.68,1.65,1.68,7710
98,2016-08-16,1.68,1.68,1.68,1.68,8850
99,2016-08-17,1.68,1.71,1.65,1.71,5700
100,2016-08-18,1.68,1.71,1.65,1.71,40750
101,2016-08-19,1.71,1.71,1.62,1.68,37000
102,2016-08-22,1.65,1.68,1.65,1.68,1100
103,2016-08-23,1.62,1.68,1.59,1.68,15600
104,2016-08-24,1.62,1.68,1.62,1.68,55200
105,2016-08-25,1.62,1.68,1.59,1.68,78358
106,2016-08-26,1.65,1.68,1.65,1.68,19800
107,2016-08-29,1.68,1.68,1.59,1.59,88817
108,2016-08-30,1.62,1.62,1.62,1.62,11200
109,2016-08-31,1.62,1.65,1.59,1.62,8545
110,2016-09-01,1.62,1.65,1.59,1.65,17300
111,2016-09-05,1.65,1.65,1.62,1.65,26290
112,2016-09-06,1.62,1.65,1.62,1.65,70600
113,2016-09-07,1.62,1.65,1.62,1.65,10100
114,2016-09-08,1.62,1.65,1.62,1.65,50100
115,2016-09-09,1.62,1.65,1.62,1.65,46500
116,2016-09-12,1.62,1.65,1.62,1.62,22000
117,2016-09-13,1.65,1.65,1.65,1.65,327
118,2016-09-14,1.65,1.65,1.65,1.65,1700
119,2016-09-15,1.62,1.65,1.62,1.65,14800
120,2016-09-16,1.62,1.65,1.59,1.62,75545
121,2016-09-19,1.62,1.65,1.62,1.62,11500
122,2016-09-20,1.62,1.65,1.62,1.65,15000
123,2016-09-21,1.62,1.65,1.62,1.65,17700
124,2016-09-22,1.62,1.65,1.62,1.65,10400
125,2016-09-23,1.62,1.65,1.59,1.65,21100
126,2016-09-26,1.59,1.65,1.59,1.65,25800
127,2016-09-27,1.62,1.65,1.62,1.65,5212
