,time,open,high,low,close,volume
0,2022-10-20,15.69,15.69,15.69,15.69,0
1,2022-10-21,15.69,15.69,15.69,15.69,0
2,2022-10-24,15.69,15.69,15.69,15.69,0
3,2022-10-25,15.69,15.69,15.69,15.69,0
4,2022-10-26,15.69,15.69,15.69,15.69,0
5,2022-10-27,15.69,15.69,15.69,15.69,0
6,2022-10-28,15.69,15.69,15.69,15.69,0
7,2022-10-31,15.69,15.69,15.69,15.69,0
8,2022-11-01,15.69,15.69,15.69,15.69,0
9,2022-11-02,15.69,15.69,15.69,15.69,0
10,2022-11-03,15.69,15.69,15.69,15.69,0
11,2022-11-04,15.69,15.69,15.69,15.69,0
12,2022-11-07,15.69,15.69,15.69,15.69,0
13,2022-11-08,15.69,15.69,15.69,15.69,0
14,2022-11-09,15.69,15.69,15.69,15.69,0
15,2022-11-10,15.69,15.69,15.69,15.69,0
16,2022-11-11,15.69,15.69,15.69,15.69,0
17,2022-11-14,15.69,15.69,15.69,15.69,0
18,2022-11-15,15.69,15.69,15.69,15.69,0
19,2022-11-16,15.69,15.69,15.69,15.69,0
20,2022-11-17,15.69,15.69,15.69,15.69,0
21,2022-11-18,15.69,15.69,15.69,15.69,0
22,2022-11-21,15.69,15.69,15.69,15.69,0
23,2022-11-22,15.69,15.69,15.69,15.69,0
24,2022-11-23,15.69,15.69,15.69,15.69,0
25,2022-11-24,15.69,15.69,15.69,15.69,0
26,2022-11-25,15.69,15.69,15.69,15.69,0
27,2022-11-28,15.69,15.69,15.69,15.69,0
28,2022-11-29,15.69,15.69,15.69,15.69,0
29,2022-11-30,15.69,15.69,15.69,15.69,0
30,2022-12-01,15.69,15.69,15.69,15.69,0
31,2022-12-02,15.69,15.69,15.69,15.69,0
32,2022-12-05,15.69,15.69,15.69,15.69,0
33,2022-12-06,15.69,15.69,15.69,15.69,0
34,2022-12-07,15.69,15.69,15.69,15.69,0
35,2022-12-08,15.69,15.69,15.69,15.69,0
36,2022-12-09,15.69,15.69,15.69,15.69,0
37,2022-12-12,15.69,15.69,15.69,15.69,0
38,2022-12-13,15.69,15.69,15.69,15.69,0
39,2022-12-14,15.69,15.69,15.69,15.69,0
40,2022-12-15,15.69,15.69,15.69,15.69,0
41,2022-12-16,15.69,15.69,15.69,15.69,0
42,2022-12-19,15.69,15.69,15.69,15.69,0
43,2022-12-20,15.69,15.69,15.69,15.69,0
44,2022-12-21,15.69,15.69,15.69,15.69,0
45,2022-12-22,15.69,15.69,15.69,15.69,0
46,2022-12-23,15.69,15.69,15.69,15.69,0
47,2022-12-26,15.69,15.69,15.69,15.69,0
48,2022-12-27,15.69,15.69,15.69,15.69,0
49,2022-12-28,15.69,15.69,15.69,15.69,0
50,2022-12-29,15.69,15.69,15.69,15.69,0
51,2022-12-30,15.69,15.69,15.69,15.69,0
52,2023-01-03,15.69,15.69,15.69,15.69,0
53,2023-01-04,15.69,15.69,15.69,15.69,0
54,2023-01-05,15.69,15.69,15.69,15.69,0
55,2023-01-06,15.69,15.69,15.69,15.69,0
56,2023-01-09,15.69,15.69,15.69,15.69,0
57,2023-01-10,15.69,15.69,15.69,15.69,0
58,2023-01-11,15.69,15.69,15.69,15.69,0
59,2023-01-12,15.69,15.69,15.69,15.69,0
60,2023-01-13,15.69,15.69,15.69,15.69,0
61,2023-01-16,15.69,15.69,15.69,15.69,0
62,2023-01-17,15.69,15.69,15.69,15.69,0
63,2023-01-18,15.69,15.69,15.69,15.69,0
64,2023-01-19,15.69,15.69,15.69,15.69,0
65,2023-01-27,15.69,15.69,15.69,15.69,0
66,2023-01-30,15.69,15.69,15.69,15.69,0
67,2023-01-31,15.69,15.69,15.69,15.69,0
68,2023-02-01,15.69,15.69,15.69,15.69,0
69,2023-02-02,15.69,15.69,15.69,15.69,0
70,2023-02-03,15.69,15.69,15.69,15.69,0
71,2023-02-06,15.69,15.69,15.69,15.69,0
72,2023-02-07,15.69,15.69,15.69,15.69,0
73,2023-02-08,15.69,15.69,15.69,15.69,0
74,2023-02-09,15.69,15.69,15.69,15.69,0
75,2023-02-10,15.69,15.69,15.69,15.69,0
76,2023-02-13,15.69,15.69,15.69,15.69,0
77,2023-02-14,15.69,15.69,15.69,15.69,0
78,2023-02-15,15.69,15.69,15.69,15.69,0
79,2023-02-16,15.69,15.69,15.69,15.69,0
80,2023-02-17,15.69,15.69,15.69,15.69,0
81,2023-02-20,15.69,15.69,15.69,15.69,0
82,2023-02-21,15.69,15.69,15.69,15.69,0
83,2023-02-22,15.69,15.69,15.69,15.69,0
84,2023-02-23,15.69,15.69,15.69,15.69,0
85,2023-02-24,15.69,15.69,15.69,15.69,0
86,2023-02-27,15.69,15.69,15.69,15.69,0
87,2023-02-28,15.69,15.69,15.69,15.69,0
88,2023-03-01,15.69,15.69,15.69,15.69,0
89,2023-03-02,15.69,15.69,15.69,15.69,0
90,2023-03-03,15.69,15.69,15.69,15.69,0
91,2023-03-06,15.69,15.69,15.69,15.69,0
92,2023-03-07,15.69,15.69,15.69,15.69,0
93,2023-03-08,15.69,15.69,15.69,15.69,0
94,2023-03-09,15.69,15.69,15.69,15.69,0
95,2023-03-10,15.69,15.69,15.69,15.69,0
96,2023-03-13,15.69,15.69,15.69,15.69,0
97,2023-03-14,15.69,15.69,15.69,15.69,0
98,2023-03-15,15.69,15.69,15.69,15.69,0
99,2023-03-16,15.69,15.69,15.69,15.69,0
100,2023-03-17,15.69,15.69,15.69,15.69,0
101,2023-03-20,15.69,15.69,15.69,15.69,0
102,2023-03-21,15.69,15.69,15.69,15.69,0
103,2023-03-22,15.69,15.69,15.69,15.69,0
104,2023-03-23,15.69,15.69,15.69,15.69,0
105,2023-03-24,15.69,15.69,15.69,15.69,0
106,2023-03-27,15.69,15.69,15.69,15.69,0
107,2023-03-28,15.69,15.69,15.69,15.69,0
108,2023-03-29,15.69,15.69,15.69,15.69,0
109,2023-03-30,15.69,15.69,15.69,15.69,0
110,2023-03-31,15.69,15.69,15.69,15.69,0
111,2023-04-03,15.69,15.69,15.69,15.69,0
112,2023-04-04,15.69,15.69,15.69,15.69,0
113,2023-04-05,15.69,15.69,15.69,15.69,0
114,2023-04-06,15.69,15.69,15.69,15.69,0
115,2023-04-07,15.69,15.69,15.69,15.69,0
116,2023-04-10,15.69,15.69,15.69,15.69,0
117,2023-04-11,15.69,15.69,15.69,15.69,0
118,2023-04-12,15.69,15.69,15.69,15.69,0
119,2023-04-13,15.69,15.69,15.69,15.69,0
120,2023-04-14,15.69,15.69,15.69,15.69,0
121,2023-04-17,15.69,15.69,15.69,15.69,0
122,2023-04-18,15.69,15.69,15.69,15.69,0
123,2023-04-19,15.69,15.69,15.69,15.69,0
124,2023-04-20,15.69,15.69,15.69,15.69,0
125,2023-04-21,15.69,15.69,15.69,15.69,0
126,2023-04-24,15.69,15.69,15.69,15.69,0
