,time,open,high,low,close,volume
0,2017-01-05,41.98,41.98,29.65,29.99,163300
1,2017-01-06,30.15,30.15,28.29,29.99,53837
2,2017-01-09,28.32,28.82,27.99,28.65,22410
3,2017-01-10,28.15,28.15,26.32,27.12,56670
4,2017-01-11,26.65,26.99,25.32,26.65,49520
5,2017-01-12,26.65,27.99,26.65,27.95,15987
6,2017-01-13,27.52,28.29,27.05,27.05,12333
7,2017-01-16,26.65,26.95,25.65,26.65,5400
8,2017-01-17,26.32,26.65,25.82,26.35,15250
9,2017-01-18,26.59,26.59,26.15,26.49,11137
10,2017-01-19,26.32,26.62,25.65,26.62,26545
11,2017-01-20,26.49,26.65,25.99,26.65,11300
12,2017-01-23,26.02,26.65,25.79,26.65,39100
13,2017-01-24,25.99,26.49,25.99,26.49,4000
14,2017-01-25,26.32,26.65,25.99,26.65,9700
15,2017-02-02,26.82,27.72,26.82,27.32,5208
16,2017-02-03,27.15,27.22,26.39,26.62,12617
17,2017-02-06,26.15,26.65,25.99,26.09,3010
18,2017-02-07,26.65,26.65,25.25,26.39,68435
19,2017-02-08,25.82,25.99,25.82,25.99,400
20,2017-02-09,25.65,26.49,25.65,25.79,13900
21,2017-02-10,25.65,25.82,25.32,25.32,13920
22,2017-02-13,25.02,25.15,24.82,24.82,25000
23,2017-02-14,24.49,24.99,24.49,24.99,18191
24,2017-02-15,24.82,24.82,23.99,24.82,34609
25,2017-02-16,23.99,24.65,23.99,24.62,4830
26,2017-02-17,24.39,24.62,24.02,24.02,6958
27,2017-02-20,23.99,23.99,21.66,23.32,14495
28,2017-02-21,23.96,23.96,23.19,23.22,7960
29,2017-02-22,23.32,23.62,23.16,23.59,22730
30,2017-02-23,23.56,24.39,23.32,24.32,19200
31,2017-02-24,24.25,24.25,23.56,24.15,6900
32,2017-02-27,23.49,24.19,23.49,23.99,10346
33,2017-02-28,24.15,24.29,23.29,23.32,8627
34,2017-03-01,23.99,24.15,23.19,23.69,8740
35,2017-03-02,23.79,23.89,23.26,23.26,20921
36,2017-03-03,23.32,23.32,23.16,23.16,14742
37,2017-03-06,23.62,23.62,22.66,22.66,10240
38,2017-03-07,23.22,23.29,23.22,23.29,11100
39,2017-03-08,23.29,23.39,22.99,23.39,24130
40,2017-03-09,23.39,23.49,23.02,23.02,2158
41,2017-03-10,23.22,23.22,23.22,23.22,106
42,2017-03-13,23.32,23.32,22.49,22.49,13540
43,2017-03-14,23.22,23.66,22.72,22.72,12000
44,2017-03-15,22.82,23.26,22.39,23.26,15658
45,2017-03-16,23.26,23.26,22.29,22.79,23500
46,2017-03-17,22.82,22.99,22.66,22.66,5618
47,2017-03-20,23.16,23.16,22.49,22.49,30600
48,2017-03-21,22.89,23.52,22.46,22.49,44150
49,2017-03-22,23.12,23.12,22.49,22.49,25300
50,2017-03-23,22.99,23.02,22.32,22.36,6720
51,2017-03-24,22.32,22.82,22.19,22.49,13975
52,2017-03-27,22.46,22.46,21.32,21.32,34718
53,2017-03-28,21.32,21.96,20.66,20.66,60170
54,2017-03-29,20.99,20.99,20.49,20.49,14100
55,2017-03-30,21.16,21.66,20.99,21.66,82700
56,2017-03-31,21.32,22.19,21.32,22.19,25360
57,2017-04-03,22.49,22.66,22.32,22.66,47740
58,2017-04-04,22.66,22.66,22.49,22.52,20344
59,2017-04-05,22.49,22.66,21.66,21.66,11300
60,2017-04-07,22.16,22.16,21.42,21.42,608
61,2017-04-10,21.09,21.62,21.09,21.09,7444
62,2017-04-11,21.66,21.66,21.32,21.66,54854
63,2017-04-12,21.96,21.99,21.32,21.66,41900
64,2017-04-13,21.66,21.66,21.52,21.59,10200
65,2017-04-14,21.36,21.96,21.32,21.96,17000
66,2017-04-17,21.66,21.66,21.39,21.49,6000
67,2017-04-18,21.46,21.62,20.99,21.49,9620
68,2017-04-19,21.06,21.49,20.99,20.99,14420
69,2017-04-20,21.16,21.16,20.99,20.99,5420
70,2017-04-21,20.99,21.29,20.82,21.29,6900
71,2017-04-24,20.82,20.99,20.82,20.99,3740
72,2017-04-25,20.69,21.36,20.69,21.29,2110
73,2017-04-26,20.82,21.02,20.82,20.99,7720
74,2017-04-27,20.96,21.16,20.96,20.99,15200
75,2017-04-28,20.99,20.99,20.69,20.82,6030
76,2017-05-03,20.66,20.86,20.52,20.52,7600
77,2017-05-04,20.39,20.62,20.32,20.32,8700
78,2017-05-05,20.36,20.36,20.32,20.32,5250
79,2017-05-08,20.49,20.49,20.02,20.02,1550
80,2017-05-09,20.16,20.16,19.86,19.92,13800
81,2017-05-10,19.99,20.12,19.82,19.99,5127
82,2017-05-11,20.02,20.02,19.79,19.82,4380
83,2017-05-12,20.32,20.46,19.82,20.32,26721
84,2017-05-15,20.49,20.49,19.99,19.99,6420
85,2017-05-16,20.19,20.19,19.72,19.72,700
86,2017-05-17,19.99,19.99,19.99,19.99,1430
87,2017-05-18,19.99,20.29,19.99,20.02,20503
88,2017-05-19,23.02,23.02,20.66,20.99,34730
89,2017-05-22,20.99,21.16,20.96,21.16,28602
90,2017-05-23,21.02,21.29,21.02,21.16,27034
91,2017-05-24,21.09,21.56,21.09,21.36,33660
92,2017-05-25,21.62,21.99,21.49,21.96,33660
93,2017-05-26,21.99,22.82,21.96,22.66,79283
94,2017-05-29,22.66,22.72,22.32,22.32,88499
95,2017-05-30,22.62,22.73,22.62,22.66,59800
96,2017-05-31,22.66,22.66,22.62,22.66,39300
97,2017-06-01,22.69,22.84,22.66,22.66,20467
98,2017-06-02,22.66,22.69,22.66,22.66,39910
99,2017-06-05,22.84,22.84,22.66,22.69,29421
100,2017-06-06,22.48,23.02,22.48,23.02,75720
101,2017-06-07,22.84,23.19,22.77,22.84,27174
102,2017-06-08,23.02,23.02,22.44,22.44,7300
103,2017-06-09,22.84,22.84,22.12,22.3,15800
104,2017-06-12,22.12,22.12,21.98,21.98,19850
105,2017-06-13,21.98,21.98,21.41,21.48,14650
106,2017-06-14,21.41,21.77,21.34,21.34,17700
107,2017-06-15,21.34,21.34,21.16,21.16,10150
108,2017-06-16,21.37,21.37,21.37,21.37,3250
109,2017-06-19,21.16,21.16,21.05,21.05,3414
110,2017-06-20,21.37,21.41,21.05,21.05,3100
111,2017-06-21,21.02,21.02,20.98,20.98,1243
112,2017-06-22,20.91,20.98,20.91,20.98,2802
113,2017-06-23,20.8,20.8,20.34,20.34,12850
114,2017-06-26,20.34,20.34,19.98,19.98,4521
115,2017-06-27,19.98,20.16,19.63,19.91,16020
116,2017-06-28,20.62,20.62,20.34,20.34,8984
117,2017-06-29,20.52,21.05,20.52,20.7,7000
118,2017-06-30,21.05,21.41,20.87,20.87,13650
119,2017-07-03,20.73,21.52,20.7,21.52,14550
120,2017-07-04,21.41,21.59,20.98,21.27,9780
121,2017-07-05,20.73,21.41,20.73,21.41,650
122,2017-07-06,20.87,21.41,20.87,21.34,28800
123,2017-07-07,21.16,21.3,21.16,21.3,6050
124,2017-07-10,21.16,21.16,20.73,20.73,3650
125,2017-07-11,20.98,20.98,20.7,20.7,900
126,2017-07-12,20.95,20.95,20.95,20.95,0
127,2017-07-13,20.95,20.95,19.98,19.98,300
128,2017-07-14,20.34,20.34,20.02,20.02,5800
129,2017-07-17,20.16,20.16,19.91,19.91,8920
130,2017-07-18,20.34,20.34,19.98,19.98,3700
131,2017-07-19,19.84,20.52,19.63,20.52,32562
132,2017-07-20,20.02,20.02,19.63,19.8,15050
133,2017-07-21,19.73,19.73,19.63,19.63,2605
134,2017-07-24,19.45,19.45,18.73,18.8,6500
135,2017-07-25,18.91,19.02,18.91,18.98,1500
136,2017-07-26,19.02,19.02,18.98,19.02,3220
137,2017-07-27,19.66,21.41,19.66,21.41,16100
138,2017-07-28,21.34,21.41,21.23,21.27,3800
139,2017-07-31,20.34,21.2,19.98,21.2,3900
140,2017-08-01,20.34,21.23,20.34,21.05,8800
141,2017-08-02,20.59,20.59,20.59,20.59,3000
142,2017-08-03,20.16,20.34,20.16,20.34,450
143,2017-08-04,20.2,20.23,20.16,20.16,1900
144,2017-08-07,20.13,20.7,19.98,20.7,18210
145,2017-08-08,20.23,20.23,20.16,20.16,1800
146,2017-08-09,20.2,20.41,20.2,20.41,720
147,2017-08-10,20.34,20.34,19.98,19.98,6100
148,2017-08-11,19.98,19.98,19.98,19.98,1200
149,2017-08-14,19.95,19.95,19.38,19.45,2515
150,2017-08-15,19.55,19.55,19.27,19.45,700
151,2017-08-16,19.34,19.63,19.34,19.63,3853
152,2017-08-17,19.63,19.95,19.63,19.95,6679
153,2017-08-18,19.63,20.02,19.63,19.8,5710
154,2017-08-21,19.63,19.63,19.41,19.63,10375
155,2017-08-22,19.59,19.63,19.55,19.55,3033
156,2017-08-23,19.52,19.52,19.27,19.27,3110
157,2017-08-24,19.27,19.41,19.13,19.23,8683
158,2017-08-25,19.2,19.2,19.09,19.09,4337
159,2017-08-28,19.13,19.16,18.73,18.73,11373
160,2017-08-29,18.66,19.02,18.59,18.59,5730
161,2017-08-30,18.7,18.91,18.7,18.84,2312
162,2017-08-31,18.91,21.23,18.77,20.7,20441
163,2017-09-01,19.88,20.16,19.88,19.98,1910
164,2017-09-05,20.02,20.02,20.02,19.98,25
165,2017-09-06,18.77,19.27,18.77,19.27,490
166,2017-09-07,18.91,19.27,18.84,19.13,6680
167,2017-09-08,19.13,19.2,19.02,19.13,5681
168,2017-09-11,18.98,19.27,18.98,19.16,8199
169,2017-09-12,19.27,19.34,19.13,19.27,11000
170,2017-09-13,19.13,19.27,19.09,19.27,16442
171,2017-09-14,19.16,19.52,19.16,19.27,10040
172,2017-09-15,19.3,19.3,19.3,19.3,1170
173,2017-09-18,19.16,19.16,18.91,19.09,8453
174,2017-09-19,18.91,18.91,18.8,18.91,3067
175,2017-09-20,18.88,18.91,18.84,18.91,8341
176,2017-09-21,18.88,18.88,18.8,18.88,4700
177,2017-09-22,19.27,19.27,18.91,18.91,8676
178,2017-09-25,18.91,18.91,18.88,18.91,11150
179,2017-09-26,19.02,19.02,18.56,18.63,8673
180,2017-09-27,18.88,18.88,18.63,18.63,7680
181,2017-09-28,18.88,18.88,18.59,18.77,8610
182,2017-09-29,18.88,18.91,18.88,18.91,13700
183,2017-10-02,18.91,19.45,18.73,19.27,24342
184,2017-10-03,18.91,18.91,18.84,18.88,6470
185,2017-10-04,18.91,19.27,18.91,19.27,20350
186,2017-10-05,19.27,19.63,19.27,19.59,41456
187,2017-10-06,19.13,19.66,19.13,19.63,10881
188,2017-10-09,19.59,19.59,19.27,19.3,2455
189,2017-10-10,19.09,19.3,19.09,19.3,2800
190,2017-10-11,19.3,19.45,19.2,19.34,6565
191,2017-10-12,19.3,19.98,18.91,19.98,26990
192,2017-10-13,19.63,19.98,19.63,19.98,12370
193,2017-10-16,19.98,19.98,19.63,19.98,7533
194,2017-10-17,19.63,19.98,19.63,19.8,9074
195,2017-10-18,19.8,19.98,19.8,19.8,8357
196,2017-10-19,19.41,19.8,19.41,19.8,301
197,2017-10-20,19.27,19.77,19.27,19.63,610
198,2017-10-23,19.55,19.98,19.38,19.91,26121
199,2017-10-24,19.48,19.48,19.45,19.45,1891
200,2017-10-25,19.45,19.45,19.3,19.3,3770
201,2017-10-26,19.63,19.63,19.27,19.34,5503
202,2017-10-27,19.34,19.34,19.09,19.09,24766
203,2017-10-30,19.3,19.98,19.27,19.63,26554
204,2017-10-31,19.52,19.66,19.52,19.63,28640
205,2017-11-01,19.45,20.05,19.45,19.98,54063
206,2017-11-02,20.16,21.41,19.98,21.05,271120
207,2017-11-03,21.05,21.05,20.59,21.05,42170
208,2017-11-06,20.77,20.87,20.66,20.66,13600
209,2017-11-07,20.59,20.7,20.59,20.7,18050
210,2017-11-08,20.62,21.48,20.62,21.05,38930
211,2017-11-09,21.05,21.2,20.87,21.2,6717
212,2017-11-10,20.7,20.8,20.66,20.66,9101
213,2017-11-13,20.7,20.95,20.59,20.91,370112
214,2017-11-14,20.73,21.41,20.73,21.23,436911
215,2017-11-15,21.23,21.37,21.09,21.09,26640
216,2017-11-16,21.05,21.23,20.7,20.7,22880
217,2017-11-17,20.91,21.2,20.73,20.87,27700
218,2017-11-20,20.87,20.87,20.77,20.77,26272
219,2017-11-21,20.77,21.23,20.77,21.2,11240
220,2017-11-22,20.77,21.05,20.77,20.77,12556
221,2017-11-23,21.23,21.23,20.95,20.95,10020
222,2017-11-24,20.84,20.84,20.77,20.77,14200
223,2017-11-27,20.8,22.12,20.8,21.77,131327
224,2017-11-28,21.77,21.84,21.52,21.52,29321
225,2017-11-29,21.7,21.77,21.59,21.59,18362
226,2017-11-30,21.73,23.19,21.73,23.19,88965
227,2017-12-01,23.19,23.23,22.84,23.05,27821
228,2017-12-04,22.84,23.19,22.66,22.84,20397
229,2017-12-05,22.84,23.02,22.73,22.84,42742
230,2017-12-06,22.66,23.19,22.66,22.84,37395
231,2017-12-07,22.87,23.19,19.63,23.76,131617
232,2017-12-08,23.41,24.8,23.41,24.8,44574
233,2017-12-11,24.62,24.73,24.23,24.62,41638
234,2017-12-12,24.62,25.05,24.55,24.87,111286
235,2017-12-13,24.94,25.66,24.94,25.55,29862
236,2017-12-14,25.44,26.58,25.33,26.23,79772
237,2017-12-15,26.76,27.12,26.23,26.41,62617
238,2017-12-18,26.48,26.51,25.69,25.76,35007
239,2017-12-19,25.66,26.05,25.55,25.69,24157
240,2017-12-20,25.69,25.69,25.55,25.55,19473
241,2017-12-21,25.69,25.87,25.69,25.69,12636
242,2017-12-22,25.76,26.23,25.73,25.73,13152
243,2017-12-25,25.98,25.98,24.8,25.33,7643
244,2017-12-26,25.69,26.05,25.33,25.33,10705
245,2017-12-27,25.69,25.69,24.8,24.8,39930
246,2017-12-28,25.05,25.05,24.69,24.69,16988
247,2017-12-29,24.62,24.62,24.51,24.51,30948
248,2018-01-02,24.62,25.33,24.51,24.98,19225
249,2018-01-03,24.98,25.69,24.98,25.69,34810
250,2018-01-04,25.33,26.76,25.33,26.51,72890
251,2018-01-05,26.41,27.55,26.23,27.12,92966
252,2018-01-08,27.12,28.23,27.12,28.19,45998
253,2018-01-09,28.19,28.19,27.65,27.83,34100
254,2018-01-10,27.83,28.01,24.98,27.12,55041
255,2018-01-11,26.76,27.48,26.76,27.3,51566
256,2018-01-12,27.12,27.65,27.12,27.48,37203
257,2018-01-15,27.48,28.01,27.37,27.9,50803
258,2018-01-16,27.83,28.15,27.69,27.9,74092
259,2018-01-17,28.01,28.4,27.65,27.83,106627
260,2018-01-18,27.83,28.01,27.69,28.01,51492
261,2018-01-19,28.01,28.19,27.83,28.01,23737
262,2018-01-22,27.65,27.98,26.76,26.87,27870
263,2018-01-23,27.55,28.19,26.87,27.83,54242
264,2018-01-24,28.15,29.62,27.83,29.01,116787
265,2018-01-25,28.55,28.9,27.94,27.94,38291
266,2018-01-26,28.01,28.55,27.94,28.05,21803
267,2018-01-29,28.05,28.19,27.12,27.83,82719
268,2018-01-30,28.19,28.19,27.83,27.87,45648
269,2018-01-31,28.19,28.3,27.9,27.9,57133
270,2018-02-01,27.9,28.15,27.51,27.98,10696
271,2018-02-02,27.83,27.83,27.12,27.48,74308
272,2018-02-05,27.23,27.65,26.05,26.05,90344
273,2018-02-06,24.98,28.55,22.94,28.55,106523
274,2018-02-07,27.83,27.83,27.3,27.3,23281
275,2018-02-08,27.3,27.48,27.3,27.3,16469
276,2018-02-09,26.76,27.3,25.55,26.76,124020
277,2018-02-12,26.76,27.12,26.76,26.76,8703
278,2018-02-13,26.8,27.65,26.8,27.65,5260
279,2018-02-21,27.12,28.26,27.05,28.05,48803
280,2018-02-22,27.83,28.05,27.83,28.05,21510
281,2018-02-23,27.83,28.05,27.83,27.94,12300
282,2018-02-26,27.98,28.8,27.98,28.55,66464
283,2018-02-27,27.83,28.62,27.83,28.62,17353
284,2018-02-28,28.37,28.55,28.37,28.55,31182
285,2018-03-01,28.55,28.9,28.47,28.9,26523
286,2018-03-02,28.37,29.22,28.37,28.9,28729
287,2018-03-05,28.37,29.08,28.37,29.08,14751
288,2018-03-06,28.55,29.22,28.55,29.08,18946
289,2018-03-07,28.76,29.26,28.76,28.83,8247
290,2018-03-08,28.55,29.9,28.55,29.9,22891
291,2018-03-09,29.97,30.97,29.62,30.97,50410
292,2018-03-12,30.69,31.94,30.69,31.83,72076
293,2018-03-13,31.51,31.76,31.4,31.69,31672
294,2018-03-14,31.47,32.11,31.44,32.11,58540
295,2018-03-15,31.58,32.11,31.58,31.94,47605
296,2018-03-16,32.72,33.01,32.72,32.72,107903
297,2018-03-19,32.83,33.9,32.83,33.72,43067
298,2018-03-20,33.47,35.33,33.47,35.33,47528
299,2018-03-21,35.15,35.15,34.26,34.26,19024
300,2018-03-22,33.93,33.93,33.19,33.54,36587
301,2018-03-23,33.54,33.76,32.86,33.76,55354
302,2018-03-26,33.47,34.97,33.47,34.97,38641
303,2018-03-27,34.61,34.97,34.61,34.93,21532
304,2018-03-28,34.97,34.97,34.61,34.9,9842
305,2018-03-29,34.26,34.26,34.26,34.26,8241
306,2018-03-30,34.26,34.51,34.26,34.33,15341
307,2018-04-02,33.08,34.26,33.08,34.26,17941
308,2018-04-03,33.9,34.26,33.72,34.22,18189
309,2018-04-04,33.9,34.26,33.9,33.9,7926
310,2018-04-05,33.9,34.65,33.04,34.26,37510
311,2018-04-06,34.29,34.61,34.26,34.54,15410
312,2018-04-09,34.26,34.29,34.26,34.26,24145
313,2018-04-10,33.86,34.26,33.86,34.26,39720
314,2018-04-11,33.9,34.26,33.9,34.26,27549
315,2018-04-12,33.29,34.26,33.29,34.26,21352
316,2018-04-13,34.26,34.33,34.26,34.33,57148
317,2018-04-16,34.36,36.4,34.26,36.04,74185
318,2018-04-17,35.68,37.36,35.68,36.93,40447
319,2018-04-18,37.47,37.47,36.61,37.11,100868
320,2018-04-19,36.4,36.4,34.97,36.4,128668
321,2018-04-20,36.4,37.11,36.04,37.0,71681
322,2018-04-23,36.04,37.79,36.04,37.79,115790
323,2018-04-24,37.11,38.0,37.11,38.0,93790
324,2018-04-26,37.82,38.0,36.68,37.47,52552
325,2018-04-27,37.29,40.14,37.04,40.14,51172
326,2018-05-02,39.04,39.04,36.75,38.54,11045
327,2018-05-03,36.75,39.93,35.22,39.93,105706
328,2018-05-04,38.18,41.04,37.82,39.82,171811
329,2018-05-07,39.96,39.96,38.54,38.54,3567
330,2018-05-08,37.47,41.04,37.47,39.96,116629
331,2018-05-09,40.29,40.29,39.25,40.14,10521
332,2018-05-10,40.0,40.0,38.93,38.93,850
333,2018-05-11,38.54,38.89,38.18,38.18,5260
334,2018-05-14,36.4,37.47,35.68,37.47,14344
335,2018-05-15,39.96,39.96,36.4,36.4,7283
336,2018-05-16,36.79,36.79,36.79,36.79,163
337,2018-05-17,34.26,36.04,34.26,36.04,1130
338,2018-05-18,37.82,37.82,34.43,34.43,5139
339,2018-05-21,34.43,34.43,33.19,33.54,6870
340,2018-05-22,34.26,35.68,33.97,34.97,26304
341,2018-05-23,34.83,35.33,34.43,35.29,2321
342,2018-05-24,34.97,35.68,32.83,35.68,300
343,2018-05-25,34.26,34.26,33.9,33.93,604
344,2018-05-28,33.9,33.9,31.4,31.4,1830
345,2018-05-29,32.83,32.83,32.11,32.83,4704
346,2018-05-30,32.11,35.33,31.51,35.15,6430
347,2018-05-31,36.4,36.4,36.36,36.36,600
348,2018-06-01,33.9,35.68,33.9,35.68,1100
349,2018-06-04,36.4,36.4,35.33,35.33,790
350,2018-06-05,32.11,34.61,32.11,34.61,5470
351,2018-06-06,34.29,34.79,33.22,34.79,9322
352,2018-06-07,35.15,35.15,33.93,33.93,7190
353,2018-06-08,35.68,36.75,34.01,35.22,5270
354,2018-06-11,36.75,36.75,34.61,34.61,3800
355,2018-06-12,35.68,35.68,33.9,35.68,9203
356,2018-06-13,35.65,35.65,34.29,35.33,2726
357,2018-06-14,35.29,35.29,34.26,34.26,5800
358,2018-06-15,37.05,37.05,37.05,37.05,107
359,2018-06-18,37.05,37.05,36.3,36.3,5700
360,2018-06-19,38.55,38.55,32.56,37.24,8839
361,2018-06-20,35.56,37.05,35.56,37.05,207
362,2018-06-21,35.56,35.59,33.68,35.56,6000
363,2018-06-22,35.29,35.29,35.29,35.56,10
364,2018-06-25,33.76,33.87,33.76,33.76,8853
365,2018-06-26,35.71,35.71,34.02,34.02,7110
366,2018-06-27,34.02,35.18,34.02,34.02,24000
367,2018-06-28,35.56,35.56,34.02,34.02,27640
368,2018-06-29,35.37,35.37,33.68,33.68,112240
369,2018-07-02,34.77,34.77,32.94,33.68,50012
370,2018-07-03,33.68,33.68,33.68,33.68,157500
371,2018-07-04,33.42,34.21,33.42,33.68,180090
372,2018-07-05,33.68,33.68,33.42,33.42,76800
373,2018-07-06,32.97,33.65,32.86,33.65,82530
374,2018-07-09,32.97,32.97,32.97,32.97,350
375,2018-07-10,32.97,33.05,32.97,33.05,300
376,2018-07-11,33.01,33.01,32.94,32.94,150081
377,2018-07-12,33.68,33.68,32.97,32.97,86135
378,2018-07-13,34.55,34.55,32.97,32.97,55000
379,2018-07-16,33.01,33.05,33.01,33.05,5632
380,2018-07-17,32.94,33.68,32.94,33.68,3200
381,2018-07-18,33.68,33.68,32.97,33.01,9750
382,2018-07-19,33.2,33.2,33.2,33.01,94
383,2018-07-20,34.02,34.06,34.02,34.06,1000
384,2018-07-23,34.02,34.13,34.02,34.06,21900
385,2018-07-24,34.06,34.43,34.06,34.43,5201
386,2018-07-25,34.43,34.81,34.28,34.81,16910
387,2018-07-26,34.43,34.43,34.32,34.32,1909
388,2018-07-27,34.43,34.43,34.43,34.43,11000
389,2018-07-30,34.81,34.81,34.81,34.81,20641
390,2018-07-31,34.81,34.81,34.81,34.81,44
391,2018-08-01,34.84,34.84,34.81,34.81,1410
392,2018-08-02,34.43,34.81,34.43,34.81,1874
393,2018-08-03,34.47,35.56,34.47,35.56,18369
394,2018-08-06,35.52,35.52,35.52,35.52,0
395,2018-08-07,34.84,35.37,34.84,35.37,2740
396,2018-08-08,35.56,35.93,35.56,35.93,4698
397,2018-08-09,36.64,37.05,36.64,36.68,20432
398,2018-08-10,36.68,36.68,36.68,36.68,1922
399,2018-08-13,36.68,41.92,36.68,38.55,3342
400,2018-08-14,38.18,38.18,37.02,37.05,15000
401,2018-08-15,37.05,37.09,37.05,37.09,34512
402,2018-08-16,37.05,37.05,36.68,36.87,13846
403,2018-08-17,36.68,36.79,36.68,36.68,5222
404,2018-08-20,36.27,36.3,36.27,36.27,18011
405,2018-08-21,36.12,36.3,36.12,36.27,4163
406,2018-08-22,36.12,36.72,36.12,36.72,13613
407,2018-08-23,36.68,36.68,36.3,36.49,43490
408,2018-08-24,36.3,37.05,36.3,37.05,53030
409,2018-08-27,41.58,41.75,38.69,38.74,5388
410,2018-08-28,40.76,40.76,36.07,37.01,3730
411,2018-08-29,37.44,37.87,37.01,37.44,8323
412,2018-08-30,37.44,38.09,37.01,37.96,16200
413,2018-08-31,37.87,38.74,37.87,38.0,3222
414,2018-09-04,37.96,38.65,37.96,38.09,7370
415,2018-09-05,38.09,38.09,38.05,38.09,8800
416,2018-09-06,37.87,38.18,37.87,38.13,10117
417,2018-09-07,38.13,38.22,38.13,38.13,6038
418,2018-09-10,38.13,38.13,38.09,38.09,18095
419,2018-09-11,37.87,38.09,37.87,38.09,8288
420,2018-09-12,37.87,38.09,37.87,38.09,6397
421,2018-09-13,37.87,38.13,37.87,38.13,1846
422,2018-09-14,38.09,38.09,38.09,38.09,7715
423,2018-09-17,37.44,37.87,37.44,37.87,686
424,2018-09-18,37.79,37.87,37.79,37.87,3890
425,2018-09-19,37.87,37.87,37.87,37.87,6124
426,2018-09-20,37.87,38.31,37.87,37.87,5899
427,2018-09-21,37.87,38.09,37.87,38.09,10763
428,2018-09-24,38.26,38.26,38.09,38.09,4775
429,2018-09-25,38.09,38.31,38.09,38.31,5904
430,2018-09-26,37.87,38.74,37.87,38.74,21475
431,2018-09-27,38.09,38.52,38.09,38.13,7510
432,2018-09-28,38.74,38.74,38.65,38.74,7658
433,2018-10-01,38.13,38.95,38.13,38.78,24363
434,2018-10-02,38.95,38.95,38.78,38.78,400
435,2018-10-03,38.74,38.95,38.74,38.95,5502
436,2018-10-04,38.95,38.95,38.74,38.78,21179
437,2018-10-05,38.82,38.95,38.74,38.74,8980
438,2018-10-08,38.74,38.74,37.44,38.74,7538
439,2018-10-09,38.43,38.43,38.43,38.43,113
440,2018-10-10,38.74,38.74,37.96,38.0,8285
441,2018-10-11,38.56,38.56,38.43,38.43,3569
442,2018-10-12,37.01,37.01,37.01,37.01,100
443,2018-10-15,37.01,37.44,37.01,37.01,7542
444,2018-10-16,37.06,37.06,37.01,37.06,2480
445,2018-10-17,37.14,37.14,37.06,37.06,1106
446,2018-10-18,37.4,37.4,37.4,37.4,599
447,2018-10-19,36.58,36.58,36.58,36.58,10000
448,2018-10-22,36.58,36.63,36.58,36.63,1175
449,2018-10-23,35.29,37.01,35.29,35.29,3123
450,2018-10-24,36.58,36.58,35.72,36.58,3182
451,2018-10-25,36.5,36.5,34.47,36.15,767
452,2018-10-26,36.07,36.37,35.77,35.89,2170
453,2018-10-29,35.72,36.11,35.72,35.72,1712
454,2018-10-30,35.77,37.01,35.77,37.01,18085
455,2018-10-31,32.28,37.44,32.28,36.37,4170
456,2018-11-01,36.15,36.58,36.15,36.15,4265
457,2018-11-02,36.58,36.58,36.58,36.58,136
458,2018-11-05,38.31,38.31,36.58,36.58,11326
459,2018-11-06,36.67,37.23,36.67,37.01,13610
460,2018-11-07,36.37,37.14,36.37,37.01,6286
461,2018-11-08,37.01,37.44,37.01,37.44,3061
462,2018-11-09,37.01,37.01,37.01,37.01,2076
463,2018-11-12,37.01,37.87,37.01,37.87,26607
464,2018-11-13,38.09,38.74,37.44,38.74,14807
465,2018-11-14,38.52,38.74,38.52,38.74,43849
466,2018-11-15,38.31,39.6,38.31,39.17,21230
467,2018-11-16,39.04,40.24,39.04,40.11,40426
468,2018-11-19,39.6,40.16,39.6,40.24,43767
469,2018-11-20,40.03,40.03,39.81,40.03,44475
470,2018-11-21,39.94,40.41,39.94,40.41,7645
471,2018-11-22,40.03,40.03,39.85,39.85,28806
472,2018-11-23,40.41,40.41,38.78,38.82,2912
473,2018-11-26,39.94,39.94,39.94,39.94,180
474,2018-11-27,38.39,39.6,38.39,39.6,5183
475,2018-11-28,39.17,39.34,39.17,39.34,4634
476,2018-11-29,39.29,40.24,38.95,40.24,30631
477,2018-11-30,39.6,39.6,39.6,39.6,9150
