,time,open,high,low,close,volume
0,2009-07-23,4.11,4.67,3.36,4.11,12200
1,2009-07-24,4.19,4.22,4.11,4.22,5900
2,2009-07-27,4.49,4.49,4.47,4.49,5300
3,2009-07-28,4.75,4.75,4.19,4.19,4200
4,2009-07-29,4.26,4.26,4.26,4.26,5900
5,2009-07-30,3.98,4.0,3.98,3.98,1200
6,2009-07-31,3.74,3.91,3.72,3.91,5700
7,2009-08-03,4.04,4.04,3.91,4.02,4600
8,2009-08-04,4.02,4.02,4.02,4.02,0
9,2009-08-05,4.11,4.11,3.92,4.11,2100
10,2009-08-06,4.24,4.24,4.24,4.24,100
11,2009-08-07,3.96,4.02,3.96,4.02,700
12,2009-08-10,3.96,3.96,3.92,3.92,7900
13,2009-08-11,3.94,4.21,3.92,4.21,89000
14,2009-08-12,4.3,4.37,4.3,4.37,128100
15,2009-08-13,4.67,4.67,4.39,4.39,30900
16,2009-08-14,4.67,4.67,4.22,4.26,4400
17,2009-08-17,4.13,4.19,4.13,4.13,5100
18,2009-08-18,3.85,3.89,3.85,3.89,21100
19,2009-08-19,4.02,4.11,4.02,4.11,33100
20,2009-08-20,4.09,4.24,4.09,4.11,8300
21,2009-08-21,4.37,4.37,3.92,3.92,2600
22,2009-08-24,3.91,3.92,3.74,3.92,19900
23,2009-08-25,3.96,3.96,3.87,3.92,8400
24,2009-08-26,3.72,3.92,3.72,3.74,4400
25,2009-08-27,3.91,3.91,3.78,3.81,5100
26,2009-08-28,3.74,4.07,3.74,4.07,39600
27,2009-08-31,4.22,4.34,4.22,4.34,69600
28,2009-09-01,4.26,4.35,4.26,4.32,19300
29,2009-09-03,4.11,4.13,4.02,4.13,9600
30,2009-09-04,3.92,3.92,3.83,3.92,6500
31,2009-09-07,3.83,3.92,3.74,3.83,19100
32,2009-09-08,3.92,4.02,3.76,3.85,5900
33,2009-09-09,3.85,3.89,3.83,3.83,14700
34,2009-09-10,3.85,3.85,3.74,3.83,11800
35,2009-09-11,3.76,3.81,3.76,3.79,23700
36,2009-09-14,3.89,3.96,3.85,3.92,11000
37,2009-09-15,3.81,3.83,3.81,3.81,3500
38,2009-09-16,3.83,3.83,3.74,3.74,4900
39,2009-09-17,3.83,3.85,3.78,3.83,4900
40,2009-09-18,3.83,3.83,3.83,3.83,3500
41,2009-09-21,3.92,3.92,3.79,3.79,11100
42,2009-09-22,3.79,3.81,3.74,3.78,19500
43,2009-09-23,3.78,3.83,3.78,3.83,5800
44,2009-09-24,3.78,3.79,3.74,3.74,8300
45,2009-09-25,3.72,3.76,3.7,3.76,8800
46,2009-09-28,3.72,3.72,3.72,3.72,1100
47,2009-09-29,3.7,3.72,3.64,3.72,3200
48,2009-09-30,3.74,3.74,3.64,3.64,7600
49,2009-10-01,3.72,3.72,3.64,3.64,3000
50,2009-10-02,3.59,3.59,3.55,3.55,6100
51,2009-10-05,3.64,3.64,3.57,3.63,2100
52,2009-10-06,3.64,3.7,3.61,3.63,6800
53,2009-10-07,3.74,3.79,3.59,3.79,9400
54,2009-10-08,3.7,3.91,3.7,3.91,12500
55,2009-10-09,4.02,4.13,4.02,4.13,37700
56,2009-10-12,4.41,4.41,4.3,4.41,60700
57,2009-10-13,4.71,4.71,4.49,4.71,112500
58,2009-10-14,5.03,5.03,4.67,4.97,37200
59,2009-10-15,5.16,5.18,5.01,5.18,55900
60,2009-10-16,5.51,5.51,5.03,5.1,34900
61,2009-10-19,4.95,4.95,4.88,4.88,12700
62,2009-10-20,5.03,5.05,4.58,4.92,17200
63,2009-10-21,4.86,4.86,4.67,4.67,16100
64,2009-10-22,4.67,4.82,4.41,4.58,58600
65,2009-10-23,4.5,4.5,4.17,4.17,24600
66,2009-10-26,4.34,4.34,4.06,4.15,16500
67,2009-10-27,4.02,4.3,3.92,4.3,28400
68,2009-10-28,4.21,4.32,4.21,4.32,20300
69,2009-10-29,4.3,4.49,4.3,4.3,20300
70,2009-10-30,4.69,4.69,4.43,4.49,21700
71,2009-11-02,4.54,4.54,4.24,4.24,9700
72,2009-11-03,4.11,4.11,3.96,3.98,9300
73,2009-11-04,4.28,4.28,3.76,3.92,2100
74,2009-11-05,3.78,4.15,3.78,4.13,12200
75,2009-11-06,4.06,4.21,3.83,4.06,13700
76,2009-11-09,4.11,4.11,3.81,3.83,13400
77,2009-11-10,3.92,3.92,3.7,3.74,6900
78,2009-11-11,3.91,3.91,3.66,3.74,3800
79,2009-11-12,3.83,3.92,3.78,3.79,5900
80,2009-11-13,3.83,3.83,3.68,3.74,2600
81,2009-11-16,3.55,3.74,3.55,3.7,6700
82,2009-11-17,3.63,3.64,3.63,3.64,10500
83,2009-11-18,3.64,3.83,3.64,3.83,3500
84,2009-11-19,3.74,3.81,3.74,3.74,7800
85,2009-11-20,3.76,3.76,3.7,3.7,1200
86,2009-11-23,3.57,3.79,3.57,3.79,1100
87,2009-11-24,3.83,3.83,3.57,3.57,2200
88,2009-11-25,3.42,3.64,3.4,3.4,5100
89,2009-11-26,3.18,3.18,3.18,3.18,119300
90,2009-11-27,2.97,3.27,2.97,3.18,8000
91,2009-11-30,3.08,3.36,2.99,3.35,12600
92,2009-12-01,3.44,3.44,3.38,3.44,3200
93,2009-12-02,3.44,3.44,3.21,3.21,14000
94,2009-12-03,3.27,3.27,3.27,3.27,6400
95,2009-12-04,3.27,3.27,3.18,3.27,4600
96,2009-12-07,3.23,3.23,3.23,3.23,100
97,2009-12-08,3.31,3.31,3.27,3.27,700
98,2009-12-09,3.1,3.1,3.08,3.08,2500
99,2009-12-10,2.93,2.93,2.93,2.93,2000
100,2009-12-11,2.93,2.93,2.93,2.93,0
101,2009-12-14,2.75,3.08,2.75,3.08,200
102,2009-12-15,3.07,3.07,2.8,2.82,1600
103,2009-12-16,2.8,2.8,2.77,2.77,5000
104,2009-12-17,2.6,2.6,2.6,2.6,3200
105,2009-12-18,2.65,2.73,2.62,2.73,3900
106,2009-12-21,2.8,2.86,2.8,2.86,6700
107,2009-12-22,2.8,2.8,2.8,2.8,6000
108,2009-12-23,2.8,2.8,2.8,2.8,1100
109,2009-12-24,2.62,2.95,2.62,2.93,3700
110,2009-12-25,3.12,3.12,3.08,3.12,11700
111,2009-12-28,3.33,3.33,3.08,3.33,23600
112,2009-12-29,3.53,3.53,3.21,3.21,7400
113,2009-12-30,3.33,3.33,3.29,3.29,2400
114,2009-12-31,3.46,3.46,3.2,3.27,4000
115,2010-01-04,3.46,3.51,3.44,3.51,25400
116,2010-01-05,3.64,3.7,3.46,3.46,3100
117,2010-01-06,3.36,3.36,3.36,3.36,2200
118,2010-01-07,3.2,3.53,3.18,3.18,3500
119,2010-01-08,3.21,3.21,3.18,3.18,5000
120,2010-01-11,3.05,3.12,3.05,3.12,5400
121,2010-01-12,3.01,3.01,2.99,2.99,800
122,2010-01-13,2.99,3.21,2.9,3.21,4000
123,2010-01-14,3.31,3.33,3.31,3.33,200
124,2010-01-15,3.46,3.46,3.36,3.36,200
125,2010-01-18,3.36,3.36,3.36,3.36,0
126,2010-01-19,3.2,3.2,3.2,3.2,1000
127,2010-01-20,3.08,3.08,2.99,2.99,2400
128,2010-01-21,2.9,2.9,2.9,2.9,1000
129,2010-01-22,3.08,3.08,3.07,3.07,1100
130,2010-01-25,2.9,3.2,2.88,3.2,800
131,2010-01-26,3.07,3.18,3.07,3.18,8200
132,2010-01-27,3.31,3.31,2.99,3.23,3400
133,2010-01-28,3.01,3.01,2.99,2.99,6700
134,2010-01-29,3.12,3.12,3.1,3.1,6600
135,2010-02-01,3.1,3.1,3.1,3.1,0
136,2010-02-02,3.05,3.31,3.03,3.31,25700
137,2010-02-03,3.36,3.36,3.21,3.21,2000
138,2010-02-04,3.12,3.33,3.12,3.33,8400
139,2010-02-05,3.21,3.21,3.18,3.18,5300
140,2010-02-08,3.1,3.1,3.1,3.1,1000
141,2010-02-09,3.1,3.1,3.1,3.1,0
142,2010-02-10,3.18,3.18,3.16,3.16,200
