,time,open,high,low,close,volume
0,2011-01-12,8.75,8.75,8.75,8.75,105230
1,2011-01-13,8.31,8.31,8.31,8.31,110
2,2011-01-14,7.92,8.31,7.92,7.96,162550
3,2011-01-17,8.31,8.31,8.31,8.31,1010
4,2011-01-18,8.01,8.23,7.92,7.92,4320
5,2011-01-19,7.61,8.31,7.61,8.05,284980
6,2011-01-20,7.92,8.05,7.79,7.79,123450
7,2011-01-21,7.57,7.88,7.57,7.83,22880
8,2011-01-24,7.61,7.88,7.48,7.88,10300
9,2011-01-25,7.48,7.48,7.48,7.48,28890
10,2011-01-26,7.48,7.48,7.18,7.18,18980
11,2011-01-27,7.48,7.48,6.91,6.91,44810
12,2011-01-28,7.0,7.22,7.0,7.22,14710
13,2011-02-08,7.57,7.57,7.53,7.57,12920
14,2011-02-09,7.66,7.66,7.61,7.61,2000
15,2011-02-10,7.35,7.48,7.35,7.48,7000
16,2011-02-11,7.48,7.48,7.18,7.18,1350
17,2011-02-14,7.35,7.44,7.22,7.44,7570
18,2011-02-15,7.09,7.18,7.09,7.09,39330
19,2011-02-16,7.18,7.18,6.87,7.13,1400
20,2011-02-17,6.91,6.91,6.78,6.78,41260
21,2011-02-18,6.65,6.65,6.48,6.48,16300
22,2011-02-21,6.17,6.17,6.17,6.17,54630
23,2011-02-22,5.86,5.86,5.86,5.86,5600
24,2011-02-23,5.6,5.82,5.6,5.64,198470
25,2011-02-24,5.78,5.78,5.38,5.43,28640
26,2011-02-25,5.64,5.69,5.6,5.69,29350
27,2011-02-28,5.86,5.86,5.6,5.64,2920
28,2011-03-01,5.69,5.69,5.43,5.6,42050
29,2011-03-02,5.51,5.51,5.34,5.34,78300
30,2011-03-03,5.21,5.47,5.16,5.25,32600
31,2011-03-04,5.47,5.47,5.16,5.25,22370
32,2011-03-07,5.25,5.25,5.16,5.25,34520
33,2011-03-08,5.12,5.29,5.12,5.21,31170
34,2011-03-09,5.25,5.25,5.12,5.16,7000
35,2011-03-10,5.21,5.38,5.21,5.38,4090
36,2011-03-11,5.43,5.6,5.38,5.6,23080
37,2011-03-14,5.43,5.43,5.34,5.34,13010
38,2011-03-15,5.25,5.25,5.25,5.25,6330
39,2011-03-16,5.25,5.25,5.25,5.25,7740
40,2011-03-17,5.34,5.51,5.34,5.47,2670
41,2011-03-18,5.34,5.6,5.34,5.6,5520
42,2011-03-21,5.6,5.6,5.47,5.47,26230
43,2011-03-22,5.43,5.73,5.43,5.73,102560
44,2011-03-23,5.99,5.99,5.82,5.99,78670
45,2011-03-24,5.95,6.26,5.95,6.04,50030
46,2011-03-25,5.95,6.08,5.78,5.91,51260
47,2011-03-28,5.78,5.99,5.69,5.69,49900
48,2011-03-29,5.86,5.86,5.6,5.6,21880
49,2011-03-30,5.56,5.86,5.56,5.78,53680
50,2011-03-31,5.82,6.04,5.78,6.04,116640
51,2011-04-01,6.04,6.3,6.04,6.26,128530
52,2011-04-04,5.95,6.21,5.95,5.95,32800
53,2011-04-05,5.86,6.04,5.73,5.99,27010
54,2011-04-06,5.99,6.17,5.95,6.13,37400
55,2011-04-07,6.13,6.13,5.82,5.82,106690
56,2011-04-08,5.91,5.99,5.86,5.86,47860
57,2011-04-13,5.86,5.91,5.78,5.86,58040
58,2011-04-14,5.82,5.91,5.78,5.86,53360
59,2011-04-15,5.82,5.95,5.64,5.64,71840
60,2011-04-18,5.51,5.69,5.43,5.51,88600
61,2011-04-19,5.47,5.64,5.25,5.25,99470
62,2011-04-20,5.47,5.47,5.21,5.25,85660
63,2011-04-21,5.25,5.38,5.25,5.38,61030
64,2011-04-22,5.43,5.43,5.25,5.34,24520
65,2011-04-25,5.47,5.56,5.34,5.56,94530
66,2011-04-26,5.56,5.56,5.29,5.29,52750
67,2011-04-27,5.29,5.47,5.25,5.25,63900
68,2011-04-28,5.25,5.34,5.25,5.34,110730
69,2011-04-29,5.34,5.38,5.34,5.34,46360
70,2011-05-04,5.38,5.51,5.38,5.47,93300
71,2011-05-05,5.43,5.47,5.38,5.47,27010
72,2011-05-06,5.56,5.56,5.29,5.34,16900
73,2011-05-09,5.29,5.34,5.29,5.34,23550
74,2011-05-10,5.34,5.43,5.34,5.43,12100
75,2011-05-11,5.38,5.38,5.34,5.34,5890
76,2011-05-12,5.43,5.43,5.29,5.29,1100
77,2011-05-13,5.43,5.43,5.16,5.34,2360
78,2011-05-16,5.25,5.25,5.08,5.08,19130
79,2011-05-17,4.9,4.9,4.86,4.86,7620
80,2011-05-18,4.64,4.94,4.64,4.64,6010
81,2011-05-19,4.42,4.86,4.42,4.81,5220
82,2011-05-20,4.81,4.99,4.81,4.99,60
83,2011-05-23,4.77,4.77,4.77,4.77,500
84,2011-05-24,4.55,4.81,4.55,4.55,12200
85,2011-05-25,4.38,4.38,4.33,4.33,8620
86,2011-05-26,4.16,4.38,4.16,4.2,8610
87,2011-05-27,4.07,4.38,4.03,4.2,15220
88,2011-05-30,4.33,4.33,4.03,4.03,2520
89,2011-05-31,3.85,4.03,3.85,3.85,6160
90,2011-06-01,3.68,3.94,3.68,3.68,29920
91,2011-06-02,3.54,3.85,3.54,3.85,43430
92,2011-06-03,4.03,4.03,3.81,3.94,35390
93,2011-06-06,3.85,3.94,3.81,3.94,11360
94,2011-06-07,3.94,3.94,3.85,3.89,20640
95,2011-06-08,3.85,3.85,3.72,3.72,10560
96,2011-06-09,3.63,3.89,3.63,3.89,90270
97,2011-06-10,4.07,4.07,4.07,4.07,100190
98,2011-06-13,4.2,4.24,4.16,4.24,25350
99,2011-06-14,4.33,4.42,4.16,4.16,110560
100,2011-06-15,4.03,4.03,3.98,3.98,42840
101,2011-06-16,3.89,4.03,3.85,4.03,37210
102,2011-06-17,3.94,3.94,3.85,3.94,36450
103,2011-06-20,3.81,3.85,3.81,3.81,14770
104,2011-06-21,3.89,3.89,3.89,3.89,1830
105,2011-06-22,3.89,3.89,3.85,3.85,10700
106,2011-06-23,3.76,3.94,3.68,3.68,12070
107,2011-06-24,3.68,3.72,3.54,3.68,13750
108,2011-06-27,3.68,3.68,3.59,3.68,16000
109,2011-06-28,3.81,3.81,3.59,3.59,24170
110,2011-06-29,3.63,3.68,3.41,3.59,61760
111,2011-06-30,3.63,3.63,3.46,3.5,18070
112,2011-07-01,3.41,3.59,3.41,3.59,8510
113,2011-07-04,3.59,3.63,3.5,3.5,15400
114,2011-07-05,3.5,3.59,3.46,3.54,14620
115,2011-07-06,3.54,3.54,3.5,3.5,330
116,2011-07-07,3.5,3.5,3.41,3.5,3240
117,2011-07-08,3.5,3.54,3.37,3.37,16050
118,2011-07-11,3.46,3.46,3.28,3.46,5270
119,2011-07-12,3.41,3.41,3.33,3.33,10120
120,2011-07-13,3.28,3.37,3.24,3.24,17340
121,2011-07-14,3.28,3.28,3.28,3.28,20
122,2011-07-15,3.24,3.28,3.15,3.15,11510
123,2011-07-18,3.02,3.24,3.02,3.02,51130
124,2011-07-19,3.06,3.06,2.98,3.06,1100
125,2011-07-20,3.02,3.06,2.93,3.06,16040
126,2011-07-21,2.98,2.98,2.93,2.93,19460
127,2011-07-22,3.02,3.02,2.84,2.93,2060
128,2011-07-25,3.02,3.02,2.84,2.89,7730
129,2011-07-26,2.84,2.93,2.84,2.93,4020
130,2011-07-27,3.06,3.06,2.84,2.84,60
131,2011-07-28,2.93,2.98,2.93,2.98,1620
132,2011-07-29,3.06,3.06,3.06,3.06,20
133,2011-08-01,3.02,3.02,2.93,2.98,5250
134,2011-08-02,2.84,2.98,2.84,2.84,4790
135,2011-08-03,2.84,2.84,2.8,2.8,7290
136,2011-08-04,2.93,2.93,2.71,2.93,4950
137,2011-08-05,2.93,2.93,2.8,2.8,11220
138,2011-08-08,2.93,2.93,2.8,2.8,1120
139,2011-08-09,2.76,2.8,2.67,2.8,31410
140,2011-08-10,2.8,2.8,2.8,2.8,1330
141,2011-08-11,2.71,2.8,2.71,2.8,3210
142,2011-08-12,2.8,2.84,2.8,2.84,1010
143,2011-08-15,2.76,2.84,2.76,2.84,310
144,2011-08-16,2.84,2.98,2.84,2.84,2570
145,2011-08-17,2.98,2.98,2.93,2.93,3020
146,2011-08-18,3.06,3.06,2.89,2.89,19010
147,2011-08-19,2.76,2.98,2.76,2.84,2030
148,2011-08-22,2.84,2.98,2.84,2.98,36400
149,2011-08-23,3.06,3.06,2.98,2.98,10510
150,2011-08-24,2.93,3.06,2.89,3.02,10080
151,2011-08-25,2.93,2.93,2.89,2.89,10990
152,2011-08-26,2.8,3.02,2.8,2.93,2230
153,2011-08-29,3.06,3.06,2.8,3.06,8590
154,2011-08-30,3.19,3.19,3.02,3.06,102530
155,2011-08-31,3.06,3.11,3.02,3.11,3010
156,2011-09-01,3.11,3.11,3.06,3.06,105720
157,2011-09-05,3.06,3.06,3.02,3.02,81140
158,2011-09-06,2.98,2.98,2.89,2.89,3900
159,2011-09-07,3.02,3.02,2.98,3.02,85290
