,time,open,high,low,close,volume
0,2017-09-27,15.57,15.57,15.33,15.49,41900
1,2017-09-28,17.01,17.01,15.17,15.49,44400
2,2017-09-29,15.49,15.49,14.77,14.93,31200
3,2017-10-02,14.85,14.85,14.53,14.53,9800
4,2017-10-03,13.09,13.09,13.09,13.09,300
5,2017-10-04,11.82,11.82,11.82,11.82,2600
6,2017-10-05,10.7,10.7,10.7,10.7,300
7,2017-10-06,9.66,9.66,9.66,9.66,500
8,2017-10-09,8.7,8.7,8.7,8.7,7200
9,2017-10-10,7.9,7.9,7.9,7.9,9000
10,2017-10-11,7.19,8.38,7.19,7.98,42000
11,2017-10-12,7.98,8.38,7.19,8.38,25300
12,2017-10-13,8.38,8.78,7.98,8.78,13200
13,2017-10-16,8.38,8.78,7.9,8.3,39700
14,2017-10-17,8.22,8.22,7.5,7.98,21600
15,2017-10-18,7.98,7.98,7.19,7.19,17000
16,2017-10-19,7.35,7.58,7.27,7.58,8200
17,2017-10-20,7.98,7.98,7.27,7.82,3700
18,2017-10-23,7.58,7.9,7.43,7.9,12400
19,2017-10-24,7.74,7.74,7.74,7.74,1200
20,2017-10-25,7.35,7.35,7.19,7.19,8900
21,2017-10-26,7.19,7.58,7.19,7.5,13900
22,2017-10-27,7.19,7.82,7.19,7.82,29900
23,2017-10-30,7.43,7.43,7.19,7.35,16900
24,2017-10-31,6.79,7.58,6.79,7.5,13400
25,2017-11-01,7.11,7.5,7.11,7.5,10500
26,2017-11-02,7.5,7.5,7.19,7.19,17100
27,2017-11-03,7.19,7.27,7.19,7.27,6000
28,2017-11-06,7.35,7.35,7.19,7.19,14500
29,2017-11-07,7.35,7.43,7.35,7.43,4800
30,2017-11-08,7.43,7.43,7.19,7.19,12300
31,2017-11-09,6.95,7.35,6.87,7.35,9300
32,2017-11-10,7.35,7.35,7.19,7.19,5000
33,2017-11-13,7.19,7.19,7.19,7.19,11000
34,2017-11-14,7.35,7.35,7.11,7.19,14900
35,2017-11-15,7.19,7.19,7.19,7.19,10000
36,2017-11-16,7.19,7.35,7.19,7.27,14000
37,2017-11-17,7.19,7.19,7.19,7.19,4000
38,2017-11-20,7.35,7.35,7.11,7.11,12700
39,2017-11-21,7.35,7.35,7.27,7.35,6100
40,2017-11-22,7.11,7.27,7.03,7.03,18200
41,2017-11-23,7.03,7.35,6.95,7.35,26600
42,2017-11-24,7.27,7.27,7.27,7.27,2400
43,2017-11-27,7.19,7.27,7.19,7.27,9000
44,2017-11-28,7.27,7.27,7.27,7.27,100
45,2017-11-29,7.27,7.35,7.27,7.35,2100
46,2017-11-30,7.27,7.27,7.27,7.27,3700
47,2017-12-01,7.27,7.27,7.27,7.27,2000
48,2017-12-04,7.27,7.27,7.27,7.27,0
49,2017-12-05,7.27,7.27,7.27,7.27,0
50,2017-12-06,7.19,7.35,7.19,7.35,5100
51,2017-12-07,7.43,7.43,7.43,7.43,100
52,2017-12-08,7.43,7.43,7.43,7.43,0
53,2017-12-11,7.19,7.19,7.19,7.19,2000
54,2017-12-12,7.19,7.19,7.19,7.19,1500
55,2017-12-13,7.19,7.19,7.19,7.19,700
56,2017-12-14,7.19,7.19,7.19,7.19,0
57,2017-12-15,7.19,7.19,7.19,7.19,0
58,2017-12-18,7.19,7.19,7.19,7.19,200
59,2017-12-19,7.19,7.19,7.19,7.19,500
60,2017-12-20,7.35,7.35,7.35,7.35,200
61,2017-12-21,7.19,7.19,7.19,7.19,40700
62,2017-12-22,7.35,7.35,7.35,7.35,100
63,2017-12-25,7.5,7.5,7.5,7.5,100
64,2017-12-26,7.5,7.5,7.5,7.5,0
65,2017-12-27,7.5,7.5,7.5,7.5,0
66,2017-12-28,7.58,7.58,7.58,7.58,100
67,2017-12-29,7.74,7.74,7.74,7.74,400
68,2018-01-02,7.74,7.74,7.74,7.74,0
69,2018-01-03,7.74,7.74,7.74,7.74,0
70,2018-01-04,7.74,7.74,7.74,7.74,0
71,2018-01-05,7.74,7.74,7.74,7.74,0
72,2018-01-08,7.11,7.5,7.11,7.5,1700
73,2018-01-09,7.58,7.58,7.58,7.58,100
74,2018-01-10,7.66,7.66,7.66,7.66,100
75,2018-01-11,7.66,7.66,7.66,7.66,0
76,2018-01-12,7.74,7.74,7.74,7.74,100
77,2018-01-15,7.82,7.82,7.82,7.82,100
78,2018-01-16,7.82,7.82,7.82,7.82,0
79,2018-01-17,7.82,7.82,7.82,7.82,0
80,2018-01-18,7.27,7.74,7.27,7.74,2100
81,2018-01-19,7.74,7.74,7.74,7.74,0
82,2018-01-22,7.82,7.82,7.82,7.82,100
83,2018-01-23,7.19,7.19,7.19,7.19,4000
84,2018-01-24,7.19,7.19,7.19,7.19,1900
85,2018-01-25,7.19,7.19,7.11,7.11,3300
86,2018-01-26,7.11,7.11,7.11,7.11,100
87,2018-01-29,7.11,7.11,7.11,7.11,0
88,2018-01-30,7.11,7.11,7.11,7.11,24000
89,2018-01-31,7.11,7.11,7.11,7.11,3700
90,2018-02-01,7.11,7.11,7.11,7.11,0
91,2018-02-02,7.11,7.11,7.11,7.11,0
92,2018-02-05,7.11,7.11,7.11,7.11,0
93,2018-02-06,7.11,7.11,7.11,7.11,0
94,2018-02-07,7.11,7.11,7.11,7.11,0
95,2018-02-08,7.11,7.11,7.11,7.11,0
96,2018-02-09,7.11,7.11,7.11,7.11,0
97,2018-02-12,7.11,7.11,7.11,7.11,0
98,2018-02-13,7.11,7.11,7.11,7.11,0
99,2018-02-21,7.19,7.19,7.11,7.11,1700
100,2018-02-22,7.11,7.11,7.11,7.11,0
101,2018-02-23,7.11,7.11,7.11,7.11,0
102,2018-02-26,7.11,7.11,7.11,7.11,0
103,2018-02-27,7.11,7.11,7.11,7.11,0
104,2018-02-28,7.11,7.11,7.11,7.11,0
105,2018-03-01,7.11,7.11,7.11,7.11,0
106,2018-03-02,7.11,7.11,7.11,7.11,0
107,2018-03-05,7.11,7.11,7.11,7.11,0
108,2018-03-06,7.11,7.11,7.11,7.11,0
109,2018-03-07,7.11,7.11,7.11,7.11,0
110,2018-03-08,7.11,7.11,7.11,7.11,0
111,2018-03-09,7.11,7.11,7.11,7.11,0
112,2018-03-12,7.11,7.11,7.11,7.11,2000
113,2018-03-13,7.11,7.11,7.11,7.11,0
114,2018-03-14,7.11,7.11,7.11,7.11,0
115,2018-03-15,7.11,7.11,7.11,7.11,2000
116,2018-03-16,6.95,7.11,6.95,7.11,1100
117,2018-03-19,7.11,7.11,7.03,7.03,5000
118,2018-03-20,7.11,7.11,7.03,7.03,6000
119,2018-03-21,7.03,7.03,7.03,7.03,2000
120,2018-03-22,6.95,6.95,6.87,6.87,6000
121,2018-03-23,6.87,6.87,6.87,6.87,0
122,2018-03-26,6.87,6.87,6.87,6.87,0
123,2018-03-27,6.87,6.87,6.87,6.87,0
124,2018-03-28,6.87,6.87,6.87,6.87,0
125,2018-03-29,6.87,6.87,6.87,6.87,0
126,2018-03-30,6.87,6.87,6.87,6.87,0
127,2018-04-02,6.87,6.87,6.87,6.87,100
128,2018-04-03,6.87,6.87,6.87,6.87,0
129,2018-04-04,6.87,6.87,6.87,6.87,0
130,2018-04-05,6.87,6.87,6.87,6.87,0
131,2018-04-06,6.87,6.87,6.87,6.87,0
132,2018-04-09,6.79,6.79,6.79,6.79,2000
133,2018-04-10,6.79,6.79,6.79,6.79,0
134,2018-04-11,6.79,6.79,6.79,6.79,0
135,2018-04-12,6.79,6.79,6.79,6.79,0
136,2018-04-13,6.79,6.79,6.79,6.79,0
137,2018-04-16,6.79,6.79,6.79,6.79,0
138,2018-04-17,6.79,6.79,6.79,6.79,0
139,2018-04-18,6.79,6.79,6.79,6.79,0
140,2018-04-19,6.79,6.79,6.79,6.79,0
141,2018-04-20,6.79,6.79,6.79,6.79,0
142,2018-04-23,6.79,6.95,6.79,6.95,1100
143,2018-04-24,6.95,6.95,6.95,6.95,0
144,2018-04-26,6.95,6.95,6.95,6.95,0
145,2018-04-27,6.95,6.95,6.95,6.95,0
146,2018-05-02,6.95,6.95,6.95,6.95,0
147,2018-05-03,6.95,6.95,6.95,6.95,0
148,2018-05-04,6.95,6.95,6.95,6.95,0
149,2018-05-07,6.95,6.95,6.95,6.95,0
150,2018-05-08,6.95,6.95,6.95,6.95,0
151,2018-05-09,6.95,6.95,6.95,6.95,0
152,2018-05-10,6.95,6.95,6.95,6.95,0
153,2018-05-11,6.95,6.95,6.95,6.95,0
154,2018-05-14,6.95,6.95,6.95,6.95,0
155,2018-05-15,6.95,6.95,6.95,6.95,0
156,2018-05-16,6.95,6.95,6.95,6.95,0
157,2018-05-17,6.95,6.95,6.95,6.95,500
158,2018-05-18,6.95,6.95,6.95,6.95,0
159,2018-05-21,6.95,6.95,6.95,6.95,2000
160,2018-05-22,6.95,6.95,6.95,6.95,100
161,2018-05-23,6.95,6.95,6.95,6.95,0
162,2018-05-24,6.95,6.95,6.95,6.95,0
163,2018-05-25,6.95,6.95,6.95,6.95,0
164,2018-05-28,6.95,6.95,6.95,6.95,0
165,2018-05-29,6.95,6.95,6.95,6.95,0
166,2018-05-30,6.95,6.95,6.95,6.95,0
167,2018-05-31,6.95,6.95,6.95,6.95,0
168,2018-06-01,6.95,6.95,6.95,6.95,0
169,2018-06-04,6.95,6.95,6.95,6.95,0
170,2018-06-05,6.95,6.95,6.95,6.95,0
171,2018-06-06,6.95,6.95,6.95,6.95,0
172,2018-06-07,6.95,6.95,6.95,6.95,0
173,2018-06-08,6.95,6.95,6.95,6.95,0
174,2018-06-11,6.95,6.95,6.95,6.95,0
175,2018-06-12,6.95,6.95,6.95,6.95,0
176,2018-06-13,6.95,6.95,6.95,6.95,0
177,2018-06-14,6.63,7.03,6.63,7.03,600
178,2018-06-15,7.03,7.03,7.03,7.03,0
179,2018-06-18,7.03,7.03,7.03,7.03,0
180,2018-06-19,7.03,7.03,7.03,7.03,0
181,2018-06-20,7.03,7.03,7.03,7.03,0
182,2018-06-21,7.03,7.03,7.03,7.03,0
183,2018-06-22,7.03,7.03,7.03,7.03,0
184,2018-06-25,7.03,7.03,7.03,7.03,0
185,2018-06-26,7.03,7.03,7.03,7.03,0
186,2018-06-27,7.03,7.03,7.03,7.03,0
187,2018-06-28,7.03,7.03,7.03,7.03,0
188,2018-06-29,7.03,7.03,7.03,7.03,0
189,2018-07-02,7.03,7.03,7.03,7.03,0
190,2018-07-03,7.03,7.03,7.03,7.03,0
191,2018-07-04,7.03,7.03,7.03,7.03,0
192,2018-07-05,6.47,6.47,6.47,6.47,300
193,2018-07-06,6.47,6.47,6.47,6.47,100
194,2018-07-09,6.47,6.47,6.47,6.47,0
195,2018-07-10,6.47,6.47,6.47,6.47,0
196,2018-07-11,6.47,6.47,6.47,6.47,0
197,2018-07-12,6.47,6.47,6.47,6.47,0
198,2018-07-13,6.47,6.47,6.47,6.47,0
199,2018-07-16,6.47,6.47,6.47,6.47,0
200,2018-07-17,6.47,6.47,6.47,6.47,0
201,2018-07-18,6.47,6.47,6.47,6.47,0
202,2018-07-19,6.47,6.47,6.47,6.47,0
203,2018-07-20,6.47,6.47,6.47,6.47,1000
204,2018-07-23,6.47,6.87,6.47,6.47,2300
205,2018-07-24,6.47,6.47,6.47,6.47,0
206,2018-07-25,6.79,6.79,6.79,6.79,200
207,2018-07-26,6.79,6.79,6.79,6.79,0
208,2018-07-27,6.79,6.79,6.79,6.79,0
209,2018-07-30,6.79,6.79,6.79,6.79,0
210,2018-07-31,6.79,6.79,6.79,6.79,0
211,2018-08-01,6.79,6.79,6.79,6.79,0
212,2018-08-02,6.79,6.79,6.79,6.79,0
213,2018-08-03,6.79,6.79,6.79,6.79,0
214,2018-08-06,6.79,6.79,6.79,6.79,0
215,2018-08-07,6.79,6.79,6.79,6.79,0
216,2018-08-08,6.79,6.79,6.79,6.79,0
217,2018-08-09,6.79,6.79,6.79,6.79,0
218,2018-08-10,6.79,6.79,6.79,6.79,0
219,2018-08-13,6.79,6.79,6.79,6.79,0
220,2018-08-14,6.79,6.79,6.79,6.79,0
221,2018-08-15,6.79,6.79,6.79,6.79,0
222,2018-08-16,6.79,6.79,6.79,6.79,0
223,2018-08-17,6.79,6.79,6.79,6.79,0
224,2018-08-20,6.79,6.79,6.79,6.79,0
225,2018-08-21,6.79,6.79,6.79,6.79,0
226,2018-08-22,6.79,6.79,6.79,6.79,0
227,2018-08-23,6.79,6.79,6.79,6.79,0
228,2018-08-24,6.79,6.79,6.79,6.79,0
229,2018-08-27,6.79,6.79,6.79,6.79,0
230,2018-08-28,6.79,6.79,6.79,6.79,0
231,2018-08-29,6.79,6.79,6.79,6.79,0
232,2018-08-30,6.79,6.79,6.79,6.79,0
233,2018-08-31,6.79,6.79,6.79,6.79,0
234,2018-09-04,6.79,6.79,6.79,6.79,0
235,2018-09-05,6.79,6.79,6.79,6.79,0
236,2018-09-06,6.79,6.79,6.79,6.79,0
237,2018-09-07,6.79,6.79,6.79,6.79,0
238,2018-09-10,6.79,6.79,6.79,6.79,0
239,2018-09-11,6.79,6.79,6.79,6.79,100
240,2018-09-12,6.79,6.79,6.79,6.79,0
241,2018-09-13,6.79,6.79,6.79,6.79,0
242,2018-09-14,6.79,6.79,6.79,6.79,0
243,2018-09-17,6.79,6.79,6.79,6.79,100
244,2018-09-18,6.79,6.79,6.79,6.79,0
245,2018-09-19,6.79,6.79,6.79,6.79,0
246,2018-09-20,6.7,7.33,6.7,7.33,200
