,time,open,high,low,close,volume
0,2007-12-21,118.17,171.14,89.69,112.38,32400
1,2007-12-24,123.59,123.59,105.95,119.8,22100
2,2007-12-25,121.43,121.43,112.46,112.87,11700
3,2007-12-26,110.43,111.28,107.98,110.47,4400
4,2007-12-27,115.32,115.32,101.87,101.87,13500
5,2007-12-28,101.87,102.69,97.8,97.84,13100
6,2008-01-02,106.35,106.35,88.83,88.83,17800
7,2008-01-03,81.5,85.57,81.13,81.5,25200
8,2008-01-04,77.42,83.13,74.81,80.27,8200
9,2008-01-07,76.81,76.81,72.69,72.69,10700
10,2008-01-08,75.38,75.38,69.8,72.9,17900
11,2008-01-09,72.9,72.94,65.44,66.42,38600
12,2008-01-10,66.42,66.42,59.9,64.38,35500
13,2008-01-11,62.14,65.2,62.02,63.28,9000
14,2008-01-14,63.16,63.16,60.31,61.12,3500
15,2008-01-15,58.27,58.27,55.38,55.46,4600
16,2008-01-16,59.08,61.12,59.08,61.12,5100
17,2008-01-17,66.01,66.26,60.23,61.53,21300
18,2008-01-18,59.49,65.2,59.49,63.77,6800
19,2008-01-21,63.16,63.16,61.16,62.34,3800
20,2008-01-22,62.06,62.06,60.43,62.06,11200
21,2008-01-23,59.17,60.31,57.05,60.23,8300
22,2008-01-24,61.49,61.94,58.27,58.27,8300
23,2008-01-25,57.05,60.92,57.05,60.31,5300
24,2008-01-28,59.08,60.31,58.27,59.17,3700
25,2008-01-29,59.08,65.56,58.27,62.43,8700
26,2008-01-30,67.23,67.89,61.94,67.23,14300
27,2008-01-31,63.77,68.42,63.57,65.2,7900
28,2008-02-01,69.27,69.27,62.75,68.05,9800
29,2008-02-12,67.23,67.23,61.98,62.06,3300
30,2008-02-13,61.12,61.12,60.92,61.12,4800
31,2008-02-14,60.31,61.94,58.27,61.12,12300
32,2008-02-15,59.9,59.9,58.31,58.31,2600
33,2008-02-18,58.47,58.47,55.42,57.25,9200
34,2008-02-19,55.01,61.12,52.97,58.68,3100
35,2008-02-20,55.99,57.13,53.05,54.19,17800
36,2008-02-21,51.34,51.34,49.71,49.71,8900
37,2008-02-22,45.68,49.71,45.15,49.71,12900
38,2008-02-25,48.9,51.34,48.9,49.31,20100
39,2008-02-26,50.94,50.94,44.82,44.82,23100
40,2008-02-27,51.79,51.79,45.64,47.27,15800
41,2008-02-28,54.81,55.3,46.45,48.9,16100
42,2008-02-29,50.94,57.45,48.9,49.67,22100
43,2008-03-03,53.79,58.27,48.04,48.04,23100
44,2008-03-04,55.01,55.01,47.8,47.8,13600
45,2008-03-05,46.41,46.41,46.41,46.41,1100
46,2008-03-06,48.9,51.02,48.9,51.02,38600
47,2008-03-07,55.78,55.95,54.97,55.95,42200
48,2008-03-10,60.27,60.27,50.94,50.98,18700
49,2008-03-11,48.49,48.49,48.41,48.41,2400
50,2008-03-12,44.86,52.16,44.86,46.45,7900
51,2008-03-13,50.08,50.08,42.79,44.01,13600
52,2008-03-14,43.52,43.52,39.73,40.34,47200
53,2008-03-17,38.75,38.75,36.67,36.67,11800
54,2008-03-18,33.33,33.33,33.25,33.25,17900
55,2008-03-19,31.78,33.05,29.95,29.95,13700
56,2008-03-20,32.56,32.56,28.32,28.32,9800
57,2008-03-21,30.48,30.48,25.83,25.83,19000
58,2008-03-24,23.63,23.63,23.47,23.47,15700
59,2008-03-25,21.23,22.41,21.15,21.15,17000
60,2008-03-26,19.11,23.35,19.11,23.35,48100
61,2008-03-27,22.41,22.41,22.41,22.41,500
62,2008-03-28,22.86,22.86,22.86,22.86,100
63,2008-03-31,23.31,23.31,23.31,23.31,800
64,2008-04-01,23.76,23.76,23.76,23.76,100
65,2008-04-02,24.2,24.2,24.2,24.2,100
