,time,open,high,low,close,volume
0,2018-01-29,71.14,71.14,58.22,58.8,56000
1,2018-01-30,64.46,64.46,58.44,58.44,42910
2,2018-01-31,58.73,58.73,58.22,58.73,9140
3,2018-02-01,58.65,58.65,55.9,55.9,21700
4,2018-02-02,56.26,56.26,56.26,56.26,2400
5,2018-02-05,54.59,54.59,48.71,50.81,9916
6,2018-02-06,49.43,54.44,49.36,54.44,30800
7,2018-02-07,55.9,56.98,55.9,56.98,118300
8,2018-02-08,55.9,56.62,55.9,56.26,60100
9,2018-02-09,54.44,56.4,54.44,56.26,25700
10,2018-02-12,56.62,56.62,56.62,56.62,5000
11,2018-02-13,63.15,63.15,56.62,56.62,700
12,2018-02-21,57.56,57.56,57.56,57.56,2408
13,2018-02-22,57.35,57.35,55.97,55.97,8200
14,2018-02-23,56.98,57.42,55.9,57.42,1100
15,2018-02-26,56.98,57.42,56.04,57.2,73840
16,2018-02-27,56.11,57.35,56.11,57.35,2100
17,2018-02-28,56.98,56.98,55.17,56.91,3100
18,2018-03-01,55.9,55.9,55.9,55.9,1000
19,2018-03-02,55.9,55.9,55.9,55.9,200
20,2018-03-05,56.62,56.62,56.62,56.62,100
21,2018-03-06,55.9,55.9,54.44,54.44,1100
22,2018-03-07,55.24,55.24,55.17,55.17,7900
23,2018-03-08,57.2,57.35,57.2,57.27,8200
24,2018-03-09,57.27,58.07,57.27,57.35,48800
25,2018-03-12,57.35,57.35,57.35,57.35,43000
26,2018-03-13,54.44,57.35,54.44,57.35,35600
27,2018-03-14,57.35,57.35,57.35,57.35,100
28,2018-03-15,57.35,57.35,57.35,57.35,50
29,2018-03-16,57.35,57.35,57.35,57.35,0
30,2018-03-19,57.42,57.42,57.35,57.35,46500
31,2018-03-20,57.35,57.35,53.72,53.72,40200
32,2018-03-21,57.35,57.35,57.35,53.72,6
33,2018-03-22,57.35,57.35,57.35,57.35,0
34,2018-03-23,57.35,57.35,57.35,57.35,0
35,2018-03-26,57.35,57.35,57.35,57.35,0
36,2018-03-27,57.35,57.35,57.35,57.35,0
37,2018-03-28,57.35,57.35,57.35,57.35,0
38,2018-03-29,54.44,54.44,54.44,54.44,86000
39,2018-03-30,56.98,56.98,56.98,56.98,100
40,2018-04-02,55.17,55.17,55.17,55.17,600
41,2018-04-03,55.17,55.17,55.17,55.17,5
42,2018-04-04,53.72,53.72,53.72,53.72,5000
43,2018-04-05,53.72,53.72,53.72,53.72,22400
44,2018-04-06,52.99,52.99,52.99,52.99,1000
45,2018-04-09,53.72,53.72,53.72,53.72,9500
46,2018-04-10,45.73,55.1,45.73,55.1,300
47,2018-04-11,49.07,49.07,49.07,49.07,0
48,2018-04-12,50.81,50.81,50.81,50.81,200
49,2018-04-13,50.81,50.81,46.82,46.82,1900
50,2018-04-16,50.81,50.81,49.8,50.81,3700
51,2018-04-17,50.67,50.67,45.73,47.18,5890
52,2018-04-18,53.72,53.94,53.72,53.94,2110
53,2018-04-19,53.79,53.79,53.79,53.79,0
54,2018-04-20,53.94,54.01,50.67,53.64,10100
55,2018-04-23,51.18,51.18,51.18,53.64,70
56,2018-04-24,48.64,48.64,48.64,48.64,100
57,2018-04-26,48.64,48.64,48.64,48.64,0
58,2018-04-27,53.06,53.06,53.06,53.06,100
59,2018-05-02,52.99,52.99,52.99,52.99,300
60,2018-05-03,49.0,49.36,48.78,49.36,1500
61,2018-05-04,49.43,49.43,49.43,49.43,710
62,2018-05-07,49.43,49.43,49.43,49.43,60
63,2018-05-08,50.45,50.45,50.45,50.45,2500
64,2018-05-09,50.45,50.45,50.45,50.45,0
