,time,open,high,low,close,volume
0,2017-05-23,3.7,3.7,3.7,3.7,0
1,2017-05-24,3.7,3.7,3.7,3.7,0
2,2017-05-25,3.7,3.7,3.7,3.7,0
3,2017-05-26,3.7,3.7,3.7,3.7,0
4,2017-05-29,3.7,3.7,3.7,3.7,0
5,2017-05-30,3.7,3.7,3.7,3.7,0
6,2017-05-31,3.7,3.7,3.7,3.7,0
7,2017-06-01,3.7,3.7,3.7,3.7,0
8,2017-06-02,3.7,3.7,3.7,3.7,0
9,2017-06-05,3.7,3.7,3.7,3.7,0
10,2017-06-06,3.7,3.7,3.7,3.7,0
11,2017-06-07,3.7,3.7,3.7,3.7,0
12,2017-06-08,3.7,3.7,3.7,3.7,0
13,2017-06-09,3.7,3.7,3.7,3.7,0
14,2017-06-12,3.7,3.7,3.7,3.7,0
15,2017-06-13,3.7,3.7,3.7,3.7,0
16,2017-06-14,3.7,3.7,3.7,3.7,0
17,2017-06-15,3.7,3.7,3.7,3.7,0
18,2017-06-16,3.7,3.7,3.7,3.7,0
19,2017-06-19,3.7,3.7,3.7,3.7,0
20,2017-06-20,3.7,3.7,3.7,3.7,0
21,2017-06-21,3.7,3.7,3.7,3.7,0
22,2017-06-22,3.7,3.7,3.7,3.7,0
23,2017-06-23,3.7,3.7,3.7,3.7,0
24,2017-06-26,3.7,3.7,3.7,3.7,0
25,2017-06-27,3.7,3.7,3.7,3.7,0
26,2017-06-28,3.7,3.7,3.7,3.7,0
27,2017-06-29,3.7,3.7,3.7,3.7,0
28,2017-06-30,3.7,3.7,3.7,3.7,0
29,2017-07-03,3.7,3.7,3.7,3.7,0
30,2017-07-04,3.7,3.7,3.7,3.7,0
31,2017-07-05,3.7,3.7,3.7,3.7,0
32,2017-07-06,3.7,3.7,3.7,3.7,0
33,2017-07-07,3.7,3.7,3.7,3.7,0
34,2017-07-10,3.7,3.7,3.7,3.7,0
35,2017-07-11,3.7,3.7,3.7,3.7,0
36,2017-07-12,3.7,3.7,3.7,3.7,0
37,2017-07-13,3.7,3.7,3.7,3.7,0
38,2017-07-14,3.7,3.7,3.7,3.7,0
39,2017-07-17,3.7,3.7,3.7,3.7,0
40,2017-07-18,3.7,3.7,3.7,3.7,0
41,2017-07-19,3.7,3.7,3.7,3.7,0
42,2017-07-20,3.7,3.7,3.7,3.7,0
43,2017-07-21,3.7,3.7,3.7,3.7,0
44,2017-07-24,3.7,3.7,3.7,3.7,0
45,2017-07-25,3.7,3.7,3.7,3.7,0
46,2017-07-26,3.7,3.7,3.7,3.7,0
47,2017-07-27,3.7,3.7,3.7,3.7,0
48,2017-07-28,3.7,3.7,3.7,3.7,0
49,2017-07-31,3.7,3.7,3.7,3.7,0
50,2017-08-01,3.7,3.7,3.7,3.7,0
51,2017-08-02,3.7,3.7,3.7,3.7,0
52,2017-08-03,3.7,3.7,3.7,3.7,0
53,2017-08-04,3.7,3.7,3.7,3.7,0
54,2017-08-07,3.7,3.7,3.7,3.7,0
55,2017-08-08,3.7,3.7,3.7,3.7,0
56,2017-08-09,3.7,3.7,3.7,3.7,0
57,2017-08-10,3.7,3.7,3.7,3.7,0
58,2017-08-11,3.7,3.7,3.7,3.7,0
59,2017-08-14,3.7,3.7,3.7,3.7,0
60,2017-08-15,3.7,3.7,3.7,3.7,0
61,2017-08-16,3.7,3.7,3.7,3.7,0
62,2017-08-17,3.7,3.7,3.7,3.7,0
63,2017-08-18,3.7,3.7,3.7,3.7,0
64,2017-08-21,3.7,3.7,3.7,3.7,0
65,2017-08-22,3.7,3.7,3.7,3.7,0
66,2017-08-23,3.7,3.7,3.7,3.7,0
67,2017-08-24,3.7,3.7,3.7,3.7,0
68,2017-08-25,3.7,3.7,3.7,3.7,0
69,2017-08-28,3.7,3.7,3.7,3.7,0
70,2017-08-29,3.7,3.7,3.7,3.7,0
71,2017-08-30,3.7,3.7,3.7,3.7,0
72,2017-08-31,3.7,3.7,3.7,3.7,0
73,2017-09-01,3.7,3.7,3.7,3.7,0
74,2017-09-05,3.7,3.7,3.7,3.7,0
75,2017-09-06,3.7,3.7,3.7,3.7,0
76,2017-09-07,3.7,3.7,3.7,3.7,0
77,2017-09-08,3.7,3.7,3.7,3.7,0
