,time,open,high,low,close,volume
0,2015-09-17,14.62,14.62,10.18,10.4,920000
1,2015-09-18,10.55,10.55,10.25,10.33,319450
2,2015-09-21,10.33,10.33,9.82,10.04,382800
3,2015-09-22,9.89,9.96,9.38,9.53,347400
4,2015-09-23,9.6,10.98,9.38,10.98,906050
5,2015-09-24,10.98,11.56,10.91,11.2,682250
6,2015-09-25,11.35,11.42,10.91,11.13,320000
7,2015-09-28,10.91,11.27,10.76,10.84,201500
8,2015-09-29,10.76,10.76,10.4,10.55,220500
9,2015-09-30,10.62,10.91,10.55,10.55,206300
10,2015-10-01,10.62,10.84,10.62,10.84,210900
11,2015-10-02,10.84,10.84,10.47,10.47,323500
12,2015-10-05,10.55,10.62,10.47,10.55,153600
13,2015-10-06,10.62,10.69,10.18,10.47,257812
14,2015-10-07,10.55,10.62,10.33,10.33,102200
15,2015-10-08,10.4,10.4,10.18,10.25,132400
16,2015-10-09,10.18,10.25,10.11,10.11,197900
17,2015-10-12,10.25,10.25,9.89,9.96,129300
18,2015-10-13,9.89,10.04,9.89,10.04,85302
19,2015-10-14,10.04,10.55,9.89,10.33,281700
20,2015-10-15,10.25,10.4,10.25,10.25,143810
21,2015-10-16,10.25,10.33,10.18,10.18,116410
22,2015-10-19,10.25,10.25,10.11,10.25,280800
23,2015-10-20,10.18,10.18,10.04,10.11,110510
24,2015-10-21,10.18,10.18,10.04,10.11,76300
25,2015-10-22,10.04,10.11,9.96,10.04,124900
26,2015-10-23,10.11,10.18,10.04,10.11,226000
27,2015-10-26,10.11,10.11,9.96,9.96,78700
28,2015-10-27,9.89,9.96,9.6,9.82,215600
29,2015-10-28,9.45,9.89,9.45,9.75,195800
30,2015-10-29,9.67,10.04,9.67,9.67,80100
31,2015-10-30,9.75,9.75,9.53,9.67,91600
32,2015-11-02,9.75,9.75,9.38,9.45,253000
33,2015-11-03,9.38,9.45,9.31,9.38,182220
34,2015-11-04,9.53,9.67,9.38,9.53,112900
35,2015-11-05,9.53,9.53,9.38,9.45,47500
36,2015-11-06,9.45,9.45,9.24,9.31,53000
37,2015-11-09,9.38,9.45,9.24,9.38,102850
38,2015-11-10,9.31,9.31,9.09,9.16,55500
39,2015-11-11,9.09,9.67,9.02,9.38,163000
40,2015-11-12,9.31,9.45,8.87,9.24,81900
41,2015-11-13,9.16,9.16,8.95,9.09,86500
42,2015-11-16,9.02,9.02,8.8,8.95,73100
43,2015-11-17,8.87,9.02,8.87,8.87,53200
44,2015-11-18,8.87,8.87,8.58,8.65,216600
45,2015-11-19,8.65,9.09,8.65,8.95,185900
46,2015-11-20,8.87,9.09,8.87,8.87,25200
47,2015-11-23,8.95,8.95,8.8,8.95,46600
48,2015-11-24,8.95,9.09,8.8,8.8,88300
49,2015-11-25,8.87,8.87,8.65,8.8,71300
50,2015-11-26,8.73,8.8,8.51,8.51,78700
51,2015-11-27,8.65,8.65,8.36,8.44,169700
52,2015-11-30,8.36,8.36,7.85,7.85,207200
53,2015-12-01,8.0,8.07,7.85,7.85,56400
54,2015-12-02,7.93,8.0,7.93,7.93,26400
55,2015-12-03,8.0,8.8,8.0,8.73,250310
56,2015-12-04,8.73,9.09,8.29,9.02,240600
57,2015-12-07,9.09,9.09,8.73,8.73,53700
58,2015-12-08,8.65,8.95,8.36,8.8,118400
59,2015-12-09,8.8,8.95,8.51,8.73,36300
60,2015-12-10,8.65,8.73,8.51,8.58,84400
61,2015-12-11,8.44,8.51,8.36,8.36,73000
62,2015-12-14,8.36,8.51,8.36,8.44,13400
63,2015-12-15,8.36,8.44,8.29,8.44,11300
64,2015-12-16,8.22,8.36,8.22,8.22,25000
65,2015-12-17,8.36,8.44,8.15,8.22,110900
66,2015-12-18,8.22,8.29,8.15,8.29,58000
67,2015-12-21,8.22,8.29,8.07,8.29,95300
68,2015-12-22,8.22,8.44,7.93,8.36,81900
69,2015-12-23,8.15,8.36,8.15,8.36,38600
70,2015-12-24,8.36,8.36,8.29,8.36,41700
71,2015-12-25,8.36,8.65,8.36,8.51,89400
72,2015-12-28,8.51,8.73,8.51,8.73,168200
73,2015-12-29,8.58,9.02,8.51,8.73,253500
74,2015-12-30,8.8,8.87,8.65,8.73,195600
75,2015-12-31,8.65,8.8,8.58,8.58,82900
76,2016-01-04,8.44,8.58,8.36,8.44,117900
77,2016-01-05,8.36,8.44,8.15,8.36,30300
78,2016-01-06,8.22,8.29,8.15,8.15,37300
79,2016-01-07,8.15,8.15,7.93,8.0,277300
80,2016-01-08,8.0,8.07,7.78,8.0,81800
81,2016-01-11,7.93,8.0,7.85,8.0,67700
82,2016-01-12,7.93,7.93,7.71,7.93,75700
83,2016-01-13,7.93,8.07,7.93,7.93,126100
84,2016-01-14,7.93,7.93,7.64,7.93,108400
85,2016-01-15,7.71,7.85,7.64,7.64,16100
86,2016-01-18,7.64,7.64,7.13,7.13,90100
87,2016-01-19,7.27,7.35,7.27,7.27,30500
88,2016-01-20,7.27,7.27,7.13,7.13,71050
89,2016-01-21,7.13,7.56,7.13,7.27,124300
90,2016-01-22,6.98,7.35,6.62,7.35,50900
91,2016-01-25,7.13,7.2,7.05,7.2,19100
92,2016-01-26,7.13,7.13,7.05,7.05,27900
93,2016-01-27,6.98,7.2,6.98,7.13,34340
94,2016-01-28,6.98,7.05,6.91,6.91,6800
95,2016-01-29,6.91,6.98,6.91,6.91,15700
96,2016-02-01,6.98,7.27,6.98,6.98,26000
97,2016-02-02,7.2,7.2,6.91,7.13,45900
98,2016-02-03,7.05,7.2,6.98,6.98,72300
99,2016-02-04,7.13,7.13,7.13,7.13,4900
100,2016-02-05,7.13,7.2,7.05,7.13,22310
101,2016-02-15,6.76,7.13,6.76,7.13,6200
102,2016-02-16,7.13,7.13,6.98,6.98,7000
103,2016-02-17,7.05,7.05,6.69,6.91,38500
104,2016-02-18,6.91,6.91,6.76,6.84,22400
105,2016-02-19,6.84,6.91,6.76,6.76,15900
106,2016-02-22,6.62,6.84,6.18,6.76,83100
107,2016-02-23,6.84,6.98,6.76,6.91,56500
108,2016-02-24,6.76,6.84,6.69,6.84,58900
109,2016-02-25,6.76,6.76,6.55,6.69,54200
110,2016-02-26,6.69,6.76,6.62,6.69,32500
111,2016-02-29,6.62,6.76,6.47,6.62,42000
112,2016-03-01,6.62,6.62,6.4,6.4,73200
113,2016-03-02,6.55,6.55,6.47,6.55,58600
114,2016-03-03,6.55,6.55,6.4,6.47,62900
115,2016-03-04,6.55,6.84,6.55,6.84,65200
116,2016-03-07,6.91,7.71,6.84,7.71,154700
117,2016-03-08,8.36,8.51,8.0,8.51,370650
118,2016-03-09,9.16,9.75,8.95,9.09,669899
119,2016-03-10,9.16,9.45,8.51,8.73,243800
120,2016-03-11,8.87,9.45,8.44,9.16,549350
121,2016-03-14,9.16,9.89,9.16,9.75,479570
122,2016-03-15,9.75,10.62,9.75,10.33,527658
123,2016-03-16,10.55,10.91,10.18,10.4,706900
124,2016-03-17,10.47,10.76,10.25,10.4,299820
125,2016-03-18,10.18,10.91,10.18,10.69,724567
126,2016-03-21,10.84,11.64,10.62,11.49,808310
127,2016-03-22,11.64,12.87,11.64,12.87,1605640
128,2016-03-23,12.73,14.69,12.73,14.69,1308447
129,2016-03-24,16.29,16.8,15.64,16.8,698100
130,2016-03-25,17.53,19.27,16.0,18.04,1629710
131,2016-03-28,18.18,20.8,18.18,20.8,1424930
132,2016-03-29,21.53,22.91,21.45,22.91,1184254
133,2016-03-30,25.31,26.25,21.09,22.4,2002192
134,2016-03-31,21.75,23.13,21.67,21.67,254440
135,2016-04-01,18.55,18.55,18.55,18.55,64140
136,2016-04-04,15.78,17.45,15.78,15.78,2282763
137,2016-04-05,14.18,16.0,13.6,15.78,1556098
138,2016-04-06,16.36,16.36,16.29,16.36,86400
139,2016-04-07,18.18,18.69,16.65,16.73,1083730
140,2016-04-08,16.65,17.09,15.42,16.29,1055718
141,2016-04-11,16.58,18.18,16.58,17.45,486690
142,2016-04-12,18.04,18.18,16.15,16.65,584980
143,2016-04-13,16.58,16.65,15.42,15.56,591540
144,2016-04-14,16.29,16.29,14.91,15.27,366053
145,2016-04-15,15.42,16.65,14.98,15.56,318840
146,2016-04-19,16.73,17.09,15.71,16.87,706890
147,2016-04-20,16.87,17.96,16.65,17.38,682250
148,2016-04-21,17.75,17.82,16.95,17.45,350362
149,2016-04-22,17.45,17.53,16.51,16.73,413200
150,2016-04-25,16.73,16.73,16.0,16.0,452515
151,2016-04-26,16.0,16.73,15.71,16.36,243760
152,2016-04-27,16.29,16.44,15.85,15.93,303000
153,2016-04-28,16.0,16.15,15.64,15.85,226000
154,2016-04-29,15.64,15.78,14.55,14.98,494530
155,2016-05-04,12.8,15.05,12.8,13.31,626600
156,2016-05-05,13.31,13.6,12.0,12.73,880600
157,2016-05-06,12.0,12.51,11.78,12.22,792980
158,2016-05-09,12.22,13.45,12.22,12.65,469550
159,2016-05-10,13.02,13.02,12.36,12.36,290160
160,2016-05-11,12.51,13.24,12.44,13.16,383910
161,2016-05-12,13.31,14.11,13.24,14.11,488928
162,2016-05-13,14.04,15.42,14.04,15.42,668530
163,2016-05-16,15.64,15.85,14.55,14.69,644600
164,2016-05-17,14.91,15.05,14.18,15.05,461300
165,2016-05-18,14.69,15.78,14.69,15.35,298000
166,2016-05-19,15.49,15.49,14.76,14.84,209300
167,2016-05-20,14.76,14.98,14.62,14.91,198401
168,2016-05-23,14.69,15.2,14.18,14.18,224400
169,2016-05-24,14.04,14.18,13.6,13.89,261295
170,2016-05-25,13.82,14.69,13.67,13.89,251000
171,2016-05-26,14.11,14.18,13.6,13.82,79870
172,2016-05-27,13.67,13.75,13.38,13.45,243400
173,2016-05-30,13.38,13.67,13.09,13.24,170130
174,2016-05-31,13.24,13.82,13.24,13.6,229130
175,2016-06-01,13.53,13.67,13.38,13.53,144710
176,2016-06-02,13.45,15.2,13.45,15.05,623550
177,2016-06-03,14.91,15.42,14.76,14.98,448650
178,2016-06-06,14.98,14.98,14.18,14.18,389920
179,2016-06-07,14.18,14.47,14.18,14.33,203440
180,2016-06-08,14.25,14.98,14.25,14.84,296960
181,2016-06-09,14.76,14.76,14.18,14.47,127329
182,2016-06-10,14.55,15.05,14.47,14.55,154200
183,2016-06-13,14.55,14.55,13.82,13.96,299740
184,2016-06-14,14.04,14.11,13.67,14.04,186600
185,2016-06-15,13.89,14.4,13.89,14.33,180400
186,2016-06-16,14.47,14.55,14.18,14.18,159549
187,2016-06-17,14.11,14.18,13.82,13.96,166900
188,2016-06-20,14.04,14.11,13.75,13.89,102810
189,2016-06-21,13.96,14.04,13.82,13.96,151810
190,2016-06-22,13.89,14.04,13.6,13.75,191800
191,2016-06-23,13.75,14.33,13.67,14.25,214950
192,2016-06-24,13.31,14.33,12.07,13.6,338550
193,2016-06-27,13.45,13.45,12.8,13.16,216600
194,2016-06-28,13.24,13.6,13.09,13.45,206600
195,2016-06-29,13.67,14.47,13.67,13.89,108450
196,2016-06-30,14.11,14.11,13.45,13.53,159410
197,2016-07-01,13.75,13.75,13.38,13.53,149410
198,2016-07-04,13.45,13.6,13.31,13.45,142500
199,2016-07-05,13.31,13.75,13.31,13.45,97600
200,2016-07-06,13.38,13.45,13.09,13.24,185220
201,2016-07-07,13.31,13.31,13.02,13.16,380520
202,2016-07-08,13.16,13.16,12.87,12.87,293340
203,2016-07-11,12.95,12.95,12.65,12.73,174800
204,2016-07-12,12.73,12.8,12.51,12.8,119300
205,2016-07-13,12.8,12.8,12.44,12.44,206400
206,2016-07-14,12.51,12.51,11.49,11.71,515100
207,2016-07-15,11.78,11.85,10.76,11.27,404610
208,2016-07-18,11.2,12.29,11.2,12.29,183900
209,2016-07-19,12.36,12.44,11.85,11.93,140210
210,2016-07-20,11.85,11.93,11.42,11.49,118821
211,2016-07-21,11.56,11.71,11.35,11.42,103380
212,2016-07-22,11.49,11.49,11.13,11.2,149500
213,2016-07-25,11.27,11.85,11.27,11.42,51700
214,2016-07-26,11.2,11.2,10.4,10.76,348100
215,2016-07-27,10.69,10.69,9.31,9.53,490151
216,2016-07-28,9.45,10.91,8.8,9.75,502330
217,2016-07-29,9.75,10.4,9.75,10.11,163310
218,2016-08-01,10.33,10.33,9.75,9.82,81300
219,2016-08-02,9.82,9.82,9.09,9.09,606600
220,2016-08-03,9.24,9.38,9.09,9.31,138100
221,2016-08-04,9.31,9.31,8.87,9.02,155400
222,2016-08-05,9.02,9.02,8.51,8.58,206200
223,2016-08-08,8.51,8.58,8.29,8.44,162300
224,2016-08-09,8.36,8.65,8.29,8.51,64300
225,2016-08-10,8.65,9.31,8.58,9.24,181320
226,2016-08-11,9.53,10.33,9.45,10.33,216500
227,2016-08-12,10.91,11.56,10.91,0.0,595529
228,2016-08-15,11.64,11.64,10.62,11.05,125920
229,2016-08-16,10.98,11.27,10.4,10.47,181010
230,2016-08-17,10.33,10.4,9.82,10.11,188300
