,time,open,high,low,close,volume
0,2006-12-22,19.99,19.99,19.99,19.99,27410
1,2006-12-25,20.99,20.99,20.99,20.99,14880
2,2006-12-26,21.99,21.99,21.99,21.99,49910
3,2006-12-27,22.88,22.88,22.88,22.88,16000
4,2006-12-28,23.99,23.99,23.99,23.99,46910
5,2006-12-29,25.1,25.1,24.88,24.88,27620
6,2007-01-02,24.88,24.88,23.99,23.99,12830
7,2007-01-03,22.88,22.88,22.88,22.88,15800
8,2007-01-04,22.88,22.88,22.88,22.88,23680
9,2007-01-05,22.88,23.1,22.88,23.1,32740
10,2007-01-08,24.21,24.21,24.21,24.21,36100
11,2007-01-09,25.32,25.32,25.32,25.32,10900
12,2007-01-10,25.32,25.32,24.21,24.21,11610
13,2007-01-11,23.1,24.21,23.1,24.21,18270
14,2007-01-12,23.99,23.99,23.32,23.32,7650
15,2007-01-15,24.43,24.43,24.43,24.43,24810
16,2007-01-16,25.55,25.55,25.55,25.55,16490
17,2007-01-17,26.66,26.66,26.66,26.66,27510
18,2007-01-18,27.77,27.77,27.54,27.77,21040
19,2007-01-19,27.77,27.77,26.66,26.66,46270
20,2007-01-22,25.32,25.32,25.32,25.32,30580
21,2007-01-23,25.32,25.32,25.32,25.32,13840
22,2007-01-24,25.32,26.43,25.32,25.77,9940
23,2007-01-25,26.66,26.66,25.55,25.77,13630
24,2007-01-26,25.77,25.77,25.55,25.55,11350
25,2007-01-29,25.77,26.21,25.77,26.21,13740
26,2007-01-30,26.43,26.66,26.43,26.66,22810
27,2007-01-31,27.99,27.99,27.99,27.99,34670
28,2007-02-01,27.99,27.99,27.1,27.1,10480
29,2007-02-02,27.1,27.1,27.1,27.1,14930
30,2007-02-05,28.43,28.43,28.21,28.21,25100
31,2007-02-06,28.88,29.54,28.88,29.54,27930
32,2007-02-07,30.88,30.88,30.88,30.88,14100
33,2007-02-08,32.21,32.21,32.21,32.21,51490
34,2007-02-09,33.76,33.76,33.76,33.76,69270
35,2007-02-12,35.32,35.32,35.32,35.32,10060
36,2007-02-13,36.87,36.87,36.87,36.87,26050
37,2007-02-14,38.65,38.65,38.65,38.65,35880
38,2007-02-15,40.43,40.43,39.98,39.98,43410
39,2007-02-26,41.98,41.98,41.98,41.98,7650
40,2007-02-27,41.98,43.98,41.98,43.98,9480
41,2007-02-28,43.98,43.98,41.98,41.98,29390
42,2007-03-01,41.98,43.98,41.98,43.98,33700
43,2007-03-02,45.98,45.98,45.31,45.54,34960
44,2007-03-05,45.98,46.65,45.98,46.65,18330
45,2007-03-06,47.09,47.09,45.54,45.54,25840
46,2007-03-07,47.76,47.76,46.65,46.65,34700
47,2007-03-08,44.43,45.98,44.43,45.98,25590
48,2007-03-09,46.2,47.76,46.2,47.76,26570
49,2007-03-12,47.76,48.87,47.76,48.87,38890
50,2007-03-13,48.87,48.87,46.65,47.76,8760
51,2007-03-14,45.54,45.54,45.54,45.54,10520
52,2007-03-15,43.32,43.32,43.32,43.32,5120
53,2007-03-16,43.32,45.31,43.32,45.31,9300
54,2007-03-19,45.31,47.54,45.31,46.65,22140
55,2007-03-20,45.54,45.54,44.43,44.43,16860
56,2007-03-21,43.32,44.43,43.32,44.43,9380
57,2007-03-22,44.43,44.43,44.43,44.43,12520
58,2007-03-23,43.32,43.98,43.32,43.54,14560
59,2007-03-26,41.54,42.2,41.54,42.2,7000
60,2007-03-27,41.98,41.98,40.21,40.21,14730
61,2007-03-28,38.21,38.21,38.21,38.21,19760
62,2007-03-29,38.21,39.98,38.21,39.98,4010
63,2007-03-30,41.98,41.98,41.98,41.98,15860
64,2007-04-02,43.76,43.76,41.09,41.09,12310
65,2007-04-03,41.09,41.09,39.1,39.1,7520
66,2007-04-04,39.1,40.87,39.1,40.87,5620
67,2007-04-05,41.54,41.54,40.43,40.43,5750
68,2007-04-06,39.98,40.43,38.87,40.43,8060
69,2007-04-09,40.43,41.09,40.43,41.09,5880
70,2007-04-10,41.98,41.98,41.76,41.76,14550
71,2007-04-11,41.09,41.09,40.65,40.87,8350
72,2007-04-12,40.21,40.21,39.32,39.32,6500
73,2007-04-13,38.65,39.32,38.65,39.1,3920
74,2007-04-16,38.65,38.65,38.65,38.65,3590
75,2007-04-17,36.87,36.87,36.87,36.87,16010
76,2007-04-18,35.54,38.65,35.54,38.65,9830
77,2007-04-19,39.54,39.54,37.1,37.1,8430
78,2007-04-20,37.1,37.76,37.1,37.1,6660
79,2007-04-23,35.54,36.65,35.54,35.76,6050
80,2007-04-24,33.99,33.99,33.99,33.99,13080
81,2007-04-25,33.76,35.32,33.76,34.43,5600
82,2007-05-02,35.54,35.99,35.54,35.99,6130
83,2007-05-03,37.32,37.32,35.99,35.99,7850
84,2007-05-04,35.54,36.21,35.54,36.21,2770
85,2007-05-07,36.65,37.76,36.65,37.76,6590
86,2007-05-08,38.87,39.54,38.87,39.54,13820
87,2007-05-09,40.43,40.43,38.87,38.87,6000
88,2007-05-10,38.87,38.87,38.21,38.21,3260
89,2007-05-11,38.87,39.98,38.87,39.98,15020
90,2007-05-14,41.98,41.98,41.98,41.98,23500
91,2007-05-15,43.98,43.98,43.98,43.98,42110
92,2007-05-16,43.32,43.32,42.43,42.87,23880
93,2007-05-17,44.87,44.87,44.43,44.87,45850
94,2007-05-18,47.09,47.09,47.09,47.09,21340
95,2007-05-21,49.31,49.31,49.31,49.31,23260
96,2007-05-22,51.76,51.76,51.76,51.76,4530
97,2007-05-23,54.2,54.2,51.98,51.98,36010
98,2007-05-24,51.98,51.98,49.54,49.54,53100
99,2007-05-25,48.87,51.98,48.87,51.98,38650
100,2007-05-28,54.42,54.42,54.42,54.42,32420
101,2007-05-29,57.09,57.09,53.31,54.42,53850
102,2007-05-30,53.53,53.53,52.87,52.87,26850
103,2007-05-31,53.31,53.53,53.31,53.53,55680
104,2007-06-01,53.53,53.53,51.53,51.53,25450
105,2007-06-04,49.76,49.76,49.09,49.09,39300
106,2007-06-05,46.87,46.87,46.65,46.65,21770
107,2007-06-06,45.54,48.87,45.54,48.87,47330
108,2007-06-07,26.66,26.66,26.66,26.66,8300
109,2007-06-08,27.99,27.99,27.99,27.99,31820
110,2007-06-11,29.32,29.32,28.65,28.65,98590
111,2007-06-12,28.65,28.65,27.77,27.99,34980
112,2007-06-13,27.54,27.54,27.1,27.1,37270
113,2007-06-14,27.32,27.77,27.32,27.77,18280
114,2007-06-15,28.21,28.21,27.77,27.77,22600
115,2007-06-18,27.99,27.99,27.54,27.54,20760
116,2007-06-19,27.32,27.32,27.1,27.1,22380
117,2007-06-20,27.1,27.1,26.88,26.88,19620
118,2007-06-21,26.21,26.43,26.21,26.21,26580
119,2007-06-22,25.77,25.99,25.77,25.77,18450
120,2007-06-25,24.88,25.32,24.88,25.1,16270
121,2007-06-26,24.43,26.21,24.43,26.21,30900
122,2007-06-27,26.88,27.32,26.88,27.32,57060
123,2007-06-28,27.32,27.32,26.43,26.43,14820
124,2007-06-29,25.77,25.99,25.77,25.99,14070
125,2007-07-02,25.99,25.99,25.1,25.1,12450
126,2007-07-03,24.43,24.43,24.43,24.43,16540
127,2007-07-04,24.88,25.55,24.88,25.55,9100
128,2007-07-05,26.21,26.21,25.32,25.32,21190
129,2007-07-06,25.32,25.55,25.32,25.55,10180
130,2007-07-09,25.99,26.21,25.99,25.99,14850
131,2007-07-10,26.43,27.1,26.43,27.1,62140
132,2007-07-11,26.66,26.66,26.43,26.43,31330
133,2007-07-12,26.66,26.66,26.43,26.43,11910
134,2007-07-13,26.43,26.66,26.43,26.66,15640
135,2007-07-16,26.66,26.66,25.55,25.77,21340
136,2007-07-17,25.77,26.43,25.77,26.43,4780
137,2007-07-18,25.99,26.21,25.99,26.21,4960
138,2007-07-19,26.21,26.21,26.21,26.21,10550
139,2007-07-20,25.77,25.99,25.77,25.99,8520
140,2007-07-23,25.99,26.66,25.99,26.21,10400
141,2007-07-24,26.43,26.43,26.21,26.21,15300
142,2007-07-25,25.99,25.99,25.77,25.77,12180
143,2007-07-26,26.43,26.43,25.55,25.55,14720
144,2007-07-27,25.55,25.55,25.32,25.32,12680
145,2007-07-30,24.88,25.32,24.66,24.66,5040
146,2007-07-31,24.21,24.43,23.55,24.43,6100
147,2007-08-01,24.43,25.55,24.43,25.55,9080
148,2007-08-02,25.55,25.55,25.1,25.1,5560
149,2007-08-03,25.1,25.1,24.43,25.1,2860
150,2007-08-06,24.43,24.88,24.21,24.21,7660
151,2007-08-07,23.99,24.21,23.99,24.21,8650
152,2007-08-08,24.21,24.43,24.21,24.43,9090
153,2007-08-09,24.43,25.32,24.66,25.32,8270
154,2007-08-10,25.32,25.32,24.43,24.88,6670
155,2007-08-13,24.21,24.43,24.21,24.21,5210
156,2007-08-14,24.66,24.88,24.43,24.43,4670
157,2007-08-15,24.21,26.43,22.21,24.21,5970
158,2007-08-16,24.21,24.21,23.99,23.99,15110
159,2007-08-17,24.43,26.88,23.32,23.77,7100
160,2007-08-20,23.55,23.55,23.32,23.55,9860
161,2007-08-21,23.77,23.77,23.55,23.77,3440
162,2007-08-22,23.32,23.99,23.32,23.32,3550
163,2007-08-23,22.88,22.88,22.66,22.88,13550
164,2007-08-24,22.88,23.1,22.66,23.1,21820
165,2007-08-27,23.55,23.55,23.1,23.55,11340
166,2007-08-28,23.55,23.77,23.55,23.55,4020
167,2007-08-29,23.32,23.55,23.32,23.32,6480
168,2007-08-30,23.55,23.55,23.32,23.55,3300
169,2007-08-31,23.55,23.55,23.32,23.55,4990
170,2007-09-04,23.55,23.77,23.32,23.77,18020
171,2007-09-05,23.77,23.77,23.32,23.32,7390
172,2007-09-06,23.32,23.55,23.32,23.55,8850
173,2007-09-07,23.55,23.55,23.32,23.55,13790
174,2007-09-10,23.1,23.55,22.88,23.32,33240
175,2007-09-11,22.88,23.1,22.66,22.88,59500
176,2007-09-12,23.32,23.55,23.1,23.55,98890
177,2007-09-13,23.32,23.55,23.32,23.32,28680
178,2007-09-14,23.1,23.32,23.1,23.32,27720
179,2007-09-17,23.32,23.32,23.1,23.1,17030
