,time,open,high,low,close,volume
0,2009-02-18,6.72,7.46,6.72,6.72,561490
1,2009-02-19,6.41,6.78,6.41,6.72,175760
2,2009-02-20,6.44,6.69,6.41,6.69,109820
3,2009-02-23,6.69,6.69,6.41,6.41,180970
4,2009-02-24,6.13,6.69,6.13,6.13,95490
5,2009-02-25,6.41,6.41,6.41,6.41,37340
6,2009-02-26,6.53,6.72,6.5,6.72,119680
7,2009-02-27,6.72,6.81,6.53,6.72,53350
8,2009-03-02,6.81,6.81,6.44,6.53,28060
9,2009-03-03,6.53,6.56,6.5,6.56,60960
10,2009-03-04,6.72,6.72,6.59,6.59,49400
11,2009-03-05,6.69,6.69,6.59,6.59,68370
12,2009-03-06,6.59,6.9,6.53,6.9,98720
13,2009-03-09,7.06,7.25,6.84,6.93,62000
14,2009-03-10,7.0,7.0,6.84,7.0,39700
15,2009-03-11,7.0,7.21,7.0,7.15,105180
16,2009-03-12,7.15,7.49,7.0,7.49,102530
17,2009-03-13,7.71,7.71,7.46,7.62,31040
18,2009-03-16,7.93,7.93,7.71,7.84,48640
19,2009-03-17,7.96,8.02,7.87,8.02,46100
20,2009-03-18,8.18,8.18,7.9,8.02,58160
21,2009-03-19,7.84,8.05,7.84,8.02,63710
22,2009-03-20,7.84,7.96,7.68,7.81,45560
23,2009-03-23,7.77,8.09,7.77,7.84,91310
24,2009-03-24,7.84,8.21,7.84,8.18,70900
25,2009-03-25,8.12,8.12,7.9,8.09,54730
26,2009-03-26,8.09,8.18,8.09,8.12,56810
27,2009-03-27,8.12,8.15,8.09,8.09,53970
28,2009-03-30,7.93,8.15,7.93,8.09,26830
29,2009-03-31,8.09,8.09,7.9,7.9,68820
30,2009-04-01,8.09,8.09,7.93,7.93,64550
31,2009-04-02,7.93,7.93,7.65,7.84,39990
32,2009-04-03,7.84,8.09,7.81,8.09,172740
33,2009-04-07,8.09,8.49,7.9,8.49,255740
34,2009-04-08,8.83,8.83,8.09,8.09,85740
35,2009-04-09,8.49,8.49,8.4,8.49,290250
36,2009-04-10,8.89,8.89,8.89,8.89,2000
37,2009-04-13,9.33,9.33,9.33,9.33,13920
38,2009-04-14,9.33,9.8,9.3,9.8,163690
39,2009-04-15,9.8,10.26,9.8,10.26,346530
40,2009-04-16,10.76,10.76,9.95,10.26,165200
41,2009-04-17,10.26,10.26,9.76,9.76,90940
42,2009-04-20,9.3,9.3,9.3,9.3,20880
43,2009-04-21,8.86,8.86,8.86,8.86,6270
44,2009-04-22,8.55,9.02,8.43,8.86,226070
45,2009-04-23,8.86,8.86,8.46,8.58,121780
46,2009-04-24,8.3,8.71,8.27,8.71,70370
47,2009-04-27,8.71,8.74,8.55,8.71,70760
48,2009-04-28,8.61,8.71,8.58,8.71,87180
49,2009-04-29,8.71,8.8,8.68,8.77,138810
50,2009-05-04,9.2,9.2,9.2,9.2,42230
51,2009-05-05,9.64,9.64,9.33,9.52,255000
52,2009-05-06,9.17,9.52,9.11,9.3,174450
53,2009-05-07,9.48,9.48,9.02,9.27,170420
54,2009-05-08,8.92,9.33,8.92,9.27,141070
55,2009-05-11,9.45,9.45,9.17,9.42,157560
56,2009-05-12,9.42,9.89,9.39,9.89,260290
57,2009-05-13,10.23,10.36,9.98,10.36,274600
58,2009-05-14,10.85,10.85,10.82,10.85,131470
59,2009-05-15,11.38,11.38,11.19,11.38,130960
60,2009-05-18,11.66,11.82,11.38,11.57,176100
61,2009-05-19,11.79,11.79,11.35,11.57,231660
62,2009-05-20,11.41,12.13,11.41,11.85,376250
63,2009-05-21,11.85,12.44,11.85,12.44,282780
64,2009-05-22,12.5,13.03,12.28,12.47,177460
65,2009-05-25,12.75,12.87,12.5,12.75,206310
66,2009-05-26,12.44,12.44,12.13,12.13,246250
67,2009-05-27,11.66,12.41,11.54,12.41,445880
68,2009-05-28,11.97,12.28,11.82,12.0,227560
69,2009-05-29,12.0,12.0,11.47,11.51,98550
70,2009-06-01,11.51,11.97,11.51,11.75,144180
71,2009-06-02,12.25,12.25,11.82,11.82,262310
72,2009-06-03,11.6,11.75,11.51,11.54,215500
73,2009-06-04,11.54,11.94,11.54,11.82,463100
74,2009-06-05,12.41,12.41,12.38,12.41,318270
75,2009-06-08,12.13,13.0,12.13,13.0,351290
76,2009-06-09,12.78,13.37,12.78,13.28,207300
77,2009-06-10,12.69,12.69,12.69,12.63,228100
78,2009-06-11,12.75,12.9,12.72,13.25,495730
79,2009-06-12,13.9,13.9,13.9,13.9,110110
80,2009-06-15,14.58,14.58,14.58,14.58,83360
81,2009-06-16,15.3,15.3,14.15,15.3,969060
82,2009-06-17,15.33,15.33,14.77,14.9,303240
83,2009-06-18,15.24,15.24,14.3,14.58,162500
84,2009-06-19,14.27,14.37,13.87,13.87,347640
85,2009-06-22,13.18,13.18,13.18,13.18,53850
86,2009-06-23,12.53,12.53,12.53,12.53,2740
87,2009-06-24,11.91,13.15,11.91,13.15,466310
88,2009-06-25,13.15,13.15,12.5,12.97,370580
89,2009-06-26,12.56,12.9,12.56,12.9,85610
90,2009-06-29,12.63,12.9,12.31,12.31,103930
91,2009-06-30,12.66,12.81,11.75,12.59,195230
92,2009-07-01,12.16,12.16,11.97,11.97,37320
93,2009-07-02,12.1,12.1,11.82,11.97,60530
94,2009-07-03,12.44,12.56,12.1,12.56,179950
95,2009-07-06,13.18,13.18,13.18,13.18,108640
96,2009-07-07,13.18,13.68,13.18,13.37,205790
97,2009-07-08,13.37,13.53,13.22,13.37,32820
98,2009-07-09,13.06,13.81,13.06,13.22,125940
99,2009-07-10,13.22,13.22,12.56,12.59,78030
100,2009-07-13,12.59,12.59,12.0,12.0,57180
101,2009-07-14,11.85,11.97,11.66,11.88,66380
102,2009-07-15,12.31,12.31,11.88,11.88,66630
103,2009-07-16,12.41,12.41,11.91,12.13,24370
104,2009-07-17,12.28,12.28,12.03,12.1,40060
105,2009-07-20,11.6,11.82,11.6,11.82,39540
106,2009-07-21,11.97,12.13,11.82,11.94,84840
107,2009-07-22,11.97,11.97,11.88,11.88,28960
108,2009-07-23,11.88,12.47,11.85,12.47,138230
109,2009-07-24,13.09,13.09,13.09,13.09,196130
110,2009-07-27,13.31,13.34,13.09,13.09,81070
111,2009-07-28,12.78,13.06,12.75,13.03,106990
112,2009-07-29,12.9,13.12,12.59,12.59,69380
113,2009-07-30,12.72,12.9,12.41,12.59,71180
114,2009-07-31,12.81,13.22,12.81,13.06,135610
115,2009-08-03,13.37,13.37,13.06,13.09,95540
116,2009-08-04,13.37,13.37,13.06,13.37,141140
117,2009-08-05,13.37,13.53,13.34,13.53,93620
118,2009-08-06,13.59,14.18,13.37,13.99,182610
119,2009-08-07,13.99,14.12,13.81,13.99,132920
120,2009-08-10,13.99,14.68,13.99,14.68,166750
121,2009-08-11,14.93,15.39,14.9,15.39,189570
122,2009-08-12,16.01,16.01,15.7,16.01,176720
123,2009-08-13,16.64,16.79,16.01,16.79,338430
124,2009-08-14,16.17,17.41,16.01,16.79,192620
125,2009-08-17,16.33,16.48,16.01,16.33,363720
126,2009-08-18,16.17,17.1,16.17,16.33,211310
127,2009-08-19,16.79,17.1,16.79,17.1,212130
128,2009-08-20,17.57,17.88,17.1,17.88,112800
129,2009-08-21,17.88,18.35,17.1,17.1,130300
130,2009-08-24,17.1,17.1,16.48,16.95,255390
131,2009-08-25,16.64,16.95,16.17,16.79,148720
132,2009-08-26,16.79,17.1,16.64,16.79,321890
133,2009-08-27,16.79,17.41,16.79,17.41,203020
134,2009-08-28,17.88,18.04,17.41,17.72,103930
135,2009-08-31,17.88,18.35,17.57,17.88,185600
136,2009-09-01,18.04,18.04,17.57,18.04,104780
137,2009-09-03,18.04,18.19,17.41,18.04,117320
138,2009-09-04,17.41,18.04,17.26,17.41,213690
139,2009-09-07,17.88,17.88,17.1,17.88,179870
140,2009-09-08,17.88,18.19,17.72,17.88,52250
141,2009-09-09,18.04,18.19,17.88,18.04,126430
142,2009-09-10,18.81,18.81,17.72,18.81,491260
143,2009-09-11,19.12,19.75,18.97,19.44,175860
144,2009-09-14,19.44,20.06,19.28,19.28,162880
145,2009-09-15,19.28,19.28,18.35,18.97,196940
146,2009-09-16,18.97,18.97,18.5,18.5,157220
147,2009-09-17,18.19,18.66,18.19,18.5,117910
148,2009-09-18,18.66,19.28,18.35,18.97,157800
149,2009-09-21,19.59,19.9,19.28,19.9,147370
