,time,open,high,low,close,volume
0,2015-12-02,6.13,6.13,6.13,6.13,100
1,2015-12-03,6.13,6.13,6.13,6.13,0
2,2015-12-04,6.13,6.13,6.13,6.13,0
3,2015-12-07,6.13,6.13,6.13,6.13,1
4,2015-12-08,7.04,7.04,7.04,7.04,100
5,2015-12-09,8.09,8.09,8.09,8.09,100
6,2015-12-10,9.3,9.3,9.3,9.3,100
7,2015-12-11,10.68,10.68,10.68,10.68,100
8,2015-12-14,12.26,12.26,12.26,12.26,100
9,2015-12-15,12.26,12.26,12.26,12.26,0
10,2015-12-16,14.08,14.08,14.08,14.08,100
11,2015-12-17,16.17,16.17,16.17,16.17,100
12,2015-12-18,18.6,18.6,18.6,18.6,2100
13,2015-12-21,21.36,21.36,21.36,21.36,2000
14,2015-12-22,24.56,24.56,24.56,24.56,1100
15,2015-12-23,28.24,28.24,26.62,26.62,18150
16,2015-12-24,27.63,27.63,24.26,24.6,5620
17,2015-12-25,23.59,25.1,22.57,25.1,12600
18,2015-12-28,23.86,26.99,23.86,26.99,200
19,2015-12-29,26.95,26.95,26.95,26.95,300
20,2015-12-30,28.3,28.3,27.33,27.63,1250
21,2015-12-31,27.63,27.63,27.63,27.63,0
22,2016-01-04,24.93,24.93,24.93,24.93,1000
23,2016-01-05,24.93,24.93,24.93,24.93,0
24,2016-01-06,25.27,25.27,25.27,25.27,2400
25,2016-01-07,25.27,25.27,25.27,25.27,200
26,2016-01-08,23.92,25.61,23.92,25.61,2500
27,2016-01-11,25.27,25.27,24.93,25.27,2130
28,2016-01-12,25.44,25.94,25.2,25.94,6500
29,2016-01-13,25.27,25.27,25.0,25.14,1000
30,2016-01-14,24.93,25.3,24.93,25.27,4000
31,2016-01-15,25.61,25.61,25.61,25.61,100
32,2016-01-18,25.61,25.61,25.61,25.61,0
33,2016-01-19,23.92,25.27,23.59,24.26,6400
34,2016-01-20,23.92,24.26,23.92,24.26,7000
35,2016-01-21,23.59,24.26,23.59,23.92,4910
36,2016-01-22,23.92,23.92,23.25,23.25,5300
37,2016-01-25,23.92,23.92,23.42,23.59,1200
38,2016-01-26,23.42,23.42,23.42,23.42,300
39,2016-01-27,23.25,23.25,23.25,23.25,1100
40,2016-01-28,22.95,22.95,22.95,22.95,500
41,2016-01-29,22.91,22.91,22.57,22.57,1030
42,2016-02-01,22.57,22.57,22.57,22.57,20
43,2016-02-02,22.57,22.57,22.57,22.57,0
44,2016-02-03,22.57,22.57,22.57,22.57,4700
45,2016-02-04,22.57,22.57,22.57,22.57,1400
46,2016-02-05,22.57,22.57,22.57,22.57,900
47,2016-02-15,22.57,22.57,22.57,22.57,0
48,2016-02-16,22.71,22.71,22.71,22.71,500
49,2016-02-17,22.71,22.71,22.36,22.36,800
50,2016-02-18,22.71,23.06,22.71,22.71,400
51,2016-02-19,22.71,22.71,22.71,22.71,0
52,2016-02-22,22.71,22.71,22.36,22.36,700
53,2016-02-23,22.36,22.36,22.36,22.36,0
54,2016-02-24,22.36,22.36,22.36,22.36,0
55,2016-02-25,22.36,22.36,22.36,22.36,1000
56,2016-02-26,22.4,22.4,22.02,22.02,700
57,2016-02-29,22.02,22.02,22.02,22.02,0
58,2016-03-01,22.02,22.02,22.02,22.02,0
59,2016-03-02,22.02,22.02,22.02,22.02,500
60,2016-03-03,22.02,22.02,22.02,22.02,0
61,2016-03-04,22.02,22.02,22.02,22.02,0
62,2016-03-07,20.97,20.97,20.97,20.97,600
63,2016-03-08,20.97,21.67,20.97,21.67,1400
64,2016-03-09,21.67,22.71,21.67,22.02,1200
65,2016-03-10,22.02,22.02,22.02,22.02,0
66,2016-03-11,22.02,22.02,21.67,21.67,1700
67,2016-03-14,22.36,22.36,22.36,22.36,300
68,2016-03-15,22.71,24.46,22.71,24.46,2800
69,2016-03-16,23.76,23.76,23.76,23.76,1600
70,2016-03-17,23.76,23.76,23.76,23.76,100
71,2016-03-18,22.19,22.19,22.19,22.19,900
72,2016-03-21,22.19,22.19,22.19,22.19,0
73,2016-03-22,24.29,24.46,24.29,24.29,2100
74,2016-03-23,24.78,24.81,24.46,24.64,10300
75,2016-03-24,25.16,25.16,24.81,24.81,11200
76,2016-03-25,24.85,25.16,24.81,24.85,4700
77,2016-03-28,24.81,25.16,24.81,24.81,2000
78,2016-03-29,24.46,25.68,24.46,25.16,5100
