,time,open,high,low,close,volume
0,2013-07-17,3.25,4.48,2.5,3.37,117900
1,2013-07-18,3.34,3.34,3.06,3.06,2100
2,2013-07-19,2.94,3.06,2.78,2.78,3100
3,2013-07-22,2.53,2.53,2.53,2.53,1000
4,2013-07-23,2.29,2.29,2.29,2.29,200
5,2013-07-24,2.07,2.1,2.07,2.1,5900
6,2013-07-25,2.13,2.13,1.92,2.01,12500
7,2013-07-26,1.95,2.04,1.95,2.04,14000
8,2013-07-29,2.01,2.01,2.01,2.01,500
9,2013-07-30,2.07,2.07,2.01,2.01,2500
10,2013-07-31,2.01,2.01,2.01,2.01,1000
11,2013-08-01,2.01,2.01,2.01,2.01,1000
12,2013-08-02,2.19,2.19,2.19,2.19,1000
13,2013-08-05,2.19,2.19,2.19,2.19,0
14,2013-08-06,2.04,2.19,2.04,2.19,18100
15,2013-08-07,2.1,2.1,1.98,2.01,10300
16,2013-08-08,1.85,1.85,1.85,1.85,100
17,2013-08-09,1.7,1.7,1.7,1.7,100
18,2013-08-12,1.85,1.85,1.85,1.85,6900
19,2013-08-13,2.04,2.04,2.04,2.04,100
20,2013-08-14,2.01,2.23,2.01,2.23,1400
21,2013-08-15,2.13,2.13,2.13,2.13,100
22,2013-08-16,2.13,2.13,2.13,2.13,0
23,2013-08-19,2.13,2.13,2.13,2.13,0
24,2013-08-20,2.13,2.13,2.13,2.13,0
25,2013-08-21,2.01,2.01,2.01,2.01,100
26,2013-08-22,1.89,1.89,1.89,1.89,1100
27,2013-08-23,1.89,1.89,1.89,1.89,0
28,2013-08-26,1.89,1.89,1.89,1.89,1600
29,2013-08-27,1.7,1.79,1.7,1.79,200
30,2013-08-28,1.85,1.85,1.85,1.85,600
31,2013-08-29,1.85,1.85,1.85,1.85,0
32,2013-08-30,1.85,1.85,1.85,1.85,900
33,2013-09-03,1.85,1.85,1.85,1.85,2000
34,2013-09-04,1.85,1.85,1.85,1.85,1000
35,2013-09-05,2.04,2.04,2.04,2.04,100
36,2013-09-06,2.23,2.23,2.23,2.23,100
37,2013-09-09,2.23,2.23,2.23,2.23,0
38,2013-09-10,2.23,2.23,2.23,2.23,0
39,2013-09-11,2.01,2.04,2.01,2.04,1100
40,2013-09-12,2.04,2.04,2.04,2.04,0
41,2013-09-13,1.89,1.89,1.89,1.89,1000
42,2013-09-16,1.89,1.89,1.89,1.89,0
43,2013-09-17,1.89,1.89,1.89,1.89,0
44,2013-09-18,1.89,1.89,1.89,1.89,0
45,2013-09-19,1.89,1.89,1.89,1.89,2000
46,2013-09-20,1.89,1.89,1.89,1.89,0
47,2013-09-23,1.92,1.92,1.92,1.92,1000
48,2013-09-24,1.92,1.92,1.92,1.92,0
49,2013-09-25,1.92,1.92,1.92,1.92,3000
50,2013-09-26,1.92,1.92,1.92,1.92,1200
51,2013-09-27,1.89,1.89,1.89,1.89,1500
52,2013-09-30,1.89,1.89,1.89,1.89,0
53,2013-10-01,1.85,1.85,1.85,1.85,1000
54,2013-10-02,1.85,1.85,1.85,1.85,0
55,2013-10-03,1.82,1.82,1.82,1.82,1000
56,2013-10-04,1.82,1.82,1.82,1.82,0
57,2013-10-07,1.82,1.82,1.82,1.82,0
58,2013-10-08,1.82,1.82,1.82,1.82,0
59,2013-10-09,1.89,1.89,1.89,1.89,4400
60,2013-10-10,1.89,1.89,1.89,1.89,0
61,2013-10-11,1.89,1.89,1.89,1.89,0
62,2013-10-14,1.95,1.95,1.95,1.95,2000
63,2013-10-15,1.98,1.98,1.98,1.98,500
64,2013-10-16,1.98,1.98,1.98,1.98,3000
65,2013-10-17,2.01,2.01,2.01,2.01,4000
66,2013-10-18,2.01,2.01,2.01,2.01,0
67,2013-10-21,1.98,1.98,1.98,1.98,100
68,2013-10-22,2.01,2.01,2.01,2.01,8000
69,2013-10-23,2.01,2.01,2.01,2.01,3000
70,2013-10-24,1.98,1.98,1.98,1.98,1000
71,2013-10-25,1.98,1.98,1.98,1.98,0
72,2013-10-28,1.98,1.98,1.98,1.98,2100
73,2013-10-29,1.98,1.98,1.98,1.98,3500
74,2013-10-30,1.98,1.98,1.98,1.98,0
75,2013-10-31,1.98,1.98,1.98,1.98,0
76,2013-11-01,1.98,1.98,1.98,1.98,0
77,2013-11-04,1.98,1.98,1.98,1.98,0
78,2013-11-05,2.16,2.16,2.16,2.16,100
79,2013-11-06,2.32,2.38,2.32,2.38,500
80,2013-11-07,2.6,2.6,2.6,2.6,100
81,2013-11-08,2.84,2.84,2.84,2.84,200
82,2013-11-11,3.12,3.12,3.06,3.06,200
83,2013-11-12,3.06,3.06,3.06,3.06,0
84,2013-11-13,3.06,3.06,3.06,3.06,0
85,2013-11-14,3.06,3.06,3.06,3.06,0
86,2013-11-15,3.25,3.25,3.25,3.25,1000
87,2013-11-18,3.25,3.25,3.25,3.25,0
88,2013-11-19,3.46,3.46,3.46,3.46,500
89,2013-11-20,3.46,3.46,3.46,3.46,0
90,2013-11-21,3.46,3.46,3.46,3.46,0
91,2013-11-22,3.43,3.43,3.43,3.46,500
92,2013-11-25,3.43,3.43,3.43,3.43,0
93,2013-11-26,3.43,3.43,3.43,3.43,0
94,2013-11-27,3.43,3.43,3.43,3.43,0
95,2013-11-28,3.43,3.43,3.43,3.43,0
96,2013-11-29,3.43,3.43,3.43,3.43,0
97,2013-12-02,3.43,3.43,3.43,3.43,0
98,2013-12-03,3.43,3.43,3.43,3.43,0
99,2013-12-04,3.43,3.43,3.43,3.43,0
100,2013-12-05,3.43,3.43,3.43,3.43,0
101,2013-12-06,3.43,3.43,3.43,3.43,0
102,2013-12-09,3.43,3.43,3.43,3.43,0
103,2013-12-10,3.09,3.25,3.09,3.25,1700
104,2013-12-11,3.25,3.25,3.25,3.25,0
105,2013-12-12,3.25,3.25,3.25,3.25,0
106,2013-12-13,3.31,3.31,3.31,3.31,2000
107,2013-12-16,3.03,3.03,3.03,3.03,1000
108,2013-12-17,2.81,2.81,2.81,2.81,500
109,2013-12-18,2.81,2.81,2.81,2.81,0
110,2013-12-19,2.81,2.81,2.81,2.81,0
111,2013-12-20,2.81,2.81,2.81,2.81,0
112,2013-12-23,2.84,2.84,2.84,2.84,2000
113,2013-12-24,2.84,2.84,2.84,2.84,0
114,2013-12-25,2.84,2.84,2.84,2.84,0
115,2013-12-26,2.78,2.78,2.78,2.78,1000
116,2013-12-27,2.78,2.78,2.78,2.78,0
117,2013-12-30,2.78,2.78,2.78,2.78,0
118,2013-12-31,2.78,2.78,2.78,2.78,0
119,2014-01-02,2.78,2.78,2.78,2.78,0
120,2014-01-03,2.63,2.63,2.63,2.63,1000
121,2014-01-06,2.63,2.63,2.63,2.63,0
122,2014-01-07,2.66,2.66,2.66,2.66,1000
123,2014-01-08,2.47,2.47,2.47,2.47,1000
124,2014-01-09,2.47,2.47,2.47,2.47,0
125,2014-01-10,2.47,2.47,2.47,2.47,0
126,2014-01-13,2.47,2.47,2.47,2.47,0
127,2014-01-14,2.29,2.29,2.29,2.29,2000
128,2014-01-15,2.29,2.29,2.29,2.29,0
129,2014-01-16,2.29,2.29,2.29,2.29,0
130,2014-01-17,2.29,2.29,2.29,2.29,0
131,2014-01-20,2.29,2.29,2.29,2.29,0
132,2014-01-21,2.29,2.29,2.29,2.29,0
133,2014-01-22,2.29,2.29,2.29,2.29,0
134,2014-01-23,2.29,2.29,2.29,2.29,0
135,2014-01-24,2.29,2.29,2.29,2.29,0
136,2014-01-27,2.07,2.07,2.07,2.07,200
137,2014-02-06,1.89,2.1,1.89,2.1,2800
138,2014-02-07,2.1,2.1,2.1,2.1,0
139,2014-02-10,2.1,2.1,2.1,2.1,0
140,2014-02-11,2.1,2.1,2.1,2.1,0
141,2014-02-12,2.1,2.1,2.1,2.1,0
142,2014-02-13,2.1,2.1,2.1,2.1,0
143,2014-02-14,2.1,2.1,2.1,2.1,0
144,2014-02-17,2.13,2.13,2.13,2.13,1000
145,2014-02-18,2.16,2.16,2.16,2.16,1000
146,2014-02-19,2.16,2.16,2.16,2.16,0
147,2014-02-20,2.16,2.16,2.16,2.16,0
148,2014-02-21,2.16,2.16,2.16,2.16,0
149,2014-02-24,2.16,2.16,2.16,2.16,2000
150,2014-02-25,2.16,2.16,2.16,2.16,0
151,2014-02-26,2.16,2.16,2.16,2.16,0
152,2014-02-27,2.16,2.16,2.16,2.16,0
153,2014-02-28,2.16,2.16,2.16,2.16,1900
154,2014-03-03,2.16,2.16,2.16,2.16,3000
155,2014-03-04,2.16,2.16,2.16,2.16,0
156,2014-03-05,2.16,2.16,2.16,2.16,0
157,2014-03-06,2.16,2.16,2.16,2.16,0
158,2014-03-07,2.16,2.16,2.16,2.16,0
159,2014-03-10,2.23,2.23,2.23,2.23,3000
160,2014-03-11,2.23,2.23,2.23,2.23,1000
161,2014-03-12,2.23,2.23,2.23,2.23,0
162,2014-03-13,2.23,2.23,2.23,2.23,2000
163,2014-03-14,2.23,2.23,2.23,2.23,0
164,2014-03-17,2.32,2.32,2.32,2.32,5000
165,2014-03-18,2.32,2.32,2.32,2.32,1000
166,2014-03-19,2.35,2.35,2.35,2.35,3000
