,time,open,high,low,close,volume
0,2008-03-06,8.78,8.78,8.78,8.78,5000
1,2008-03-07,9.66,9.66,9.66,9.66,2200
2,2008-03-10,10.62,10.62,9.95,9.95,8500
3,2008-03-11,9.66,9.66,9.66,9.66,300
4,2008-03-12,9.92,9.92,8.69,8.69,500
5,2008-03-13,9.36,9.36,8.75,8.75,400
6,2008-03-14,8.75,8.75,8.75,8.75,0
7,2008-03-17,8.31,8.78,8.31,8.78,300
8,2008-03-18,8.78,8.78,8.78,8.78,0
9,2008-03-19,8.75,8.75,7.78,7.78,400
10,2008-03-20,8.78,8.78,7.26,7.26,600
11,2008-03-21,8.43,8.43,7.08,7.08,4100
12,2008-03-24,7.02,7.02,7.02,7.02,1000
13,2008-03-25,7.02,7.02,6.32,6.32,500
14,2008-03-26,6.73,6.73,5.82,6.58,1200
15,2008-03-27,6.29,6.35,6.29,6.35,4000
16,2008-03-28,6.47,6.47,6.47,6.47,3000
17,2008-03-31,6.58,6.58,6.58,6.58,100
18,2008-04-01,6.7,6.7,6.7,6.7,100
19,2008-04-02,6.82,6.82,6.82,6.82,100
20,2008-04-03,6.93,6.93,6.93,6.93,100
21,2008-04-04,7.05,7.05,7.05,7.05,100
22,2008-04-07,7.26,7.26,7.26,7.26,14000
23,2008-04-08,7.46,7.46,7.46,7.46,7600
24,2008-04-09,7.61,7.61,7.61,7.61,100
25,2008-04-10,7.46,7.46,7.46,7.46,500
26,2008-04-11,7.26,7.26,7.26,7.26,100
27,2008-04-16,7.05,7.05,7.05,7.05,200
28,2008-04-17,6.85,7.26,6.85,7.26,4900
29,2008-04-18,7.32,7.32,6.91,6.91,8000
30,2008-04-21,6.91,6.91,6.91,6.91,0
31,2008-04-22,6.91,6.91,6.91,6.91,0
32,2008-04-23,6.91,6.91,6.91,6.91,0
33,2008-04-24,7.05,7.05,7.05,7.05,500
34,2008-04-25,6.85,6.85,6.85,6.85,3000
35,2008-04-28,6.64,6.64,6.64,6.64,2200
36,2008-04-29,6.47,6.7,6.47,6.47,1800
37,2008-05-05,6.47,6.47,6.47,6.47,0
38,2008-05-06,6.47,6.47,6.47,6.47,0
39,2008-05-07,6.47,6.47,6.47,6.47,0
40,2008-05-08,6.47,6.47,6.47,6.47,0
41,2008-05-09,6.41,6.41,6.41,6.41,100
42,2008-05-12,6.23,6.23,6.23,6.23,100
43,2008-05-13,6.06,6.06,6.06,6.06,200
44,2008-05-14,6.06,6.06,6.06,6.06,0
45,2008-05-15,6.06,6.06,6.06,6.06,0
46,2008-05-16,5.88,5.88,5.88,5.88,5000
47,2008-05-19,5.71,5.71,5.71,5.71,2000
48,2008-05-20,5.71,5.71,5.71,5.71,0
49,2008-05-21,5.56,5.56,5.56,5.56,100
50,2008-05-22,5.41,5.41,5.41,5.41,100
51,2008-05-23,5.27,5.27,5.27,5.27,1300
52,2008-05-26,5.27,5.27,5.27,5.27,0
53,2008-05-27,5.27,5.27,5.27,5.27,0
54,2008-05-28,5.27,5.27,5.27,5.27,0
55,2008-05-29,5.41,5.41,5.12,5.12,200
56,2008-05-30,5.12,5.12,5.12,5.12,100
57,2008-06-02,5.12,5.12,5.12,5.12,0
58,2008-06-03,5.12,5.12,5.12,5.12,0
