,time,open,high,low,close,volume
0,2017-06-14,6.61,6.95,6.61,6.95,85800
1,2017-06-15,6.84,7.3,6.72,6.95,65000
2,2017-06-16,7.12,7.53,7.12,7.53,56200
3,2017-06-19,7.35,7.76,7.35,7.76,44000
4,2017-06-20,7.47,7.81,7.47,7.58,35000
5,2017-06-21,7.47,7.64,7.47,7.53,40000
6,2017-06-22,7.47,7.81,7.47,7.76,55000
7,2017-06-23,7.64,7.99,7.64,7.93,50000
8,2017-06-26,7.93,7.93,7.58,7.87,65200
9,2017-06-27,7.47,7.87,7.47,7.53,44000
10,2017-06-28,7.47,7.64,7.35,7.47,30000
11,2017-06-29,7.47,7.58,7.47,7.53,30000
12,2017-06-30,7.53,7.53,7.53,7.53,21600
13,2017-07-03,7.53,7.53,7.53,7.53,39000
14,2017-07-04,7.53,7.58,7.53,7.53,42000
15,2017-07-05,7.47,7.53,7.41,7.41,47400
16,2017-07-06,7.53,7.93,7.53,7.7,54000
17,2017-07-07,7.7,8.5,7.7,8.39,111000
18,2017-07-10,8.62,8.62,8.22,8.5,68000
19,2017-07-11,8.45,8.45,7.87,7.99,50000
20,2017-07-12,7.99,8.04,7.53,7.64,72400
21,2017-07-13,7.58,7.58,7.58,7.58,71000
22,2017-07-14,7.53,7.58,7.53,7.53,67000
23,2017-07-17,7.47,7.47,7.3,7.3,21400
24,2017-07-18,7.35,7.58,7.35,7.53,21400
25,2017-07-19,7.53,7.58,7.35,7.35,41100
26,2017-07-20,7.35,7.41,7.24,7.35,24000
27,2017-07-21,7.35,7.41,7.12,7.12,21000
28,2017-07-24,7.18,7.18,7.07,7.07,7800
29,2017-07-25,7.18,7.3,7.12,7.12,11500
30,2017-07-26,7.3,7.3,7.12,7.12,8300
31,2017-07-27,7.18,7.18,7.01,7.01,10000
32,2017-07-28,7.12,7.12,7.01,7.07,6000
33,2017-07-31,7.12,7.12,7.01,7.01,7700
34,2017-08-01,7.07,7.07,7.01,7.07,8000
35,2017-08-02,7.07,7.07,7.07,7.07,0
36,2017-08-03,7.3,7.3,7.12,7.18,42500
37,2017-08-04,7.12,7.12,7.01,7.01,3900
38,2017-08-07,7.01,7.07,6.89,7.07,1700
39,2017-08-08,6.95,6.95,6.95,6.95,0
40,2017-08-09,6.95,6.95,6.95,6.95,0
41,2017-08-10,6.95,6.95,6.95,6.95,0
42,2017-08-11,6.95,6.95,6.95,6.95,0
43,2017-08-14,6.95,6.95,6.95,6.95,0
44,2017-08-15,6.95,6.95,6.95,6.95,0
45,2017-08-16,6.95,6.95,6.95,6.95,0
46,2017-08-17,6.95,6.95,6.95,6.95,0
47,2017-08-18,6.95,6.95,6.95,6.95,0
48,2017-08-21,7.35,7.35,7.18,7.18,6200
49,2017-08-22,7.3,7.3,7.18,7.24,5500
50,2017-08-23,7.24,7.3,7.24,7.24,5900
51,2017-08-24,7.18,7.3,7.18,7.24,5100
52,2017-08-25,7.18,7.3,7.18,7.3,4400
53,2017-08-28,7.18,7.24,7.18,7.24,2600
54,2017-08-29,7.24,7.24,7.18,7.24,2800
55,2017-08-30,7.24,7.35,7.24,7.3,3100
56,2017-08-31,7.3,7.35,7.3,7.35,3300
57,2017-09-01,7.3,7.35,7.3,7.3,1100
58,2017-09-05,7.3,7.35,7.3,7.35,3700
59,2017-09-06,7.35,7.41,7.35,7.35,4100
60,2017-09-07,7.35,7.41,7.35,7.35,3500
61,2017-09-08,7.35,7.41,7.35,7.35,2400
62,2017-09-11,7.35,7.41,7.35,7.35,2200
63,2017-09-12,7.35,7.41,7.35,7.35,3900
64,2017-09-13,7.35,7.41,7.35,7.35,3700
65,2017-09-14,7.41,7.41,7.35,7.35,3400
66,2017-09-15,7.35,7.41,7.35,7.35,3900
67,2017-09-18,7.35,7.41,7.35,7.35,3200
68,2017-09-19,7.35,7.41,7.35,7.35,3100
69,2017-09-20,7.41,7.41,7.35,7.35,3600
70,2017-09-21,7.41,7.41,7.35,7.35,3600
71,2017-09-22,7.41,7.41,7.35,7.35,3700
72,2017-09-25,7.41,7.41,7.35,7.35,3400
73,2017-09-26,7.35,7.41,7.35,7.35,2800
74,2017-09-27,7.35,7.41,7.35,7.35,3600
75,2017-09-28,7.35,7.41,7.35,7.35,3700
76,2017-09-29,7.35,7.41,7.35,7.35,3800
77,2017-10-02,7.35,7.41,7.35,7.35,3800
78,2017-10-03,7.35,7.41,7.35,7.35,3600
79,2017-10-04,7.35,7.41,7.35,7.35,2200
80,2017-10-05,7.41,7.41,7.35,7.41,4100
81,2017-10-06,7.41,7.41,7.35,7.35,3400
82,2017-10-09,7.35,7.41,7.35,7.41,3500
83,2017-10-10,7.41,7.47,7.41,7.47,3900
84,2017-10-11,7.47,7.53,7.47,7.53,3900
85,2017-10-12,7.53,7.58,7.53,7.58,3800
86,2017-10-13,7.58,7.7,7.58,7.7,3700
87,2017-10-16,7.7,7.7,7.64,7.7,3500
88,2017-10-17,7.7,7.76,7.7,7.76,1700
89,2017-10-18,7.81,7.81,7.81,7.81,1100
90,2017-10-19,7.87,7.93,7.87,7.93,2300
91,2017-10-20,7.93,7.99,7.87,7.93,3400
92,2017-10-23,7.99,8.04,7.99,8.04,3200
93,2017-10-24,8.04,8.16,8.04,8.1,3400
94,2017-10-25,8.1,8.22,8.1,8.16,3600
95,2017-10-26,8.16,8.16,8.16,8.16,2900
96,2017-10-27,8.16,8.27,8.16,8.22,2500
97,2017-10-30,8.22,8.27,8.22,8.27,3600
98,2017-10-31,8.27,8.27,8.16,8.22,2600
99,2017-11-01,8.27,8.27,8.22,8.22,8300
100,2017-11-02,8.27,8.27,8.22,8.22,1100
101,2017-11-03,8.27,8.27,8.22,8.22,3500
102,2017-11-06,8.22,8.33,8.22,8.27,3200
103,2017-11-07,8.27,8.27,8.22,8.22,3700
104,2017-11-08,8.22,8.22,8.22,8.22,600
105,2017-11-09,8.22,8.27,8.22,8.22,3200
106,2017-11-10,8.22,8.27,8.22,8.22,2700
107,2017-11-13,8.22,8.22,8.22,8.22,2300
108,2017-11-14,8.27,8.27,8.27,8.27,1500
109,2017-11-15,8.27,8.27,8.27,8.27,1500
110,2017-11-16,8.27,8.27,8.27,8.27,1300
111,2017-11-17,8.27,8.27,8.27,8.27,1100
112,2017-11-20,8.22,8.22,8.22,8.22,800
113,2017-11-21,8.27,8.27,8.22,8.22,1200
114,2017-11-22,8.27,8.33,8.27,8.33,2400
115,2017-11-23,8.16,8.22,8.16,8.22,2700
116,2017-11-24,8.22,8.22,8.16,8.16,3100
117,2017-11-27,8.22,8.27,8.22,8.22,2100
118,2017-11-28,8.16,8.22,8.16,8.16,2300
