,time,open,high,low,close,volume
0,2010-06-23,5.53,5.53,5.01,5.09,39030
1,2010-06-24,5.09,5.09,4.88,4.88,20190
2,2010-06-25,4.66,5.05,4.66,4.75,112760
3,2010-06-28,4.75,4.75,4.66,4.75,13000
4,2010-06-29,4.62,4.88,4.58,4.62,34570
5,2010-06-30,4.62,4.62,4.49,4.62,19820
6,2010-07-01,4.4,4.53,4.4,4.4,31670
7,2010-07-02,4.62,4.62,4.36,4.62,17240
8,2010-07-05,4.75,4.75,4.71,4.71,11100
9,2010-07-06,4.62,4.62,4.58,4.62,17710
10,2010-07-07,4.62,4.62,4.58,4.62,4910
11,2010-07-08,4.49,4.62,4.49,4.49,23900
12,2010-07-09,4.53,4.58,4.53,4.53,23010
13,2010-07-12,4.49,4.62,4.49,4.49,4740
14,2010-07-13,4.66,4.71,4.49,4.66,17130
15,2010-07-14,4.66,4.66,4.53,4.53,21750
16,2010-07-15,4.58,4.62,4.58,4.58,36960
17,2010-07-16,4.58,4.62,4.58,4.58,26500
18,2010-07-19,4.53,4.62,4.53,4.53,35930
19,2010-07-20,4.62,4.62,4.53,4.62,37680
20,2010-07-21,4.62,4.62,4.58,4.62,35680
21,2010-07-22,4.62,4.62,4.58,4.62,21290
22,2010-07-23,4.83,4.83,4.66,4.83,78670
23,2010-07-26,5.01,5.01,4.75,4.75,88060
24,2010-07-27,4.66,4.71,4.66,4.66,22370
25,2010-07-28,4.83,4.83,4.58,4.66,32060
26,2010-07-29,4.58,4.58,4.53,4.58,6000
27,2010-07-30,4.58,4.71,4.53,4.58,93000
28,2010-08-02,4.58,4.62,4.58,4.58,20440
29,2010-08-03,4.62,4.66,4.62,4.62,37760
30,2010-08-04,4.58,4.62,4.53,4.58,27100
31,2010-08-05,4.58,4.58,4.53,4.58,19890
32,2010-08-06,4.58,4.58,4.49,4.58,21460
33,2010-08-09,4.4,4.58,4.36,4.4,10390
34,2010-08-10,4.2,4.36,4.2,4.2,72200
35,2010-08-11,4.36,4.4,4.31,4.36,14180
36,2010-08-12,4.27,4.36,4.14,4.27,20110
