,time,open,high,low,close,volume
0,2006-12-29,8.09,8.92,8.09,8.92,2700
1,2007-01-02,8.92,8.92,8.92,8.92,0
2,2007-01-03,8.92,8.92,8.92,8.92,0
3,2007-01-04,8.92,8.92,8.92,8.92,0
4,2007-01-05,8.65,8.78,8.65,8.65,12000
5,2007-01-08,8.65,8.65,8.65,8.65,3000
6,2007-01-09,8.65,8.65,8.65,8.65,0
7,2007-01-10,8.92,8.92,8.92,8.92,100
8,2007-01-11,8.62,8.65,8.62,8.62,9900
9,2007-01-12,8.65,8.65,8.65,8.65,5000
10,2007-01-15,8.92,8.92,8.65,8.65,4100
11,2007-01-16,8.65,8.65,8.65,8.65,5000
12,2007-01-17,8.65,8.65,8.65,8.65,7500
13,2007-01-18,8.65,8.65,8.09,8.37,2400
14,2007-01-19,8.37,8.37,8.37,8.37,400
15,2007-01-22,8.37,8.37,8.37,8.37,0
16,2007-01-23,8.65,8.65,8.37,8.37,2700
17,2007-01-24,8.51,8.65,8.51,8.65,3000
18,2007-01-25,9.43,9.43,8.65,8.65,1800
19,2007-01-26,8.84,8.84,8.84,8.84,500
20,2007-01-29,9.71,9.71,8.92,9.2,4500
21,2007-01-30,9.48,9.9,9.2,9.62,5900
22,2007-01-31,10.32,10.32,10.32,10.32,2000
23,2007-02-01,10.46,10.57,10.46,10.57,1600
24,2007-02-02,10.65,11.16,10.32,10.65,13700
25,2007-02-05,10.65,10.71,10.6,10.6,5100
26,2007-02-06,10.6,10.6,10.6,10.6,800
27,2007-02-07,10.54,10.65,10.32,10.57,23100
28,2007-02-08,11.6,11.6,11.6,11.6,7900
29,2007-02-09,12.75,12.75,11.96,11.96,16800
30,2007-02-12,13.47,13.47,12.8,12.83,9800
31,2007-02-13,12.91,12.97,12.41,12.77,7300
32,2007-02-14,12.55,12.72,12.41,12.72,4400
33,2007-02-15,12.55,12.55,12.55,12.55,4400
34,2007-02-26,12.52,13.39,12.52,13.39,6100
35,2007-02-27,13.11,14.22,13.11,14.22,20600
36,2007-02-28,15.06,15.06,14.08,14.5,15600
37,2007-03-01,15.51,16.26,14.78,16.18,12800
38,2007-03-02,15.62,16.68,15.62,16.18,7400
39,2007-03-05,17.96,17.96,17.96,17.96,9600
40,2007-03-06,19.75,19.75,18.82,19.24,23600
41,2007-03-07,21.33,21.33,19.1,19.24,12000
42,2007-03-08,19.52,19.52,18.96,19.24,20700
43,2007-03-09,20.08,20.64,19.24,19.47,22200
44,2007-03-12,18.96,18.96,17.85,18.96,7700
45,2007-03-13,17.57,17.57,17.54,17.57,2500
46,2007-03-14,15.81,17.57,15.81,17.57,2900
47,2007-03-15,15.23,15.23,15.23,15.23,2500
48,2007-03-16,13.72,16.73,13.72,16.73,4000
49,2007-03-19,16.62,16.62,16.31,16.45,9500
50,2007-03-20,17.68,18.13,16.73,17.57,16700
51,2007-03-21,17.71,18.13,16.59,16.59,7600
52,2007-03-22,15.62,16.73,15.62,16.73,1900
53,2007-03-23,17.57,17.57,14.92,16.18,1700
54,2007-03-26,15.06,15.06,14.78,16.18,2500
55,2007-03-27,13.53,13.53,13.39,16.18,500
56,2007-03-28,12.27,13.58,12.27,12.55,3400
57,2007-03-29,14.28,14.28,14.28,14.28,1300
58,2007-03-30,15.7,15.7,14.78,14.28,5800
59,2007-04-02,15.65,16.18,15.34,15.34,10700
60,2007-04-03,14.22,14.22,14.22,14.22,100
61,2007-04-04,14.22,14.22,13.94,13.94,3500
62,2007-04-05,13.94,13.94,13.94,13.94,0
63,2007-04-06,14.22,14.22,12.97,12.97,1400
