,time,open,high,low,close,volume
0,2010-05-07,30.0,30.0,30.0,30.0,642490
1,2010-05-10,31.5,31.5,29.1,31.5,1214870
2,2010-05-11,33.0,33.0,31.5,32.9,524270
3,2010-05-12,31.5,31.9,31.3,31.3,340090
4,2010-05-13,30.0,31.8,30.0,31.0,396980
5,2010-05-14,31.0,31.0,29.8,31.0,377120
6,2010-05-17,29.9,30.7,29.5,29.5,194150
7,2010-05-18,29.8,29.8,28.1,28.1,221280
8,2010-05-19,26.7,26.7,26.7,26.7,60530
9,2010-05-20,25.4,26.7,25.4,25.4,207780
10,2010-05-21,24.2,24.2,24.2,24.2,51450
11,2010-05-24,23.0,25.4,23.0,25.4,223300
12,2010-05-25,25.4,25.4,24.2,24.2,188470
13,2010-05-26,24.1,25.4,24.1,25.4,291350
14,2010-05-27,25.6,25.6,24.6,25.5,168710
15,2010-05-28,26.6,26.6,25.8,26.0,275130
16,2010-05-31,24.7,26.2,24.7,25.0,91370
17,2010-06-01,25.0,25.0,24.5,24.6,111550
18,2010-06-02,24.7,25.5,24.7,25.5,195530
19,2010-06-03,25.5,26.1,25.1,25.5,141380
20,2010-06-04,25.5,25.5,24.7,24.7,117110
21,2010-06-07,23.6,24.5,23.5,23.5,155480
22,2010-06-08,22.5,23.8,22.5,23.5,86390
23,2010-06-09,23.9,23.9,23.0,23.5,106760
24,2010-06-10,23.5,23.5,22.9,23.4,96230
25,2010-06-11,23.9,23.9,23.3,23.3,92870
26,2010-06-14,23.3,23.8,23.1,23.6,115910
27,2010-06-15,23.8,23.9,23.6,23.7,166440
28,2010-06-16,24.1,24.8,24.0,24.8,193920
29,2010-06-17,25.3,26.0,25.0,26.0,632510
30,2010-06-18,26.6,26.6,25.3,25.3,214810
31,2010-06-21,25.3,25.9,25.3,25.3,137690
32,2010-06-22,25.3,25.3,24.4,24.4,145490
33,2010-06-23,23.9,24.5,23.9,23.9,205240
34,2010-06-24,24.3,24.4,23.9,24.0,187170
35,2010-06-25,23.6,24.3,23.6,23.7,145690
36,2010-06-28,23.5,24.2,23.5,23.7,122730
37,2010-06-29,23.7,24.4,23.7,23.7,141540
38,2010-06-30,23.7,23.7,23.2,23.2,103910
