,time,open,high,low,close,volume
0,2015-01-27,7.45,7.45,7.45,7.45,273600
1,2015-01-28,8.19,8.19,8.12,8.19,22900
2,2015-01-29,8.99,8.99,8.12,8.29,149500
3,2015-01-30,7.52,7.77,7.49,7.49,191000
4,2015-02-02,7.49,7.49,6.76,6.76,29800
5,2015-02-03,6.76,7.18,6.44,7.18,36100
6,2015-02-04,6.93,7.18,6.62,7.18,19800
7,2015-02-05,6.62,6.93,6.48,6.48,13800
8,2015-02-06,6.48,6.55,6.41,6.44,22000
9,2015-02-09,6.2,6.24,5.96,6.24,32900
10,2015-02-10,5.96,6.2,5.92,5.99,28300
11,2015-02-11,6.27,6.58,6.27,6.44,99700
12,2015-02-12,6.44,6.51,6.3,6.51,30000
13,2015-02-13,6.44,6.44,6.34,6.37,8500
14,2015-02-24,6.41,6.41,6.2,6.27,11613
15,2015-02-25,6.2,6.27,6.1,6.24,55500
16,2015-02-26,6.03,6.1,6.03,6.06,17900
17,2015-02-27,6.06,6.62,6.03,6.62,17400
18,2015-03-02,6.27,6.27,6.13,6.17,25400
19,2015-03-03,6.13,6.3,6.13,6.3,18100
20,2015-03-04,6.3,6.34,6.17,6.34,20900
21,2015-03-05,6.2,6.3,6.2,6.27,16500
22,2015-03-06,6.2,6.9,6.03,6.9,92000
23,2015-03-09,6.9,7.52,6.83,7.31,78200
24,2015-03-10,7.18,7.31,6.97,7.04,22400
25,2015-03-11,6.79,6.79,6.65,6.76,16700
26,2015-03-12,6.62,6.79,6.55,6.79,9800
27,2015-03-13,6.79,6.83,6.62,6.69,1800
28,2015-03-16,6.62,6.72,6.62,6.62,21100
29,2015-03-17,6.55,6.83,6.55,6.83,25400
30,2015-03-18,6.69,6.83,6.69,6.69,8200
31,2015-03-19,6.62,6.62,6.62,6.62,400
32,2015-03-20,6.55,6.79,6.55,6.76,5700
33,2015-03-23,6.27,6.65,6.27,6.48,1900
34,2015-03-24,6.48,6.48,6.34,6.44,24800
35,2015-03-25,6.34,6.34,6.3,6.3,5300
36,2015-03-26,6.34,6.65,6.3,6.65,14000
37,2015-03-27,6.69,6.69,6.44,6.58,1400
38,2015-03-30,6.69,6.69,6.3,6.3,8100
39,2015-03-31,6.41,6.48,6.3,6.48,8800
40,2015-04-01,6.3,6.34,6.13,6.2,15800
41,2015-04-02,6.17,6.44,6.17,6.3,5100
42,2015-04-03,6.37,6.37,6.3,6.3,21600
43,2015-04-06,6.44,6.48,6.34,6.48,2500
44,2015-04-07,6.48,6.48,6.48,6.48,5000
45,2015-04-08,6.44,6.44,6.44,6.44,1000
46,2015-04-09,6.48,6.48,6.48,6.48,2400
47,2015-04-10,6.51,6.51,6.34,6.44,13113
48,2015-04-13,6.37,6.41,6.27,6.41,70300
49,2015-04-14,6.41,6.41,6.41,6.41,3000
50,2015-04-15,6.3,6.41,6.3,6.37,1700
51,2015-04-16,6.27,6.34,6.24,6.3,45400
52,2015-04-17,6.3,6.3,6.17,6.3,23700
53,2015-04-20,6.17,6.24,6.17,6.24,17200
54,2015-04-21,6.34,6.37,6.3,6.34,5000
55,2015-04-22,6.34,6.34,6.24,6.27,14800
56,2015-04-23,6.37,6.37,6.27,6.37,15400
57,2015-04-24,6.37,6.44,6.37,6.44,8500
58,2015-04-27,6.44,6.62,6.44,6.55,10600
59,2015-05-04,6.41,6.41,6.2,6.2,43200
60,2015-05-05,6.2,6.37,6.2,6.37,8700
61,2015-05-06,6.37,6.55,6.37,6.55,4100
62,2015-05-07,6.51,6.51,6.51,6.51,100
63,2015-05-08,6.44,6.44,6.3,6.3,4800
64,2015-05-11,6.37,6.37,6.34,6.37,20000
65,2015-05-12,6.37,6.37,6.34,6.34,11000
66,2015-05-13,6.34,6.34,6.3,6.3,5600
67,2015-05-14,6.34,6.34,6.3,6.3,5500
68,2015-05-15,6.11,6.11,6.11,6.11,2600
69,2015-05-18,5.99,5.99,5.95,5.99,5100
70,2015-05-19,6.19,6.19,6.19,6.19,1900
71,2015-05-20,6.19,6.3,6.19,6.3,5300
72,2015-05-21,6.3,6.3,6.19,6.3,11800
73,2015-05-22,6.19,6.23,6.15,6.23,12400
74,2015-05-25,6.23,6.23,6.15,6.15,23800
75,2015-05-26,6.15,6.27,5.99,6.23,36300
76,2015-05-27,6.23,6.23,6.03,6.23,7800
77,2015-05-28,6.15,6.23,6.15,6.23,8100
78,2015-05-29,6.27,6.27,6.07,6.07,24000
79,2015-06-01,6.19,6.19,6.19,6.19,100
80,2015-06-02,6.19,6.23,6.19,6.19,3100
81,2015-06-03,6.19,6.19,6.19,6.19,3500
82,2015-06-04,6.23,6.23,6.23,6.23,100
83,2015-06-05,6.23,6.62,6.23,6.62,8100
84,2015-06-08,6.27,6.42,6.27,6.27,9500
85,2015-06-09,6.42,6.42,6.11,6.27,5900
86,2015-06-10,6.27,6.34,6.27,6.34,5400
