,time,open,high,low,close,volume
0,2017-11-14,11.34,0.0,0.0,0.0,0
1,2017-11-15,11.34,11.34,11.34,11.34,2000
2,2017-11-16,13.03,13.03,13.03,13.03,100
3,2017-11-17,13.03,13.03,13.03,13.03,2000
4,2017-11-20,13.03,13.03,13.03,13.03,0
5,2017-11-21,13.03,13.03,13.03,13.03,0
6,2017-11-22,12.97,13.03,12.97,12.97,900
7,2017-11-23,11.85,12.41,11.85,12.41,1000
8,2017-11-24,12.13,12.13,12.13,12.13,0
9,2017-11-27,12.35,12.35,11.56,11.56,2100
10,2017-11-28,11.62,11.62,11.62,11.62,0
11,2017-11-29,11.62,11.62,11.62,11.62,0
12,2017-11-30,11.79,13.26,11.28,11.28,18100
13,2017-12-01,11.34,11.34,11.34,11.34,0
14,2017-12-04,11.85,11.85,11.0,11.0,6000
15,2017-12-05,11.23,11.23,11.23,11.23,0
16,2017-12-06,11.23,11.23,11.23,11.23,0
17,2017-12-07,9.59,11.23,9.59,9.59,2000
18,2017-12-08,10.15,10.32,10.15,10.32,1300
19,2017-12-11,10.21,10.21,10.21,10.21,0
20,2017-12-12,9.14,10.21,9.14,10.21,15500
21,2017-12-13,10.15,10.15,10.15,10.15,3100
22,2017-12-14,11.28,11.28,11.28,11.28,100
23,2017-12-15,11.28,11.28,11.28,11.28,0
24,2017-12-18,11.85,11.9,11.28,11.28,5800
25,2017-12-19,11.62,11.62,11.62,11.62,0
26,2017-12-20,10.15,10.15,10.15,10.15,100
27,2017-12-21,10.15,10.15,10.15,10.15,0
28,2017-12-22,10.15,10.15,10.15,10.15,0
29,2017-12-25,10.72,11.28,10.72,11.28,1100
30,2017-12-26,11.23,11.23,11.23,11.23,0
31,2017-12-27,11.0,11.0,11.0,11.0,200
32,2017-12-28,11.0,11.0,11.0,11.0,0
33,2017-12-29,11.0,11.28,11.0,11.28,23200
34,2018-01-02,11.11,11.11,11.11,11.11,0
35,2018-01-03,11.11,11.11,11.11,11.11,0
36,2018-01-04,11.11,11.11,11.11,11.11,0
37,2018-01-05,10.15,10.15,10.15,10.15,1800
38,2018-01-08,10.15,10.15,10.15,10.15,0
39,2018-01-09,10.44,10.44,10.44,10.44,10000
40,2018-01-10,10.44,10.44,10.44,10.44,0
41,2018-01-11,10.44,10.44,10.44,10.44,0
42,2018-01-12,10.15,10.15,10.15,10.15,10000
43,2018-01-15,10.32,10.32,10.32,10.32,7000
44,2018-01-16,10.27,10.27,10.27,10.27,10000
