,time,open,high,low,close,volume
0,2018-11-05,6.0,0.0,0.0,0.0,0
1,2018-11-06,6.0,6.0,6.0,6.0,0
2,2018-11-07,6.0,6.0,6.0,6.0,0
3,2018-11-08,6.0,6.0,6.0,6.0,0
4,2018-11-09,6.0,6.0,6.0,6.0,0
5,2018-11-12,6.0,6.0,6.0,6.0,0
6,2018-11-13,6.0,6.0,6.0,6.0,0
7,2018-11-14,6.0,6.0,6.0,6.0,0
8,2018-11-15,6.0,6.0,6.0,6.0,0
9,2018-11-16,6.0,6.0,6.0,6.0,0
10,2018-11-19,6.0,6.0,6.0,6.0,0
11,2018-11-20,6.0,6.0,6.0,6.0,0
12,2018-11-21,6.0,6.0,6.0,6.0,0
13,2018-11-22,6.0,6.0,6.0,6.0,0
14,2018-11-23,6.0,6.0,6.0,6.0,0
15,2018-11-26,6.0,6.0,6.0,6.0,0
16,2018-11-27,6.0,6.0,6.0,6.0,0
17,2018-11-28,6.0,6.0,6.0,6.0,0
18,2018-11-29,6.0,6.0,6.0,6.0,0
19,2018-11-30,6.0,6.0,6.0,6.0,0
20,2018-12-03,6.0,6.0,6.0,6.0,0
21,2018-12-04,6.0,6.0,6.0,6.0,0
22,2018-12-05,6.0,6.0,6.0,6.0,0
23,2018-12-06,6.0,6.0,6.0,6.0,0
24,2018-12-07,6.0,6.0,6.0,6.0,0
25,2018-12-10,6.0,6.0,6.0,6.0,0
26,2018-12-11,6.0,6.0,6.0,6.0,0
27,2018-12-12,6.0,6.0,6.0,6.0,0
28,2018-12-13,6.0,6.0,6.0,6.0,0
29,2018-12-14,6.0,6.0,6.0,6.0,0
30,2018-12-17,6.0,6.0,6.0,6.0,0
31,2018-12-18,6.0,6.0,6.0,6.0,0
32,2018-12-19,6.0,6.0,6.0,6.0,0
33,2018-12-20,6.0,6.0,6.0,6.0,0
34,2018-12-21,6.0,6.0,6.0,6.0,0
35,2018-12-24,6.0,6.0,6.0,6.0,0
36,2018-12-25,6.0,6.0,6.0,6.0,0
37,2018-12-26,6.0,6.0,6.0,6.0,0
38,2018-12-27,6.0,6.0,6.0,6.0,0
39,2018-12-28,6.0,6.0,6.0,6.0,0
40,2019-01-02,6.0,6.0,6.0,6.0,0
41,2019-01-03,6.0,6.0,6.0,6.0,0
42,2019-01-04,6.0,6.0,6.0,6.0,0
43,2019-01-07,6.0,6.0,6.0,6.0,0
44,2019-01-08,6.0,6.0,6.0,6.0,0
45,2019-01-09,6.0,6.0,6.0,6.0,0
46,2019-01-10,6.0,6.0,6.0,6.0,0
47,2019-01-11,6.0,6.0,6.0,6.0,0
48,2019-01-14,6.0,6.0,6.0,6.0,0
49,2019-01-15,6.0,6.0,6.0,6.0,0
50,2019-01-16,6.0,6.0,6.0,6.0,0
51,2019-01-17,6.0,6.0,6.0,6.0,0
52,2019-01-18,6.0,6.0,6.0,6.0,0
53,2019-01-21,6.0,6.0,6.0,6.0,0
54,2019-01-22,6.0,6.0,6.0,6.0,0
55,2019-01-23,6.0,6.0,6.0,6.0,0
56,2019-01-24,6.0,6.0,6.0,6.0,0
57,2019-01-25,6.0,6.0,6.0,6.0,0
58,2019-01-28,6.0,6.0,6.0,6.0,0
59,2019-01-29,6.0,6.0,6.0,6.0,0
60,2019-01-30,6.0,6.0,6.0,6.0,0
61,2019-01-31,6.0,6.0,6.0,6.0,0
62,2019-02-01,6.0,6.0,6.0,6.0,0
63,2019-02-11,6.0,6.0,6.0,6.0,0
64,2019-02-12,6.0,6.0,6.0,6.0,0
65,2019-02-13,6.0,6.0,6.0,6.0,0
66,2019-02-14,6.0,6.0,6.0,6.0,0
67,2019-02-15,6.0,6.0,6.0,6.0,0
68,2019-02-18,6.0,6.0,6.0,6.0,0
69,2019-02-19,6.0,6.0,6.0,6.0,0
70,2019-02-20,6.0,6.0,6.0,6.0,0
71,2019-02-21,6.0,6.0,6.0,6.0,0
72,2019-02-22,6.0,6.0,6.0,6.0,0
73,2019-02-25,6.0,6.0,6.0,6.0,0
74,2019-02-26,6.0,6.0,6.0,6.0,0
75,2019-02-27,6.0,6.0,6.0,6.0,0
76,2019-02-28,6.0,6.0,6.0,6.0,0
77,2019-03-01,6.0,6.0,6.0,6.0,0
78,2019-03-04,6.0,6.0,6.0,6.0,0
79,2019-03-05,6.0,6.0,6.0,6.0,0
80,2019-03-06,6.0,6.0,6.0,6.0,0
81,2019-03-07,6.0,6.0,6.0,6.0,0
82,2019-03-08,6.0,6.0,6.0,6.0,0
83,2019-03-11,6.0,6.0,6.0,6.0,0
84,2019-03-12,6.0,6.0,6.0,6.0,0
85,2019-03-13,6.0,6.0,6.0,6.0,0
86,2019-03-14,6.0,6.0,6.0,6.0,0
87,2019-03-15,6.0,6.0,6.0,6.0,0
88,2019-03-18,6.0,6.0,6.0,6.0,0
89,2019-03-19,6.0,6.0,6.0,6.0,0
90,2019-03-20,6.0,6.0,6.0,6.0,0
91,2019-03-21,6.0,6.0,6.0,6.0,0
92,2019-03-22,6.0,6.0,6.0,6.0,0
93,2019-03-25,6.0,6.0,6.0,6.0,0
94,2019-03-26,6.0,6.0,6.0,6.0,0
95,2019-03-27,6.0,6.0,6.0,6.0,0
96,2019-03-28,6.0,6.0,6.0,6.0,0
97,2019-03-29,6.0,6.0,6.0,6.0,0
98,2019-04-01,6.0,6.0,6.0,6.0,0
99,2019-04-02,6.0,6.0,6.0,6.0,0
100,2019-04-03,6.0,6.0,6.0,6.0,0
101,2019-04-04,6.0,6.0,6.0,6.0,0
102,2019-04-05,6.0,6.0,6.0,6.0,0
103,2019-04-08,6.0,6.0,6.0,6.0,0
104,2019-04-09,6.0,6.0,6.0,6.0,0
105,2019-04-10,6.0,6.0,6.0,6.0,0
106,2019-04-11,6.0,6.0,6.0,6.0,0
107,2019-04-12,6.0,6.0,6.0,6.0,0
108,2019-04-16,6.0,6.0,6.0,6.0,0
109,2019-04-17,6.0,6.0,6.0,6.0,0
110,2019-04-18,6.0,6.0,6.0,6.0,0
111,2019-04-19,6.0,6.0,6.0,6.0,0
112,2019-04-22,6.0,6.0,6.0,6.0,0
113,2019-04-23,6.0,6.0,6.0,6.0,0
114,2019-04-24,6.0,6.0,6.0,6.0,0
115,2019-04-25,6.0,6.0,6.0,6.0,0
116,2019-04-26,6.0,6.0,6.0,6.0,0
117,2019-05-02,6.0,6.0,6.0,6.0,0
118,2019-05-03,6.0,6.0,6.0,6.0,0
119,2019-05-06,6.0,6.0,6.0,6.0,0
120,2019-05-07,6.0,6.0,6.0,6.0,0
121,2019-05-08,6.0,6.0,6.0,6.0,0
122,2019-05-09,6.0,6.0,6.0,6.0,0
123,2019-05-10,6.0,6.0,6.0,6.0,0
124,2019-05-13,6.0,6.0,6.0,6.0,0
125,2019-05-14,6.0,6.0,6.0,6.0,0
126,2019-05-15,6.0,6.0,6.0,6.0,0
127,2019-05-16,6.0,6.0,6.0,6.0,0
128,2019-05-17,6.0,6.0,6.0,6.0,0
129,2019-05-20,6.0,6.0,6.0,6.0,0
130,2019-05-21,6.0,6.0,6.0,6.0,0
131,2019-05-22,6.0,6.0,6.0,6.0,0
132,2019-05-23,6.0,6.0,6.0,6.0,0
