,time,open,high,low,close,volume
0,2009-08-18,8.1,8.1,8.1,8.1,19600
1,2009-08-19,8.5,8.5,8.5,8.5,31300
2,2009-08-20,8.91,8.91,8.81,8.91,699200
3,2009-08-21,9.34,9.34,9.34,9.34,231000
4,2009-08-24,9.66,9.66,9.34,9.38,469480
5,2009-08-25,9.47,9.47,9.19,9.19,186820
6,2009-08-26,8.81,9.19,8.81,8.91,126590
7,2009-08-27,9.0,9.0,8.81,8.91,124780
8,2009-08-28,9.0,9.0,8.91,9.0,140420
9,2009-08-31,9.06,9.27,9.06,9.06,125910
10,2009-09-01,9.0,9.19,8.91,9.0,124440
11,2009-09-03,8.55,9.0,8.55,8.55,649880
12,2009-09-04,8.53,8.87,8.53,8.53,105070
13,2009-09-07,8.16,8.16,8.12,8.16,236120
14,2009-09-08,8.46,8.46,8.16,8.46,112520
15,2009-09-09,8.44,8.5,8.44,8.44,107280
16,2009-09-10,8.44,8.44,8.36,8.44,69030
17,2009-09-11,8.44,8.46,8.35,8.44,133070
18,2009-09-14,8.85,8.85,8.81,8.85,515860
19,2009-09-15,9.15,9.15,8.72,8.74,117530
20,2009-09-16,8.72,8.72,8.53,8.66,109320
21,2009-09-17,8.68,8.68,8.44,8.5,229040
22,2009-09-18,8.63,8.91,8.57,8.91,503280
23,2009-09-21,8.98,8.98,8.85,8.85,378600
24,2009-09-22,8.66,8.76,8.66,8.68,166160
25,2009-09-23,8.65,8.72,8.53,8.55,196330
26,2009-09-24,8.44,8.55,8.38,8.38,99270
27,2009-09-25,8.68,8.68,8.35,8.5,150140
28,2009-09-28,8.5,8.5,8.25,8.48,201630
29,2009-09-29,8.53,8.53,8.25,8.36,160010
30,2009-09-30,8.44,8.44,8.16,8.27,157730
31,2009-10-01,8.18,8.23,7.99,8.03,174420
32,2009-10-02,7.75,7.88,7.63,7.67,187480
33,2009-10-05,7.88,8.05,7.5,7.69,102110
34,2009-10-06,7.97,7.97,7.69,7.71,98880
35,2009-10-07,7.71,8.06,7.71,8.06,258170
36,2009-10-08,8.06,8.06,7.88,8.06,168070
37,2009-10-09,8.22,8.47,8.16,8.47,266370
38,2009-10-12,8.6,8.7,8.31,8.6,135870
39,2009-10-13,8.6,8.6,8.22,8.26,138200
40,2009-10-14,8.22,8.54,8.22,8.54,289070
41,2009-10-15,8.96,8.96,8.6,8.96,995010
42,2009-10-16,9.4,9.4,9.27,9.4,1431660
43,2009-10-19,9.21,9.46,9.21,9.27,367690
44,2009-10-20,9.27,9.35,9.19,9.27,414490
45,2009-10-21,9.44,9.44,9.27,9.29,572310
46,2009-10-22,9.27,9.27,9.1,9.23,540420
47,2009-10-23,9.56,9.56,8.94,8.94,798180
48,2009-10-26,8.98,9.02,8.77,8.79,202180
49,2009-10-27,8.45,8.64,8.41,8.45,369910
50,2009-10-28,8.45,8.6,8.41,8.41,275760
51,2009-10-29,8.12,8.12,7.99,8.03,340140
52,2009-10-30,8.37,8.37,8.06,8.31,192330
53,2009-11-02,7.91,7.93,7.91,7.91,567570
54,2009-11-03,7.74,7.84,7.53,7.53,239060
55,2009-11-04,7.26,7.64,7.2,7.26,238010
56,2009-11-05,7.57,7.63,7.36,7.63,160000
57,2009-11-06,7.99,7.99,7.93,7.99,181280
58,2009-11-09,7.99,7.99,7.61,7.61,194650
59,2009-11-10,7.55,7.61,7.36,7.61,289580
60,2009-11-11,7.61,7.95,7.61,7.78,123810
61,2009-11-12,8.03,8.12,7.93,7.93,146830
62,2009-11-13,7.74,7.95,7.74,7.95,131000
63,2009-11-16,8.01,8.01,7.66,7.66,127240
64,2009-11-17,8.05,8.05,8.05,8.05,315960
65,2009-11-18,8.31,8.31,7.84,8.31,349140
