,time,open,high,low,close,volume
0,2010-06-09,16.59,17.41,13.68,17.41,118700
1,2010-06-10,16.09,16.09,15.51,15.51,15000
2,2010-06-11,15.84,15.84,14.76,15.09,14900
3,2010-06-14,15.18,15.18,14.26,14.26,100100
4,2010-06-15,13.27,13.68,13.27,13.35,490200
5,2010-06-16,14.1,14.18,14.1,14.18,174600
6,2010-06-17,15.09,15.09,14.68,15.09,248100
7,2010-06-18,15.84,16.0,14.93,15.01,138800
8,2010-06-21,14.76,14.76,14.68,14.68,24000
9,2010-06-22,13.93,14.1,13.68,14.01,159200
10,2010-06-23,14.43,14.43,13.6,13.77,32100
11,2010-06-24,13.68,13.85,13.52,13.6,26200
12,2010-06-25,13.52,14.01,13.27,13.68,82300
13,2010-06-28,13.27,13.43,13.27,13.35,12100
14,2010-06-29,13.1,13.77,13.1,13.27,9100
15,2010-06-30,13.02,13.27,12.85,12.85,29500
16,2010-07-01,13.6,13.85,12.85,12.85,27200
17,2010-07-02,13.27,13.35,12.69,12.85,49200
18,2010-07-05,12.85,13.77,12.6,12.6,21400
19,2010-07-06,12.69,12.69,12.36,12.44,22200
20,2010-07-07,12.77,13.27,12.77,13.19,52600
21,2010-07-08,13.43,13.77,13.27,13.43,91600
22,2010-07-09,13.6,13.77,12.6,12.69,137500
23,2010-07-12,12.85,13.35,12.6,13.27,72000
24,2010-07-13,13.27,13.77,13.27,13.6,131800
25,2010-07-14,13.6,13.77,12.77,13.19,80600
26,2010-07-15,13.02,13.35,12.77,13.19,71200
27,2010-07-16,13.19,13.43,13.19,13.43,61000
28,2010-07-19,13.43,13.43,13.1,13.1,42800
29,2010-07-20,13.27,13.27,12.94,12.94,13400
30,2010-07-21,13.1,13.27,12.6,12.69,81900
31,2010-07-22,12.69,12.69,12.44,12.6,18700
32,2010-07-23,12.69,12.85,12.02,12.02,89400
33,2010-07-26,12.44,12.69,11.78,11.78,35800
34,2010-07-27,12.27,12.36,11.61,12.02,35700
35,2010-07-28,11.78,12.27,11.61,12.27,22400
36,2010-07-29,11.78,11.94,11.69,11.94,3300
37,2010-07-30,11.94,12.02,11.78,11.78,8000
38,2010-08-02,12.02,12.02,11.28,11.28,19000
39,2010-08-03,11.86,11.86,10.95,11.03,17300
40,2010-08-04,11.03,11.61,11.03,11.36,97200
41,2010-08-05,11.28,11.44,10.86,10.86,78400
42,2010-08-06,11.19,11.19,10.95,10.95,53900
43,2010-08-09,11.28,11.28,10.53,11.11,30400
44,2010-08-10,11.03,11.28,10.28,10.78,80300
45,2010-08-11,10.7,11.11,10.28,10.86,74300
46,2010-08-12,11.03,11.03,10.03,10.03,56300
47,2010-08-13,9.79,10.7,9.79,10.37,33500
48,2010-08-16,10.78,10.78,10.28,10.7,37300
49,2010-08-17,10.78,10.95,10.45,10.61,33600
50,2010-08-18,10.12,10.28,10.03,10.03,35600
51,2010-08-19,9.7,10.2,9.54,10.2,24900
52,2010-08-20,10.37,10.7,9.54,10.03,74800
53,2010-08-23,10.03,10.03,9.87,9.87,9900
54,2010-08-24,10.12,10.12,9.2,9.2,17700
55,2010-08-25,8.62,8.71,8.62,8.71,72100
56,2010-08-26,9.04,9.12,8.29,8.29,4100
57,2010-08-27,8.38,8.46,8.38,8.46,7400
58,2010-08-30,8.96,8.96,8.62,8.87,36800
59,2010-08-31,8.79,8.96,8.62,8.71,54700
60,2010-09-01,9.2,9.2,8.71,8.87,20300
61,2010-09-06,8.87,9.45,8.87,9.29,28200
62,2010-09-07,9.12,9.29,8.62,9.29,18600
63,2010-09-08,8.79,8.79,8.38,8.79,9000
64,2010-09-09,8.79,9.04,8.79,9.04,31100
65,2010-09-10,9.12,9.12,8.29,8.38,46200
66,2010-09-13,8.71,8.71,8.29,8.29,20400
67,2010-09-14,8.38,8.46,8.29,8.46,10500
68,2010-09-15,8.38,8.38,8.29,8.29,2400
