,time,open,high,low,close,volume
0,2017-02-22,5.05,5.05,5.05,5.05,1000
1,2017-02-23,5.05,5.05,5.05,5.05,0
2,2017-02-24,5.77,5.77,5.77,5.77,500
3,2017-02-27,6.5,6.64,4.91,4.91,1700
4,2017-02-28,6.5,6.5,5.96,5.96,700
5,2017-03-01,5.96,5.96,5.41,5.41,7300
6,2017-03-02,5.45,5.56,5.45,5.56,300
7,2017-03-03,4.69,4.69,4.69,4.69,100
8,2017-03-06,4.33,4.33,4.01,4.01,900
9,2017-03-07,4.08,4.08,4.08,4.08,200
10,2017-03-08,4.11,4.11,4.11,4.11,100
11,2017-03-09,4.11,4.11,4.11,4.11,0
12,2017-03-10,3.72,3.72,3.72,3.72,500
13,2017-03-13,3.72,3.72,3.72,3.72,0
14,2017-03-14,3.72,3.72,3.72,3.72,0
15,2017-03-15,4.26,4.26,3.83,3.83,800
16,2017-03-16,4.58,4.58,4.58,4.58,100
17,2017-03-17,5.27,5.27,5.27,5.27,100
18,2017-03-20,6.03,6.03,6.03,6.03,100
19,2017-03-21,6.93,6.93,6.93,6.93,1200
20,2017-03-22,7.9,7.94,6.97,6.97,10800
21,2017-03-23,7.07,8.99,7.07,7.22,500
22,2017-03-24,7.25,9.02,7.25,9.02,18600
23,2017-03-27,9.38,9.82,9.38,9.82,12600
24,2017-03-28,8.34,11.19,8.34,11.15,9000
25,2017-03-29,9.78,12.27,9.78,10.18,1008
26,2017-03-30,10.47,10.47,9.96,9.96,600
27,2017-03-31,8.88,9.38,8.88,9.38,6603
28,2017-04-03,10.25,10.36,9.56,9.56,1800
29,2017-04-04,9.06,9.38,9.06,9.38,200
30,2017-04-05,9.93,10.47,9.93,10.47,1800
31,2017-04-07,10.0,10.11,10.0,10.11,1000
32,2017-04-10,10.29,11.51,10.29,11.19,7200
33,2017-04-11,12.63,12.63,10.86,10.86,20430
34,2017-04-12,10.25,10.83,10.25,10.83,1042
35,2017-04-13,10.11,10.47,9.17,9.17,29343
36,2017-04-14,9.31,10.68,8.3,10.68,435530
37,2017-04-17,10.83,10.83,10.83,10.83,920
38,2017-04-18,12.45,12.45,11.01,11.91,22800
39,2017-04-19,11.19,11.59,10.11,10.68,87430
40,2017-04-20,10.72,11.01,10.68,10.83,21821
41,2017-04-21,10.79,11.01,10.47,10.72,17900
42,2017-04-24,11.01,11.91,11.01,11.55,31400
43,2017-04-25,11.91,11.91,11.19,11.37,11056
44,2017-04-26,11.01,11.33,10.83,11.33,11220
45,2017-04-27,10.83,11.37,10.83,11.19,9100
46,2017-04-28,11.19,11.33,11.19,11.19,13200
47,2017-05-03,11.22,11.37,11.19,11.26,11400
48,2017-05-04,11.33,11.48,11.33,11.48,16700
49,2017-05-05,11.55,11.91,11.44,11.91,50600
50,2017-05-08,11.91,11.91,11.37,11.51,19230
51,2017-05-09,11.55,11.55,11.44,11.55,10700
52,2017-05-10,11.37,11.37,11.08,11.15,18400
53,2017-05-11,11.19,11.19,11.08,11.08,8800
54,2017-05-12,11.12,11.3,11.12,11.12,5300
55,2017-05-15,11.44,11.48,11.19,11.33,10300
56,2017-05-16,11.19,11.3,11.01,11.19,28500
57,2017-05-17,11.19,11.55,11.04,11.04,44100
58,2017-05-18,11.04,11.19,10.76,11.12,38404
59,2017-05-19,10.47,10.83,9.56,10.47,39200
60,2017-05-22,10.83,11.33,10.65,11.33,76701
61,2017-05-23,11.37,11.84,10.58,11.19,65168
62,2017-05-24,11.15,11.3,11.15,11.3,32315
63,2017-05-25,11.19,11.37,11.01,11.26,32315
64,2017-05-26,11.22,11.3,11.01,11.26,25410
65,2017-05-29,12.17,12.76,11.07,11.28,10710
66,2017-05-30,11.37,11.37,10.95,10.99,20300
67,2017-05-31,11.03,11.03,10.82,10.82,9082
68,2017-06-01,10.86,10.86,10.74,10.74,9928
69,2017-06-02,10.74,11.12,10.53,11.12,10900
70,2017-06-05,10.61,10.61,10.11,10.11,23210
71,2017-06-06,10.11,10.11,10.11,10.11,4500
72,2017-06-07,10.11,10.11,9.89,10.11,11800
73,2017-06-08,9.98,10.32,9.98,10.32,13900
74,2017-06-09,9.98,10.02,9.98,10.02,2000
75,2017-06-12,10.27,10.27,10.27,10.27,3027
