,time,open,high,low,close,volume
0,2015-10-07,6.09,6.09,4.71,4.75,72600
1,2015-10-08,4.86,4.86,4.86,4.86,300
2,2015-10-09,4.71,4.86,4.71,4.82,3700
3,2015-10-12,4.82,4.82,4.71,4.82,5300
4,2015-10-13,4.78,4.82,4.78,4.82,7700
5,2015-10-14,4.82,4.82,4.82,4.82,4100
6,2015-10-15,4.86,4.86,4.78,4.78,3700
7,2015-10-16,4.78,4.78,4.78,4.78,10800
8,2015-10-19,5.16,5.16,5.16,5.16,200
9,2015-10-20,5.16,5.16,5.16,5.16,0
10,2015-10-21,4.82,4.82,4.82,4.82,500
11,2015-10-22,4.78,4.78,4.75,4.75,5200
12,2015-10-23,4.78,4.93,4.78,4.93,1600
13,2015-10-26,4.93,4.93,4.93,4.93,0
14,2015-10-27,4.93,4.93,4.93,4.93,0
15,2015-10-28,4.78,4.82,4.75,4.82,4300
16,2015-10-29,4.82,4.82,4.82,4.82,100
17,2015-10-30,4.93,4.93,4.86,4.9,18900
18,2015-11-02,4.93,4.93,4.86,4.86,7200
19,2015-11-03,4.86,4.9,4.78,4.9,17900
20,2015-11-04,4.86,4.93,4.86,4.93,9000
21,2015-11-05,4.86,4.86,4.86,4.86,800
22,2015-11-06,4.86,4.86,4.82,4.82,1200
23,2015-11-09,4.82,4.82,4.82,4.82,6200
24,2015-11-10,4.86,4.86,4.86,4.86,800
25,2015-11-11,4.78,4.78,4.78,4.78,1600
26,2015-11-12,4.78,4.78,4.78,4.78,0
27,2015-11-13,4.78,4.78,4.78,4.78,0
28,2015-11-16,4.78,4.78,4.78,4.78,0
29,2015-11-17,4.78,4.78,4.78,4.78,0
30,2015-11-18,4.78,4.78,4.78,4.78,0
31,2015-11-19,4.82,4.82,4.82,4.82,2000
32,2015-11-20,4.86,4.86,4.86,4.86,200
33,2015-11-23,4.86,4.86,4.86,4.86,0
34,2015-11-24,4.86,4.86,4.86,4.86,0
35,2015-11-25,4.86,4.86,4.86,4.86,0
36,2015-11-26,4.82,4.82,4.82,4.82,700
37,2015-11-27,4.82,4.82,4.82,4.82,0
38,2015-11-30,4.82,4.82,4.78,4.78,2700
39,2015-12-01,4.78,4.78,4.78,4.78,0
40,2015-12-02,4.78,4.78,4.75,4.75,2000
41,2015-12-03,4.75,4.75,4.75,4.75,0
42,2015-12-04,4.75,4.75,4.75,4.75,0
43,2015-12-07,4.75,4.75,4.75,4.75,0
44,2015-12-08,4.75,4.75,4.75,4.75,0
45,2015-12-09,4.75,4.75,4.75,4.75,0
46,2015-12-10,4.75,4.75,4.75,4.75,0
47,2015-12-11,4.71,4.71,4.71,4.71,7800
48,2015-12-14,4.71,4.71,4.71,4.71,0
49,2015-12-15,5.01,5.01,5.01,5.01,100
50,2015-12-16,5.01,5.01,5.01,5.01,0
51,2015-12-17,4.52,4.67,4.52,4.67,2100
52,2015-12-18,4.67,4.67,4.67,4.67,0
53,2015-12-21,4.67,4.67,4.67,4.67,0
54,2015-12-22,4.67,4.67,4.67,4.67,0
55,2015-12-23,4.67,4.67,4.67,4.67,0
56,2015-12-24,4.63,4.63,4.63,4.63,100
57,2015-12-25,4.63,4.63,4.63,4.63,0
58,2015-12-28,4.63,4.63,4.63,4.63,0
59,2015-12-29,4.63,4.63,4.63,4.63,0
60,2015-12-30,4.6,4.6,4.6,4.6,300
61,2015-12-31,4.6,4.6,4.6,4.6,0
62,2016-01-04,4.6,4.6,4.6,4.6,0
63,2016-01-05,4.6,4.6,4.6,4.6,0
64,2016-01-06,4.6,4.6,4.6,4.6,0
65,2016-01-07,4.56,4.56,4.56,4.56,1000
66,2016-01-08,4.56,4.56,4.56,4.56,0
67,2016-01-11,4.56,4.56,4.56,4.56,0
68,2016-01-12,4.52,4.52,4.52,4.52,900
69,2016-01-13,4.52,4.52,4.52,4.52,0
70,2016-01-14,4.49,4.49,4.49,4.49,8300
71,2016-01-15,4.49,4.49,4.49,4.49,0
72,2016-01-18,4.45,4.45,4.45,4.45,8500
73,2016-01-19,4.45,4.45,4.45,4.45,0
74,2016-01-20,4.37,4.37,4.37,4.37,400
75,2016-01-21,4.37,4.37,4.37,4.37,0
76,2016-01-22,4.37,4.37,4.37,4.37,0
77,2016-01-25,4.37,4.37,4.37,4.37,0
78,2016-01-26,4.37,4.37,4.37,4.37,0
79,2016-01-27,4.78,4.78,4.78,4.78,100
80,2016-01-28,4.78,4.78,4.78,4.78,0
81,2016-01-29,4.78,4.78,4.78,4.78,0
82,2016-02-01,4.78,4.78,4.78,4.78,0
83,2016-02-02,4.78,4.78,4.78,4.78,0
84,2016-02-03,4.34,5.23,4.34,5.23,200
85,2016-02-04,4.71,4.71,4.71,4.71,100
86,2016-02-05,4.71,4.71,4.71,4.71,0
87,2016-02-15,4.71,4.71,4.71,4.71,0
88,2016-02-16,4.26,4.26,4.26,4.26,100
89,2016-02-17,4.34,4.34,4.34,4.34,200
90,2016-02-18,4.34,4.34,4.34,4.34,0
91,2016-02-19,4.34,4.34,4.34,4.34,0
92,2016-02-22,4.34,4.34,4.34,4.34,0
93,2016-02-23,4.34,4.34,4.34,4.34,0
94,2016-02-24,4.34,4.34,4.34,4.34,0
95,2016-02-25,4.3,4.3,4.3,4.3,200
96,2016-02-26,4.26,4.26,4.26,4.26,1000
97,2016-02-29,4.26,4.26,4.26,4.26,0
98,2016-03-01,4.26,4.26,4.26,4.26,0
99,2016-03-02,4.26,4.26,4.26,4.26,0
100,2016-03-03,4.26,4.26,4.26,4.26,0
101,2016-03-04,4.26,4.26,4.26,4.26,0
102,2016-03-07,4.26,4.26,4.26,4.26,0
103,2016-03-08,4.26,4.26,4.26,4.26,0
104,2016-03-09,4.26,4.26,4.26,4.26,0
105,2016-03-10,4.26,4.26,4.26,4.26,0
106,2016-03-11,4.49,4.49,4.49,4.49,1200
107,2016-03-14,4.11,4.34,4.11,4.34,200
108,2016-03-15,4.34,4.34,4.34,4.34,0
109,2016-03-16,4.34,4.34,4.34,4.34,0
110,2016-03-17,4.34,4.34,4.34,4.34,0
111,2016-03-18,4.6,4.6,4.6,4.6,100
112,2016-03-21,4.15,4.15,4.15,4.15,100
113,2016-03-22,4.15,4.15,4.15,4.15,0
114,2016-03-23,4.56,4.56,4.56,4.56,100
115,2016-03-24,4.11,4.11,4.11,4.11,100
116,2016-03-25,4.11,4.11,4.11,4.11,0
117,2016-03-28,4.11,4.11,4.11,4.11,0
118,2016-03-29,4.11,4.11,4.11,4.11,0
119,2016-03-30,4.11,4.11,4.11,4.11,0
120,2016-03-31,4.49,4.52,4.49,4.52,400
121,2016-04-01,4.75,4.75,4.75,4.75,100
122,2016-04-04,4.75,4.75,4.75,4.75,0
123,2016-04-05,4.3,4.49,4.3,4.49,200
124,2016-04-06,4.49,4.49,4.49,4.49,0
125,2016-04-07,4.49,4.49,4.49,4.49,0
126,2016-04-08,4.6,4.78,4.6,4.78,400
127,2016-04-11,4.34,4.86,4.34,4.86,12600
128,2016-04-12,4.86,5.01,4.86,4.86,9800
129,2016-04-13,4.86,4.86,4.78,4.78,9900
130,2016-04-14,4.71,4.78,4.71,4.75,1600
131,2016-04-15,4.75,4.75,4.75,4.75,0
132,2016-04-19,4.71,4.75,4.71,4.75,9100
133,2016-04-20,4.75,4.75,4.75,4.75,0
134,2016-04-21,4.75,4.75,4.75,4.75,0
135,2016-04-22,4.75,4.75,4.75,4.75,0
136,2016-04-25,4.86,4.86,4.86,4.86,1000
137,2016-04-26,4.86,4.86,4.86,4.86,0
138,2016-04-27,4.86,4.86,4.86,4.86,0
139,2016-04-28,4.75,4.75,4.75,4.75,1000
140,2016-04-29,4.75,4.75,4.75,4.75,0
141,2016-05-04,4.75,4.75,4.75,4.75,0
142,2016-05-05,4.75,4.75,4.75,4.75,0
143,2016-05-06,4.75,4.75,4.75,4.75,0
144,2016-05-09,4.75,4.75,4.75,4.75,0
145,2016-05-10,4.75,4.75,4.75,4.75,0
146,2016-05-11,4.75,4.75,4.75,4.75,0
147,2016-05-12,4.75,4.75,4.75,4.75,0
148,2016-05-13,4.75,4.75,4.75,4.75,0
