,time,open,high,low,close,volume
0,2015-09-22,9.43,9.43,7.27,7.71,33200
1,2015-09-23,7.71,8.46,7.71,8.46,3500
2,2015-09-24,7.67,8.59,7.67,8.59,600
3,2015-09-25,7.76,7.76,7.76,7.76,8300
4,2015-09-28,7.27,7.32,7.27,7.32,1500
5,2015-09-29,7.05,7.49,7.05,7.49,1600
6,2015-09-30,7.49,7.49,7.49,7.49,0
7,2015-10-01,7.49,7.49,7.49,7.49,0
8,2015-10-02,7.49,7.49,7.49,7.49,0
9,2015-10-05,6.92,6.92,6.92,6.92,700
10,2015-10-06,7.4,7.4,7.4,7.4,100
11,2015-10-07,7.05,7.05,7.05,7.05,2000
12,2015-10-08,7.05,7.05,7.05,7.05,0
13,2015-10-09,7.05,7.05,7.05,7.05,0
14,2015-10-12,7.05,7.05,7.05,7.05,200
15,2015-10-13,6.83,6.83,6.83,6.83,6600
16,2015-10-14,6.7,6.7,6.7,6.7,4100
17,2015-10-15,6.74,6.74,6.7,6.7,3400
18,2015-10-16,6.7,6.7,6.7,6.7,0
19,2015-10-19,6.7,6.7,6.39,6.39,9000
20,2015-10-20,6.65,6.65,6.17,6.17,7300
21,2015-10-21,6.43,6.43,6.43,6.43,1000
22,2015-10-22,6.7,6.7,6.7,6.7,600
23,2015-10-23,6.7,6.7,6.7,6.7,0
24,2015-10-26,6.43,6.43,6.39,6.43,12800
25,2015-10-27,6.43,6.43,6.43,6.43,0
26,2015-10-28,6.43,6.43,6.43,6.43,0
27,2015-10-29,6.43,6.43,6.43,6.43,0
28,2015-10-30,6.43,6.43,6.43,6.43,0
29,2015-11-02,6.43,6.43,6.43,6.43,0
30,2015-11-03,6.43,6.43,6.43,6.43,0
31,2015-11-04,6.39,6.39,6.3,6.3,1800
32,2015-11-05,6.3,6.3,6.3,6.3,2000
33,2015-11-06,6.39,6.39,6.39,6.39,1000
34,2015-11-09,6.43,6.48,6.3,6.3,4200
35,2015-11-10,6.3,6.3,6.3,6.3,2000
36,2015-11-11,6.3,6.3,6.3,6.3,3500
37,2015-11-12,6.3,6.3,6.3,6.3,0
38,2015-11-13,6.26,6.3,6.26,6.3,2700
39,2015-11-16,6.3,6.3,6.3,6.3,0
40,2015-11-17,6.35,6.35,6.35,6.35,500
41,2015-11-18,6.35,6.35,6.35,6.35,0
42,2015-11-19,6.35,6.35,6.35,6.35,0
43,2015-11-20,6.35,6.35,6.35,6.35,0
44,2015-11-23,6.3,6.3,6.3,6.3,300
45,2015-11-24,6.3,6.3,6.3,6.3,0
46,2015-11-25,6.26,6.26,6.26,6.26,300
