,time,open,high,low,close,volume
0,2005-07-11,10.5,10.5,10.5,10.5,11430
1,2005-07-12,10.83,10.83,10.83,10.83,20190
2,2005-07-13,11.35,11.35,11.35,11.35,47680
3,2005-07-14,11.35,11.35,11.35,11.35,40380
4,2005-07-15,11.49,11.49,11.49,11.49,31870
5,2005-07-18,11.49,11.49,11.49,11.49,27440
6,2005-07-19,11.42,11.42,11.42,11.42,11750
7,2005-07-20,11.22,11.22,11.22,11.22,11460
8,2005-07-21,11.09,11.09,11.09,11.09,12580
9,2005-07-22,10.76,10.76,10.76,10.76,43130
10,2005-07-25,11.16,11.16,11.16,11.16,11840
11,2005-07-26,11.03,11.03,11.03,11.03,1740
12,2005-07-27,11.03,11.03,11.03,11.03,1000
13,2005-07-28,10.76,10.76,10.76,10.76,9610
14,2005-07-29,10.76,10.76,10.76,10.76,1200
15,2005-08-01,10.9,10.9,10.9,10.9,1890
16,2005-08-02,10.9,10.9,10.9,10.9,1350
17,2005-08-03,11.09,11.09,11.09,11.09,9660
18,2005-08-04,11.35,11.35,11.35,11.35,4590
19,2005-08-05,11.16,11.16,11.16,11.16,17010
20,2005-08-08,11.09,11.09,11.09,11.09,2920
21,2005-08-09,11.03,11.03,11.03,11.03,2700
22,2005-08-10,11.03,11.03,11.03,11.03,2890
23,2005-08-11,11.22,11.22,11.22,11.22,10810
24,2005-08-12,11.16,11.16,11.16,11.16,2300
25,2005-08-15,10.96,10.96,10.96,10.96,8450
26,2005-08-16,10.83,10.83,10.83,10.83,14960
27,2005-08-17,10.63,10.63,10.63,10.63,10630
28,2005-08-18,10.5,10.5,10.5,10.5,5700
29,2005-08-19,10.57,10.57,10.57,10.57,2300
30,2005-08-22,10.7,10.7,10.7,10.7,3030
31,2005-08-23,10.63,10.63,10.63,10.63,11120
32,2005-08-24,10.5,10.5,10.5,10.5,570
33,2005-08-25,10.57,10.57,10.57,10.57,1160
34,2005-08-26,10.57,10.57,10.57,10.57,500
35,2005-08-29,10.5,10.5,10.5,10.5,11880
36,2005-08-30,10.5,10.5,10.5,10.5,6700
37,2005-08-31,10.5,10.5,10.5,10.5,3340
38,2005-09-01,10.44,10.44,10.44,10.44,10500
39,2005-09-05,10.24,10.24,10.24,10.24,4720
40,2005-09-06,10.17,10.17,10.17,10.17,14680
41,2005-09-07,10.37,10.37,10.37,10.37,4690
42,2005-09-08,10.44,10.44,10.44,10.44,8670
43,2005-09-09,10.3,10.3,10.3,10.3,7380
44,2005-09-12,10.17,10.17,10.17,10.17,2060
45,2005-09-13,10.17,10.17,10.17,10.17,2410
46,2005-09-14,10.17,10.17,10.17,10.17,13360
47,2005-09-15,10.17,10.17,10.17,10.17,5460
48,2005-09-16,10.17,10.17,10.17,10.17,4550
49,2005-09-19,10.3,10.3,10.3,10.3,4250
50,2005-09-20,10.76,10.76,10.76,10.76,5860
51,2005-09-21,10.83,10.83,10.83,10.83,19610
52,2005-09-22,10.83,10.83,10.83,10.83,7910
53,2005-09-23,10.83,10.83,10.83,10.83,10370
54,2005-09-26,10.7,10.7,10.7,10.7,8030
55,2005-09-27,10.5,10.5,10.5,10.5,3070
56,2005-09-28,10.5,10.5,10.5,10.5,19750
57,2005-09-29,10.5,10.5,10.5,10.5,7000
58,2005-09-30,11.03,11.03,11.03,11.03,32490
59,2005-10-03,11.03,11.03,11.03,11.03,7700
60,2005-10-04,10.83,10.83,10.83,10.83,3290
61,2005-10-05,10.63,10.63,10.63,10.63,7520
62,2005-10-06,10.7,10.7,10.7,10.7,4580
63,2005-10-07,10.83,10.83,10.83,10.83,5250
64,2005-10-10,10.83,10.83,10.83,10.83,10910
65,2005-10-11,10.76,10.76,10.76,10.76,18190
66,2005-10-12,10.5,10.5,10.5,10.5,4190
67,2005-10-13,10.63,10.63,10.63,10.63,6690
68,2005-10-14,10.76,10.76,10.76,10.76,17160
69,2005-10-17,10.76,10.76,10.76,10.76,29230
70,2005-10-18,10.76,10.76,10.76,10.76,28920
71,2005-10-19,10.76,10.76,10.76,10.76,18220
72,2005-10-20,10.76,10.76,10.76,10.76,5960
73,2005-10-21,10.76,10.76,10.76,10.76,14460
74,2005-10-24,10.76,10.76,10.76,10.76,14200
75,2005-10-25,10.76,10.76,10.76,10.76,13170
76,2005-10-26,10.5,10.5,10.5,10.5,19030
77,2005-10-27,10.37,10.37,10.37,10.37,26490
78,2005-10-28,10.76,10.76,10.76,10.76,16320
79,2005-10-31,10.7,10.7,10.7,10.7,8890
80,2005-11-01,10.7,10.7,10.7,10.7,19260
81,2005-11-02,10.7,10.7,10.7,10.7,5100
82,2005-11-03,10.63,10.63,10.63,10.63,6360
83,2005-11-04,10.57,10.57,10.57,10.57,7110
84,2005-11-07,10.63,10.63,10.63,10.63,30140
85,2005-11-08,10.57,10.57,10.57,10.57,4760
86,2005-11-09,10.63,10.63,10.63,10.63,4910
87,2005-11-10,10.57,10.57,10.57,10.57,3510
88,2005-11-11,10.63,10.63,10.63,10.63,3510
89,2005-11-14,10.63,10.63,10.63,10.63,21940
90,2005-11-15,10.5,10.5,10.5,10.5,3300
91,2005-11-16,10.63,10.63,10.63,10.63,9100
92,2005-11-17,10.57,10.57,10.57,10.57,470
93,2005-11-18,10.5,10.5,10.5,10.5,4160
94,2005-11-21,10.76,10.76,10.76,10.76,26100
95,2005-11-22,10.63,10.63,10.63,10.63,6270
96,2005-11-23,10.63,10.63,10.63,10.63,1000
97,2005-11-24,10.57,10.57,10.57,10.57,9770
98,2005-11-25,10.63,10.63,10.63,10.63,6340
99,2005-11-28,10.7,10.7,10.7,10.7,4340
100,2005-11-29,10.7,10.7,10.7,10.7,9520
101,2005-11-30,10.83,10.83,10.83,10.83,11290
102,2005-12-01,10.83,10.83,10.83,10.83,3150
103,2005-12-02,10.76,10.76,10.76,10.76,2320
104,2005-12-05,10.57,10.57,10.57,10.57,270
105,2005-12-06,10.57,10.57,10.57,10.57,1000
106,2005-12-07,10.57,10.57,10.57,10.57,10
107,2005-12-08,10.7,10.7,10.7,10.7,3500
108,2005-12-09,10.7,10.7,10.7,10.7,110
109,2005-12-12,10.7,10.7,10.7,10.7,10
110,2005-12-13,10.63,10.63,10.63,10.63,1520
111,2005-12-14,10.7,10.7,10.7,10.7,2630
