,time,open,high,low,close,volume
0,2010-04-20,22.3,22.3,22.3,22.3,23510
1,2010-04-21,23.22,23.22,23.22,23.22,21200
2,2010-04-22,24.39,24.39,24.39,24.39,22090
3,2010-04-26,25.08,25.08,24.15,24.15,663650
4,2010-04-27,23.69,25.08,23.69,24.39,204680
5,2010-04-28,24.39,24.62,24.15,24.39,215540
6,2010-04-29,24.39,24.39,23.92,24.39,154290
7,2010-05-04,24.39,24.39,24.15,24.15,180130
8,2010-05-05,23.22,24.15,23.22,23.69,107890
9,2010-05-06,24.15,24.15,23.69,23.92,89170
10,2010-05-07,23.92,23.92,23.22,23.22,120110
11,2010-05-10,23.92,23.92,23.18,23.22,50420
12,2010-05-11,23.69,23.69,23.22,23.46,103630
13,2010-05-12,22.71,23.46,22.67,22.81,63120
14,2010-05-13,23.22,23.22,22.71,22.76,28290
15,2010-05-14,23.18,23.18,22.76,22.99,41700
16,2010-05-17,23.22,23.22,22.53,22.99,31640
17,2010-05-18,22.76,22.99,22.53,22.53,5150
18,2010-05-19,22.3,22.53,21.41,22.53,98650
19,2010-05-20,21.6,22.53,21.6,22.3,102340
20,2010-05-21,21.23,21.23,21.18,21.23,35460
21,2010-05-24,21.18,21.37,20.95,21.13,25300
22,2010-05-25,20.44,21.13,20.16,20.44,22570
23,2010-05-26,20.9,21.46,20.9,20.9,8470
24,2010-05-27,20.9,21.32,20.44,20.44,42260
25,2010-05-28,20.9,21.46,20.72,21.46,58270
26,2010-05-31,22.2,22.2,21.46,21.46,17640
27,2010-06-01,20.9,20.9,20.72,20.9,11900
28,2010-06-02,20.9,20.9,19.88,20.25,18900
29,2010-06-03,21.13,21.13,20.44,20.44,22300
30,2010-06-04,20.9,20.9,20.2,20.9,23710
31,2010-06-07,19.97,20.86,19.97,19.97,178360
32,2010-06-08,20.34,20.34,19.97,20.34,19030
33,2010-06-09,20.07,20.44,20.07,20.44,9640
34,2010-06-10,20.67,20.67,20.34,20.34,8310
35,2010-06-11,20.2,20.58,20.2,20.2,25810
36,2010-06-14,20.34,20.39,20.2,20.34,16330
37,2010-06-15,20.44,20.44,20.25,20.34,25520
38,2010-06-16,20.39,20.48,20.3,20.39,66770
39,2010-06-17,19.93,20.25,19.6,19.93,21520
40,2010-06-18,19.93,19.97,19.88,19.93,56270
41,2010-06-21,19.79,20.9,19.74,19.97,62240
42,2010-06-22,19.97,19.97,19.79,19.88,47220
43,2010-06-23,19.88,19.97,19.88,19.88,14860
44,2010-06-24,19.88,19.88,19.51,19.51,35260
45,2010-06-25,19.51,19.83,19.09,19.51,55120
46,2010-06-28,18.9,19.97,18.9,19.83,21280
47,2010-06-29,19.83,19.88,19.55,19.55,65040
48,2010-06-30,18.72,19.93,18.72,19.18,34680
49,2010-07-01,18.77,19.28,18.77,18.77,21710
50,2010-07-02,18.67,18.81,18.63,18.81,75900
51,2010-07-05,19.51,19.51,18.58,19.51,57160
52,2010-07-06,19.51,19.51,18.77,18.81,47270
53,2010-07-07,18.58,18.81,18.58,18.58,10100
54,2010-07-08,19.04,19.04,18.81,19.04,73320
55,2010-07-09,19.23,19.23,18.9,19.23,29230
56,2010-07-12,19.14,19.28,18.39,19.14,22910
57,2010-07-13,19.65,19.65,18.72,19.65,22200
58,2010-07-14,19.65,19.65,19.14,19.65,57240
59,2010-07-15,19.28,19.74,19.28,19.65,43320
60,2010-07-16,19.23,19.74,19.23,19.74,62430
61,2010-07-19,20.02,20.44,19.97,19.97,59510
62,2010-07-20,20.34,20.34,19.55,20.02,41890
63,2010-07-21,19.88,20.2,19.83,19.83,21930
64,2010-07-22,19.35,20.81,19.35,20.48,22510
65,2010-07-23,20.16,20.43,20.16,20.21,20260
66,2010-07-26,20.21,20.21,20.11,20.21,24910
67,2010-07-27,20.21,20.21,20.16,20.21,29960
68,2010-07-28,19.29,19.62,19.29,19.29,12190
69,2010-07-29,20.05,20.05,19.67,19.67,21230
70,2010-07-30,19.19,19.19,19.19,19.19,14820
71,2010-08-02,19.19,19.35,19.19,19.35,16100
72,2010-08-03,18.59,19.94,18.59,18.59,19320
73,2010-08-04,18.92,18.92,18.11,18.65,30060
74,2010-08-05,18.54,19.57,18.38,18.54,16020
75,2010-08-06,18.38,18.92,17.78,18.38,15670
76,2010-08-09,17.84,18.59,17.57,17.84,24750
77,2010-08-10,17.02,18.05,17.02,17.02,23920
78,2010-08-11,17.02,17.02,16.32,17.02,1340
79,2010-08-12,17.02,17.02,16.27,16.27,3870
80,2010-08-13,17.08,17.08,16.7,17.08,30560
81,2010-08-16,17.89,17.89,17.89,17.89,9770
82,2010-08-17,18.75,18.75,18.75,18.75,11710
83,2010-08-18,19.67,19.67,19.67,19.67,51440
84,2010-08-19,20.43,20.43,19.67,20.0,51660
85,2010-08-20,20.27,20.27,19.67,20.0,29760
86,2010-08-23,20.27,20.27,20.0,20.0,4010
87,2010-08-24,19.46,19.46,19.02,19.02,6800
88,2010-08-25,18.11,18.16,18.11,18.11,51800
89,2010-08-26,17.35,18.38,17.35,18.38,12640
90,2010-08-27,17.84,18.92,17.62,17.84,5900
91,2010-08-30,18.38,18.7,18.38,18.7,23140
92,2010-08-31,19.46,19.46,18.92,18.97,20610
93,2010-09-01,19.46,19.46,18.27,19.46,15330
94,2010-09-06,19.84,19.84,19.35,19.35,32440
95,2010-09-07,19.35,19.35,18.92,18.92,22030
96,2010-09-08,18.27,19.4,18.27,18.92,8540
97,2010-09-09,18.65,19.46,18.65,19.19,27000
98,2010-09-10,18.65,18.92,18.65,18.92,22880
99,2010-09-13,18.48,18.92,18.38,18.48,6500
100,2010-09-14,18.11,19.08,18.11,18.48,19600
101,2010-09-15,18.48,18.92,18.48,18.48,6130
102,2010-09-16,18.59,18.65,18.27,18.59,8410
103,2010-09-17,18.59,18.92,18.16,18.48,20010
104,2010-09-20,18.54,18.59,18.21,18.27,34990
105,2010-09-21,18.27,18.27,17.84,18.11,21250
106,2010-09-22,18.11,18.11,17.89,18.11,2150
107,2010-09-23,17.84,18.11,17.84,17.84,4060
108,2010-09-24,17.4,17.89,17.35,17.4,27290
109,2010-09-27,17.89,17.89,16.75,17.3,10540
110,2010-09-28,17.02,17.35,17.02,17.02,18690
111,2010-09-29,16.54,16.75,16.48,16.54,26290
112,2010-09-30,16.48,16.54,16.0,16.0,23640
113,2010-10-01,16.0,16.65,16.0,16.05,29030
114,2010-10-04,15.51,16.11,15.3,15.3,12670
115,2010-10-05,14.59,15.08,14.59,14.75,37730
116,2010-10-06,14.65,15.46,14.65,15.46,32370
117,2010-10-07,15.67,16.21,15.4,15.67,32490
118,2010-10-08,15.67,15.67,15.46,15.46,13750
119,2010-10-11,15.35,16.21,15.35,16.21,84140
120,2010-10-12,16.21,16.65,15.94,16.21,48240
121,2010-10-13,16.43,16.43,15.94,16.21,50270
122,2010-10-14,16.92,16.92,16.21,16.21,49670
123,2010-10-15,16.21,16.7,15.94,16.21,33140
124,2010-10-18,16.21,16.32,16.21,16.21,41300
125,2010-10-19,16.21,16.27,15.94,16.16,19510
126,2010-10-20,15.89,15.94,15.4,15.89,82580
127,2010-10-21,15.89,16.05,15.67,15.89,25700
128,2010-10-22,15.89,15.94,15.84,15.89,41270
129,2010-10-25,15.94,15.94,15.89,15.94,17400
130,2010-10-26,16.21,16.65,16.21,16.21,23230
131,2010-10-27,16.11,16.21,16.11,16.11,23340
132,2010-10-28,16.16,16.21,16.11,16.16,25580
133,2010-10-29,16.16,16.16,16.11,16.16,4850
134,2010-11-01,16.21,16.27,16.16,16.21,12100
135,2010-11-02,16.21,16.21,16.11,16.21,29850
136,2010-11-03,16.21,16.21,16.11,16.21,19110
137,2010-11-04,16.21,16.38,16.21,16.21,39880
138,2010-11-05,16.32,16.43,16.21,16.32,7340
139,2010-11-08,16.38,16.38,16.21,16.32,6300
140,2010-11-09,16.32,16.32,15.94,16.32,60900
141,2010-11-10,16.32,16.32,16.21,16.32,13360
142,2010-11-11,16.05,16.11,16.05,16.05,15180
143,2010-11-12,16.05,16.21,15.4,16.05,97160
144,2010-11-15,15.46,16.05,15.46,15.89,10820
145,2010-11-16,15.51,15.89,15.51,15.89,16830
146,2010-11-17,16.21,16.21,15.84,15.84,15540
147,2010-11-18,16.21,16.21,15.89,15.89,24000
148,2010-11-19,15.89,16.32,15.67,15.67,48960
149,2010-11-22,15.57,16.11,15.57,15.57,10860
150,2010-11-23,15.57,16.21,15.4,15.57,16970
151,2010-11-24,15.57,15.57,15.3,15.3,15000
152,2010-11-25,15.24,15.3,15.19,15.24,35850
