,time,open,high,low,close,volume
0,2010-11-29,2.19,2.19,1.88,1.89,10400
1,2010-11-30,1.88,1.88,1.83,1.83,52500
2,2010-12-01,1.7,1.7,1.7,1.7,15000
3,2010-12-02,1.59,1.59,1.59,1.59,2400
4,2010-12-03,1.48,1.7,1.48,1.67,68000
5,2010-12-06,1.54,1.61,1.43,1.43,22700
6,2010-12-07,1.36,1.36,1.35,1.35,30600
7,2010-12-08,1.26,1.35,1.26,1.35,76100
8,2010-12-09,1.35,1.35,1.18,1.32,19000
9,2010-12-10,1.29,1.29,1.24,1.29,4700
10,2010-12-13,1.36,1.36,1.36,1.36,11700
11,2010-12-14,1.35,1.39,1.26,1.26,5600
12,2010-12-15,1.4,1.4,1.23,1.24,11500
13,2010-12-16,1.18,1.18,1.17,1.17,16900
14,2010-12-17,1.14,1.24,1.14,1.24,2300
15,2010-12-20,1.17,1.17,1.12,1.12,17400
16,2010-12-21,1.13,1.13,1.06,1.12,11900
17,2010-12-22,1.1,1.1,1.04,1.09,17900
18,2010-12-23,1.07,1.07,1.05,1.06,400
19,2010-12-24,1.0,1.05,0.99,1.05,4100
20,2010-12-27,1.02,1.05,0.98,1.05,1500
21,2010-12-28,1.02,1.06,1.02,1.05,2300
22,2010-12-29,1.0,1.0,0.99,0.99,2700
23,2010-12-30,1.04,1.04,0.99,1.0,5100
24,2010-12-31,0.96,1.0,0.96,0.99,1000
25,2011-01-04,1.0,1.05,1.0,1.04,9800
26,2011-01-05,0.97,0.97,0.97,0.97,800
27,2011-01-06,1.03,1.03,1.03,1.03,2000
28,2011-01-07,1.09,1.09,1.07,1.07,2500
29,2011-01-10,1.12,1.12,1.0,1.0,4100
30,2011-01-11,0.96,1.01,0.96,1.01,6800
31,2011-01-12,1.02,1.02,1.02,1.02,500
32,2011-01-13,1.06,1.06,1.04,1.04,2200
33,2011-01-14,0.97,1.04,0.97,1.04,2600
34,2011-01-17,0.99,0.99,0.99,0.99,400
35,2011-01-18,0.92,0.95,0.92,0.92,8600
36,2011-01-19,0.97,0.97,0.87,0.96,7000
37,2011-01-20,0.95,0.96,0.88,0.95,4400
38,2011-01-21,0.88,0.97,0.87,0.87,1800
39,2011-01-24,0.97,0.97,0.88,0.88,11200
40,2011-01-25,0.94,0.94,0.83,0.83,800
41,2011-01-26,0.8,0.87,0.8,0.87,2500
42,2011-01-27,0.89,0.89,0.78,0.86,5400
43,2011-01-28,0.83,0.87,0.8,0.8,31200
44,2011-02-08,0.91,0.92,0.91,0.92,300
45,2011-02-09,0.95,0.95,0.86,0.86,1300
46,2011-02-10,0.81,0.82,0.8,0.81,3700
47,2011-02-11,0.86,0.86,0.86,0.86,500
48,2011-02-14,0.82,0.82,0.82,0.82,1700
49,2011-02-15,0.8,0.81,0.8,0.81,900
50,2011-02-16,0.78,0.78,0.77,0.77,5000
51,2011-02-17,0.74,0.74,0.72,0.73,5100
52,2011-02-18,0.78,0.78,0.72,0.78,3200
53,2011-02-21,0.73,0.73,0.72,0.72,7900
54,2011-02-22,0.67,0.76,0.67,0.73,7300
55,2011-02-23,0.76,0.76,0.76,0.76,6300
56,2011-02-24,0.73,0.73,0.73,0.73,8300
57,2011-02-25,0.76,0.78,0.76,0.78,11200
58,2011-02-28,0.8,0.8,0.8,0.8,11700
59,2011-03-01,0.85,0.85,0.85,0.85,400
60,2011-03-02,0.79,0.79,0.79,0.79,200
61,2011-03-03,0.75,0.75,0.75,0.75,200
62,2011-03-04,0.79,0.79,0.69,0.69,600
63,2011-03-07,0.76,0.76,0.69,0.74,4100
64,2011-03-08,0.75,0.75,0.73,0.73,1900
65,2011-03-09,0.78,0.78,0.68,0.77,5200
66,2011-03-10,0.78,0.78,0.69,0.75,6400
67,2011-03-11,0.76,0.76,0.76,0.76,200
68,2011-03-14,0.81,0.81,0.71,0.75,1700
69,2011-03-15,0.8,0.8,0.69,0.69,1700
70,2011-03-16,0.75,0.75,0.67,0.67,5100
71,2011-03-17,0.69,0.69,0.69,0.69,1000
72,2011-03-18,0.72,0.72,0.72,0.72,400
73,2011-03-21,0.76,0.76,0.68,0.74,2900
74,2011-03-22,0.73,0.73,0.71,0.71,6000
75,2011-03-23,0.69,0.77,0.69,0.77,20100
76,2011-03-24,0.77,0.77,0.77,0.77,0
77,2011-03-25,0.8,0.8,0.72,0.72,9400
