,time,open,high,low,close,volume
0,2020-12-24,18.1,18.1,13.85,13.85,307200
1,2020-12-25,13.92,13.92,13.71,13.85,41900
2,2020-12-28,13.92,13.92,13.78,13.92,6430
3,2020-12-29,13.92,14.2,13.85,13.92,196500
4,2020-12-30,13.92,14.55,13.92,14.34,53400
5,2020-12-31,14.41,15.03,13.92,13.92,81630
6,2021-01-04,13.92,13.92,13.22,13.5,125200
7,2021-01-05,13.57,13.57,13.36,13.5,53400
8,2021-01-06,13.57,13.85,13.29,13.36,35100
9,2021-01-07,13.29,13.29,12.81,13.09,48500
10,2021-01-08,13.15,13.22,13.09,13.15,33200
11,2021-01-11,13.22,13.29,13.02,13.15,21200
12,2021-01-12,13.09,13.09,12.67,12.81,39900
13,2021-01-13,12.74,12.88,12.74,12.81,21900
14,2021-01-14,12.74,13.22,12.74,13.09,46500
15,2021-01-15,13.02,13.02,12.88,13.02,16000
16,2021-01-18,13.02,13.09,12.95,13.02,15900
17,2021-01-19,13.02,13.15,12.46,12.67,41300
18,2021-01-20,12.67,12.67,12.18,12.53,21400
19,2021-01-21,12.74,12.74,12.39,12.6,10700
20,2021-01-22,12.74,13.15,12.53,12.6,6200
21,2021-01-25,12.53,12.53,12.46,12.53,16900
22,2021-01-26,12.46,12.46,12.18,12.18,11700
23,2021-01-27,12.11,12.18,11.83,11.97,11100
24,2021-01-28,11.76,11.76,10.79,10.79,30000
25,2021-01-29,10.79,11.83,10.79,11.76,11000
26,2021-02-01,11.83,11.83,11.69,11.69,1900
27,2021-02-02,11.48,11.62,10.86,10.93,5800
28,2021-02-03,10.86,11.62,10.86,11.48,10000
29,2021-02-04,11.28,11.48,11.28,11.48,3600
30,2021-02-05,11.48,11.48,11.48,11.48,3800
31,2021-02-08,11.41,11.48,11.0,11.41,17100
32,2021-02-09,11.48,11.76,11.48,11.76,2500
33,2021-02-17,11.76,11.76,11.14,11.69,7000
34,2021-02-18,11.69,11.83,11.69,11.76,4200
35,2021-02-19,11.76,11.76,11.62,11.76,7200
36,2021-02-22,11.76,11.83,11.69,11.69,14600
37,2021-02-23,11.76,11.76,11.62,11.76,4000
38,2021-02-24,11.76,11.76,11.55,11.55,7800
39,2021-02-25,11.69,11.69,11.48,11.48,5900
40,2021-02-26,11.21,11.48,11.21,11.48,2700
41,2021-03-01,11.48,11.69,11.48,11.69,4700
42,2021-03-02,11.69,11.69,11.55,11.62,2500
43,2021-03-03,11.62,11.69,11.55,11.55,10000
44,2021-03-04,11.55,11.69,11.55,11.62,7000
45,2021-03-05,11.69,11.69,11.55,11.55,4300
46,2021-03-08,11.62,11.76,11.55,11.55,8447
47,2021-03-09,11.62,11.9,11.62,11.76,17700
48,2021-03-10,12.46,12.53,11.9,12.11,10900
49,2021-03-11,12.04,12.25,11.97,12.25,6710
50,2021-03-12,12.53,12.53,12.11,12.11,17900
51,2021-03-15,12.25,12.25,11.97,12.18,9526
52,2021-03-16,12.04,12.11,12.04,12.11,4800
53,2021-03-17,12.11,12.11,12.11,12.11,700
54,2021-03-18,12.11,12.11,11.76,11.9,8000
55,2021-03-19,11.76,11.83,11.69,11.83,11900
56,2021-03-22,11.69,11.76,11.69,11.76,4600
57,2021-03-23,11.83,12.39,11.69,11.83,3700
58,2021-03-24,11.83,11.83,11.48,11.48,6369
59,2021-03-25,11.48,11.62,11.48,11.62,6100
60,2021-03-26,11.62,11.62,11.41,11.41,1800
61,2021-03-29,11.48,11.48,11.48,11.48,7700
62,2021-03-30,11.41,11.76,11.41,11.76,2005
63,2021-03-31,11.69,11.69,11.48,11.69,4300
64,2021-04-01,11.69,11.9,11.55,11.69,11050
65,2021-04-02,11.69,11.69,11.41,11.55,17009
66,2021-04-05,11.55,11.62,11.55,11.55,7800
67,2021-04-06,11.62,11.62,11.48,11.48,12900
68,2021-04-07,11.55,11.55,11.48,11.55,2909
69,2021-04-08,11.55,11.55,11.48,11.48,12800
70,2021-04-09,11.48,11.48,11.41,11.41,5000
71,2021-04-12,11.48,11.48,11.28,11.48,19900
72,2021-04-13,11.48,11.69,11.48,11.55,19900
73,2021-04-14,11.55,11.69,11.48,11.69,22200
74,2021-04-15,11.69,11.76,11.62,11.62,15900
75,2021-04-16,11.55,11.55,11.41,11.55,18500
