,time,open,high,low,close,volume
0,2013-06-28,4.56,5.08,4.56,5.08,4100
1,2013-07-01,5.45,5.45,4.86,4.86,600
2,2013-07-02,4.86,4.86,4.86,4.86,0
3,2013-07-03,4.78,4.78,4.78,4.78,100
4,2013-07-04,4.71,4.71,4.71,4.71,200
5,2013-07-05,4.71,4.71,4.71,4.71,100
6,2013-07-08,4.48,4.48,4.48,4.48,1000
7,2013-07-09,4.63,4.63,4.48,4.48,200
8,2013-07-10,4.48,4.48,4.33,4.33,200
9,2013-07-11,4.33,4.33,4.33,4.33,2700
10,2013-07-12,4.33,4.33,4.3,4.33,7200
11,2013-07-15,4.33,4.33,4.33,4.33,100
12,2013-07-16,4.33,4.33,4.33,4.33,0
13,2013-07-17,4.3,4.3,4.3,4.3,100
14,2013-07-18,4.3,4.3,4.26,4.3,9500
15,2013-07-19,4.3,4.3,4.3,4.3,5000
16,2013-07-22,4.3,4.3,4.3,4.3,0
17,2013-07-23,4.3,4.3,4.3,4.3,0
18,2013-07-24,4.3,4.3,4.3,4.3,0
19,2013-07-25,4.3,4.3,4.3,4.3,0
20,2013-07-26,4.3,4.3,4.3,4.3,0
21,2013-07-29,4.11,4.11,4.11,4.11,2000
22,2013-07-30,4.3,4.3,4.3,4.3,600
23,2013-07-31,4.3,4.3,4.3,4.3,0
24,2013-08-01,4.3,4.3,4.3,4.3,0
25,2013-08-02,4.3,4.3,4.3,4.3,0
26,2013-08-05,4.33,4.33,4.33,4.33,300
27,2013-08-06,4.33,4.33,4.33,4.33,100
28,2013-08-07,4.33,4.33,4.33,4.33,0
29,2013-08-08,4.33,4.33,4.33,4.33,0
30,2013-08-09,4.33,4.33,4.33,4.33,0
31,2013-08-12,4.33,4.33,4.33,4.33,0
32,2013-08-13,4.33,4.33,4.33,4.33,0
33,2013-08-14,4.33,4.33,4.33,4.33,0
34,2013-08-15,4.33,4.33,4.33,4.33,0
35,2013-08-16,4.11,4.11,4.11,4.11,100
36,2013-08-19,4.11,4.11,4.11,4.11,0
37,2013-08-20,4.11,4.11,4.11,4.11,0
38,2013-08-21,4.11,4.11,4.11,4.11,0
39,2013-08-22,4.11,4.11,4.11,4.11,0
40,2013-08-23,4.11,4.11,4.11,4.11,0
41,2013-08-26,4.11,4.11,4.11,4.11,0
