,time,open,high,low,close,volume
0,2010-04-29,0.0,0.0,0.0,0.0,0
1,2010-05-04,0.0,0.0,0.0,0.0,0
2,2010-05-05,0.0,0.0,0.0,0.0,0
3,2010-05-06,0.0,0.0,0.0,0.0,0
4,2010-05-07,0.0,0.0,0.0,0.0,0
5,2010-05-10,0.0,0.0,0.0,0.0,0
6,2010-05-11,0.0,0.0,0.0,0.0,0
7,2010-05-12,0.0,0.0,0.0,0.0,0
8,2010-05-13,14.27,14.27,14.27,14.27,50
9,2010-05-14,14.27,14.27,14.27,14.27,0
10,2010-05-17,14.27,14.27,14.27,14.27,0
11,2010-05-18,14.27,0.0,0.0,0.0,0
12,2010-05-19,14.27,14.27,14.27,14.27,0
13,2010-05-20,14.27,14.27,14.27,14.27,0
14,2010-05-21,14.27,14.27,14.27,14.27,0
15,2010-05-25,14.27,14.27,14.27,14.27,0
16,2010-05-26,14.27,14.27,14.27,14.27,0
17,2010-05-27,14.27,14.27,14.27,14.27,0
18,2010-05-28,14.27,14.27,14.27,14.27,0
19,2010-05-31,14.27,14.27,14.27,14.27,0
20,2010-06-01,14.27,14.27,14.27,14.27,0
21,2010-06-02,14.27,14.27,14.27,14.27,0
22,2010-06-03,14.27,14.27,14.27,14.27,0
23,2010-06-07,14.27,14.27,14.27,14.27,0
24,2010-06-08,14.27,14.27,14.27,14.27,0
25,2010-06-10,14.27,14.27,14.27,14.27,0
26,2010-06-14,14.27,14.27,14.27,14.27,0
27,2010-06-15,14.27,14.27,14.27,14.27,0
28,2010-06-16,14.27,0.0,0.0,0.0,0
29,2010-06-17,14.27,14.27,14.27,14.27,0
30,2010-06-18,14.27,14.27,14.27,14.27,0
31,2010-06-21,14.27,14.27,14.27,14.27,0
32,2010-06-22,14.27,14.27,14.27,14.27,0
33,2010-06-24,14.27,14.27,14.27,14.27,0
34,2010-06-25,14.27,14.27,14.27,14.27,0
35,2010-06-28,14.27,14.27,14.27,14.27,0
36,2010-06-29,14.27,14.27,14.27,14.27,0
37,2010-06-30,14.27,14.27,14.27,14.27,0
38,2010-07-01,14.27,14.27,14.27,14.27,0
39,2010-07-02,14.27,14.27,14.27,14.27,0
40,2010-07-05,14.27,14.27,14.27,14.27,0
41,2010-07-06,14.27,14.27,14.27,14.27,0
42,2010-07-07,14.27,14.27,14.27,14.27,0
43,2010-07-08,14.27,14.27,14.27,14.27,0
44,2010-07-09,14.27,14.27,14.27,14.27,0
45,2010-07-12,14.27,14.27,14.27,14.27,0
46,2010-07-13,14.27,14.27,14.27,14.27,0
47,2010-07-14,14.27,14.27,14.27,14.27,0
48,2010-07-15,14.27,14.27,14.27,14.27,0
49,2010-07-19,14.27,14.27,14.27,14.27,0
50,2010-07-20,14.27,14.27,14.27,14.27,0
51,2010-07-21,14.27,14.27,14.27,14.27,0
52,2010-07-22,14.27,14.27,14.27,14.27,0
53,2010-07-23,14.27,14.27,14.27,14.27,0
54,2010-07-26,14.27,14.27,14.27,14.27,0
55,2010-07-27,14.27,14.27,14.27,14.27,0
56,2010-07-28,14.27,14.27,14.27,14.27,0
57,2010-07-29,14.27,14.27,14.27,14.27,0
58,2010-07-30,14.27,0.0,0.0,0.0,0
59,2010-08-02,14.27,14.27,14.27,14.27,0
60,2010-08-04,14.27,14.27,14.27,14.27,0
61,2010-08-05,14.27,0.0,0.0,0.0,0
62,2010-08-06,14.27,14.27,14.27,14.27,0
63,2010-08-09,14.27,14.27,14.27,14.27,0
64,2010-08-10,14.27,14.27,14.27,14.27,0
65,2010-08-11,14.27,14.27,14.27,14.27,0
66,2010-08-12,14.27,14.27,14.27,14.27,0
67,2010-08-13,14.27,14.27,14.27,14.27,0
68,2010-08-16,14.27,14.27,14.27,14.27,0
69,2010-08-17,14.27,14.27,14.27,14.27,0
70,2010-08-18,14.27,14.27,14.27,14.27,0
71,2010-08-19,10.38,10.38,10.38,10.38,100
72,2010-08-20,10.38,10.38,10.38,10.38,0
73,2010-08-23,10.38,10.38,10.38,10.38,0
74,2010-08-25,10.38,10.38,10.38,10.38,0
75,2010-08-26,10.38,10.38,10.38,10.38,0
76,2010-08-27,10.38,10.38,10.38,10.38,0
77,2010-08-30,9.34,9.34,9.34,9.34,700
78,2010-08-31,9.34,9.34,9.34,9.34,0
79,2010-09-01,9.34,9.34,9.34,9.34,0
80,2010-09-06,9.34,9.34,9.34,9.34,0
81,2010-09-07,9.34,9.34,9.34,9.34,0
82,2010-09-08,9.51,9.51,9.51,9.51,100
83,2010-09-09,9.51,9.51,9.51,9.51,0
84,2010-09-10,9.51,9.51,9.51,9.51,0
85,2010-09-13,9.51,9.51,9.51,9.51,0
86,2010-09-14,9.51,9.51,9.51,9.51,0
87,2010-09-15,9.51,9.51,9.51,9.51,0
88,2010-09-16,9.51,9.51,9.51,9.51,0
89,2010-09-17,9.51,9.51,9.51,9.51,0
90,2010-09-20,9.51,9.51,9.51,9.51,0
91,2010-09-21,9.51,9.51,9.51,9.51,0
92,2010-09-22,9.51,9.51,9.51,9.51,0
93,2010-09-23,9.51,9.51,9.51,9.51,0
94,2010-09-24,9.51,9.51,9.51,9.51,0
95,2010-09-27,9.51,9.51,9.51,9.51,0
96,2010-09-28,9.51,9.51,9.51,9.51,0
97,2010-09-29,9.51,9.51,9.51,9.51,0
98,2010-09-30,10.38,10.38,10.38,10.38,2100
99,2010-10-01,10.38,10.38,10.38,10.38,0
100,2010-10-04,10.38,10.38,10.38,10.38,0
101,2010-10-05,9.34,10.73,9.34,10.73,1200
102,2010-10-06,8.56,8.56,8.56,8.56,100
103,2010-10-07,8.56,8.56,8.56,8.56,0
104,2010-10-08,9.25,9.25,9.08,9.08,6400
105,2010-10-11,8.22,8.22,8.22,8.22,1700
106,2010-10-12,8.22,8.22,8.22,8.22,0
107,2010-10-13,8.22,8.22,8.22,8.22,0
108,2010-10-14,8.22,8.22,8.22,8.22,0
109,2010-10-15,8.22,8.22,8.22,8.22,0
110,2010-10-18,8.22,8.22,8.22,8.22,0
111,2010-10-19,8.22,8.22,8.22,8.22,0
112,2010-10-20,8.22,8.22,8.22,8.22,0
113,2010-10-21,8.22,8.22,8.22,8.22,0
114,2010-10-22,8.22,8.22,8.22,8.22,0
115,2010-10-25,7.52,7.52,7.52,7.52,100
116,2010-10-26,7.52,7.52,7.52,7.52,0
117,2010-10-27,7.52,7.52,7.52,7.52,0
118,2010-10-28,7.52,7.52,7.52,7.52,0
119,2010-10-29,7.01,7.01,6.83,6.83,1100
120,2010-11-01,6.23,6.23,6.23,6.23,200
121,2010-11-02,6.23,6.23,6.23,6.23,0
122,2010-11-03,6.23,6.23,6.23,6.23,0
123,2010-11-04,6.23,6.23,6.23,6.23,0
124,2010-11-05,5.62,5.62,5.62,5.62,1000
125,2010-11-08,5.62,5.62,5.62,5.62,200
126,2010-11-09,5.19,5.19,5.19,5.19,200
127,2010-11-10,5.19,5.19,5.19,5.19,0
128,2010-11-11,5.62,5.62,5.62,5.62,2100
129,2010-11-12,5.62,5.62,5.62,5.62,0
130,2010-11-15,5.19,5.19,5.19,5.19,100
131,2010-11-16,5.19,5.19,5.19,5.19,0
132,2010-11-17,4.67,4.67,4.67,4.67,100
133,2010-11-18,4.32,4.32,4.32,4.32,200
134,2010-11-19,3.98,3.98,3.98,3.98,300
135,2010-11-22,3.63,3.63,3.63,3.63,2100
136,2010-11-23,3.89,3.89,3.55,3.55,300
137,2010-11-24,3.63,3.55,3.55,3.55,0
138,2010-11-25,3.63,3.55,3.55,3.55,0
139,2010-11-26,3.63,3.55,3.55,3.55,0
140,2010-11-29,3.63,3.63,3.63,3.63,0
141,2010-11-30,3.98,3.98,3.98,3.98,100
142,2010-12-01,4.32,4.32,4.32,4.32,100
143,2010-12-02,4.32,4.32,4.32,4.32,0
144,2010-12-03,4.76,4.76,4.76,4.76,100
145,2010-12-06,4.76,4.76,4.76,4.76,0
146,2010-12-07,4.76,4.76,4.76,4.76,0
147,2010-12-08,4.76,4.76,4.76,4.76,0
148,2010-12-09,5.19,5.19,5.19,5.19,100
149,2010-12-10,5.62,5.62,5.62,5.62,100
150,2010-12-13,5.62,5.62,5.62,5.62,0
151,2010-12-14,5.62,5.62,5.62,5.62,0
152,2010-12-15,5.62,5.62,5.62,5.62,0
153,2010-12-16,6.05,6.05,6.05,6.05,100
154,2010-12-17,6.05,6.05,6.05,6.05,0
155,2010-12-20,6.05,6.05,6.05,6.05,0
156,2010-12-21,6.05,6.05,6.05,6.05,0
157,2010-12-22,5.45,6.66,5.45,6.66,400
158,2010-12-23,5.8,6.66,6.66,6.66,0
159,2010-12-24,5.28,5.28,5.28,5.28,100
160,2010-12-27,5.28,5.28,5.28,5.28,0
161,2010-12-28,5.8,5.8,5.8,5.8,2100
162,2010-12-29,6.23,6.23,6.23,6.23,100
163,2010-12-30,6.75,6.75,6.75,6.75,100
164,2010-12-31,7.27,7.27,7.27,7.27,100
165,2011-01-04,7.27,7.27,7.27,7.27,0
166,2011-01-05,7.27,7.27,7.27,7.27,0
167,2011-01-06,7.27,7.27,7.27,7.27,0
168,2011-01-07,7.27,7.27,7.27,7.27,0
169,2011-01-10,7.27,7.27,7.27,7.27,0
170,2011-01-11,7.27,7.27,7.27,7.27,0
171,2011-01-12,7.27,7.27,7.27,7.27,0
172,2011-01-13,7.27,7.27,7.27,7.27,0
173,2011-01-14,7.27,7.27,7.27,7.27,0
174,2011-01-17,5.97,5.97,5.97,5.97,100
175,2011-01-18,5.45,5.45,5.45,5.45,500
176,2011-01-19,4.93,4.93,4.93,4.93,500
177,2011-01-20,4.5,4.5,4.5,4.5,300
178,2011-01-21,4.07,4.07,4.07,4.07,100
179,2011-01-24,4.07,4.07,4.07,4.07,0
180,2011-01-25,3.81,4.07,3.81,4.07,400
181,2011-01-26,3.98,4.07,4.07,4.07,0
182,2011-01-27,3.98,4.07,4.07,4.07,0
183,2011-01-28,3.98,4.07,4.07,4.07,0
184,2011-02-08,3.72,3.72,3.72,3.72,800
185,2011-02-09,3.72,3.72,3.72,3.72,0
186,2011-02-10,3.72,3.72,3.72,3.72,0
187,2011-02-11,3.72,3.72,3.72,3.72,0
188,2011-02-14,3.72,3.72,3.72,3.72,0
189,2011-02-15,3.55,3.55,3.55,3.55,1000
190,2011-02-16,3.55,3.55,3.55,3.55,0
191,2011-02-17,3.55,3.55,3.55,3.55,0
192,2011-02-18,3.55,3.55,3.55,3.55,0
193,2011-02-21,3.55,3.55,3.55,3.55,0
194,2011-02-22,3.55,3.55,3.55,3.55,0
195,2011-02-23,3.55,3.55,3.55,3.55,0
196,2011-02-24,3.89,3.89,3.89,3.89,1000
197,2011-02-25,4.24,4.24,4.24,4.24,100
198,2011-02-28,4.24,4.24,4.24,4.24,0
199,2011-03-01,4.24,4.24,4.24,4.24,0
200,2011-03-02,3.98,3.98,3.98,3.98,200
201,2011-03-03,3.98,3.98,3.98,3.98,0
202,2011-03-04,3.72,3.72,3.72,3.72,200
203,2011-03-07,3.72,3.72,3.72,3.72,0
