,time,open,high,low,close,volume
0,2019-11-05,15.3,15.3,15.0,15.0,21400
1,2019-11-06,15.0,15.0,12.8,12.8,10000
2,2019-11-07,13.9,12.8,12.8,12.8,0
3,2019-11-08,11.9,11.9,11.9,11.9,400
4,2019-11-11,11.9,11.9,11.9,11.9,0
5,2019-11-12,11.9,11.9,11.9,11.9,0
6,2019-11-13,10.5,10.5,10.2,10.2,1300
7,2019-11-14,9.5,10.8,9.0,9.0,43200
8,2019-11-15,10.0,10.7,10.0,10.7,11500
9,2019-11-18,11.8,11.8,11.8,11.8,1200
10,2019-11-19,11.9,11.9,10.1,10.8,12900
11,2019-11-20,10.2,10.2,10.1,10.1,1100
12,2019-11-21,11.4,11.4,8.6,8.6,9500
13,2019-11-22,9.1,9.1,9.1,9.1,800
14,2019-11-25,10.3,10.3,7.8,7.8,13900
15,2019-11-26,8.0,8.0,8.0,8.0,4000
16,2019-11-27,6.9,7.7,6.8,7.4,11300
17,2019-11-28,8.0,8.0,6.2,6.7,11600
18,2019-11-29,6.5,7.7,6.5,7.7,5900
19,2019-12-02,8.3,8.4,6.8,7.4,23100
20,2019-12-03,8.1,9.4,8.1,9.1,23011
21,2019-12-04,8.7,10.2,8.7,9.5,36700
22,2019-12-05,9.9,10.0,9.9,9.9,8460
23,2019-12-06,9.9,9.9,9.7,9.8,17010
24,2019-12-09,9.8,9.8,9.6,9.6,23400
25,2019-12-10,9.7,9.8,9.6,9.8,22600
26,2019-12-11,9.8,9.8,9.7,9.7,1300
27,2019-12-12,9.5,9.5,9.4,9.4,16640
28,2019-12-13,9.4,9.4,9.4,9.4,63200
29,2019-12-16,9.4,9.4,9.4,9.4,3100
30,2019-12-17,9.4,9.4,9.1,9.1,24850
31,2019-12-18,10.4,10.4,9.2,9.2,7810
32,2019-12-19,9.2,9.2,9.2,9.2,4300
33,2019-12-20,9.2,9.4,9.2,9.2,4700
34,2019-12-23,9.4,9.4,9.4,9.4,1500
35,2019-12-24,9.5,9.5,9.3,9.5,28300
36,2019-12-25,9.5,9.8,9.5,9.8,11040
37,2019-12-26,9.8,9.8,9.8,9.8,12000
38,2019-12-27,9.8,10.0,9.7,10.0,7900
39,2019-12-30,10.0,10.0,10.0,10.0,6700
40,2019-12-31,11.3,11.5,11.3,11.5,37060
41,2020-01-02,12.0,12.0,12.0,12.0,1300
42,2020-01-03,13.3,13.3,13.3,13.3,1300
43,2020-01-06,14.0,14.0,11.4,11.4,2100
44,2020-01-07,11.9,11.9,11.9,11.9,200
45,2020-01-08,11.8,11.8,10.3,10.3,3400
46,2020-01-09,12.0,12.0,12.0,12.0,3400
47,2020-01-10,11.9,11.9,11.9,11.9,3100
48,2020-01-13,11.9,11.9,11.9,11.9,0
49,2020-01-14,11.9,11.9,11.9,11.9,0
50,2020-01-15,11.9,11.9,11.9,11.9,0
51,2020-01-16,11.9,11.9,11.9,11.9,0
52,2020-01-17,10.2,10.2,10.2,10.2,100
53,2020-01-20,9.7,9.7,9.7,9.7,2200
54,2020-01-21,8.4,9.1,8.3,9.1,4460
55,2020-01-22,8.9,9.1,9.1,9.1,0
56,2020-01-30,8.9,9.1,9.1,9.1,0
57,2020-01-31,8.3,8.3,8.3,8.3,1000
58,2020-02-03,8.3,8.3,8.3,8.3,0
59,2020-02-04,8.7,8.7,8.7,8.7,200
60,2020-02-05,8.7,8.7,8.7,8.7,60
61,2020-02-06,8.7,8.7,8.7,8.7,0
62,2020-02-07,8.7,8.7,8.7,8.7,0
63,2020-02-10,8.7,8.7,8.7,8.7,0
64,2020-02-11,8.7,8.7,8.7,8.7,0
65,2020-02-12,7.4,7.5,7.4,7.4,33480
66,2020-02-13,7.4,7.4,7.4,7.4,0
67,2020-02-14,7.4,7.4,7.4,7.4,51900
68,2020-02-17,7.4,7.4,7.4,7.4,0
69,2020-02-18,7.4,7.4,7.4,7.4,3400
70,2020-02-19,8.4,8.4,8.4,8.4,100
71,2020-02-20,9.5,9.5,9.5,9.5,100
72,2020-02-21,8.5,8.5,8.2,8.2,700
73,2020-02-24,8.4,8.2,8.2,8.2,0
74,2020-02-25,8.4,8.2,8.2,8.2,0
75,2020-02-26,9.6,9.6,9.6,9.6,100
76,2020-02-27,8.4,8.4,8.2,8.2,200
77,2020-02-28,8.3,8.2,8.2,8.2,0
78,2020-03-02,8.3,8.2,8.2,8.2,0
79,2020-03-03,8.3,8.3,8.3,8.3,512
80,2020-03-04,7.4,7.4,7.4,7.4,316
81,2020-03-05,7.4,7.4,7.4,7.4,0
82,2020-03-06,6.7,6.7,6.7,6.7,100
83,2020-03-09,6.6,6.6,6.6,6.6,210
84,2020-03-10,6.6,6.6,6.6,6.6,0
85,2020-03-11,5.7,5.7,5.7,5.7,100
86,2020-03-12,5.7,5.7,5.7,5.7,8
87,2020-03-13,5.7,5.7,5.7,5.7,0
88,2020-03-16,5.7,5.7,5.7,5.7,0
89,2020-03-17,5.7,5.7,5.7,5.7,0
90,2020-03-18,5.7,5.7,5.7,5.7,0
91,2020-03-19,6.0,6.0,6.0,6.0,200
92,2020-03-20,5.1,5.1,5.1,5.1,100
93,2020-03-23,5.1,5.1,5.1,5.1,0
94,2020-03-24,5.1,5.1,5.1,5.1,0
95,2020-03-25,4.4,4.4,4.4,4.4,110
96,2020-03-26,4.8,4.9,4.4,4.9,2100
97,2020-03-27,5.3,5.3,4.8,4.8,400
98,2020-03-30,5.5,5.5,5.5,5.5,100
99,2020-03-31,6.0,6.0,6.0,6.0,100
100,2020-04-01,6.0,6.0,6.0,6.0,0
101,2020-04-03,6.4,6.7,6.4,6.7,300
102,2020-04-06,6.5,6.7,6.7,6.7,0
103,2020-04-07,6.8,6.8,6.2,6.2,1100
104,2020-04-08,6.5,6.5,6.5,6.5,100
105,2020-04-09,6.8,6.8,6.3,6.3,1510
106,2020-04-10,6.3,6.3,6.3,6.3,0
107,2020-04-13,6.3,6.3,6.3,6.3,0
108,2020-04-14,6.3,6.3,6.3,6.3,100
109,2020-04-15,6.3,6.3,6.3,6.3,0
110,2020-04-16,6.3,6.3,6.3,6.3,0
111,2020-04-17,6.3,6.3,6.3,6.3,0
112,2020-04-20,6.3,6.3,6.3,6.3,0
113,2020-04-21,5.7,5.7,5.7,5.7,100
114,2020-04-22,5.7,5.7,5.7,5.7,0
115,2020-04-23,5.0,5.0,4.9,4.9,1400
116,2020-04-24,4.9,4.9,4.9,4.9,1000
117,2020-04-27,4.8,4.8,4.8,4.8,1640
118,2020-04-28,4.8,4.8,4.8,4.8,0
119,2020-04-29,4.6,5.3,4.6,5.3,1400
120,2020-05-04,5.1,5.1,5.1,5.1,234
121,2020-05-05,5.1,5.1,5.1,5.1,100
122,2020-05-06,5.1,5.1,5.1,5.1,0
123,2020-05-07,5.5,5.5,5.5,5.5,400
124,2020-05-08,5.5,5.5,5.5,5.5,300
125,2020-05-11,5.5,5.5,5.5,5.5,0
126,2020-05-12,5.5,5.5,5.5,5.5,0
127,2020-05-13,5.5,5.5,5.5,5.5,0
128,2020-05-14,5.5,5.5,5.5,5.5,0
129,2020-05-15,5.5,5.5,5.5,5.5,0
130,2020-05-18,5.5,5.5,5.5,5.5,0
131,2020-05-19,5.5,5.5,5.5,5.5,0
132,2020-05-20,5.5,5.5,5.5,5.5,0
133,2020-05-21,5.5,5.5,5.5,5.5,0
134,2020-05-22,5.5,5.5,5.5,5.5,0
135,2020-05-25,5.5,5.5,5.5,5.5,0
136,2020-05-26,5.5,5.5,5.5,5.5,0
137,2020-05-27,5.5,5.5,5.5,5.5,0
138,2020-05-28,4.9,4.9,4.9,4.9,300
139,2020-05-29,4.9,4.9,4.9,4.9,0
140,2020-06-01,5.6,5.6,5.6,5.6,100
141,2020-06-02,5.6,5.6,5.6,5.6,0
142,2020-06-03,5.6,5.6,5.6,5.6,0
143,2020-06-04,5.6,5.6,5.6,5.6,0
144,2020-06-05,5.0,5.0,5.0,5.0,300
145,2020-06-08,4.4,4.4,4.4,4.4,800
146,2020-06-09,4.4,4.4,4.4,4.4,0
147,2020-06-10,5.0,5.0,5.0,5.0,300
148,2020-06-11,5.0,5.0,5.0,5.0,920
149,2020-06-12,5.0,5.0,5.0,5.0,100
150,2020-06-15,5.0,5.0,5.0,5.0,0
151,2020-06-16,5.0,5.0,5.0,5.0,0
152,2020-06-17,5.0,5.0,5.0,5.0,0
153,2020-06-18,5.0,5.0,5.0,5.0,200
154,2020-06-19,5.0,5.0,5.0,5.0,100
155,2020-06-22,5.0,5.0,5.0,5.0,0
156,2020-06-23,5.0,5.0,5.0,5.0,0
157,2020-06-24,5.0,5.0,5.0,5.0,0
158,2020-06-25,5.0,5.0,5.0,5.0,0
159,2020-06-26,5.0,5.0,5.0,5.0,0
160,2020-06-29,5.0,5.0,5.0,5.0,0
161,2020-06-30,5.0,5.0,5.0,5.0,0
162,2020-07-01,5.0,5.0,5.0,5.0,0
163,2020-07-02,5.0,5.0,5.0,5.0,0
164,2020-07-03,5.0,5.0,5.0,5.0,0
165,2020-07-06,5.0,5.0,5.0,5.0,0
166,2020-07-07,5.0,5.0,5.0,5.0,0
167,2020-07-08,4.4,4.4,4.4,4.4,1000
168,2020-07-09,4.4,4.4,4.4,4.4,0
169,2020-07-10,4.4,4.4,4.4,4.4,0
